Employer Reputation,SCORE,SCORE,Citations per Paper,SCORE,SCORE,Academic Reputation,SCORE,SCORE,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
"<div class=""td-wrap""><div class=""td-wrap-in"">81.1</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",45,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">63.8</div></div>",30,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">30</span></div></div></div>",Switzerland,"<div class=""td-wrap""><div class=""td-wrap-in"">69.3</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/international-management-institute-switzerland"">International Management Institute Switzerland</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">60.8</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">76.5</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.6</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">68.2</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/cornell-university"">Cornell University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">78.4</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">60.3</div></div>",34,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">34</span></div></div></div>",Switzerland,"<div class=""td-wrap""><div class=""td-wrap-in"">66.3</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">13</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/cesar-ritz-colleges-switzerland"">César Ritz Colleges Switzerland</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">63.7</div></div>",18,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">18</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">66.4</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">68</div></div>",23,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">23</span></div></div></div>",Macau SAR,"<div class=""td-wrap""><div class=""td-wrap-in"">65.8</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>",Asia,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/macao-institute-tourism-studies-iftm"">Macao Institute for Tourism Studies (IFTM)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">50.5</div></div>",34,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">34</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">67.9</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=17</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.3</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">65.7</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">15</span></div></div></div>",Oceania,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/griffith-university"">Griffith University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">56</div></div>",25,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">25</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">51.8</div></div>",30,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">30</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">77.8</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>",Malaysia,"<div class=""td-wrap""><div class=""td-wrap-in"">65.6</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>",Asia,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/taylors-university"">Taylor&#039;s University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">76.3</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",40,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">59.4</div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">36</span></div></div></div>",Switzerland,"<div class=""td-wrap""><div class=""td-wrap-in"">64.9</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">17</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/htmi-hotel-tourism-management-institute-switzerland"">HTMi Hotel and Tourism Management Institute Switzerland</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">76.7</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",42,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">58.2</div></div>",39,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">39</span></div></div></div>",France,"<div class=""td-wrap""><div class=""td-wrap-in"">64.5</div></div>",18,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">18</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/vatel-hotel-tourism-business-school"">Vatel, Hotel and Tourism Business School</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">69</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",35,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">64.3</div></div>",29,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">29</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">63.4</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">19</span></div></div></div>",Oceania,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/blue-mountains-international-hotel-management-school-bmihms"">Blue Mountains International Hotel Management School (BMIHMS)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">44.1</div></div>",42,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">42</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71.3</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=12</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">62.5</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/pennsylvania-state-university"">Pennsylvania State University</a></div></div>"
