Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
21,35=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : king's college london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3955/kings-college-london"">King's College London</a>",79.8%,72.5%,47.6%,170,72.4%,92.2
22,48=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aberystwyth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3886/aberystwyth-university"">Aberystwyth University</a>",91.6%,88.0%,31.2%,115,75.9%,91.9
23=,44=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of stirling', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3997/university-of-stirling"">University of Stirling</a>",87.0%,77.6%,29.8%,160,69.7%,91.1
23=,27,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of dundee', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3918/university-of-dundee"">University of Dundee</a>",87.0%,86.0%,32.8%,164,61.8%,91.1
25,11,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leeds', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3943/university-of-leeds"">University of Leeds</a>",79.9%,75.6%,38.6%,164,72.6%,91
26=,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of kent', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3940/university-of-kent"">University of Kent</a>",80.5%,76.4%,47.3%,131,76.1%,90.9
26=,19=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bristol', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3902/university-of-bristol"">University of Bristol</a>",73.6%,66.7%,30.0%,191,81.4%,90.9
28=,30,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : swansea university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4003/swansea-university"">Swansea University</a>",81.6%,79.5%,43.6%,132,74.6%,90.8
28=,18,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of southampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3993/university-of-southampton"">University of Southampton</a>",83.5%,79.6%,38.4%,149,70.1%,90.8
30,37,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3974/nottingham-trent-university"">Nottingham Trent University</a>",86.9%,83.1%,30.0%,135,71.8%,90.5
31,44=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of strathclyde', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3998/university-of-strathclyde"">University of Strathclyde</a>",81.5%,79.0%,39.4%,197,54.7%,90.4
32,85=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : teesside university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4004/teesside-university"">Teesside University</a>",93.8%,90.5%,15.6%,103,77.9%,90.3
33,31,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of liverpool', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3949/university-of-liverpool"">University of Liverpool</a>",n/a,n/a,47.8%,140,68.8%,90.1
34,120,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edinburgh napier university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3924/edinburgh-napier-university"">Edinburgh Napier University</a>",91.2%,85.5%,37.9%,167,47.4%,89.9
35=,72,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : plymouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3978/plymouth-university"">Plymouth University</a>",91.1%,83.6%,30.5%,120,67.1%,89.7
35=,46=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen mary, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3957/queen-mary-university-of-london"">Queen Mary, University of London</a>",77.1%,71.3%,64.0%,137,65.1%,89.7
37,62,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of huddersfield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3936/university-of-huddersfield"">University of Huddersfield</a>",90.0%,83.0%,29.9%,123,67.0%,89.4
38,38=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3982/queens-university-belfast"">Queen's University, Belfast</a>",81.3%,76.1%,53.1%,148,58.6%,89.3
39=,58,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4008/university-of-the-west-of-england"">University of the West of England</a>",89.0%,87.5%,35.4%,113,63.9%,89
39=,65,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3916/de-montfort-university"">De Montfort University</a>",85.6%,82.9%,24.1%,110,78.3%,89
41,63=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3977/oxford-brookes-university"">Oxford Brookes University</a>",84.3%,82.8%,27.8%,128,71.2%,88.8
42,38=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leicester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3947/university-of-leicester"">University of Leicester</a>",79.1%,74.9%,45.4%,127,70.9%,88.7
43,46=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3913/coventry-university"">Coventry University</a>",86.2%,83.8%,18.1%,118,76.8%,88.6
44,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool hope university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3950/liverpool-hope-university"">Liverpool Hope University</a>",78.8%,79.4%,26.9%,105,86.5%,88.5
45=,32,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3908/cardiff-university"">Cardiff University</a>",80.4%,74.0%,35.1%,149,67.1%,88.3
45=,87=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : birmingham city university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3895/birmingham-city-university"">Birmingham City University</a>",91.8%,89.0%,30.9%,114,59.0%,88.3
47=,61,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : northumbria university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3971/northumbria-university"">Northumbria University</a>",88.1%,83.2%,27.2%,135,59.6%,87.8
47=,126,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bolton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3897/university-of-bolton"">University of Bolton</a>",90.3%,90.0%,14.4%,87*,76.7%,87.8
49=,42,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3948/university-of-lincoln"">University of Lincoln</a>",87.9%,80.8%,16.2%,126,69.5%,87.5
