aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Sassari,,Italy,0,University of Sassari,621621,501–600,5800,master_account,42.8,460,41.5,681,36.7,444,22.8–27.3,5800,15.6,396,12.6,680,61 : 39,"12,227",1%,21.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-sassari
Shantou University,,China,11,Shantou University,131502,501–600,5810,master_account,36.6,532,42.6,431,34.9,470,22.8–27.3,5810,12.9,485,20.3,378,51 : 49,"9,981",1%,11.0,"Medicine & Dentistry,Other Health",/world-university-rankings/shantou-university
Sheffield Hallam University,,United Kingdom,0,Sheffield Hallam University,131621,501–600,5820,master_account,35.3,544,41.5,683,37.9,431,22.8–27.3,5820,9.7,636,14.5,580,55 : 45,"24,924",14%,16.6,Other Health,/world-university-rankings/sheffield-hallam-university
Soochow University,,China,0,Soochow University,131518,501–600,5830,master_account,36.8,530,45.8,230,26.2,557,22.8–27.3,5830,17.9,345,18.3,449,58 : 42,"42,684",7%,15.2,"Other Health,Medicine & Dentistry",/world-university-rankings/soochow-university
University of South Alabama,,United States,0,University of South Alabama,591806,501–600,5840,public,43.5,452,41.8,548,22.4,613,22.8–27.3,5840,9.6,641,19.9,398,61 : 39,"14,391",6%,15.0,"Other Health,Medicine & Dentistry",/world-university-rankings/university-south-alabama
University of South Dakota,,United States,0,University of South Dakota,131409,501–600,5850,public,36.9,529,44.2,293,21.5,625,22.8–27.3,5850,12.8,491,21.9,334,61 : 39,"15,570",3%,35.3,"Other Health,Medicine & Dentistry",/world-university-rankings/university-south-dakota
Southern Cross University,,Australia,0,Southern Cross University,131754,501–600,5860,master_account,42.9,459,41.8,549,32.0,506,22.8–27.3,5860,10.3,606,11.4,718,64 : 36,"8,678",21%,24.5,Other Health,/world-university-rankings/southern-cross-university
University of the Sunshine Coast,,Australia,0,University of the Sunshine Coast,131394,501–600,5870,master_account,37.1,524,41.5,692,69.2,145,22.8–27.3,5870,12.6,504,11.9,702,64 : 36,"8,915",16%,29.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-sunshine-coast
University of Szeged,,Hungary,0,University of Szeged,1005,501–600,5880,master_account,39.6,500,42.3,465,70.6,134,22.8–27.3,5880,8.8,674,13.2,659,57 : 43,"20,388",14%,13.1,"Medicine & Dentistry,Other Health",/world-university-rankings/university-szeged
University of Tabriz,,Iran,0,University of Tabriz,624351,501–600,5890,master_account,38.0,519,41.5,694,16.0,714,22.8–27.3,5890,17.0,360,19.2,418,50 : 50,"23,480",0%,29.9,"Medicine & Dentistry,Other Health",/world-university-rankings/university-tabriz
Universiti Teknologi MARA,,Malaysia,0,Universiti Teknologi MARA,131773,501–600,5900,master_account,48.4,398,41.5,697,42.1,383,22.8–27.3,5900,7.8,702,12.1,700,66 : 34,"54,418",0%,16.4,"Medicine & Dentistry,Other Health",/world-university-rankings/universiti-teknologi-mara
The University of Tennessee-Knoxville,,United States,0,The University of Tennessee-Knoxville,131711,501–600,5910,public,39.4,503,41.8,550,24.9,571,22.8–27.3,5910,18.8,320,12.2,697,,"25,720",5%,16.7,Other Health,/world-university-rankings/university-tennessee-knoxville
University of Texas at El Paso,,United States,0,University of Texas at El Paso,131296,501–600,5920,public,44.6,446,41.5,698,31.3,513,22.8–27.3,5920,12.9,487,16.9,490,53 : 47,"16,744",8%,23.6,Other Health,/world-university-rankings/university-texas-el-paso
Tilburg University,,Netherlands,11,Tilburg University,734,501–600,5930,master_account,41.3,478,41.5,700,32.2,504,22.8–27.3,5930,18.9,319,14.4,591,48 : 52,"7,666",14%,21.2,Other Health,/world-university-rankings/tilburg-university
Tokai University,,Japan,0,Tokai University,131413,501–600,5940,master_account,37.1,525,42.4,454,18.2,680,22.8–27.3,5940,11.8,533,23.2,296,26 : 74,"30,070",2%,12.9,"Other Health,Medicine & Dentistry",/world-university-rankings/tokai-university
Tokyo University of Science tus rikadai tokyo,,Japan,11,Tokyo University of Science,131726,501–600,5950,master_account,34.7,551,43.1,379,16.4,711,22.8–27.3,5950,20.1,289,20.3,379,21 : 79,"19,162",2%,24.8,Other Health,/world-university-rankings/tokyo-university-science
University of Toledo,,United States,0,University of Toledo,131368,501–600,5960,public,35.2,546,44.0,306,43.6,360,22.8–27.3,5960,13.4,474,23.8,281,50 : 50,"18,238",11%,15.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-toledo
University of Trás-os-Montes and Alto Douro,,Portugal,0,University of Trás-os-Montes and Alto Douro,638555,501–600,5970,master_account,33.4,569,41.5,701,43.5,362,22.8–27.3,5970,19.8,299,13.7,623,57 : 43,"6,770",4%,12.4,,/world-university-rankings/university-tras-os-montes-and-alto-douro
Vilnius University,,Lithuania,0,Vilnius University,131748,501–600,5980,master_account,39.9,496,43.1,380,52.1,268,22.8–27.3,5980,9.3,648,13.4,647,65 : 35,"16,773",8%,11.6,"Medicine & Dentistry,Other Health",/world-university-rankings/vilnius-university
Waseda University,,Japan,0,Waseda University,862,501–600,5990,master_account,24.8,671,42.3,469,24.0,579,22.8–27.3,5990,19.9,292,23.2,297,37 : 63,"49,761",10%,16.0,"Medicine & Dentistry,Other Health",/world-university-rankings/waseda-university
Xi’an Jiaotong University,,China,0,Xi’an Jiaotong University,948,501–600,6000,master_account,32.2,582,42.5,442,45.4,335,22.8–27.3,6000,12.2,516,14.4,592,34 : 66,"33,973",5%,10.8,"Other Health,Medicine & Dentistry",/world-university-rankings/xian-jiaotong-university
Yangzhou University,,China,0,Yangzhou University,624264,501–600,6010,master_account,39.3,507,41.6,610,42.0,385,22.8–27.3,6010,10.6,585,11.6,712,55 : 45,"36,362",3%,16.0,"Other Health,Medicine & Dentistry",/world-university-rankings/yangzhou-university
Aichi Medical University,,Japan,0,Aichi Medical University,609288,601+,6020,master_account,35.1,547,41.5,611,18.0,684,13.9–22.7,6020,8.9,662,17.2,478,60 : 40,"1,272",1%,2.9,Medicine & Dentistry,/world-university-rankings/aichi-medical-university
Akdeniz University,,Turkey,0,Akdeniz University,624630,601+,6030,master_account,20.4,698,96.8,11,18.8,673,13.9–22.7,6030,15.5,397,13.3,648,55 : 45,"50,491",3%,32.0,"Other Health,Medicine & Dentistry",/world-university-rankings/akdeniz-university
Akita University,,Japan,0,Akita University,609471,601+,6040,master_account,24.0,679,42.3,455,16.7,705,13.9–22.7,6040,8.7,676,14.0,609,35 : 65,"5,074",4%,9.2,"Other Health,Medicine & Dentistry",/world-university-rankings/akita-university
Al-Azhar University,,Egypt,0,Al-Azhar University,623154,601+,6050,master_account,26.0,654,41.5,613,45.3,336,13.9–22.7,6050,8.4,687,16.2,509,44 : 56,"318,158",5%,41.9,"Other Health,Medicine & Dentistry",/world-university-rankings/al-azhar-university
University of Alicante,,Spain,0,University of Alicante,623361,601+,6060,master_account,23.7,681,41.8,534,34.3,475,13.9–22.7,6060,14.6,428,22.7,307,58 : 42,"27,639",9%,19.0,Other Health,/world-university-rankings/university-alicante
Aligarh Muslim University,,India,0,Aligarh Muslim University,980,601+,6070,master_account,30.5,603,41.5,615,17.1,700,13.9–22.7,6070,11.9,524,19.4,409,32 : 68,"17,884",2%,14.3,"Other Health,Medicine & Dentistry",/world-university-rankings/aligarh-muslim-university
Amity University,,India,0,Amity University,131629,601+,6080,master_account,28.7,627,41.8,535,21.5,624,13.9–22.7,6080,11.9,525,14.4,582,43 : 57,"27,278",5%,14.0,Other Health,/world-university-rankings/amity-university
Andrés Bello University (UNAB),,Chile,0,Andrés Bello University (UNAB),623754,601+,6090,master_account,27.8,636,41.5,616,49.3,292,13.9–22.7,6090,8.5,684,13.1,660,52 : 48,"44,436",1%,23.5,"Other Health,Medicine & Dentistry",/world-university-rankings/andres-bello-university-unab
Ankara University,,Turkey,0,Ankara University,131389,601+,6100,master_account,26.0,655,41.7,556,19.4,652,13.9–22.7,6100,12.4,507,21.4,345,52 : 48,"69,324",4%,18.0,"Medicine & Dentistry,Other Health",/world-university-rankings/ankara-university
University of Antioquia,,Colombia,0,University of Antioquia,131797,601+,6110,master_account,19.3,703,42.1,486,32.8,494,13.9–22.7,6110,17.9,340,18.4,435,51 : 49,"40,505",0%,23.3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-antioquia
