aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Konstanz,,Germany,0,University of Konstanz,658,79,790,master_account,91.4,37,97.5,27,52.7,243,56.9,790,46.1,84,38.9,107,55 : 45,"11,288",12%,52.3,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-konstanz
Stockholm University,,Sweden,0,Stockholm University,596,80,800,master_account,84.2,82,36.5,351,66.7,142,56.6,800,52.1,67,39.1,106,,"31,500",8%,23.0,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography,Sociology",/world-university-rankings/stockholm-university
Arizona State University (Tempe)  ,,United States,0,Arizona State University (Tempe)  ,591,81,810,public,93.4,26,40.5,256,35.4,434,56.0,810,52.8,66,36.3,124,43 : 57,"46,362",20%,20.8,"Sociology,Politics & International Studies (incl Development Studies),Geography,Communication & Media Studies",/world-university-rankings/arizona-state-university-tempe
"Nanyang Technological University, Singapore NTU Nan yang",,Singapore,6,"Nanyang Technological University, Singapore",634,82,820,master_account,63.5,279,62.2,97,88.0,29,55.9,820,60.2,53,37.7,117,48 : 52,"25,738",28%,16.7,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/nanyang-technological-university-singapore
Kyoto University,,Japan,0,Kyoto University,516,83,830,master_account,51.8,384,88.0,46,48.9,281,55.7,830,53.3,64,60.2,45,24 : 76,"22,420",8%,8.8,"Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/kyoto-university
University of Queensland UQ UOQ,,Australia,11,University of Queensland,538,84,840,master_account,84.1,83,87.2,49,81.8,56,55.6,840,43.7,94,37.0,121,55 : 45,"38,187",31%,34.4,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-queensland
Aarhus University,,Denmark,0,Aarhus University,589,85,850,master_account,85.4,73,65.9,86,68.9,123,55.0,850,51.8,70,30.7,174,54 : 46,"26,867",11%,14.8,"Politics & International Studies (incl Development Studies),Geography,Communication & Media Studies",/world-university-rankings/aarhus-university
"Rutgers, the State University of New Jersey",,United States,0,"Rutgers, the State University of New Jersey",546,86,860,public,78.5,135,37.0,326,24.2,554,54.6,860,47.5,79,51.6,65,52 : 48,"44,127",16%,11.2,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/rutgers-state-university-new-jersey-0
University of Groningen,,Netherlands,11,University of Groningen,598,87,870,master_account,80.4,122,73.1,69,56.0,214,54.1,870,46.3,83,39.7,102,52 : 48,"26,183",18%,23.8,"Communication & Media Studies,Sociology,Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-groningen
Lancaster University,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-49618222,United Kingdom,11,Lancaster University,595,88,880,master_account,93.2,27,34.6,436,70.8,111,54.0,880,40.2,113,35.2,131,51 : 49,"12,202",39%,12.8,"Geography,Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/lancaster-university
