aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Indiana University,United States,0,Indiana University,587,=44,460,public,64.0,84,53.0,30,32.8,78,64.0,460,70.5,42,67.1,28,52 : 48,"66,835",15%,14.1,Psychology,/world-university-rankings/indiana-university
University of Texas at Austin,United States,0,University of Texas at Austin,493,46,470,public,70.3,57,46.3,43,26.0,89,63.1,470,75.2,33,53.3,56,51 : 49,"48,561",10%,17.1,Psychology,/world-university-rankings/university-texas-austin
Boston University,United States,0,Boston University,518,47,480,private,66.2,75,37.6,91,35.9,70,62.5,480,74.4,35,55.5,50,60 : 40,"24,833",25%,8.6,Psychology,/world-university-rankings/boston-university
Heidelberg University,Germany,0,Heidelberg University,537,48,490,master_account,60.8,90,52.6,31,40.2,59,62.2,490,77.1,30,55.8,47,55 : 45,"28,876",17%,23.2,Psychology,/world-university-rankings/heidelberg-university-0
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,49,500,master_account,58.5,95,43.9,47,98.7,1,62.1,500,62.3,53,58.1,43,54 : 46,"18,364",42%,18.0,Psychology,/world-university-rankings/university-hong-kong
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,50,510,master_account,60.2,92,51.3,32,83.0,16,61.5,510,68.5,46,51.0,63,55 : 45,"38,968",26%,35.7,Psychology,/world-university-rankings/university-queensland
"University of Maryland, College Park",United States,0,"University of Maryland, College Park",559,51,520,public,73.4,39,42.9,50,24.3,94,61.1,520,66.1,49,52.3,57,48 : 52,"31,772",10%,16.5,Psychology,/world-university-rankings/university-maryland-college-park
University of St Andrews,United Kingdom,0,University of St Andrews,549,=52,530,master_account,69.7,58,37.7,90,96.0,3,61.0,530,42.9,89,60.4,36,58 : 42,"9,005",48%,13.0,Psychology,/world-university-rankings/university-st-andrews
Utrecht University utrecht  utrecht university,Netherlands,0,Utrecht University,532,=52,540,master_account,74.3,35,54.9,27,45.2,54,61.0,540,67.6,48,42.5,79,59 : 41,"31,522",7%,15.2,Psychology,/world-university-rankings/utrecht-university
Tilburg University,Netherlands,11,Tilburg University,734,54,550,master_account,70.6,54,91.5,4,73.5,32,59.8,550,65.3,51,33.7,95,48 : 52,"7,738",13%,22.5,Psychology,/world-university-rankings/tilburg-university
National University of Singapore nus,Singapore,6,National University of Singapore,504,55,560,master_account,62.7,86,88.8,8,77.6,25,59.5,560,60.3,55,47.0,72,51 : 49,"30,602",30%,17.0,Psychology,/world-university-rankings/national-university-singapore
Cardiff University,United Kingdom,0,Cardiff University,671,56,570,master_account,64.2,83,37.9,85,68.2,37,58.6,570,51.6,73,57.7,45,58 : 42,"24,186",26%,13.5,Psychology,/world-university-rankings/cardiff-university
Florida State University,United States,0,Florida State University,131777,57,580,public,71.9,49,46.8,42,32.0,80,58.5,580,72.0,40,36.3,88,55 : 45,"38,386",7%,26.3,Psychology,/world-university-rankings/florida-state-university
Dartmouth College,United States,0,Dartmouth College,554,=58,590,private,69.2,61,41.6,59,35.8,71,58.4,590,36.0,95,74.7,13,47 : 53,"6,100",15%,6.6,Psychology,/world-university-rankings/dartmouth-college
University of Glasgow,United Kingdom,1,University of Glasgow,566,=58,600,master_account,85.1,9,37.6,94,88.0,11,58.4,600,46.4,84,30.3,98,58 : 42,"23,389",36%,15.4,Psychology,/world-university-rankings/university-glasgow
Vrije Universiteit Amsterdam,Netherlands,0,Vrije Universiteit Amsterdam,625,=58,610,master_account,74.1,37,69.4,15,59.7,41,58.4,610,46.1,85,49.5,67,56 : 44,"24,554",7%,18.1,Psychology,/world-university-rankings/vrije-universiteit-amsterdam
Emory University,United States,0,Emory University,539,61,620,private,67.4,67,37.6,93,29.0,83,58.0,620,59.5,56,54.5,53,57 : 43,"12,649",19%,4.4,Psychology,/world-university-rankings/emory-university
Australian National University anu,Australia,0,Australian National University,502,=62,630,master_account,65.9,77,60.8,19,81.2,21,57.6,630,56.0,63,41.9,80,52 : 48,"15,986",35%,19.3,Psychology,/world-university-rankings/australian-national-university
University of Warwick,United Kingdom,0,University of Warwick,622,=62,640,master_account,72.6,44,37.6,100,82.0,20,57.6,640,56.9,59,34.5,94,48 : 52,"18,424",39%,13.0,Psychology,/world-university-rankings/university-warwick
Maastricht University,Netherlands,6,Maastricht University,663,64,650,master_account,66.0,76,63.6,18,94.9,4,57.1,650,32.3,96,59.6,39,58 : 42,"16,727",50%,18.0,Psychology,/world-university-rankings/maastricht-university
University of Colorado Boulder,United States,0,University of Colorado Boulder,541,=65,660,public,88.3,5,40.3,67,25.4,91,56.9,660,44.9,86,39.1,84,44 : 56,"30,780",10%,16.3,Psychology,/world-university-rankings/university-colorado-boulder
University of Sydney UniSyd,Australia,11,University of Sydney,522,=65,670,master_account,59.2,93,69.4,14,59.2,43,56.9,670,54.8,66,54.3,54,57 : 43,"44,553",32%,21.6,Psychology,/world-university-rankings/university-sydney
University of Connecticut,United States,0,University of Connecticut,879,67,680,public,71.7,51,39.4,70,26.9,88,55.7,680,46.9,83,53.3,55,51 : 49,"26,669",12%,12.7,Psychology,/world-university-rankings/university-connecticut
"Birkbeck, University of London",United Kingdom,0,"Birkbeck, University of London",613,68,690,master_account,67.2,69,37.9,84,82.2,19,55.5,690,51.8,72,38.6,85,54 : 46,"9,014",39%,16.8,Psychology,/world-university-rankings/birkbeck-university-london
University of Florida,United States,0,University of Florida,590,=69,700,public,64.6,81,83.5,9,17.9,101,55.1,700,56.1,62,49.5,65,54 : 46,"46,346",9%,17.5,Psychology,/world-university-rankings/university-florida
Rice University,United States,0,Rice University,536,=69,710,private,90.5,1,37.6,98,40.8,57,55.1,710,11.3,101,59.3,42,43 : 57,"6,441",28%,9.0,Psychology,/world-university-rankings/rice-university
Simon Fraser University,Canada,11,Simon Fraser University,709,=69,720,master_account,57.6,96,48.7,37,71.4,33,55.1,720,47.4,81,55.8,49,54 : 46,"26,309",29%,27.6,Psychology,/world-university-rankings/simon-fraser-university
University of Zurich,Switzerland,0,University of Zurich,525,72,730,master_account,66.4,74,45.6,44,88.5,9,55.0,730,52.1,70,35.2,90,57 : 43,"26,363",20%,5.9,Psychology,/world-university-rankings/university-zurich
University of Bristol,United Kingdom,11,University of Bristol,530,73,740,master_account,71.5,53,55.9,24,76.7,27,54.9,740,47.6,80,34.9,92,53 : 47,"19,995",27%,13.7,Psychology,/world-university-rankings/university-bristol
University of Iowa,United States,0,University of Iowa,606,74,750,public,65.9,78,57.4,21,29.5,82,54.8,750,50.7,75,51.3,61,52 : 48,"27,310",13%,12.4,Psychology,/world-university-rankings/university-iowa
University of Freiburg,Germany,0,University of Freiburg,653,75,760,master_account,62.2,87,99.2,3,55.5,47,54.5,760,54.3,67,40.6,82,57 : 43,"20,871",19%,40.3,Psychology,/world-university-rankings/university-freiburg
Chinese University of Hong Kong CUHK,Hong Kong,11,Chinese University of Hong Kong,662356,=76,770,master_account,47.1,100,41.5,60,92.6,6,54.3,770,56.7,60,51.6,59,,"18,072",31%,17.3,Psychology,/world-university-rankings/chinese-university-hong-kong
Hebrew University of Jerusalem,Israel,0,Hebrew University of Jerusalem,585,=76,780,master_account,63.8,85,42.8,52,58.0,45,54.3,780,59.0,57,37.7,87,55 : 45,"17,454",5%,11.2,Psychology,/world-university-rankings/hebrew-university-jerusalem
University of Bern,Switzerland,0,University of Bern,576,78,790,master_account,60.3,91,56.2,23,75.9,28,54.2,790,39.9,91,54.7,51,56 : 44,"10,449",15%,16.5,Psychology,/world-university-rankings/university-bern
University of Sussex,United Kingdom,11,University of Sussex,563,79,800,master_account,72.2,45,42.0,58,79.5,23,54.0,800,31.8,97,47.3,70,55 : 45,"12,384",38%,15.4,Psychology,/world-university-rankings/university-sussex
University of Geneva,Switzerland,0,University of Geneva,594,=80,810,master_account,52.8,97,50.3,34,96.6,2,53.8,810,49.7,77,47.7,69,61 : 39,"16,085",40%,15.1,Psychology,/world-university-rankings/university-geneva
Georgetown University,United States,0,Georgetown University,602,=80,820,private,75.8,27,48.6,38,23.4,97,53.8,820,40.1,90,48.2,68,54 : 46,"15,956",17%,8.6,Psychology,/world-university-rankings/georgetown-university
Arizona State University (Tempe)  ,United States,0,Arizona State University (Tempe)  ,591,82,830,public,76.1,23,37.8,87,23.5,96,53.6,830,54.8,65,33.6,96,43 : 57,"44,475",19%,20.1,Psychology,/world-university-rankings/arizona-state-university-tempe
University of Illinois at Chicago,United States,0,University of Illinois at Chicago,631,83,840,public,68.8,64,49.3,36,27.7,86,53.3,840,50.4,76,43.8,76,52 : 48,"25,450",19%,11.4,Psychology,/world-university-rankings/university-illinois-chicago
University of Kent,United Kingdom,6,University of Kent,832,84,850,master_account,75.3,29,38.4,79,83.7,14,53.2,850,36.7,94,34.5,93,53 : 47,"16,949",31%,12.7,Psychology,/world-university-rankings/university-kent
"University of California, Riverside",United States,0,"University of California, Riverside",607,85,860,public,85.0,10,37.6,92,33.4,76,53.1,860,37.4,93,35.0,91,51 : 49,"20,740",14%,20.7,Psychology,/world-university-rankings/university-california-riverside
University of Tübingen,Germany,0,University of Tübingen,652,86,870,master_account,67.5,66,40.2,68,45.3,53,52.9,870,49.6,78,40.8,81,59 : 41,"27,844",13%,38.5,Psychology,/world-university-rankings/university-tubingen
University of Oregon,United States,0,University of Oregon,880,87,880,public,71.6,52,37.6,97,24.8,93,52.6,880,61.4,54,28.6,100,52 : 48,"23,728",14%,18.6,Psychology,/world-university-rankings/university-oregon
University of Würzburg,Germany,0,University of Würzburg,691,88,890,master_account,75.5,28,42.2,55,32.3,79,52.4,890,51.2,74,30.5,97,57 : 43,"22,537",9%,33.9,Psychology,/world-university-rankings/university-wurzburg
University of Georgia,United States,0,University of Georgia,675,89,900,public,70.4,56,38.6,77,20.1,100,52.1,900,55.5,64,35.4,89,58 : 42,"33,842",7%,16.3,Psychology,/world-university-rankings/university-georgia
University of Helsinki,Finland,11,University of Helsinki,555,=90,910,master_account,64.8,80,41.0,63,36.3,67,52.0,910,43.4,88,49.5,66,65 : 35,"22,532",6%,16.2,Psychology,/world-university-rankings/university-helsinki
University of Mannheim,Germany,0,University of Mannheim,131813,=90,920,master_account,65.2,79,72.5,12,38.3,61,52.0,920,44.8,87,44.3,75,54 : 46,"10,995",16%,74.5,Psychology,/world-university-rankings/university-mannheim
Trinity College Dublin,Ireland,0,Trinity College Dublin,582,92,930,master_account,47.1,101,47.6,40,82.5,17,51.9,930,47.4,82,54.6,52,58 : 42,"16,157",27%,22.8,Psychology,/world-university-rankings/trinity-college-dublin
University of Basel,Switzerland,0,University of Basel,575,=93,940,master_account,78.2,21,64.1,17,92.8,5,51.7,940,27.9,98,29.6,99,55 : 45,"12,729",27%,17.7,Psychology,/world-university-rankings/university-basel
University of Southampton,United Kingdom,0,University of Southampton,593,=93,950,master_account,66.7,72,43.9,48,82.4,18,51.7,950,38.1,92,38.4,86,53 : 47,"21,670",33%,12.5,Psychology,/world-university-rankings/university-southampton
University of Auckland UOA Auckland University,New Zealand,11,University of Auckland,637,95,960,master_account,58.5,94,40.5,65,77.0,26,51.6,960,48.0,79,40.4,83,54 : 46,"30,348",29%,18.8,Psychology,/world-university-rankings/university-auckland
University of Arizona,United States,0,University of Arizona,561,=96,970,public,82.1,13,45.2,45,28.7,84,51.5,970,27.4,99,43.3,78,52 : 48,"38,334",9%,13.0,Psychology,/world-university-rankings/university-arizona
Texas A&M University,United States,11,Texas A&M University,629,=96,980,public,61.4,89,40.7,64,20.2,99,51.5,980,52.9,68,47.2,71,48 : 52,"56,245",9%,23.6,Psychology,/world-university-rankings/texas-am-university
University of Pittsburgh-Pittsburgh campus,United States,0,University of Pittsburgh-Pittsburgh campus,524,98,990,public,73.2,41,41.5,61,21.9,98,51.1,990,58.3,58,24.7,101,52 : 48,"26,367",10%,5.9,Psychology,/world-university-rankings/university-pittsburgh-pittsburgh-campus
University of Alberta,Canada,0,University of Alberta,564,99,1000,master_account,52.1,98,39.1,73,71.3,34,50.9,1000,52.4,69,43.5,77,55 : 45,"32,435",26%,21.6,Psychology,/world-university-rankings/university-alberta
"City, University of London",United Kingdom,0,"City, University of London",912,100,1010,master_account,72.9,42,38.4,78,88.9,7,50.8,1010,17.7,100,46.7,73,56 : 44,"13,460",53%,17.2,Psychology,/world-university-rankings/city-university-london
