aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Durham University united kingdom UK  England,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-56154151,United Kingdom,11,Durham University,547,51,510,master_account,36.2,90,39.3,73,72.1,21,55.4,510,58.5,51,63.6,47,54 : 46,"16,310",29%,14.9,Law,/world-university-rankings/durham-university
City University of Hong Kong CityU HK,,Hong Kong,11,City University of Hong Kong,657,52,520,master_account,56.4,35,46.8,28,87.3,7,54.2,520,49.5,67,48.5,72,54 : 46,"9,240",35%,11.2,Law,/world-university-rankings/city-university-hong-kong
University of Sussex,,United Kingdom,11,University of Sussex,563,53,530,master_account,53.9,48,39.3,94,76.8,14,54.1,530,46.1,69,56.7,62,55 : 45,"12,384",38%,15.4,Law,/world-university-rankings/university-sussex
University of Queensland UQ UOQ,,Australia,11,University of Queensland,538,54,540,master_account,75.5,3,40.5,52,69.7,23,53.8,540,54.6,55,33.1,94,55 : 45,"38,968",26%,35.7,Law,/world-university-rankings/university-queensland
University of Texas at Austin,,United States,0,University of Texas at Austin,493,55,550,public,64.7,13,47.9,27,20.7,92,53.7,550,42.2,72,65.6,44,51 : 49,"48,561",10%,17.1,Law,/world-university-rankings/university-texas-austin
University of Helsinki,,Finland,11,University of Helsinki,555,=56,560,master_account,39.3,87,39.3,81,26.8,86,53.1,560,73.3,34,52.9,66,65 : 35,"22,532",6%,16.2,Law,/world-university-rankings/university-helsinki
University of Sheffield united kingdom UK Sheffield,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-51616042,United Kingdom,11,University of Sheffield,565,=56,570,master_account,51.8,54,39.3,92,50.4,50,53.1,570,49.7,65,59.2,58,50 : 50,"24,581",36%,14.9,Law,/world-university-rankings/university-sheffield
Ghent University,,Belgium,0,Ghent University,570,58,580,master_account,43.6,76,66.3,9,41.5,62,52.5,580,78.1,28,37.2,85,53 : 47,"35,909",10%,35.9,Law,/world-university-rankings/ghent-university
Hebrew University of Jerusalem,,Israel,0,Hebrew University of Jerusalem,585,59,590,master_account,58.9,25,39.6,60,52.5,47,52.3,590,64.8,44,36.4,89,55 : 45,"17,454",5%,11.2,Law,/world-university-rankings/hebrew-university-jerusalem
Arizona State University (Tempe)  ,,United States,0,Arizona State University (Tempe)  ,591,60,600,public,82.2,1,39.3,63,17.7,98,50.6,600,44.4,70,42.3,79,43 : 57,"44,475",19%,20.1,Law,/world-university-rankings/arizona-state-university-tempe
Maastricht University,,Netherlands,6,Maastricht University,663,=61,610,master_account,46.7,69,50.1,21,91.4,2,50.5,610,56.6,53,36.6,87,58 : 42,"16,727",50%,18.0,Law,/world-university-rankings/maastricht-university
University of Tasmania,,Australia,0,University of Tasmania,808,=61,620,master_account,53.8,49,43.2,37,83.8,9,50.5,620,53.5,57,36.5,88,60 : 40,"11,346",22%,14.5,Law,/world-university-rankings/university-tasmania
Autonomous University of Madrid,,Spain,0,Autonomous University of Madrid,743,63,630,master_account,30.8,95,49.8,23,34.5,71,49.8,630,59.3,50,59.7,56,60 : 40,"29,305",13%,13.4,Law,/world-university-rankings/autonomous-university-madrid
University of Leeds,,United Kingdom,0,University of Leeds,597,64,640,master_account,54.1,46,39.3,85,67.1,28,49.7,640,37.8,76,53.6,65,60 : 40,"27,995",26%,14.7,Law,/world-university-rankings/university-leeds
Pontifical Catholic University of Chile,,Chile,0,Pontifical Catholic University of Chile,852,65,650,master_account,28.7,97,39.3,91,32.0,75,49.3,650,55.7,54,64.6,46,,"27,065",7%,15.4,Law,/world-university-rankings/pontifical-catholic-university-chile
University of Montreal,,Canada,11,University of Montreal,569,66,660,master_account,55.1,41,42.7,39,69.7,22,48.7,660,51.2,62,36.2,90,55 : 45,"41,017",22%,21.9,Law,/world-university-rankings/university-montreal
Erasmus University Rotterdam,,Netherlands,6,Erasmus University Rotterdam,621,67,670,master_account,44.5,72,45.6,32,58.3,41,48.6,670,37.5,77,60.0,54,49 : 51,"22,047",20%,20.1,Law,/world-university-rankings/erasmus-university-rotterdam
Monash University,,Australia,0,Monash University,581,68,680,master_account,49.5,61,45.7,31,56.4,45,47.8,680,34.8,80,56.5,63,57 : 43,"46,846",28%,33.7,Law,/world-university-rankings/monash-university
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,69,690,public,50.5,58,40.2,54,22.6,91,47.2,690,74.9,32,26.0,98,51 : 49,"38,960",12%,10.7,Law,/world-university-rankings/university-wisconsin-madison
Sapienza University of Rome,,Italy,0,Sapienza University of Rome,800,70,700,master_account,33.6,94,59.1,13,30.6,78,47.1,700,46.3,68,61.7,51,58 : 42,"111,453",7%,32.1,Law,/world-university-rankings/sapienza-university-rome
Northeastern University,,United States,0,Northeastern University,681,71,710,private,54.2,45,39.3,89,42.2,60,46.7,710,31.2,86,57.4,61,49 : 51,"18,780",32%,14.0,Law,/world-university-rankings/northeastern-university
University of York,,United Kingdom,0,University of York,586,72,720,master_account,58.4,27,39.3,100,42.0,61,46.2,720,40.4,75,44.1,76,55 : 45,"14,962",27%,15.1,Law,/world-university-rankings/university-york
University of Groningen,,Netherlands,11,University of Groningen,598,73,730,master_account,51.6,55,53.7,18,46.0,54,45.2,730,49.9,64,35.0,91,52 : 48,"26,197",17%,24.1,Law,/world-university-rankings/university-groningen
Dalhousie University,,Canada,0,Dalhousie University,698,74,740,master_account,64.9,12,39.3,72,68.8,24,45.0,740,28.5,91,39.3,81,55 : 45,"15,201",20%,14.9,Law,/world-university-rankings/dalhousie-university
Georgia State University,,United States,0,Georgia State University,824,75,750,public,52.4,52,39.3,79,15.0,99,44.9,750,33.6,82,58.4,59,69 : 31,"28,593",6%,18.9,Law,/world-university-rankings/georgia-state-university
University of Strathclyde,,United Kingdom,11,University of Strathclyde,856,76,760,master_account,52.3,53,39.3,93,39.8,63,44.5,760,53.4,58,31.9,95,49 : 51,"17,496",27%,21.5,Law,/world-university-rankings/university-strathclyde
Ohio State University (Main campus)  ,,United States,0,Ohio State University (Main campus)  ,521,77,770,public,74.5,4,39.3,90,27.1,85,44.4,770,9.7,100,59.3,57,49 : 51,"53,190",13%,12.7,Law,/world-university-rankings/ohio-state-university-main-campus
"University of California, Irvine",,United States,0,"University of California, Irvine",550,78,780,public,64.2,15,39.3,67,25.5,88,44.1,780,52.8,61,26.0,97,52 : 48,"30,419",21%,17.0,Law,/world-university-rankings/university-california-irvine
Laval University,,Canada,11,Laval University,876,=79,790,master_account,44.2,74,46.7,29,63.2,33,43.9,790,28.2,92,52.8,67,57 : 43,"29,322",13%,16.9,Law,/world-university-rankings/laval-university
University of North Carolina at Chapel Hill,,United States,0,University of North Carolina at Chapel Hill,507,=79,800,public,58.6,26,39.3,88,18.8,96,43.9,800,31.3,85,51.8,69,56 : 44,"34,684",8%,9.7,Law,/world-university-rankings/university-north-carolina-chapel-hill
George Mason University,,United States,0,George Mason University,778,81,810,public,55.7,37,46.4,30,31.3,76,43.1,810,20.7,99,57.6,60,54 : 46,"27,749",8%,17.5,Law,/world-university-rankings/george-mason-university
Lancaster University,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-49618222,United Kingdom,11,Lancaster University,595,82,820,master_account,55.7,38,39.3,84,62.3,34,42.7,820,30.3,88,39.1,82,51 : 49,"11,637",38%,13.1,Law,/world-university-rankings/lancaster-university
University of Alberta,,Canada,0,University of Alberta,564,=83,830,master_account,42.4,80,59.9,12,38.1,66,42.3,830,34.6,81,49.2,71,55 : 45,"32,435",26%,21.6,Law,/world-university-rankings/university-alberta
University of Georgia,,United States,0,University of Georgia,675,=83,840,public,55.2,39,39.3,78,14.1,100,42.3,840,32.7,83,49.5,70,58 : 42,"33,842",7%,16.3,Law,/world-university-rankings/university-georgia
University of Wollongong UOW University of Wollongong Australia,,Australia,6,University of Wollongong,740,85,850,master_account,48.0,65,60.2,11,65.2,30,42.0,850,37.2,78,34.2,93,50 : 50,"16,947",24%,27.0,Law,/world-university-rankings/university-wollongong
University of Birmingham,,United Kingdom,11,University of Birmingham,612,=86,860,master_account,51.0,57,39.3,64,60.2,37,40.6,860,30.1,89,37.2,84,54 : 46,"27,061",27%,15.0,Law,/world-university-rankings/university-birmingham
University of Chile,,Chile,0,University of Chile,1000,=86,870,master_account,28.4,98,39.3,69,18.7,97,40.6,870,41.2,74,55.6,64,47 : 53,"38,848",5%,17.2,Law,/world-university-rankings/university-chile
University of South Australia unisa,,Australia,6,University of South Australia,855,88,880,master_account,71.4,7,100.0,2,76.1,15,40.1,880,27.4,93,13.7,99,62 : 38,"17,575",41%,25.8,Law,/world-university-rankings/university-south-australia
University of Southampton,,United Kingdom,0,University of Southampton,593,89,890,master_account,36.6,89,41.3,45,82.8,10,39.9,890,29.9,90,39.9,80,53 : 47,"21,670",33%,12.5,Law,/world-university-rankings/university-southampton
University of Warwick,,United Kingdom,0,University of Warwick,622,90,900,master_account,34.1,93,39.3,98,72.4,20,39.4,900,31.0,87,42.4,78,48 : 52,"18,424",39%,13.0,Law,/world-university-rankings/university-warwick
University of Zurich,,Switzerland,0,University of Zurich,525,91,910,master_account,40.3,83,40.7,49,64.5,32,39.2,910,25.1,98,44.6,75,57 : 43,"26,363",20%,5.9,Law,/world-university-rankings/university-zurich
University of Pretoria UP,,South Africa,11,University of Pretoria,994,92,920,master_account,27.6,99,88.3,5,33.4,73,39.1,920,31.7,84,52.7,68,56 : 44,"36,005",8%,24.1,Law,/world-university-rankings/university-pretoria
University of Exeter,,United Kingdom,11,University of Exeter,620,93,930,master_account,46.9,68,39.3,76,72.7,19,38.9,930,26.9,94,34.6,92,55 : 45,"19,159",28%,17.5,Law,/world-university-rankings/university-exeter
Tel Aviv University,,Israel,0,Tel Aviv University,630,94,940,master_account,39.7,84,39.6,61,43.1,58,38.2,940,37.0,79,36.7,86,54 : 46,"22,973",4%,23.1,Law,/world-university-rankings/tel-aviv-university
Complutense University of Madrid,,Spain,0,Complutense University of Madrid,971,95,950,master_account,25.0,100,43.3,36,28.7,83,37.8,950,49.6,66,38.5,83,62 : 38,"62,392",13%,20.1,Law,/world-university-rankings/complutense-university-madrid
University of Bologna,,Italy,1,University of Bologna,692,=96,960,master_account,39.6,85,39.8,57,44.5,55,37.2,960,26.2,95,43.4,77,,"62,296",10%,22.2,Law,/world-university-rankings/university-bologna
University of Oslo,,Norway,0,University of Oslo,647,=96,970,master_account,51.5,56,48.6,25,49.9,52,37.2,970,51.0,63,9.0,100,60 : 40,"27,730",19%,18.6,Law,/world-university-rankings/university-oslo
American University,,United States,0,American University,131636,=98,980,private,48.1,64,55.1,17,23.4,90,37.0,980,41.7,73,26.6,96,64 : 36,"11,534",13%,11.7,Law,/world-university-rankings/american-university
University of Hamburg,,Germany,6,University of Hamburg,701,=98,990,master_account,39.3,86,42.8,38,37.3,68,37.0,990,26.0,96,45.0,74,56 : 44,"38,182",12%,48.4,Law,/world-university-rankings/university-hamburg
University of Ottawa,,Canada,0,University of Ottawa,649,=98,1000,master_account,34.1,92,39.8,58,43.7,56,37.0,1000,25.3,97,48.1,73,59 : 41,"35,177",17%,25.6,Law,/world-university-rankings/university-ottawa
