aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,10,master_account,96.8,5,99.1,14,88.2,31,93.8,10,99.5,2,85.4,6,46 : 54,"20,409",38%,11.2,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
University of Cambridge,,United Kingdom,0,University of Cambridge,470,=2,20,master_account,95.6,10,45.3,175,86.2,39,89.8,20,99.5,1,77.8,27,45 : 55,"18,389",35%,10.9,Medicine & Dentistry,/world-university-rankings/university-cambridge
Harvard University,,United States,0,Harvard University,466,=2,30,private,94.3,14,41.5,232,76.0,86,89.8,30,98.4,3,83.6,11,,"20,326",26%,8.9,"Medicine & Dentistry,Other Health",/world-university-rankings/harvard-university
Imperial College London,,United Kingdom,0,Imperial College London,472,=4,40,master_account,88.2,42,58.2,84,92.3,15,87.6,40,92.6,7,83.2,14,37 : 63,"15,857",55%,11.4,Medicine & Dentistry,/world-university-rankings/imperial-college-london
Stanford University,,United States,11,Stanford University,467,=4,50,private,95.9,9,50.1,129,56.5,200,87.6,50,91.1,8,85.6,4,42 : 58,"15,845",22%,7.5,"Other Health,Medicine & Dentistry",/world-university-rankings/stanford-university
Johns Hopkins University,,United States,0,Johns Hopkins University,478,6,60,private,90.0,34,73.8,48,68.5,131,86.6,60,89.7,12,85.1,8,52 : 48,"15,498",24%,4.3,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,7,70,public,98.9,2,48.9,141,66.0,147,85.9,70,83.7,24,80.3,17,52 : 48,"36,182",17%,13.1,Other Health,/world-university-rankings/university-california-berkeley
Columbia University,,United States,0,Columbia University,476,8,80,private,91.6,22,42.3,218,72.1,104,84.4,80,80.9,32,85.9,2,,"26,587",32%,6.1,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,9,90,master_account,80.7,87,81.2,37,91.4,20,84.3,90,89.4,13,82.0,15,55 : 45,"42,116",40%,26.6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-melbourne
University of Pennsylvania,,United States,0,University of Pennsylvania,480,10,100,private,91.5,25,56.6,93,44.9,281,84.0,100,86.2,17,85.6,3,50 : 50,"20,361",20%,6.5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-pennsylvania
Duke University,,United States,0,Duke University,487,11,110,private,90.3,29,92.7,24,45.2,279,83.8,110,86.0,18,83.3,13,49 : 51,"15,256",22%,4.5,,/world-university-rankings/duke-university
UCL ucl UCL,,United Kingdom,0,UCL,481,12,120,master_account,82.7,75,47.4,155,92.2,17,83.7,120,90.4,10,79.3,21,56 : 44,"30,304",49%,10.5,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
Washington University in St Louis,,United States,11,Washington University in St Louis,505,=13,130,private,96.4,6,40.6,256,38.5,343,83.6,130,87.2,14,80.1,19,,"12,600",17%,7.5,"Other Health,Medicine & Dentistry",/world-university-rankings/washington-university-st-louis
Yale University,,United States,0,Yale University,475,=13,140,private,89.0,39,44.2,185,61.3,171,83.6,140,84.8,20,85.2,7,49 : 51,"12,155",21%,4.3,Other Health,/world-university-rankings/yale-university
Karolinska Institute,,Sweden,0,Karolinska Institute,496,15,150,master_account,79.6,96,55.7,99,76.5,78,83.5,150,94.6,4,81.7,16,68 : 32,"7,424",19%,10.9,"Medicine & Dentistry,Other Health",/world-university-rankings/karolinska-institute
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,16,160,public,86.9,49,51.2,122,46.4,267,83.3,160,86.3,16,88.6,1,53 : 47,"39,279",17%,9.6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-california-los-angeles
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,=17,170,master_account,94.5,12,41.9,227,82.4,53,82.9,170,81.1,31,73.8,34,59 : 41,"26,759",40%,12.5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-edinburgh
King’s College London,,United Kingdom,11,King’s College London,520,=17,180,master_account,82.9,73,49.5,134,81.1,55,82.9,180,94.1,5,75.2,31,62 : 38,"23,207",41%,12.0,"Other Health,Medicine & Dentistry",/world-university-rankings/kings-college-london
University of Toronto,,Canada,0,University of Toronto,483,19,190,master_account,76.4,129,60.8,73,68.3,136,82.6,190,93.3,6,85.5,5,,"69,427",17%,18.7,"Medicine & Dentistry,Other Health",/world-university-rankings/university-toronto
University of Washington,,United States,0,University of Washington,489,20,200,public,92.6,18,47.1,157,43.2,296,82.3,200,85.5,19,79.9,20,52 : 48,"44,945",16%,11.4,"Other Health,Medicine & Dentistry",/world-university-rankings/university-washington
"University of California, San Diego",,United States,0,"University of California, San Diego",497,21,210,public,92.6,17,93.3,22,36.8,358,82.2,210,84.3,22,78.4,25,46 : 54,"29,633",17%,12.8,Other Health,/world-university-rankings/university-california-san-diego
University of Chicago,,United States,11,University of Chicago,473,22,220,private,93.3,16,46.0,169,41.0,314,81.4,220,81.5,29,80.3,18,44 : 56,"13,525",25%,6.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-chicago
