aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,10,master_account,87.4,66,44.5,145,89.8,16,90.9,10,95.9,2,92.3,1,46 : 54,"20,409",38%,11.2,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-oxford
Harvard University,,United States,0,Harvard University,466,=2,20,private,98.1,9,51.3,101,69.6,95,90.1,20,92.6,4,89.1,3,,"20,326",26%,8.9,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/harvard-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,=2,30,private,99.3,7,95.1,21,75.2,72,90.1,30,88.1,9,87.9,6,37 : 63,"11,177",34%,8.7,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,4,40,private,99.9,3,72.9,52,62.4,134,89.6,40,90.0,6,88.7,4,42 : 58,"15,845",22%,7.5,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/stanford-university
Princeton University,,United States,0,Princeton University,469,5,50,private,99.8,4,89.7,26,51.9,199,88.4,50,88.3,8,88.2,5,45 : 55,"7,955",24%,8.3,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,6,60,master_account,83.6,91,37.2,258,85.3,34,87.6,60,92.4,5,90.1,2,45 : 55,"18,389",35%,10.9,"Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-cambridge
University of Chicago,,United States,11,University of Chicago,473,7,70,private,93.0,32,36.0,312,47.6,230,86.7,70,94.0,3,87.4,8,44 : 56,"13,525",25%,6.2,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-chicago
Yale University,,United States,0,Yale University,475,8,80,private,97.5,12,36.0,317,55.4,167,86.2,80,87.1,11,87.6,7,49 : 51,"12,155",21%,4.3,"Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/yale-university
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,9,90,public,90.6,45,73.8,48,30.5,328,85.5,90,96.5,1,84.2,11,48 : 52,"41,818",16%,8.6,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-michigan-ann-arbor
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,10,100,master_account,92.2,36,39.1,208,85.1,37,84.0,100,81.0,18,84.0,12,52 : 48,"10,065",71%,12.2,"Geography,Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/london-school-economics-and-political-science
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,11,110,public,96.9,13,39.0,212,38.2,285,82.4,110,82.3,16,85.1,9,52 : 48,"36,182",17%,13.1,"Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-california-berkeley
Columbia University,,United States,0,Columbia University,476,12,120,private,89.4,53,41.9,175,60.2,148,81.6,120,80.4,20,84.8,10,,"26,587",32%,6.1,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/columbia-university
University of Pennsylvania,,United States,0,University of Pennsylvania,480,13,130,private,82.2,101,41.2,184,53.0,188,80.9,130,88.5,7,82.0,13,50 : 50,"20,361",20%,6.5,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/university-pennsylvania
Duke University,,United States,0,Duke University,487,14,140,private,93.5,31,99.8,9,53.4,182,80.1,140,81.4,17,73.2,21,49 : 51,"15,256",22%,4.5,,/world-university-rankings/duke-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,15,150,public,95.1,22,35.9,319,32.6,321,80.0,150,84.0,14,78.7,16,53 : 47,"39,279",17%,9.6,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Geography",/world-university-rankings/university-california-los-angeles
Cornell University,,United States,0,Cornell University,484,16,160,private,90.7,44,35.7,329,55.8,164,78.6,160,76.3,26,80.3,14,49 : 51,"21,850",24%,9.8,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/cornell-university
UCL ucl UCL,,United Kingdom,0,UCL,481,17,170,master_account,82.3,99,37.1,262,85.2,35,78.4,170,84.4,13,71.2,25,56 : 44,"30,304",49%,10.5,"Communication & Media Studies,Geography,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/ucl
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,18,180,public,82.1,103,53.2,91,25.8,351,78.0,180,87.8,10,79.0,15,51 : 49,"38,960",12%,10.7,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-wisconsin-madison
New York University,,United States,0,New York University,508,19,190,private,88.3,60,40.2,194,38.3,284,76.9,190,80.8,19,76.0,17,56 : 44,"43,860",26%,9.6,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/new-york-university
