Metric,Value,Year,Institution,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Student experience (%),79.3,2014,Liverpool Hope University,79.3,41.0,7.0,10003956,Liverpool Hope University,
Student experience (%),78.3,2014,University of Huddersfield,78.3,64.0,5.0,10007148,University of Huddersfield,
Student experience (%),78.9,2014,Manchester Metropolitan University,78.9,54.0,6.0,10004180,The Manchester Metropolitan University,
Student experience (%),77.7,2014,Norwich University of the Arts,77.7,79.0,4.0,10004775,Norwich University College of the Arts,
Student experience (%),77.0,2014,Oxford Brookes University,77.0,91.0,3.0,10004930,Oxford Brookes University,
Student experience (%),78.3,2014,Northumbria University,78.3,64.0,5.0,10001282,University of Northumbria at Newcastle,
Student experience (%),81.1,2014,Sheffield Hallam University,81.1,22.0,9.0,10005790,Sheffield Hallam University,
Student experience (%),71.9,2014,"St George's, University of London",71.9,122.0,1.0,10007782,St George's Hospital Medical School,
Student experience (%),72.0,2014,"Goldsmiths, University of London",72.0,121.0,1.0,10002718,Goldsmiths' College,
Student experience (%),77.2,2014,University of Roehampton,77.2,85.0,4.0,10007776,Roehampton University,
Student experience (%),81.8,2014,Bangor University,81.8,15.0,9.0,10007857,Bangor University,
Student experience (%),79.9,2014,University of Chichester,79.9,34.0,8.0,10007137,The University of Chichester,
Student experience (%),76.5,2014,Falmouth University,76.5,94.0,3.0,10008640,University College Falmouth,
Student experience (%),77.1,2014,"City, University of London",77.1,89.0,3.0,10001478,The City University,
Student experience (%),80.0,2014,De Montfort University,80.0,31.0,8.0,10001883,De Montfort University,
Student experience (%),78.7,2014,University of Central Lancashire,78.7,57.0,6.0,10007141,University of Central Lancashire,
Student experience (%),79.9,2014,Plymouth University,79.9,34.0,8.0,10007801,University of Plymouth,
Student experience (%),77.1,2014,University of Hull,77.1,89.0,3.0,10007149,University of Hull,
Student experience (%),79.1,2014,Liverpool John Moores University,79.1,47.0,7.0,10003957,Liverpool John Moores University,
Student experience (%),70.1,2014,"University of the Arts, London",70.1,124.0,1.0,10007162,"University of the Arts, London",
Student experience (%),79.1,2014,University of Chester,79.1,47.0,7.0,10007848,University of Chester,
Student experience (%),79.9,2014,York St John University,79.9,34.0,8.0,10007713,York St John University,
Student experience (%),76.5,2014,"Queen Margaret University, Edinburgh",76.5,94.0,3.0,10005337,"Queen Margaret University, Edinburgh",
Student experience (%),80.4,2014,Robert Gordon University,80.4,26.0,8.0,10005500,The Robert Gordon University,
Student experience (%),78.4,2014,University of Greenwich,78.4,63.0,5.0,10007146,University of Greenwich,
Student experience (%),79.0,2014,"St Mary's University, Twickenham",79.0,50.0,6.0,10007843,"St Mary's University College, Twickenham",
Student experience (%),77.9,2014,London South Bank University,77.9,75.0,5.0,10004078,London South Bank University,
Student experience (%),79.5,2014,Teesside University,79.5,39.0,7.0,10007161,Teesside University,
Student experience (%),78.3,2014,University of Hertfordshire,78.3,64.0,5.0,10007147,University of Hertfordshire,
Student experience (%),79.0,2014,Solent University,79.0,50.0,6.0,10006022,Southampton Solent University,
Student experience (%),82.3,2014,Royal Agricultural University,82.3,12.0,10.0,10005545,Royal Agricultural College,
Student experience (%),78.6,2014,University of Derby,78.6,59.0,6.0,10007851,University of Derby,
Student experience (%),82.8,2014,University of Worcester,82.8,8.0,10.0,10007139,University of Worcester,
Student experience (%),75.4,2014,Bournemouth University,75.4,105.0,2.0,10000824,Bournemouth University,
Student experience (%),78.0,2014,University of Gloucestershire,78.0,70.0,5.0,10007145,University of Gloucestershire,
Student experience (%),77.3,2014,Birmingham City University,77.3,83.0,4.0,10007140,Birmingham City University,
Student experience (%),76.5,2014,Glasgow Caledonian University,76.5,94.0,3.0,10007762,Glasgow Caledonian University,
Student experience (%),81.3,2014,Abertay University,81.3,20.0,9.0,10007849,University of Abertay Dundee,
Student experience (%),78.5,2014,University of Winchester,78.5,62.0,6.0,10003614,University of Winchester,
Student experience (%),73.4,2014,Brunel University London,73.4,117.0,1.0,10000961,Brunel University,
Student experience (%),75.9,2014,Edinburgh Napier University,75.9,99.0,3.0,10007772,Edinburgh Napier University,
Student experience (%),82.7,2014,Plymouth Marjon University,82.7,9.0,10.0,10037449,University of St Mark & St John,
Student experience (%),78.6,2014,University of Wales Trinity St David,78.6,59.0,6.0,10007858,University of Wales: Trinity Saint David,
Student experience (%),75.8,2014,Bishop Grosseteste University,75.8,100.0,2.0,10007811,Bishop Grosseteste University College Lincoln,
Student experience (%),74.3,2014,University of Bradford,74.3,111.0,2.0,10007785,University of Bradford,
Student experience (%),78.3,2014,Kingston University,78.3,64.0,5.0,10003678,Kingston University,
Student experience (%),74.0,2014,Middlesex University,74.0,114.0,1.0,10004351,Middlesex University,
Student experience (%),78.0,2014,University of the West of Scotland,78.0,70.0,5.0,10007800,University of the West of Scotland,
Student experience (%),77.2,2014,University of Sunderland,77.2,85.0,4.0,10007159,University of Sunderland,
Student experience (%),72.2,2014,Bath Spa University,72.2,120.0,1.0,10000571,Bath Spa University,
Student experience (%),76.8,2014,University of Salford,76.8,92.0,3.0,10007156,University of Salford,
Student experience (%),80.0,2014,Cardiff Metropolitan University,80.0,31.0,8.0,10007854,Cardiff Metropolitan University,
Student experience (%),79.7,2014,Bucks New University,79.7,38.0,8.0,10000975,Buckinghamshire New University,
Student experience (%),79.5,2014,University of South Wales,79.5,39.0,7.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Student experience (%),81.2,2014,Newman University,81.2,21.0,9.0,10007832,Newman University College,
Student experience (%),73.9,2014,University of Northampton,73.9,115.0,1.0,10007138,The University of Northampton,
Student experience (%),74.8,2014,Leeds Trinity University,74.8,110.0,2.0,10003863,Leeds Trinity University College,
Student experience (%),75.7,2014,Canterbury Christ Church University,75.7,102.0,2.0,10001143,Canterbury Christ Church University,
Student experience (%),75.1,2014,University of Westminster,75.1,108.0,2.0,10007165,The University of Westminster,
Student experience (%),79.0,2014,Anglia Ruskin University,79.0,50.0,7.0,10000291,Anglia Ruskin University,
Student experience (%),73.8,2014,University of Cumbria,73.8,116.0,1.0,10007842,The University of Cumbria,
Student experience (%),75.8,2014,University of Brighton,75.8,100.0,3.0,10000886,University of Brighton,
Student experience (%),79.3,2014,Leeds Beckett University,79.3,41.0,7.0,10003861,Leeds Metropolitan University,
Student experience (%),78.8,2014,University of Wolverhampton,78.8,56.0,6.0,10007166,University of Wolverhampton,
Student experience (%),82.1,2014,University of Bolton,82.1,13.0,10.0,10006841,The University of Bolton,
Student experience (%),75.7,2014,London Metropolitan University,75.7,102.0,2.0,10004048,London Metropolitan University,
Student experience (%),76.1,2014,University of East London,76.1,98.0,3.0,10007144,University of East London,
Student experience (%),77.4,2014,University of Bedfordshire,77.4,81.0,4.0,10007152,University of Bedfordshire,
Student experience (%),74.3,2014,Wrexham Glyndwr University,74.3,111.0,2.0,10007833,Glyndwr University,
Research quality (%),40.4,2014,University of St Andrews,40.4,9.0,10.0,10007803,University of St Andrews,
Research quality (%),56.2,2014,Imperial College London,56.2,1.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",1.0
Research quality (%),36.3,2014,Loughborough University,36.3,28.0,8.0,10004113,Loughborough University,
Research quality (%),52.8,2014,London School of Economics and Political Science,52.8,2.0,10.0,10004063,London School of Economics & Political Science,2.0
Research quality (%),39.0,2014,Durham University,39.0,14.0,9.0,10007143,University of Durham,12.0
Research quality (%),39.1,2014,Lancaster University,39.1,13.0,10.0,10007768,University of Lancaster,
Research quality (%),51.0,2014,University College London,51.0,3.0,10.0,10007784,University College London,3.0
Research quality (%),44.6,2014,University of Warwick,44.6,6.0,10.0,10007163,University of Warwick,6.0
Research quality (%),37.3,2014,University of Bath,37.3,22.0,9.0,10007850,University of Bath (The),
Research quality (%),38.0,2014,University of Exeter,38.0,16.0,9.0,10007792,University of Exeter,14.0
Research quality (%),36.8,2014,University of Leeds,36.8,25.0,9.0,10007795,University of Leeds,20.0
Research quality (%),37.1,2014,University of Birmingham,37.1,24.0,9.0,10006840,University of Birmingham,19.0
Research quality (%),47.3,2014,University of Bristol,47.3,4.0,10.0,10007786,University of Bristol,4.0
Research quality (%),39.9,2014,University of Glasgow,39.9,10.0,10.0,10007794,University of Glasgow,9.0
Research quality (%),5.7,2014,Harper Adams University,5.7,83.0,4.0,10040812,Harper Adams University,
Research quality (%),39.8,2014,University of Manchester,39.8,11.0,10.0,10007798,The University of Manchester,10.0
Research quality (%),36.3,2014,"Royal Holloway, University of London",36.3,28.0,8.0,10005553,Royal Holloway College and Bedford New College,
Research quality (%),44.9,2014,University of Southampton,44.9,5.0,10.0,10007158,University of Southampton,5.0
Research quality (%),37.8,2014,University of Nottingham,37.8,18.0,9.0,10007154,University of Nottingham,16.0
Research quality (%),38.3,2014,University of York,38.3,15.0,9.0,10007167,University of York,13.0
Research quality (%),35.8,2014,University of East Anglia,35.8,30.0,8.0,10007789,University of East Anglia,
Research quality (%),31.2,2014,University of Dundee,31.2,39.0,7.0,10007852,University of Dundee,
Research quality (%),43.8,2014,University of Edinburgh,43.8,8.0,10.0,10007790,University of Edinburgh,8.0
Research quality (%),37.6,2014,University of Sheffield,37.6,21.0,9.0,10007157,University of Sheffield,18.0
