Metric,Value,Year,Institution,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Completion rate (%),89.3,2015,University of Southampton,89.3,41.0,7.0,10007158,University of Southampton,22.0
Completion rate (%),93.8,2015,University of Nottingham,93.8,12.0,10.0,10007154,University of Nottingham,10.0
Completion rate (%),92.8,2015,University of York,92.8,18.0,9.0,10007167,University of York,13.0
Completion rate (%),90.7,2015,University of East Anglia,90.7,33.0,8.0,10007789,University of East Anglia,
Completion rate (%),88.5,2015,University of Dundee,88.5,45.0,7.0,10007852,University of Dundee,
Completion rate (%),92.1,2015,University of Edinburgh,92.1,23.0,9.0,10007790,University of Edinburgh,16.0
Completion rate (%),92.8,2015,University of Sheffield,92.8,18.0,9.0,10007157,University of Sheffield,13.0
Completion rate (%),90.2,2015,University of Aberdeen,90.2,35.0,8.0,10007783,University of Aberdeen,
Completion rate (%),95.1,2015,Newcastle University,95.1,8.0,10.0,10007799,University of Newcastle Upon Tyne,6.0
Completion rate (%),92.9,2015,University of Liverpool,92.9,16.0,9.0,10006842,University of Liverpool,11.0
Completion rate (%),91.8,2015,King's College London,91.8,27.0,8.0,10003645,King's College London,17.0
Completion rate (%),90.8,2015,Swansea University,90.8,32.0,8.0,10007855,Swansea University,
Completion rate (%),92.6,2015,University of Surrey,92.6,20.0,9.0,10007160,University of Surrey,
Completion rate (%),86.8,2015,Heriot-Watt University,86.8,52.0,6.0,10007764,Heriot-Watt University,
Completion rate (%),91.8,2015,Cardiff University,91.8,27.0,8.0,10007814,Cardiff University,17.0
Completion rate (%),91.8,2015,"Queen's University, Belfast",91.8,27.0,8.0,10005343,The Queen's University of Belfast,17.0
Completion rate (%),88.5,2015,University of Strathclyde,88.5,45.0,7.0,10007805,University of Strathclyde,
Completion rate (%),85.4,2015,University of Essex,85.4,61.0,6.0,10007791,University of Essex,
Completion rate (%),93.0,2015,University of Reading,93.0,15.0,9.0,10007802,University of Reading,
Completion rate (%),90.7,2015,University of Sussex,90.7,33.0,8.0,10007806,University of Sussex,
Completion rate (%),87.6,2015,Nottingham Trent University,87.6,51.0,6.0,10004797,Nottingham Trent University,
Completion rate (%),92.3,2015,University of Leicester,92.3,22.0,9.0,10007796,University of Leicester,
Completion rate (%),80.1,2015,University for the Creative Arts,80.1,98.0,3.0,10006427,University for the Creative Arts,
Completion rate (%),90.0,2015,Arts University Bournemouth,90.0,37.0,8.0,10000385,The Arts University College at Bournemouth,
Completion rate (%),81.4,2015,SOAS University of London,81.4,89.0,3.0,10007780,School of Oriental and African Studies,
Completion rate (%),81.6,2015,Aberystwyth University,81.6,88.0,3.0,10007856,Prifysgol Aberystwyth,
Completion rate (%),88.7,2015,Keele University,88.7,43.0,7.0,10007767,University of Keele,
Completion rate (%),86.7,2015,University of Stirling,86.7,55.0,6.0,10007804,University of Stirling,
Completion rate (%),92.0,2015,Aston University,92.0,26.0,8.0,10007759,Aston University,
Completion rate (%),89.9,2015,"Queen Mary, University of London",89.9,38.0,8.0,10007775,"Queen Mary and Westfield College, University of London",20.0
Completion rate (%),83.9,2015,Coventry University,83.9,72.0,5.0,10001726,Coventry University,
Completion rate (%),88.1,2015,University of Lincoln,88.1,48.0,7.0,10007151,University of Lincoln,
Completion rate (%),78.1,2015,University of West London,78.1,112.0,2.0,10006566,The University of West London,
Completion rate (%),78.4,2015,Staffordshire University,78.4,108.0,2.0,10006299,Staffordshire University,
Completion rate (%),89.0,2015,University of Kent,89.0,42.0,7.0,10007150,University of Kent,
Completion rate (%),85.1,2015,Edge Hill University,85.1,64.0,5.0,10007823,Edge Hill University,
Completion rate (%),85.4,2015,University of Portsmouth,85.4,61.0,6.0,10007155,University of Portsmouth,
Completion rate (%),83.3,2015,Ulster University,83.3,77.0,4.0,10007807,University of Ulster,
Completion rate (%),84.3,2015,University of the West of England,84.3,67.0,5.0,10007164,"University of the West of England, Bristol",
Completion rate (%),79.9,2015,Liverpool Hope University,79.9,99.0,3.0,10003956,Liverpool Hope University,
Completion rate (%),84.2,2015,University of Huddersfield,84.2,68.0,5.0,10007148,University of Huddersfield,
Completion rate (%),83.5,2015,Manchester Metropolitan University,83.5,76.0,4.0,10004180,The Manchester Metropolitan University,
Completion rate (%),88.6,2015,Norwich University of the Arts,88.6,44.0,7.0,10004775,Norwich University College of the Arts,
Completion rate (%),89.6,2015,Oxford Brookes University,89.6,40.0,7.0,10004930,Oxford Brookes University,
Completion rate (%),84.0,2015,Northumbria University,84.0,71.0,5.0,10001282,University of Northumbria at Newcastle,
Completion rate (%),85.7,2015,Sheffield Hallam University,85.7,60.0,6.0,10005790,Sheffield Hallam University,
Completion rate (%),93.3,2015,"St George's, University of London",93.3,14.0,9.0,10007782,St George's Hospital Medical School,
Completion rate (%),78.5,2015,"Goldsmiths, University of London",78.5,107.0,2.0,10002718,Goldsmiths' College,
Completion rate (%),74.3,2015,University of Roehampton,74.3,121.0,1.0,10007776,Roehampton University,
Completion rate (%),84.1,2015,Bangor University,84.1,69.0,5.0,10007857,Bangor University,
Completion rate (%),88.0,2015,University of Chichester,88.0,49.0,7.0,10007137,The University of Chichester,
Completion rate (%),86.8,2015,Falmouth University,86.8,52.0,6.0,10008640,University College Falmouth,
Completion rate (%),88.5,2015,"City, University of London",88.5,45.0,7.0,10001478,The City University,
Completion rate (%),85.0,2015,De Montfort University,85.0,65.0,5.0,10001883,De Montfort University,
Completion rate (%),79.6,2015,University of Central Lancashire,79.6,102.0,2.0,10007141,University of Central Lancashire,
Completion rate (%),83.6,2015,Plymouth University,83.6,75.0,5.0,10007801,University of Plymouth,
Completion rate (%),83.0,2015,University of Hull,83.0,78.0,4.0,10007149,University of Hull,
Completion rate (%),84.7,2015,Liverpool John Moores University,84.7,66.0,5.0,10003957,Liverpool John Moores University,
Completion rate (%),86.2,2015,"University of the Arts, London",86.2,58.0,6.0,10007162,"University of the Arts, London",
Completion rate (%),80.5,2015,University of Chester,80.5,96.0,3.0,10007848,University of Chester,
Completion rate (%),87.7,2015,York St John University,87.7,50.0,7.0,10007713,York St John University,
Completion rate (%),81.9,2015,"Queen Margaret University, Edinburgh",81.9,85.0,4.0,10005337,"Queen Margaret University, Edinburgh",
Completion rate (%),86.8,2015,Robert Gordon University,86.8,52.0,6.0,10005500,The Robert Gordon University,
Completion rate (%),82.0,2015,University of Greenwich,82.0,84.0,4.0,10007146,University of Greenwich,
Completion rate (%),81.0,2015,"St Mary's University, Twickenham",81.0,91.0,3.0,10007843,"St Mary's University College, Twickenham",
Completion rate (%),77.5,2015,London South Bank University,77.5,114.0,1.0,10004078,London South Bank University,
Completion rate (%),79.8,2015,Teesside University,79.8,100.0,2.0,10007161,Teesside University,
Completion rate (%),83.7,2015,University of Hertfordshire,83.7,73.0,5.0,10007147,University of Hertfordshire,
Completion rate (%),77.9,2015,Solent University,77.9,113.0,1.0,10006022,Southampton Solent University,
Completion rate (%),91.2,2015,Royal Agricultural University,91.2,31.0,8.0,10005545,Royal Agricultural College,
Completion rate (%),79.1,2015,University of Derby,79.1,105.0,2.0,10007851,University of Derby,
Completion rate (%),81.8,2015,University of Worcester,81.8,86.0,4.0,10007139,University of Worcester,
Completion rate (%),85.3,2015,Bournemouth University,85.3,63.0,5.0,10000824,Bournemouth University,
Completion rate (%),80.9,2015,University of Gloucestershire,80.9,92.0,3.0,10007145,University of Gloucestershire,
Completion rate (%),82.6,2015,Birmingham City University,82.6,81.0,4.0,10007140,Birmingham City University,
Completion rate (%),83.7,2015,Glasgow Caledonian University,83.7,73.0,5.0,10007762,Glasgow Caledonian University,
Completion rate (%),77.4,2015,Abertay University,77.4,115.0,1.0,10007849,University of Abertay Dundee,
Completion rate (%),86.3,2015,University of Winchester,86.3,57.0,6.0,10003614,University of Winchester,
Completion rate (%),86.5,2015,Brunel University London,86.5,56.0,6.0,10000961,Brunel University,
Completion rate (%),82.2,2015,Edinburgh Napier University,82.2,83.0,4.0,10007772,Edinburgh Napier University,
Completion rate (%),78.4,2015,Plymouth Marjon University,78.4,108.0,2.0,10037449,University of St Mark & St John,
Completion rate (%),77.2,2015,University of Wales Trinity St David,77.2,116.0,1.0,10007858,University of Wales: Trinity Saint David,
Completion rate (%),90.2,2015,Bishop Grosseteste University,90.2,35.0,8.0,10007811,Bishop Grosseteste University College Lincoln,
Completion rate (%),83.0,2015,University of Bradford,83.0,78.0,4.0,10007785,University of Bradford,
Completion rate (%),84.1,2015,Kingston University,84.1,69.0,5.0,10003678,Kingston University,
Completion rate (%),78.9,2015,Middlesex University,78.9,106.0,2.0,10004351,Middlesex University,
Completion rate (%),80.9,2015,University of the West of Scotland,80.9,92.0,3.0,10007800,University of the West of Scotland,
Completion rate (%),80.4,2015,University of Sunderland,80.4,97.0,3.0,10007159,University of Sunderland,
Completion rate (%),86.2,2015,Bath Spa University,86.2,58.0,6.0,10000571,Bath Spa University,
Completion rate (%),78.3,2015,University of Salford,78.3,110.0,2.0,10007156,University of Salford,
Completion rate (%),79.6,2015,Cardiff Metropolitan University,79.6,102.0,2.0,10007854,Cardiff Metropolitan University,
Completion rate (%),79.3,2015,Bucks New University,79.3,104.0,2.0,10000975,Buckinghamshire New University,
Completion rate (%),79.8,2015,University of South Wales,79.8,100.0,3.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Completion rate (%),76.6,2015,Newman University,76.6,117.0,1.0,10007832,Newman University College,
Completion rate (%),80.6,2015,University of Northampton,80.6,94.0,3.0,10007138,The University of Northampton,
Completion rate (%),82.4,2015,Leeds Trinity University,82.4,82.0,4.0,10003863,Leeds Trinity University College,
Completion rate (%),80.6,2015,Canterbury Christ Church University,80.6,94.0,3.0,10001143,Canterbury Christ Church University,
Completion rate (%),81.7,2015,University of Westminster,81.7,87.0,4.0,10007165,The University of Westminster,
Completion rate (%),78.2,2015,Anglia Ruskin University,78.2,111.0,2.0,10000291,Anglia Ruskin University,
Completion rate (%),82.7,2015,University of Cumbria,82.7,80.0,4.0,10007842,The University of Cumbria,
Completion rate (%),81.3,2015,University of Brighton,81.3,90.0,3.0,10000886,University of Brighton,
Completion rate (%),76.4,2015,Leeds Beckett University,76.4,118.0,1.0,10003861,Leeds Metropolitan University,
Completion rate (%),72.9,2015,University of Wolverhampton,72.9,122.0,1.0,10007166,University of Wolverhampton,
Completion rate (%),72.8,2015,University of Bolton,72.8,123.0,1.0,10006841,The University of Bolton,
Completion rate (%),65.7,2015,London Metropolitan University,65.7,125.0,1.0,10004048,London Metropolitan University,
Completion rate (%),75.5,2015,University of East London,75.5,119.0,1.0,10007144,University of East London,
Completion rate (%),66.3,2015,University of Bedfordshire,66.3,124.0,1.0,10007152,University of Bedfordshire,
Completion rate (%),74.8,2015,Wrexham Glyndwr University,74.8,120.0,1.0,10007833,Glyndwr University,
Services/facilities spend (£),"3,220",2015,University of St Andrews,3220.0,6.0,10.0,10007803,University of St Andrews,
Services/facilities spend (£),"3,767",2015,Imperial College London,3767.0,2.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",1.0
Services/facilities spend (£),"3,286",2015,Loughborough University,3286.0,5.0,10.0,10004113,Loughborough University,
Services/facilities spend (£),"2,968",2015,London School of Economics and Political Science,2968.0,15.0,9.0,10004063,London School of Economics & Political Science,7.0
Services/facilities spend (£),"3,052",2015,Durham University,3052.0,10.0,10.0,10007143,University of Durham,3.0
Services/facilities spend (£),"3,427",2015,Lancaster University,3427.0,4.0,10.0,10007768,University of Lancaster,
Services/facilities spend (£),"2,671",2015,University College London,2671.0,29.0,8.0,10007784,University College London,8.0
Services/facilities spend (£),"2,537",2015,University of Warwick,2537.0,43.0,7.0,10007163,University of Warwick,12.0
Services/facilities spend (£),"2,541",2015,University of Bath,2541.0,42.0,7.0,10007850,University of Bath (The),
Services/facilities spend (£),"2,987",2015,University of Exeter,2987.0,14.0,9.0,10007792,University of Exeter,6.0
Services/facilities spend (£),"3,043",2015,University of Leeds,3043.0,11.0,10.0,10007795,University of Leeds,4.0
Services/facilities spend (£),"3,036",2015,University of Birmingham,3036.0,12.0,10.0,10006840,University of Birmingham,5.0
Services/facilities spend (£),"2,309",2015,University of Bristol,2309.0,64.0,5.0,10007786,University of Bristol,18.0
Services/facilities spend (£),"2,549",2015,University of Glasgow,2549.0,41.0,7.0,10007794,University of Glasgow,11.0
Services/facilities spend (£),"3,793",2015,Harper Adams University,3793.0,1.0,10.0,10040812,Harper Adams University,
Services/facilities spend (£),"3,144",2015,University of Manchester,3144.0,8.0,10.0,10007798,The University of Manchester,2.0
Services/facilities spend (£),"2,802",2015,"Royal Holloway, University of London",2802.0,20.0,9.0,10005553,Royal Holloway College and Bedford New College,
Services/facilities spend (£),"2,454",2015,University of Southampton,2454.0,48.0,7.0,10007158,University of Southampton,13.0
Services/facilities spend (£),"2,663",2015,University of Nottingham,2663.0,33.0,8.0,10007154,University of Nottingham,10.0
Services/facilities spend (£),"1,810",2015,University of York,1810.0,106.0,2.0,10007167,University of York,22.0
Services/facilities spend (£),"2,842",2015,University of East Anglia,2842.0,17.0,9.0,10007789,University of East Anglia,
Services/facilities spend (£),"2,517",2015,University of Dundee,2517.0,44.0,7.0,10007852,University of Dundee,
Services/facilities spend (£),"2,169",2015,University of Edinburgh,2169.0,75.0,5.0,10007790,University of Edinburgh,21.0
Services/facilities spend (£),"2,290",2015,University of Sheffield,2290.0,66.0,5.0,10007157,University of Sheffield,20.0
Services/facilities spend (£),"2,445",2015,University of Aberdeen,2445.0,49.0,7.0,10007783,University of Aberdeen,
Services/facilities spend (£),"2,304",2015,Newcastle University,2304.0,65.0,5.0,10007799,University of Newcastle Upon Tyne,19.0
Services/facilities spend (£),"2,445",2015,University of Liverpool,2445.0,49.0,7.0,10006842,University of Liverpool,14.0
Services/facilities spend (£),"2,670",2015,King's College London,2670.0,30.0,8.0,10003645,King's College London,9.0
Services/facilities spend (£),"2,372",2015,Swansea University,2372.0,58.0,6.0,10007855,Swansea University,
Services/facilities spend (£),"2,678",2015,University of Surrey,2678.0,27.0,8.0,10007160,University of Surrey,
Services/facilities spend (£),"3,217",2015,Heriot-Watt University,3217.0,7.0,10.0,10007764,Heriot-Watt University,
Services/facilities spend (£),"2,379",2015,Cardiff University,2379.0,57.0,6.0,10007814,Cardiff University,16.0
Services/facilities spend (£),"2,416",2015,"Queen's University, Belfast",2416.0,54.0,6.0,10005343,The Queen's University of Belfast,15.0
Services/facilities spend (£),"1,867",2015,University of Strathclyde,1867.0,100.0,3.0,10007805,University of Strathclyde,
Services/facilities spend (£),"3,521",2015,University of Essex,3521.0,3.0,10.0,10007791,University of Essex,
Services/facilities spend (£),"2,785",2015,University of Reading,2785.0,21.0,9.0,10007802,University of Reading,
Services/facilities spend (£),"2,678",2015,University of Sussex,2678.0,27.0,8.0,10007806,University of Sussex,
Services/facilities spend (£),"2,434",2015,Nottingham Trent University,2434.0,51.0,6.0,10004797,Nottingham Trent University,
Services/facilities spend (£),"2,749",2015,University of Leicester,2749.0,23.0,9.0,10007796,University of Leicester,
Services/facilities spend (£),"2,666",2015,University for the Creative Arts,2666.0,32.0,8.0,10006427,University for the Creative Arts,
Services/facilities spend (£),"1,730",2015,Arts University Bournemouth,1730.0,112.0,2.0,10000385,The Arts University College at Bournemouth,
Services/facilities spend (£),"2,608",2015,SOAS University of London,2608.0,37.0,8.0,10007780,School of Oriental and African Studies,
Services/facilities spend (£),"1,768",2015,Aberystwyth University,1768.0,110.0,2.0,10007856,Prifysgol Aberystwyth,
Services/facilities spend (£),"2,087",2015,Keele University,2087.0,85.0,4.0,10007767,University of Keele,
Services/facilities spend (£),"1,865",2015,University of Stirling,1865.0,101.0,2.0,10007804,University of Stirling,
Services/facilities spend (£),"1,983",2015,Aston University,1983.0,94.0,3.0,10007759,Aston University,
Services/facilities spend (£),"2,352",2015,"Queen Mary, University of London",2352.0,60.0,6.0,10007775,"Queen Mary and Westfield College, University of London",17.0
Services/facilities spend (£),"2,411",2015,Coventry University,2411.0,55.0,6.0,10001726,Coventry University,
Services/facilities spend (£),"2,123",2015,University of Lincoln,2123.0,79.0,4.0,10007151,University of Lincoln,
Services/facilities spend (£),"2,669",2015,University of West London,2669.0,31.0,8.0,10006566,The University of West London,
Services/facilities spend (£),"2,484",2015,Staffordshire University,2484.0,46.0,7.0,10006299,Staffordshire University,
Services/facilities spend (£),"1,827",2015,University of Kent,1827.0,105.0,2.0,10007150,University of Kent,
Services/facilities spend (£),"2,230",2015,Edge Hill University,2230.0,70.0,5.0,10007823,Edge Hill University,
Services/facilities spend (£),"2,222",2015,University of Portsmouth,2222.0,72.0,5.0,10007155,University of Portsmouth,
Services/facilities spend (£),"2,143",2015,Ulster University,2143.0,77.0,4.0,10007807,University of Ulster,
Services/facilities spend (£),"2,007",2015,University of the West of England,2007.0,92.0,3.0,10007164,"University of the West of England, Bristol",
Services/facilities spend (£),"2,103",2015,Liverpool Hope University,2103.0,82.0,4.0,10003956,Liverpool Hope University,
Services/facilities spend (£),"2,417",2015,University of Huddersfield,2417.0,53.0,6.0,10007148,University of Huddersfield,
Services/facilities spend (£),"2,719",2015,Manchester Metropolitan University,2719.0,25.0,9.0,10004180,The Manchester Metropolitan University,
Services/facilities spend (£),"2,638",2015,Norwich University of the Arts,2638.0,36.0,8.0,10004775,Norwich University College of the Arts,
Services/facilities spend (£),"2,248",2015,Oxford Brookes University,2248.0,67.0,5.0,10004930,Oxford Brookes University,
Services/facilities spend (£),"2,224",2015,Northumbria University,2224.0,71.0,5.0,10001282,University of Northumbria at Newcastle,
Services/facilities spend (£),"2,318",2015,Sheffield Hallam University,2318.0,63.0,5.0,10005790,Sheffield Hallam University,
Services/facilities spend (£),"2,560",2015,"St George's, University of London",2560.0,39.0,7.0,10007782,St George's Hospital Medical School,
Services/facilities spend (£),"2,902",2015,"Goldsmiths, University of London",2902.0,16.0,9.0,10002718,Goldsmiths' College,
Services/facilities spend (£),"2,759",2015,University of Roehampton,2759.0,22.0,9.0,10007776,Roehampton University,
Services/facilities spend (£),"1,714",2015,Bangor University,1714.0,113.0,1.0,10007857,Bangor University,
Services/facilities spend (£),"1,833",2015,University of Chichester,1833.0,104.0,2.0,10007137,The University of Chichester,
Services/facilities spend (£),"1,488",2015,Falmouth University,1488.0,122.0,1.0,10008640,University College Falmouth,
Services/facilities spend (£),"2,495",2015,"City, University of London",2495.0,45.0,7.0,10001478,The City University,
Services/facilities spend (£),"2,246",2015,De Montfort University,2246.0,68.0,5.0,10001883,De Montfort University,
Services/facilities spend (£),"2,241",2015,University of Central Lancashire,2241.0,69.0,5.0,10007141,University of Central Lancashire,
Services/facilities spend (£),"2,020",2015,Plymouth University,2020.0,90.0,3.0,10007801,University of Plymouth,
Services/facilities spend (£),"2,370",2015,University of Hull,2370.0,59.0,6.0,10007149,University of Hull,
Services/facilities spend (£),"1,802",2015,Liverpool John Moores University,1802.0,107.0,2.0,10003957,Liverpool John Moores University,
Services/facilities spend (£),"2,397",2015,"University of the Arts, London",2397.0,56.0,6.0,10007162,"University of the Arts, London",
Services/facilities spend (£),"2,803",2015,University of Chester,2803.0,18.0,9.0,10007848,University of Chester,
Services/facilities spend (£),"2,068",2015,York St John University,2068.0,87.0,4.0,10007713,York St John University,
Services/facilities spend (£),"1,775",2015,"Queen Margaret University, Edinburgh",1775.0,109.0,2.0,10005337,"Queen Margaret University, Edinburgh",
Services/facilities spend (£),"1,449",2015,Robert Gordon University,1449.0,125.0,1.0,10005500,The Robert Gordon University,
Services/facilities spend (£),"2,329",2015,University of Greenwich,2329.0,61.0,6.0,10007146,University of Greenwich,
Services/facilities spend (£),"1,741",2015,"St Mary's University, Twickenham",1741.0,111.0,2.0,10007843,"St Mary's University College, Twickenham",
Services/facilities spend (£),"2,156",2015,London South Bank University,2156.0,76.0,4.0,10004078,London South Bank University,
Services/facilities spend (£),"2,464",2015,Teesside University,2464.0,47.0,7.0,10007161,Teesside University,
Services/facilities spend (£),"2,700",2015,University of Hertfordshire,2700.0,26.0,8.0,10007147,University of Hertfordshire,
Services/facilities spend (£),"2,112",2015,Solent University,2112.0,81.0,4.0,10006022,Southampton Solent University,
Services/facilities spend (£),"2,803",2015,Royal Agricultural University,2803.0,18.0,9.0,10005545,Royal Agricultural College,
Services/facilities spend (£),"2,042",2015,University of Derby,2042.0,89.0,3.0,10007851,University of Derby,
Services/facilities spend (£),"1,629",2015,University of Worcester,1629.0,118.0,1.0,10007139,University of Worcester,
Services/facilities spend (£),"2,325",2015,Bournemouth University,2325.0,62.0,6.0,10000824,Bournemouth University,
Services/facilities spend (£),"2,055",2015,University of Gloucestershire,2055.0,88.0,3.0,10007145,University of Gloucestershire,
Services/facilities spend (£),"2,123",2015,Birmingham City University,2123.0,79.0,4.0,10007140,Birmingham City University,
Services/facilities spend (£),"1,651",2015,Glasgow Caledonian University,1651.0,117.0,1.0,10007762,Glasgow Caledonian University,
Services/facilities spend (£),"1,919",2015,Abertay University,1919.0,98.0,3.0,10007849,University of Abertay Dundee,
Services/facilities spend (£),"1,683",2015,University of Winchester,1683.0,115.0,1.0,10003614,University of Winchester,
Services/facilities spend (£),"2,418",2015,Brunel University London,2418.0,52.0,6.0,10000961,Brunel University,
Services/facilities spend (£),"2,136",2015,Edinburgh Napier University,2136.0,78.0,4.0,10007772,Edinburgh Napier University,
Services/facilities spend (£),"1,996",2015,Plymouth Marjon University,1996.0,93.0,3.0,10037449,University of St Mark & St John,
Services/facilities spend (£),"1,779",2015,University of Wales Trinity St David,1779.0,108.0,2.0,10007858,University of Wales: Trinity Saint David,
Services/facilities spend (£),"2,212",2015,Bishop Grosseteste University,2212.0,73.0,5.0,10007811,Bishop Grosseteste University College Lincoln,
Services/facilities spend (£),"2,076",2015,University of Bradford,2076.0,86.0,4.0,10007785,University of Bradford,
Services/facilities spend (£),"2,559",2015,Kingston University,2559.0,40.0,7.0,10003678,Kingston University,
Services/facilities spend (£),"3,030",2015,Middlesex University,3030.0,13.0,10.0,10004351,Middlesex University,
Services/facilities spend (£),"2,205",2015,University of the West of Scotland,2205.0,74.0,5.0,10007800,University of the West of Scotland,
Services/facilities spend (£),"2,657",2015,University of Sunderland,2657.0,34.0,8.0,10007159,University of Sunderland,
Services/facilities spend (£),"2,100",2015,Bath Spa University,2100.0,83.0,4.0,10000571,Bath Spa University,
Services/facilities spend (£),"1,980",2015,University of Salford,1980.0,95.0,3.0,10007156,University of Salford,
Services/facilities spend (£),"2,565",2015,Cardiff Metropolitan University,2565.0,38.0,8.0,10007854,Cardiff Metropolitan University,
Services/facilities spend (£),"2,647",2015,Bucks New University,2647.0,35.0,8.0,10000975,Buckinghamshire New University,
Services/facilities spend (£),"1,580",2015,University of South Wales,1580.0,121.0,1.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Services/facilities spend (£),"1,696",2015,Newman University,1696.0,114.0,1.0,10007832,Newman University College,
Services/facilities spend (£),"2,728",2015,University of Northampton,2728.0,24.0,9.0,10007138,The University of Northampton,
Services/facilities spend (£),"1,940",2015,Leeds Trinity University,1940.0,97.0,3.0,10003863,Leeds Trinity University College,
Services/facilities spend (£),"1,847",2015,Canterbury Christ Church University,1847.0,103.0,2.0,10001143,Canterbury Christ Church University,
Services/facilities spend (£),"1,857",2015,University of Westminster,1857.0,102.0,2.0,10007165,The University of Westminster,
Services/facilities spend (£),"1,464",2015,Anglia Ruskin University,1464.0,124.0,1.0,10000291,Anglia Ruskin University,
Services/facilities spend (£),"1,611",2015,University of Cumbria,1611.0,119.0,1.0,10007842,The University of Cumbria,
Services/facilities spend (£),"1,587",2015,University of Brighton,1587.0,120.0,1.0,10000886,University of Brighton,
Services/facilities spend (£),"1,954",2015,Leeds Beckett University,1954.0,96.0,3.0,10003861,Leeds Metropolitan University,
Services/facilities spend (£),"1,913",2015,University of Wolverhampton,1913.0,99.0,3.0,10007166,University of Wolverhampton,
Services/facilities spend (£),"1,488",2015,University of Bolton,1488.0,122.0,1.0,10006841,The University of Bolton,
Services/facilities spend (£),"3,129",2015,London Metropolitan University,3129.0,9.0,10.0,10004048,London Metropolitan University,
Services/facilities spend (£),"2,018",2015,University of East London,2018.0,91.0,3.0,10007144,University of East London,
Services/facilities spend (£),"2,089",2015,University of Bedfordshire,2089.0,84.0,4.0,10007152,University of Bedfordshire,
Services/facilities spend (£),"1,673",2015,Wrexham Glyndwr University,1673.0,116.0,1.0,10007833,Glyndwr University,
Total,944,2015,University of St Andrews,944.0,1.0,10.0,10007803,University of St Andrews,
Total,845,2015,Imperial College London,845.0,2.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",1.0
Total,834,2015,Loughborough University,834.0,3.0,10.0,10004113,Loughborough University,
Total,828,2015,London School of Economics and Political Science,828.0,4.0,10.0,10004063,London School of Economics & Political Science,2.0
Total,808,2015,Durham University,808.0,5.0,10.0,10007143,University of Durham,3.0
Total,801,2015,Lancaster University,801.0,6.0,10.0,10007768,University of Lancaster,
Total,780,2015,University College London,780.0,7.0,10.0,10007784,University College London,4.0
Total,778,2015,University of Warwick,778.0,8.0,10.0,10007163,University of Warwick,5.0
Total,777,2015,University of Bath,777.0,9.0,10.0,10007850,University of Bath (The),
Total,776,2015,University of Exeter,776.0,10.0,10.0,10007792,University of Exeter,6.0
Total,744,2015,University of Leeds,744.0,11.0,10.0,10007795,University of Leeds,7.0
Total,737,2015,University of Birmingham,737.0,12.0,10.0,10006840,University of Birmingham,8.0
Total,730,2015,University of Bristol,730.0,13.0,10.0,10007786,University of Bristol,9.0
Total,718,2015,University of Glasgow,718.0,14.0,9.0,10007794,University of Glasgow,10.0
Total,715,2015,Harper Adams University,715.0,15.0,9.0,10040812,Harper Adams University,
Total,708,2015,University of Manchester,708.0,16.0,9.0,10007798,The University of Manchester,11.0
Total,704,2015,"Royal Holloway, University of London",704.0,17.0,9.0,10005553,Royal Holloway College and Bedford New College,
Total,700,2015,University of Southampton,700.0,18.0,9.0,10007158,University of Southampton,12.0
Total,693,2015,University of Nottingham,693.0,19.0,9.0,10007154,University of Nottingham,13.0
Total,692,2015,University of York,692.0,20.0,9.0,10007167,University of York,14.0
Total,691,2015,University of East Anglia,691.0,21.0,9.0,10007789,University of East Anglia,
Total,690,2015,University of Dundee,690.0,22.0,9.0,10007852,University of Dundee,
Total,686,2015,University of Edinburgh,686.0,23.0,9.0,10007790,University of Edinburgh,15.0
Total,684,2015,University of Sheffield,684.0,24.0,9.0,10007157,University of Sheffield,16.0
Total,680,2015,University of Aberdeen,680.0,25.0,9.0,10007783,University of Aberdeen,
Total,677,2015,Newcastle University,677.0,26.0,8.0,10007799,University of Newcastle Upon Tyne,17.0
Total,656,2015,University of Liverpool,656.0,27.0,8.0,10006842,University of Liverpool,18.0
Total,654,2015,King's College London,654.0,28.0,8.0,10003645,King's College London,19.0
Total,653,2015,Swansea University,653.0,29.0,8.0,10007855,Swansea University,
Total,649,2015,University of Surrey,649.0,30.0,8.0,10007160,University of Surrey,
Total,648,2015,Heriot-Watt University,648.0,31.0,8.0,10007764,Heriot-Watt University,
Total,645,2015,Cardiff University,645.0,32.0,8.0,10007814,Cardiff University,20.0
Total,636,2015,"Queen's University, Belfast",636.0,33.0,8.0,10005343,The Queen's University of Belfast,21.0
Total,634,2015,University of Strathclyde,634.0,34.0,8.0,10007805,University of Strathclyde,
Total,630,2015,University of Essex,630.0,35.0,8.0,10007791,University of Essex,
Total,628,2015,University of Reading,628.0,36.0,8.0,10007802,University of Reading,
Total,628,2015,University of Sussex,628.0,36.0,8.0,10007806,University of Sussex,
Total,625,2015,Nottingham Trent University,625.0,38.0,8.0,10004797,Nottingham Trent University,
Total,619,2015,University of Leicester,619.0,39.0,7.0,10007796,University of Leicester,
Total,614,2015,University for the Creative Arts,614.0,40.0,7.0,10006427,University for the Creative Arts,
