aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Oxford,United Kingdom,0,University of Oxford,468,1,1,master_account,99.9,1,96.9,5,85.6,6,93.3,1,90.8,2,89.1,2,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,United States,0,Harvard University,466,2,2,private,98.9,3,39.4,43,66.3,19,92.5,2,96.3,1,92.6,1,"Medicine & Dentistry,Other Health",/world-university-rankings/harvard-university
Imperial College London,United Kingdom,0,Imperial College London,472,3,3,master_account,98.8,4,83.3,10,89.5,1,89.4,3,84.2,13,83.4,11,Medicine & Dentistry,/world-university-rankings/imperial-college-london
University of Cambridge,United Kingdom,0,University of Cambridge,470,4,4,master_account,99.1,2,50.9,23,81.3,9,88.6,4,88.5,4,80.8,17,Medicine & Dentistry,/world-university-rankings/university-cambridge
Johns Hopkins University,United States,0,Johns Hopkins University,478,5,5,private,96.4,10,99.9,1,64.1,22,88.4,5,87.2,7,85.1,8,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
Stanford University,United States,11,Stanford University,467,6,6,private,95.6,14,54.1,21,63.0,23,87.6,6,87.9,6,87.0,7,"Other Health,Medicine & Dentistry",/world-university-rankings/stanford-university
UCL ucl UCL,United Kingdom,0,UCL,481,7,7,master_account,94.7,17,47.7,25,86.9,4,87.2,7,85.4,10,83.3,12,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
Yale University,United States,0,Yale University,475,8,8,private,90.8,26,42.6,33,65.5,21,85.2,8,85.0,11,87.4,6,Other Health,/world-university-rankings/yale-university
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,9,9,public,95.1,16,-,47,39.1,41,85.1,9,86.2,9,87.5,4,"Medicine & Dentistry,Other Health",/world-university-rankings/university-california-los-angeles
Duke University,United States,0,Duke University,487,10,10,private,96.9,9,98.9,3,48.7,32,84.3,10,82.6,15,78.4,21,,/world-university-rankings/duke-university
McGill University,Canada,0,McGill University,492,11,11,master_account,86.5,30,40.3,39,65.9,20,84.2,11,86.4,8,88.3,3,"Other Health,Medicine & Dentistry",/world-university-rankings/mcgill-university
Washington University in St Louis,United States,11,Washington University in St Louis,505,12,12,private,94.6,19,-,50,62.0,26,83.0,12,77.0,23,82.5,14,"Other Health,Medicine & Dentistry",/world-university-rankings/washington-university-st-louis
University of Pennsylvania,United States,0,University of Pennsylvania,480,13,13,private,94.7,18,43.3,30,35.2,43,82.9,13,82.5,16,84.8,9,"Other Health,Medicine & Dentistry",/world-university-rankings/university-pennsylvania
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,14,14,master_account,85.4,32,58.5,19,76.1,11,82.8,14,84.9,12,81.3,16,"Medicine & Dentistry,Other Health",/world-university-rankings/university-melbourne
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,15,15,public,93.2,23,46.5,28,44.0,36,82.6,15,82.4,18,83.1,13,"Medicine & Dentistry,Other Health",/world-university-rankings/university-michigan-ann-arbor
McMaster University,Canada,11,McMaster University,529,16,16,master_account,97.3,8,97.6,4,72.2,14,82.5,16,72.8,26,74.7,26,"Medicine & Dentistry,Other Health",/world-university-rankings/mcmaster-university
