aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,1,1,private,98.3,12,87.6,6,56.5,30,94.6,1,98.7,4,96.7,1,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/california-institute-technology
Princeton University,,United States,0,Princeton University,469,1,1,private,99.2,10,92.3,3,58.8,28,94.6,2,98.8,2,94.3,3,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/princeton-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,3,3,public,97.9,15,100.0,1,68.5,19,94.0,3,99.2,1,90.3,8,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/university-california-berkeley
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,4,4,private,98.8,11,65.5,15,78.3,11,93.0,4,91.1,10,93.9,4,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,5,5,private,99.3,9,62.0,18,48.4,40,92.8,5,98.8,3,93.5,5,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemistry,Physics & Astronomy",/world-university-rankings/stanford-university
Harvard University,,United States,0,Harvard University,466,6,6,private,99.7,3,43.5,26,59.3,27,92.5,6,95.0,5,94.3,2,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/harvard-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,7,7,master_account,92.4,23,75.9,11,81.2,10,90.9,7,91.8,8,92.1,6,Mathematics & Statistics,/world-university-rankings/university-cambridge
University of Chicago,,United States,11,University of Chicago,473,8,8,private,99.9,1,-,47,73.4,13,89.9,8,85.9,13,87.0,13,"Mathematics & Statistics,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-chicago
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,9,public,97.0,17,-,46,60.0,25,88.7,9,91.8,7,85.6,14,"Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy,Chemistry",/world-university-rankings/university-california-los-angeles
University of Oxford,,United Kingdom,0,University of Oxford,468,10,10,master_account,86.3,35,65.6,14,84.9,8,87.5,10,88.8,11,90.4,7,"Mathematics & Statistics,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-oxford
ETH Zurich,,Switzerland,0,ETH Zurich,479,11,11,master_account,78.9,43,-,45,96.0,2,86.7,11,92.1,6,89.6,9,"Physics & Astronomy,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/eth-zurich
Yale University,,United States,0,Yale University,475,12,12,private,95.8,19,32.3,39,58.4,29,86.5,12,86.3,12,87.5,12,"Physics & Astronomy,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/yale-university
Cornell University,,United States,0,Cornell University,484,13,13,private,97.1,16,-,44,53.1,34,85.6,13,85.0,15,83.0,15,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/cornell-university
Imperial College London,,United Kingdom,0,Imperial College London,472,14,14,master_account,81.7,40,71.5,12,86.4,7,84.9,14,85.2,14,89.3,11,"Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/imperial-college-london
University of Washington,,United States,0,University of Washington,489,15,15,public,99.5,5,39.0,35,47.7,41,81.2,15,76.3,22,75.7,18,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/university-washington
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,16,16,public,92.3,24,39.5,31,71.4,17,80.2,16,77.0,21,74.0,20,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-michigan-ann-arbor
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,17,17,master_account,94.1,21,34.7,36,53.0,35,79.8,17,75.1,23,77.6,16,"Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/lmu-munich
University of Toronto,,Canada,0,University of Toronto,483,18,18,master_account,89.0,30,30.9,41,68.2,20,79.1,18,78.9,19,74.0,21,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-toronto
"University of California, Santa Barbara",,United States,0,"University of California, Santa Barbara",499,19,19,public,99.8,2,91.5,5,52.7,36,77.5,19,73.3,24,58.9,31,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-california-santa-barbara
The University of Tokyo,,Japan,0,The University of Tokyo,494,20,20,master_account,69.4,47,64.0,17,23.0,49,77.4,20,91.7,9,89.4,10,"Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/university-tokyo
University of Texas at Austin,,United States,0,University of Texas at Austin,493,21,21,public,88.5,31,91.9,4,51.4,38,77.1,21,79.5,16,65.7,29,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-texas-austin
École Polytechnique,,France,6,École Polytechnique,527,22,22,master_account,81.7,39,56.3,20,82.3,9,74.0,22,63.8,29,73.7,22,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/ecole-polytechnique
University of Illinois at Urbana-Champaign,,United States,0,University of Illinois at Urbana-Champaign,495,22,22,public,83.1,37,-,49,50.5,39,74.0,23,77.9,20,66.7,26,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-illinois-urbana-champaign
