aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
鲁汶大学,,Belgium,11,KU Leuven,531,38,38,master_account,77.0,34,100.0,2,57.7,27,60.5,38,47.0,45,50.0,41,"Agriculture & Forestry,Biological Sciences,Sport Science",/world-university-rankings/ku-leuven
伊利诺伊大学香槟——厄巴纳分校,,United States,0,University of Illinois at Urbana-Champaign,495,39,39,public,72.1,39,-,49,44.7,34,60.4,40,58.8,34,53.0,40,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-illinois-urbana-champaign
Penn State (Main campus)  ,,United States,0,Penn State (Main campus)  ,515,39,39,public,88.0,19,69.9,12,27.9,44,60.4,39,50.3,42,43.2,48,"Sport Science,Veterinary Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/penn-state-main-campus
University of Minnesota,,United States,0,University of Minnesota,506,41,41,public,69.3,42,-,50,24.1,46,60.0,42,61.9,32,58.8,32,"Sport Science,Veterinary Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-minnesota
University of Lausanne,,Switzerland,0,University of Lausanne,580,41,41,master_account,91.4,17,52.6,21,97.3,1,60.0,41,34.4,50,36.0,50,"Sport Science,Biological Sciences",/world-university-rankings/university-lausanne
University of Glasgow,,United Kingdom,1,University of Glasgow,566,43,43,master_account,79.3,32,49.8,24,70.3,19,59.3,43,46.4,46,44.7,46,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-glasgow
National University of Singapore nus,,Singapore,6,National University of Singapore,504,44,44,master_account,55.7,48,65.1,14,95.5,3,59.2,44,54.3,39,58.3,33,Biological Sciences,/world-university-rankings/national-university-singapore
伦敦国王学院,,United Kingdom,11,King’s College London,520,45,45,master_account,78.3,33,38.9,29,81.1,12,58.8,45,39.8,48,48.8,43,Biological Sciences,/world-university-rankings/kings-college-london
Lund University,,Sweden,0,Lund University,544,45,45,master_account,59.2,47,36.3,34,74.1,17,58.8,46,57.0,36,58.2,34,Biological Sciences,/world-university-rankings/lund-university
University of Sydney UniSyd,,Australia,11,University of Sydney,522,45,45,master_account,46.6,50,95.0,6,81.2,11,58.8,47,64.1,30,59.6,31,"Sport Science,Agriculture & Forestry,Veterinary Science,Biological Sciences",/world-university-rankings/university-sydney
Osaka University,,Japan,0,Osaka University,583,48,48,master_account,65.5,44,93.1,7,20.8,50,58.4,48,57.3,35,57.4,35,"Biological Sciences,Sport Science",/world-university-rankings/osaka-university
University of Bristol,,United Kingdom,11,University of Bristol,530,49,49,master_account,84.1,27,28.4,43,56.5,28,58.2,49,42.0,47,44.4,47,"Biological Sciences,Veterinary Science",/world-university-rankings/university-bristol
Boston University,,United States,0,Boston University,518,50,50,private,91.4,16,26.1,44,30.7,43,57.8,50,36.0,49,47.0,45,Biological Sciences,/world-university-rankings/boston-university
