aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,1,1,private,99.0,5,93.1,12,42.1,36,92.7,1,95.4,4,96.9,1,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/california-institute-technology
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,1,1,private,99.6,2,87.5,13,73.1,16,92.7,2,89.1,13,95.8,2,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
Princeton University,United States,0,Princeton University,469,3,3,private,99.6,3,96.0,7,47.1,33,92.4,3,95.8,3,93.2,6,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/princeton-university
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,4,4,public,98.0,6,59.4,24,61.3,24,91.7,4,99.3,1,91.3,8,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-berkeley
Stanford University,United States,11,Stanford University,467,5,5,private,99.6,4,67.5,20,47.9,31,91.4,5,96.3,2,93.7,5,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/stanford-university
University of Cambridge,United Kingdom,0,University of Cambridge,470,6,6,master_account,90.9,11,73.1,17,81.6,11,90.6,6,91.0,9,95.2,3,"General Engineering,Chemical Engineering",/world-university-rankings/university-cambridge
University of Oxford,United Kingdom,0,University of Oxford,468,7,7,master_account,88.3,15,40.5,35,86.0,9,87.4,7,87.7,14,94.5,4,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-oxford
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,8,8,public,96.9,7,-,48,53.8,29,87.3,8,91.3,8,85.8,15,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-california-los-angeles
ETH Zurich,Switzerland,0,ETH Zurich,479,9,9,master_account,79.5,25,-,46,93.7,2,87.1,9,92.0,7,89.3,10,"Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eth-zurich
Imperial College London,United Kingdom,0,Imperial College London,472,10,10,master_account,80.0,24,66.5,21,89.1,6,85.7,10,87.2,16,91.9,7,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/imperial-college-london
Georgia Institute of Technology,United States,0,Georgia Institute of Technology,488,11,11,public,82.3,21,97.9,4,58.4,25,85.4,11,89.9,11,88.4,12,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/georgia-institute-technology
Carnegie Mellon University,United States,0,Carnegie Mellon University,485,12,12,private,74.7,29,76.1,16,50.0,30,83.2,12,93.0,5,90.6,9,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/carnegie-mellon-university
University of Texas at Austin,United States,0,University of Texas at Austin,493,13,13,public,82.9,20,80.9,15,47.4,32,81.0,13,87.7,15,81.0,17,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-texas-austin
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,14,14,public,72.3,31,59.4,25,54.9,28,80.8,14,92.2,6,87.3,14,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-michigan-ann-arbor
Cornell University,United States,0,Cornell University,484,15,15,private,92.6,10,-,45,40.0,37,79.8,15,84.3,17,80.4,18,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/cornell-university
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,16,16,public,70.3,33,-,49,43.9,35,78.1,17,90.2,10,85.6,16,"Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-illinois-urbana-champaign
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,16,16,public,96.7,8,96.5,6,69.3,19,78.1,16,73.5,23,64.7,30,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-california-santa-barbara
University of Toronto,Canada,0,University of Toronto,483,18,18,master_account,87.8,18,35.6,41,61.8,23,78.0,18,81.6,19,76.6,21,"Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-toronto
National University of Singapore nus,Singapore,6,National University of Singapore,504,19,19,master_account,71.7,32,62.2,22,90.0,4,77.5,19,80.9,21,78.7,19,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/national-university-singapore
École Polytechnique Fédérale de Lausanne,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,20,20,master_account,86.5,19,38.3,38,97.7,1,77.1,20,73.2,24,73.5,24,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
The University of Tokyo,Japan,0,The University of Tokyo,494,21,21,master_account,48.9,43,69.8,18,22.4,46,69.8,21,81.4,20,89.1,11,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/university-tokyo
University of Wisconsin-Madison,United States,0,University of Wisconsin-Madison,491,22,22,public,79.0,26,51.3,30,22.1,48,69.1,23,76.6,22,67.4,26,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-wisconsin-madison
Delft University of Technology,Netherlands,0,Delft University of Technology,568,22,22,master_account,33.3,49,99.9,2,63.0,21,69.1,22,89.7,12,77.8,20,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/delft-university-technology
"University of California, San Diego",United States,0,"University of California, San Diego",497,24,24,public,89.0,13,58.5,26,30.6,42,67.8,24,67.9,31,59.0,39,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-san-diego
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,25,25,master_account,89.0,14,36.5,40,88.8,7,67.4,25,56.5,44,58.3,40,"Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/university-melbourne
