Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Sunderland,Degree Completion,75.7,2010,75.7,95.0,2.0
Glamorgan,Degree Completion,69.1,2010,69.1,110.0,1.0
Abertay Dundee,Degree Completion,70.1,2010,70.1,107.0,1.0
Worcester,Degree Completion,83.9,2010,83.9,58.0,5.0
Leeds Metropolitan,Degree Completion,82.0,2010,82.0,69.0,4.0
Thames Valley,Degree Completion,63.6,2010,63.6,112.0,1.0
Wrexham Glyndŵr,Degree Completion,70.1,2010,70.1,107.0,1.0
"University of Wales, Newport",Degree Completion,72.0,2010,72.0,104.0,1.0
Derby,Degree Completion,76.5,2010,76.5,91.0,2.0
Wolverhampton,Degree Completion,73.4,2010,73.4,100.0,2.0
Buckinghamshire New,Degree Completion,79.7,2010,79.7,78.0,4.0
Liverpool John Moores,Degree Completion,76.2,2010,76.2,93.0,2.0
Northampton,Degree Completion,81.4,2010,81.4,72.0,4.0
East London,Degree Completion,71.6,2010,71.6,105.0,1.0
Canterbury Christ Church,Degree Completion,80.3,2010,80.3,75.0,4.0
Cumbria,Degree Completion,84.6,2010,84.6,54.0,6.0
Edge Hill,Degree Completion,79.2,2010,79.2,80.0,3.0
Southampton Solent,Degree Completion,74.5,2010,74.5,99.0,2.0
Greenwich,Degree Completion,75.8,2010,75.8,94.0,2.0
Bolton,Degree Completion,56.0,2010,56.0,113.0,1.0
London South Bank,Degree Completion,69.4,2010,69.4,109.0,1.0
Oxford,Overall Score,1000,2010,1000.0,1.0,10.0
Cambridge,Overall Score,947,2010,947.0,2.0,10.0
Imperial College,Overall Score,910,2010,910.0,3.0,10.0
London School of Economics,Overall Score,854,2010,854.0,4.0,10.0
Durham,Overall Score,820,2010,820.0,5.0,10.0
Warwick,Overall Score,818,2010,818.0,6.0,10.0
St Andrews,Overall Score,801,2010,801.0,7.0,10.0
University College London,Overall Score,793,2010,793.0,8.0,10.0
Bath,Overall Score,765,2010,765.0,9.0,10.0
York,Overall Score,765,2010,765.0,9.0,10.0
Edinburgh,Overall Score,757,2010,757.0,11.0,10.0
Lancaster,Overall Score,749,2010,749.0,12.0,10.0
Southampton,Overall Score,739,2010,739.0,13.0,9.0
Aston,Overall Score,739,2010,739.0,13.0,9.0
SOAS University of London,Overall Score,736,2010,736.0,15.0,9.0
Bristol,Overall Score,735,2010,735.0,16.0,9.0
King's College London,Overall Score,724,2010,724.0,17.0,9.0
Loughborough,Overall Score,721,2010,721.0,18.0,9.0
Nottingham,Overall Score,714,2010,714.0,19.0,9.0
Leicester,Overall Score,706,2010,706.0,20.0,9.0
Exeter,Overall Score,704,2010,704.0,21.0,9.0
Sheffield,Overall Score,704,2010,704.0,21.0,9.0
"Royal Holloway, University of London",Overall Score,703,2010,703.0,23.0,9.0
Newcastle,Overall Score,700,2010,700.0,24.0,8.0
Sussex,Overall Score,697,2010,697.0,25.0,8.0
Glasgow,Overall Score,694,2010,694.0,26.0,8.0
Birmingham,Overall Score,690,2010,690.0,27.0,8.0
Manchester,Overall Score,685,2010,685.0,28.0,8.0
Leeds,Overall Score,685,2010,685.0,28.0,8.0
Essex,Overall Score,671,2010,671.0,30.0,8.0
Surrey,Overall Score,654,2010,654.0,31.0,8.0
East Anglia (UEA),Overall Score,651,2010,651.0,32.0,8.0
"Queen's, Belfast",Overall Score,648,2010,648.0,33.0,8.0
Liverpool,Overall Score,647,2010,647.0,34.0,7.0
Reading,Overall Score,647,2010,647.0,34.0,8.0
Cardiff,Overall Score,645,2010,645.0,36.0,7.0
Goldsmiths College,Overall Score,636,2010,636.0,37.0,7.0
Kent,Overall Score,625,2010,625.0,38.0,7.0
Heriot-Watt,Overall Score,619,2010,619.0,39.0,7.0
Strathclyde,Overall Score,616,2010,616.0,40.0,7.0
Brunel University London,Overall Score,612,2010,612.0,41.0,7.0
Keele,Overall Score,611,2010,611.0,42.0,7.0
"Queen Mary, University of London",Overall Score,610,2010,610.0,43.0,7.0
"City, University of London",Overall Score,600,2010,600.0,44.0,7.0
Hertfordshire,Overall Score,597,2010,597.0,45.0,7.0
Nottingham Trent,Overall Score,593,2010,593.0,46.0,6.0
Aberdeen,Overall Score,590,2010,590.0,47.0,6.0
Stirling,Overall Score,590,2010,590.0,47.0,6.0
Dundee,Overall Score,574,2010,574.0,49.0,6.0
Robert Gordon,Overall Score,570,2010,570.0,50.0,6.0
Ulster,Overall Score,568,2010,568.0,51.0,6.0
Hull,Overall Score,567,2010,567.0,52.0,6.0
Oxford Brookes,Overall Score,566,2010,566.0,53.0,6.0
Bournemouth,Overall Score,559,2010,559.0,54.0,6.0
Aberystwyth,Overall Score,548,2010,548.0,55.0,6.0
Swansea,Overall Score,537,2010,537.0,56.0,6.0
Bradford,Overall Score,536,2010,536.0,57.0,5.0
Northumbria,Overall Score,535,2010,535.0,58.0,5.0
Birmingham City,Overall Score,533,2010,533.0,59.0,5.0
University of the Arts London,Overall Score,524,2010,524.0,60.0,5.0
"West of England, Bristol",Overall Score,512,2010,512.0,61.0,5.0
Portsmouth,Overall Score,511,2010,511.0,62.0,5.0
Brighton,Overall Score,507,2010,507.0,63.0,5.0
Bangor,Overall Score,506,2010,506.0,64.0,5.0
De Montfort,Overall Score,499,2010,499.0,65.0,5.0
"UWIC, Cardiff",Overall Score,499,2010,499.0,65.0,5.0
Plymouth,Overall Score,491,2010,491.0,67.0,4.0
Chichester,Overall Score,491,2010,491.0,67.0,5.0
Sheffield Hallam,Overall Score,491,2010,491.0,67.0,5.0
Winchester,Overall Score,482,2010,482.0,70.0,4.0
University for the Creative Arts,Overall Score,481,2010,481.0,71.0,4.0
Gloucestershire,Overall Score,479,2010,479.0,72.0,4.0
Edinburgh Napier,Overall Score,475,2010,475.0,73.0,4.0
Bedfordshire,Overall Score,475,2010,475.0,73.0,4.0
Glasgow Caledonian,Overall Score,473,2010,473.0,75.0,4.0
Salford,Overall Score,463,2010,463.0,76.0,4.0
Lampeter,Overall Score,461,2010,461.0,77.0,4.0
Lincoln,Overall Score,458,2010,458.0,78.0,4.0
Central Lancashire,Overall Score,457,2010,457.0,79.0,4.0
Staffordshire,Overall Score,455,2010,455.0,80.0,3.0
Kingston,Overall Score,455,2010,455.0,80.0,3.0
Bath Spa,Overall Score,449,2010,449.0,82.0,3.0
Manchester Metropolitan,Overall Score,449,2010,449.0,82.0,3.0
Huddersfield,Overall Score,447,2010,447.0,84.0,3.0
Coventry,Overall Score,445,2010,445.0,85.0,3.0
Queen Margaret,Overall Score,442,2010,442.0,86.0,3.0
Roehampton,Overall Score,439,2010,439.0,87.0,3.0
Middlesex,Overall Score,434,2010,434.0,88.0,3.0
Westminster,Overall Score,427,2010,427.0,89.0,3.0
Chester,Overall Score,422,2010,422.0,90.0,3.0
York St John,Overall Score,415,2010,415.0,91.0,2.0
Teesside,Overall Score,411,2010,411.0,92.0,2.0
Sunderland,Overall Score,410,2010,410.0,93.0,2.0
Glamorgan,Overall Score,409,2010,409.0,94.0,2.0
Abertay Dundee,Overall Score,399,2010,399.0,95.0,2.0
Worcester,Overall Score,399,2010,399.0,95.0,2.0
Leeds Metropolitan,Overall Score,397,2010,397.0,97.0,2.0
Thames Valley,Overall Score,396,2010,396.0,98.0,2.0
Wrexham Glyndŵr,Overall Score,395,2010,395.0,99.0,2.0
"University of Wales, Newport",Overall Score,395,2010,395.0,99.0,2.0
Derby,Overall Score,392,2010,392.0,101.0,2.0
Wolverhampton,Overall Score,391,2010,391.0,102.0,1.0
Buckinghamshire New,Overall Score,388,2010,388.0,103.0,1.0
Liverpool John Moores,Overall Score,387,2010,387.0,104.0,1.0
Northampton,Overall Score,387,2010,387.0,104.0,1.0
East London,Overall Score,371,2010,371.0,106.0,1.0
Canterbury Christ Church,Overall Score,358,2010,358.0,107.0,1.0
Cumbria,Overall Score,348,2010,348.0,108.0,1.0
Edge Hill,Overall Score,344,2010,344.0,109.0,1.0
Southampton Solent,Overall Score,338,2010,338.0,110.0,1.0
Greenwich,Overall Score,333,2010,333.0,111.0,1.0
Bolton,Overall Score,308,2010,308.0,112.0,1.0
London South Bank,Overall Score,280,2010,280.0,113.0,1.0
Oxford,Entry Standards,532,2011,532.0,2.0,10.0
Cambridge,Entry Standards,547,2011,547.0,1.0,10.0
Imperial College London,Entry Standards,504,2011,504.0,3.0,10.0
Durham,Entry Standards,468,2011,468.0,5.0,10.0
London School of Economics,Entry Standards,494,2011,494.0,4.0,10.0
St Andrews,Entry Standards,455,2011,455.0,8.0,10.0
Warwick,Entry Standards,464,2011,464.0,6.0,10.0
Lancaster,Entry Standards,393,2011,393.0,24.0,8.0
University College London,Entry Standards,458,2011,458.0,7.0,10.0
York,Entry Standards,423,2011,423.0,12.0,10.0
Edinburgh,Entry Standards,439,2011,439.0,11.0,10.0
Bath,Entry Standards,451,2011,451.0,9.0,10.0
King's College London,Entry Standards,421,2011,421.0,13.0,9.0
Southampton,Entry Standards,407,2011,407.0,18.0,9.0
SOAS University of London,Entry Standards,387,2011,387.0,27.0,8.0
Bristol,Entry Standards,448,2011,448.0,10.0,10.0
Aston,Entry Standards,364,2011,364.0,35.0,8.0
Nottingham,Entry Standards,412,2011,412.0,15.0,9.0
Sussex,Entry Standards,371,2011,371.0,30.0,8.0
Buckingham,Entry Standards,287,2011,287.0,57.0,6.0
Loughborough,Entry Standards,370,2011,370.0,31.0,8.0
Leicester,Entry Standards,374,2011,374.0,28.0,8.0
Birmingham,Entry Standards,404,2011,404.0,19.0,9.0
Exeter,Entry Standards,408,2011,408.0,17.0,9.0
Sheffield,Entry Standards,411,2011,411.0,16.0,9.0
Glasgow,Entry Standards,399,2011,399.0,21.0,9.0
Leeds,Entry Standards,397,2011,397.0,23.0,9.0
East Anglia (UEA),Entry Standards,366,2011,366.0,33.0,8.0
Newcastle,Entry Standards,399,2011,399.0,21.0,9.0
"Royal Holloway, University of London",Entry Standards,366,2011,366.0,33.0,8.0
Manchester,Entry Standards,416,2011,416.0,14.0,9.0
Liverpool,Entry Standards,403,2011,403.0,20.0,9.0
Surrey,Entry Standards,372,2011,372.0,29.0,8.0
Heriot-Watt,Entry Standards,338,2011,338.0,41.0,7.0
"Queen's, Belfast",Entry Standards,368,2011,368.0,32.0,8.0
Strathclyde,Entry Standards,388,2011,388.0,26.0,8.0
Essex,Entry Standards,311,2011,311.0,48.0,6.0
Kent,Entry Standards,319,2011,319.0,43.0,7.0
"Queen Mary, University of London",Entry Standards,354,2011,354.0,37.0,7.0
Reading,Entry Standards,350,2011,350.0,38.0,7.0
Cardiff,Entry Standards,392,2011,392.0,25.0,8.0
Hertfordshire,Entry Standards,241,2011,241.0,99.0,2.0
Keele,Entry Standards,302,2011,302.0,50.0,6.0
Aberdeen,Entry Standards,357,2011,357.0,36.0,7.0
Dundee,Entry Standards,344,2011,344.0,39.0,7.0
Brunel University London,Entry Standards,315,2011,315.0,45.0,7.0
Aberystwyth,Entry Standards,292,2011,292.0,55.0,6.0
"City, University of London",Entry Standards,340,2011,340.0,40.0,7.0
Nottingham Trent,Entry Standards,274,2011,274.0,65.0,5.0
Oxford Brookes,Entry Standards,309,2011,309.0,49.0,6.0
Robert Gordon,Entry Standards,314,2011,314.0,46.0,6.0
Stirling,Entry Standards,314,2011,314.0,46.0,7.0
Chichester,Entry Standards,270,2011,270.0,74.0,4.0
Ulster,Entry Standards,269,2011,269.0,76.0,4.0
Bournemouth,Entry Standards,297,2011,297.0,54.0,6.0
Hull,Entry Standards,290,2011,290.0,56.0,6.0
Goldsmiths College,Entry Standards,318,2011,318.0,44.0,7.0
Birmingham City,Entry Standards,254,2011,254.0,92.0,2.0
"UWIC, Cardiff",Entry Standards,260,2011,260.0,86.0,3.0
Swansea,Entry Standards,299,2011,299.0,51.0,6.0
Bradford,Entry Standards,275,2011,275.0,64.0,5.0
Gloucestershire,Entry Standards,255,2011,255.0,91.0,3.0
Bangor,Entry Standards,284,2011,284.0,58.0,5.0
Northumbria,Entry Standards,299,2011,299.0,51.0,6.0
De Montfort,Entry Standards,247,2011,247.0,95.0,2.0
Plymouth,Entry Standards,279,2011,279.0,63.0,5.0
Huddersfield,Entry Standards,272,2011,272.0,72.0,4.0
Sheffield Hallam,Entry Standards,274,2011,274.0,65.0,5.0
"West of England, Bristol",Entry Standards,273,2011,273.0,69.0,4.0
University of the Arts London,Entry Standards,280,2011,280.0,61.0,5.0
Lincoln,Entry Standards,273,2011,273.0,69.0,4.0
Central Lancashire,Entry Standards,263,2011,263.0,83.0,3.0
Brighton,Entry Standards,281,2011,281.0,60.0,5.0
Edinburgh Napier,Entry Standards,264,2011,264.0,81.0,3.0
Coventry,Entry Standards,274,2011,274.0,65.0,5.0
Winchester,Entry Standards,270,2011,270.0,74.0,4.0
Queen Margaret,Entry Standards,299,2011,299.0,51.0,6.0
York St John,Entry Standards,280,2011,280.0,61.0,5.0
Glasgow Caledonian,Entry Standards,328,2011,328.0,42.0,7.0
Staffordshire,Entry Standards,241,2011,241.0,99.0,2.0
Chester,Entry Standards,268,2011,268.0,77.0,4.0
Cumbria,Entry Standards,274,2011,274.0,65.0,5.0
Bath Spa,Entry Standards,283,2011,283.0,59.0,5.0
Kingston,Entry Standards,235,2011,235.0,105.0,1.0
Leeds Metropolitan,Entry Standards,263,2011,263.0,83.0,3.0
Glamorgan,Entry Standards,271,2011,271.0,73.0,4.0
Roehampton,Entry Standards,245,2011,245.0,98.0,2.0
Edge Hill,Entry Standards,259,2011,259.0,88.0,3.0
Manchester Metropolitan,Entry Standards,268,2011,268.0,77.0,4.0
Portsmouth,Entry Standards,273,2011,273.0,69.0,5.0
"University of Wales, Newport",Entry Standards,249,2011,249.0,94.0,2.0
Wrexham Glyndŵr,Entry Standards,232,2011,232.0,106.0,1.0
Sunderland,Entry Standards,232,2011,232.0,106.0,1.0
Westminster,Entry Standards,267,2011,267.0,79.0,4.0
Thames Valley,Entry Standards,201,2011,201.0,111.0,1.0
Salford,Entry Standards,266,2011,266.0,80.0,4.0
Middlesex,Entry Standards,184,2011,184.0,115.0,1.0
Abertay Dundee,Entry Standards,256,2011,256.0,90.0,3.0
Lampeter,Entry Standards,262,2011,262.0,85.0,3.0
Northampton,Entry Standards,240,2011,240.0,103.0,2.0
Bedfordshire,Entry Standards,200,2011,200.0,112.0,1.0
Liverpool John Moores,Entry Standards,246,2011,246.0,97.0,2.0
Worcester,Entry Standards,260,2011,260.0,86.0,3.0
Derby,Entry Standards,237,2011,237.0,104.0,1.0
Teesside,Entry Standards,258,2011,258.0,89.0,3.0
Anglia Ruskin,Entry Standards,254,2011,254.0,92.0,3.0
Canterbury Christ Church,Entry Standards,247,2011,247.0,95.0,2.0
Buckinghamshire New,Entry Standards,207,2011,207.0,110.0,1.0
University for the Creative Arts,Entry Standards,264,2011,264.0,81.0,3.0
Greenwich,Entry Standards,241,2011,241.0,99.0,2.0
Southampton Solent,Entry Standards,241,2011,241.0,99.0,2.0
Bolton,Entry Standards,209,2011,209.0,109.0,1.0
East London,Entry Standards,187,2011,187.0,114.0,1.0
London South Bank,Entry Standards,192,2011,192.0,113.0,1.0
London Metropolitan,Entry Standards,212,2011,212.0,108.0,1.0
Oxford,Student Satisfaction,4.11,2011,4.11,5.0,10.0
Cambridge,Student Satisfaction,4.10,2011,4.1,6.0,10.0
Imperial College London,Student Satisfaction,3.81,2011,3.81,81.0,3.0
Durham,Student Satisfaction,3.98,2011,3.98,15.0,9.0
London School of Economics,Student Satisfaction,3.76,2011,3.76,92.0,2.0
St Andrews,Student Satisfaction,4.15,2011,4.15,2.0,10.0
Warwick,Student Satisfaction,3.92,2011,3.92,35.0,7.0
Lancaster,Student Satisfaction,3.98,2011,3.98,15.0,9.0
University College London,Student Satisfaction,3.91,2011,3.91,37.0,7.0
York,Student Satisfaction,4.05,2011,4.05,10.0,10.0
Edinburgh,Student Satisfaction,3.71,2011,3.71,105.0,1.0
Bath,Student Satisfaction,3.94,2011,3.94,25.0,8.0
King's College London,Student Satisfaction,3.82,2011,3.82,78.0,4.0
Southampton,Student Satisfaction,3.89,2011,3.89,43.0,6.0
SOAS University of London,Student Satisfaction,3.83,2011,3.83,75.0,4.0
Bristol,Student Satisfaction,3.85,2011,3.85,64.0,5.0
Aston,Student Satisfaction,3.89,2011,3.89,43.0,6.0
Nottingham,Student Satisfaction,3.89,2011,3.89,43.0,6.0
Sussex,Student Satisfaction,3.95,2011,3.95,22.0,8.0
Buckingham,Student Satisfaction,4.32,2011,4.32,1.0,10.0
Loughborough,Student Satisfaction,4.14,2011,4.14,3.0,10.0
Leicester,Student Satisfaction,4.14,2011,4.14,3.0,10.0
Birmingham,Student Satisfaction,3.93,2011,3.93,32.0,8.0
Exeter,Student Satisfaction,4.09,2011,4.09,7.0,10.0
Sheffield,Student Satisfaction,3.96,2011,3.96,21.0,9.0
Glasgow,Student Satisfaction,4.01,2011,4.01,12.0,9.0
Leeds,Student Satisfaction,3.86,2011,3.86,61.0,5.0
East Anglia (UEA),Student Satisfaction,4.08,2011,4.08,8.0,10.0
Newcastle,Student Satisfaction,3.94,2011,3.94,25.0,8.0
"Royal Holloway, University of London",Student Satisfaction,3.93,2011,3.93,32.0,8.0
Manchester,Student Satisfaction,3.68,2011,3.68,107.0,1.0
Liverpool,Student Satisfaction,3.81,2011,3.81,81.0,3.0
Surrey,Student Satisfaction,3.87,2011,3.87,52.0,5.0
Heriot-Watt,Student Satisfaction,3.75,2011,3.75,99.0,2.0
"Queen's, Belfast",Student Satisfaction,3.79,2011,3.79,88.0,3.0
Strathclyde,Student Satisfaction,3.87,2011,3.87,52.0,5.0
Essex,Student Satisfaction,3.89,2011,3.89,43.0,7.0
Kent,Student Satisfaction,3.98,2011,3.98,15.0,9.0
"Queen Mary, University of London",Student Satisfaction,3.90,2011,3.9,40.0,7.0
Reading,Student Satisfaction,3.91,2011,3.91,37.0,7.0
Cardiff,Student Satisfaction,3.80,2011,3.8,84.0,3.0
Hertfordshire,Student Satisfaction,3.82,2011,3.82,78.0,4.0
Keele,Student Satisfaction,3.94,2011,3.94,25.0,8.0
Aberdeen,Student Satisfaction,3.97,2011,3.97,20.0,9.0
Dundee,Student Satisfaction,3.98,2011,3.98,15.0,9.0
Brunel University London,Student Satisfaction,3.76,2011,3.76,92.0,2.0
Aberystwyth,Student Satisfaction,4.05,2011,4.05,10.0,10.0
"City, University of London",Student Satisfaction,3.74,2011,3.74,100.0,2.0
Nottingham Trent,Student Satisfaction,3.84,2011,3.84,68.0,4.0
Oxford Brookes,Student Satisfaction,3.90,2011,3.9,40.0,7.0
Robert Gordon,Student Satisfaction,3.89,2011,3.89,43.0,7.0
Stirling,Student Satisfaction,3.98,2011,3.98,15.0,9.0
Chichester,Student Satisfaction,4.07,2011,4.07,9.0,10.0
Ulster,Student Satisfaction,3.84,2011,3.84,68.0,4.0
Bournemouth,Student Satisfaction,3.80,2011,3.8,84.0,3.0
Hull,Student Satisfaction,4.01,2011,4.01,12.0,9.0
Goldsmiths College,Student Satisfaction,3.84,2011,3.84,68.0,4.0
Birmingham City,Student Satisfaction,3.78,2011,3.78,90.0,3.0
"UWIC, Cardiff",Student Satisfaction,3.87,2011,3.87,52.0,5.0
Swansea,Student Satisfaction,3.90,2011,3.9,40.0,7.0
Bradford,Student Satisfaction,3.84,2011,3.84,68.0,4.0
Gloucestershire,Student Satisfaction,3.86,2011,3.86,61.0,5.0
Bangor,Student Satisfaction,3.94,2011,3.94,25.0,8.0
Northumbria,Student Satisfaction,3.83,2011,3.83,75.0,4.0
De Montfort,Student Satisfaction,3.88,2011,3.88,50.0,6.0
Plymouth,Student Satisfaction,3.82,2011,3.82,78.0,4.0
Huddersfield,Student Satisfaction,3.89,2011,3.89,43.0,7.0
Sheffield Hallam,Student Satisfaction,3.70,2011,3.7,106.0,1.0
"West of England, Bristol",Student Satisfaction,3.85,2011,3.85,64.0,5.0
University of the Arts London,Student Satisfaction,3.57,2011,3.57,114.0,1.0
Lincoln,Student Satisfaction,3.94,2011,3.94,25.0,8.0
Central Lancashire,Student Satisfaction,3.91,2011,3.91,37.0,7.0
Brighton,Student Satisfaction,3.84,2011,3.84,68.0,4.0
Edinburgh Napier,Student Satisfaction,3.80,2011,3.8,84.0,3.0
Coventry,Student Satisfaction,3.77,2011,3.77,91.0,3.0
Winchester,Student Satisfaction,3.89,2011,3.89,43.0,7.0
Queen Margaret,Student Satisfaction,3.87,2011,3.87,52.0,6.0
York St John,Student Satisfaction,3.87,2011,3.87,52.0,6.0
Glasgow Caledonian,Student Satisfaction,3.85,2011,3.85,64.0,5.0
Staffordshire,Student Satisfaction,3.83,2011,3.83,75.0,4.0
Chester,Student Satisfaction,3.87,2011,3.87,52.0,6.0
Cumbria,Student Satisfaction,3.76,2011,3.76,92.0,2.0
Bath Spa,Student Satisfaction,3.95,2011,3.95,22.0,9.0
Kingston,Student Satisfaction,3.79,2011,3.79,88.0,3.0
Leeds Metropolitan,Student Satisfaction,3.61,2011,3.61,112.0,1.0
Glamorgan,Student Satisfaction,3.80,2011,3.8,84.0,3.0
Roehampton,Student Satisfaction,3.76,2011,3.76,92.0,2.0
Edge Hill,Student Satisfaction,3.94,2011,3.94,25.0,8.0
Manchester Metropolitan,Student Satisfaction,3.74,2011,3.74,100.0,2.0
Portsmouth,Student Satisfaction,3.94,2011,3.94,25.0,8.0
"University of Wales, Newport",Student Satisfaction,3.87,2011,3.87,52.0,6.0
Wrexham Glyndŵr,Student Satisfaction,3.88,2011,3.88,50.0,6.0
Sunderland,Student Satisfaction,3.92,2011,3.92,35.0,8.0
Westminster,Student Satisfaction,3.62,2011,3.62,111.0,1.0
Thames Valley,Student Satisfaction,3.73,2011,3.73,102.0,2.0
Salford,Student Satisfaction,3.76,2011,3.76,92.0,2.0
Middlesex,Student Satisfaction,3.64,2011,3.64,109.0,1.0
Abertay Dundee,Student Satisfaction,3.87,2011,3.87,52.0,6.0
Lampeter,Student Satisfaction,4.01,2011,4.01,12.0,10.0
Northampton,Student Satisfaction,3.86,2011,3.86,61.0,5.0
Bedfordshire,Student Satisfaction,3.84,2011,3.84,68.0,5.0
Liverpool John Moores,Student Satisfaction,3.81,2011,3.81,81.0,3.0
Worcester,Student Satisfaction,3.85,2011,3.85,64.0,5.0
Derby,Student Satisfaction,3.84,2011,3.84,68.0,5.0
Teesside,Student Satisfaction,3.95,2011,3.95,22.0,9.0
Anglia Ruskin,Student Satisfaction,3.64,2011,3.64,109.0,1.0
Canterbury Christ Church,Student Satisfaction,3.87,2011,3.87,52.0,6.0
Buckinghamshire New,Student Satisfaction,3.72,2011,3.72,104.0,1.0
University for the Creative Arts,Student Satisfaction,3.58,2011,3.58,113.0,1.0
Greenwich,Student Satisfaction,3.93,2011,3.93,32.0,8.0
Southampton Solent,Student Satisfaction,3.73,2011,3.73,102.0,2.0
Bolton,Student Satisfaction,3.76,2011,3.76,92.0,2.0
East London,Student Satisfaction,3.66,2011,3.66,108.0,1.0
London South Bank,Student Satisfaction,3.76,2011,3.76,92.0,3.0
London Metropolitan,Student Satisfaction,3.57,2011,3.57,114.0,1.0
Oxford,Research Quality,2.96,2011,2.96,2.0,10.0
Cambridge,Research Quality,2.98,2011,2.98,1.0,10.0
Imperial College London,Research Quality,2.94,2011,2.94,4.0,10.0
Durham,Research Quality,2.72,2011,2.72,12.0,9.0
London School of Economics,Research Quality,2.96,2011,2.96,2.0,10.0
St Andrews,Research Quality,2.72,2011,2.72,12.0,9.0
Warwick,Research Quality,2.80,2011,2.8,7.0,10.0
Lancaster,Research Quality,2.71,2011,2.71,18.0,9.0
University College London,Research Quality,2.84,2011,2.84,5.0,10.0
York,Research Quality,2.78,2011,2.78,8.0,10.0
Edinburgh,Research Quality,2.75,2011,2.75,10.0,10.0
Bath,Research Quality,2.71,2011,2.71,18.0,9.0
King's College London,Research Quality,2.69,2011,2.69,20.0,9.0
Southampton,Research Quality,2.72,2011,2.72,12.0,9.0
SOAS University of London,Research Quality,2.60,2011,2.6,29.0,8.0
Bristol,Research Quality,2.72,2011,2.72,12.0,9.0
Aston,Research Quality,2.43,2011,2.43,47.0,6.0
Nottingham,Research Quality,2.67,2011,2.67,22.0,9.0
Sussex,Research Quality,2.61,2011,2.61,28.0,8.0
Buckingham,Research Quality,n/a,2011,,,
Loughborough,Research Quality,2.62,2011,2.62,26.0,8.0
Leicester,Research Quality,2.45,2011,2.45,45.0,7.0
Birmingham,Research Quality,2.64,2011,2.64,24.0,8.0
Exeter,Research Quality,2.62,2011,2.62,26.0,8.0
Sheffield,Research Quality,2.72,2011,2.72,12.0,9.0
Glasgow,Research Quality,2.59,2011,2.59,31.0,8.0
Leeds,Research Quality,2.72,2011,2.72,12.0,10.0
East Anglia (UEA),Research Quality,2.58,2011,2.58,32.0,8.0
Newcastle,Research Quality,2.63,2011,2.63,25.0,8.0
"Royal Holloway, University of London",Research Quality,2.67,2011,2.67,22.0,9.0
Manchester,Research Quality,2.82,2011,2.82,6.0,10.0
Liverpool,Research Quality,2.54,2011,2.54,37.0,7.0
Surrey,Research Quality,2.58,2011,2.58,32.0,8.0
Heriot-Watt,Research Quality,2.48,2011,2.48,41.0,7.0
"Queen's, Belfast",Research Quality,2.56,2011,2.56,36.0,7.0
Strathclyde,Research Quality,2.45,2011,2.45,45.0,7.0
Essex,Research Quality,2.77,2011,2.77,9.0,10.0
Kent,Research Quality,2.60,2011,2.6,29.0,8.0
"Queen Mary, University of London",Research Quality,2.73,2011,2.73,11.0,10.0
Reading,Research Quality,2.53,2011,2.53,39.0,7.0
Cardiff,Research Quality,2.69,2011,2.69,20.0,9.0
Hertfordshire,Research Quality,2.40,2011,2.4,53.0,6.0
Keele,Research Quality,2.41,2011,2.41,51.0,6.0
Aberdeen,Research Quality,2.57,2011,2.57,35.0,7.0
Dundee,Research Quality,2.54,2011,2.54,37.0,7.0
Brunel University London,Research Quality,2.32,2011,2.32,58.0,5.0
Aberystwyth,Research Quality,2.48,2011,2.48,41.0,7.0
"City, University of London",Research Quality,2.48,2011,2.48,41.0,7.0
Nottingham Trent,Research Quality,2.16,2011,2.16,71.0,4.0
Oxford Brookes,Research Quality,2.20,2011,2.2,65.0,5.0
Robert Gordon,Research Quality,2.06,2011,2.06,80.0,4.0
Stirling,Research Quality,2.41,2011,2.41,51.0,6.0
Chichester,Research Quality,1.96,2011,1.96,87.0,3.0
Ulster,Research Quality,2.48,2011,2.48,41.0,7.0
Bournemouth,Research Quality,2.18,2011,2.18,68.0,4.0
Hull,Research Quality,2.37,2011,2.37,54.0,6.0
Goldsmiths College,Research Quality,2.58,2011,2.58,32.0,8.0
Birmingham City,Research Quality,2.31,2011,2.31,60.0,5.0
"UWIC, Cardiff",Research Quality,1.88,2011,1.88,94.0,2.0
Swansea,Research Quality,2.43,2011,2.43,47.0,6.0
Bradford,Research Quality,2.34,2011,2.34,57.0,6.0
Gloucestershire,Research Quality,1.72,2011,1.72,103.0,1.0
Bangor,Research Quality,2.43,2011,2.43,47.0,6.0
Northumbria,Research Quality,2.15,2011,2.15,74.0,4.0
De Montfort,Research Quality,2.32,2011,2.32,58.0,5.0
Plymouth,Research Quality,2.18,2011,2.18,68.0,4.0
Huddersfield,Research Quality,2.10,2011,2.1,77.0,4.0
Sheffield Hallam,Research Quality,2.05,2011,2.05,81.0,3.0
"West of England, Bristol",Research Quality,2.20,2011,2.2,65.0,5.0
University of the Arts London,Research Quality,2.49,2011,2.49,40.0,7.0
Lincoln,Research Quality,1.90,2011,1.9,90.0,2.0
Central Lancashire,Research Quality,1.96,2011,1.96,87.0,3.0
Brighton,Research Quality,2.37,2011,2.37,54.0,6.0
Edinburgh Napier,Research Quality,1.83,2011,1.83,98.0,2.0
Coventry,Research Quality,1.85,2011,1.85,96.0,2.0
Winchester,Research Quality,2.16,2011,2.16,71.0,4.0
