Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Canterbury Christ Church,Entry Standards,246,2009,246.0,94.0,2.0
Westminster,Entry Standards,244,2009,244.0,96.0,2.0
Worcester,Entry Standards,238,2009,238.0,99.0,2.0
Northampton,Entry Standards,227,2009,227.0,101.0,2.0
Southampton Solent,Entry Standards,225,2009,225.0,102.0,1.0
Glasgow Caledonian,Entry Standards,341,2009,341.0,41.0,7.0
York St John,Entry Standards,282,2009,282.0,62.0,5.0
Leeds Metropolitan,Entry Standards,261,2009,261.0,79.0,4.0
Lincoln,Entry Standards,263,2009,263.0,78.0,4.0
Liverpool John Moores,Entry Standards,248,2009,248.0,89.0,2.0
Lampeter,Entry Standards,273,2009,273.0,66.0,5.0
Teesside,Entry Standards,248,2009,248.0,89.0,3.0
Derby,Entry Standards,260,2009,260.0,80.0,3.0
Cumbria,Entry Standards,269,2009,269.0,70.0,4.0
Huddersfield,Entry Standards,252,2009,252.0,85.0,3.0
East London,Entry Standards,181,2009,181.0,113.0,1.0
Wolverhampton,Entry Standards,195,2009,195.0,111.0,1.0
Edge Hill,Entry Standards,248,2009,248.0,89.0,3.0
Anglia Ruskin,Entry Standards,247,2009,247.0,92.0,2.0
Thames Valley,Entry Standards,206,2009,206.0,106.0,1.0
Greenwich,Entry Standards,206,2009,206.0,106.0,1.0
Bolton,Entry Standards,199,2009,199.0,109.0,1.0
London South Bank,Entry Standards,185,2009,185.0,112.0,1.0
Oxford,Student Satisfaction,4.04,2009,4.04,6.0,10.0
Cambridge,Student Satisfaction,4.15,2009,4.15,1.0,10.0
London School of Economics,Student Satisfaction,3.82,2009,3.82,20.0,9.0
Imperial College,Student Satisfaction,3.66,2009,3.66,84.0,3.0
Warwick,Student Satisfaction,3.79,2009,3.79,28.0,8.0
Durham,Student Satisfaction,3.84,2009,3.84,15.0,9.0
St Andrews,Student Satisfaction,4.10,2009,4.1,2.0,10.0
University College London,Student Satisfaction,3.78,2009,3.78,33.0,7.0
SOAS University of London,Student Satisfaction,3.71,2009,3.71,72.0,4.0
Lancaster,Student Satisfaction,3.89,2009,3.89,11.0,10.0
York,Student Satisfaction,3.83,2009,3.83,16.0,9.0
Leicester,Student Satisfaction,4.07,2009,4.07,3.0,10.0
Loughborough,Student Satisfaction,4.07,2009,4.07,3.0,10.0
Bath,Student Satisfaction,3.78,2009,3.78,33.0,7.0
King's College London,Student Satisfaction,3.75,2009,3.75,48.0,6.0
Nottingham,Student Satisfaction,3.66,2009,3.66,84.0,3.0
Glasgow,Student Satisfaction,3.81,2009,3.81,23.0,8.0
Bristol,Student Satisfaction,3.71,2009,3.71,72.0,4.0
Exeter,Student Satisfaction,4.05,2009,4.05,5.0,10.0
Southampton,Student Satisfaction,3.79,2009,3.79,28.0,8.0
Edinburgh,Student Satisfaction,3.64,2009,3.64,93.0,2.0
"Royal Holloway, University of London",Student Satisfaction,3.79,2009,3.79,28.0,8.0
Aston,Student Satisfaction,3.83,2009,3.83,16.0,9.0
Birmingham,Student Satisfaction,3.77,2009,3.77,42.0,6.0
Essex,Student Satisfaction,3.83,2009,3.83,16.0,9.0
Sheffield,Student Satisfaction,3.78,2009,3.78,33.0,7.0
Newcastle,Student Satisfaction,3.71,2009,3.71,72.0,4.0
Manchester,Student Satisfaction,3.61,2009,3.61,104.0,1.0
Sussex,Student Satisfaction,3.65,2009,3.65,88.0,2.0
Surrey,Student Satisfaction,3.67,2009,3.67,82.0,3.0
Strathclyde,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Leeds,Student Satisfaction,3.68,2009,3.68,80.0,3.0
East Anglia (UEA),Student Satisfaction,3.97,2009,3.97,7.0,10.0
"Queen's, Belfast",Student Satisfaction,3.74,2009,3.74,51.0,5.0
Kent,Student Satisfaction,3.93,2009,3.93,9.0,10.0
Stirling,Student Satisfaction,3.74,2009,3.74,51.0,5.0
Cardiff,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Reading,Student Satisfaction,3.82,2009,3.82,20.0,9.0
Aberdeen,Student Satisfaction,3.83,2009,3.83,16.0,9.0
Keele,Student Satisfaction,3.78,2009,3.78,33.0,7.0
Brunel University London,Student Satisfaction,3.63,2009,3.63,96.0,2.0
Liverpool,Student Satisfaction,3.71,2009,3.71,72.0,4.0
"Queen Mary, University of London",Student Satisfaction,3.78,2009,3.78,33.0,7.0
Goldsmiths College,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Aberystwyth,Student Satisfaction,3.94,2009,3.94,8.0,10.0
"City, University of London",Student Satisfaction,3.65,2009,3.65,88.0,2.0
Swansea,Student Satisfaction,3.78,2009,3.78,33.0,7.0
Hull,Student Satisfaction,3.89,2009,3.89,11.0,10.0
Heriot-Watt,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Bradford,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Ulster,Student Satisfaction,3.69,2009,3.69,79.0,4.0
Dundee,Student Satisfaction,3.78,2009,3.78,33.0,7.0
Nottingham Trent,Student Satisfaction,3.62,2009,3.62,100.0,1.0
Hertfordshire,Student Satisfaction,3.64,2009,3.64,93.0,2.0
University of the Arts London,Student Satisfaction,3.42,2009,3.42,113.0,1.0
Bangor,Student Satisfaction,3.80,2009,3.8,25.0,8.0
Bournemouth,Student Satisfaction,3.65,2009,3.65,88.0,3.0
Gloucestershire,Student Satisfaction,3.70,2009,3.7,76.0,4.0
Oxford Brookes,Student Satisfaction,3.79,2009,3.79,28.0,8.0
Portsmouth,Student Satisfaction,3.85,2009,3.85,14.0,9.0
Robert Gordon,Student Satisfaction,3.74,2009,3.74,51.0,5.0
West of Scotland,Student Satisfaction,3.74,2009,3.74,51.0,6.0
Central Lancashire,Student Satisfaction,3.80,2009,3.8,25.0,8.0
De Montfort,Student Satisfaction,3.73,2009,3.73,60.0,5.0
"UWIC, Cardiff",Student Satisfaction,3.66,2009,3.66,84.0,3.0
West of England,Student Satisfaction,3.74,2009,3.74,51.0,6.0
Brighton,Student Satisfaction,3.70,2009,3.7,76.0,4.0
Abertay Dundee,Student Satisfaction,3.74,2009,3.74,51.0,6.0
Birmingham City,Student Satisfaction,3.61,2009,3.61,104.0,1.0
Plymouth,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Chichester,Student Satisfaction,3.90,2009,3.9,10.0,10.0
Salford,Student Satisfaction,3.62,2009,3.62,100.0,1.0
Northumbria,Student Satisfaction,3.62,2009,3.62,100.0,2.0
Winchester,Student Satisfaction,3.78,2009,3.78,33.0,8.0
Bath Spa,Student Satisfaction,3.86,2009,3.86,13.0,9.0
Queen Margaret,Student Satisfaction,3.74,2009,3.74,51.0,6.0
Roehampton,Student Satisfaction,3.65,2009,3.65,88.0,3.0
Napier,Student Satisfaction,3.74,2009,3.74,51.0,6.0
Sunderland,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Sheffield Hallam,Student Satisfaction,3.63,2009,3.63,96.0,2.0
Staffordshire,Student Satisfaction,3.77,2009,3.77,42.0,6.0
Middlesex,Student Satisfaction,3.53,2009,3.53,110.0,1.0
Glamorgan,Student Satisfaction,3.77,2009,3.77,42.0,7.0
"University of Wales, Newport",Student Satisfaction,3.74,2009,3.74,51.0,6.0
Coventry,Student Satisfaction,3.72,2009,3.72,69.0,4.0
Bedfordshire,Student Satisfaction,3.78,2009,3.78,33.0,8.0
Buckinghamshire New,Student Satisfaction,3.56,2009,3.56,109.0,1.0
Manchester Metropolitan,Student Satisfaction,3.65,2009,3.65,88.0,3.0
Kingston,Student Satisfaction,3.68,2009,3.68,80.0,3.0
Chester,Student Satisfaction,3.75,2009,3.75,48.0,6.0
Canterbury Christ Church,Student Satisfaction,3.72,2009,3.72,69.0,4.0
Westminster,Student Satisfaction,3.58,2009,3.58,108.0,1.0
