aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Oxford,United Kingdom,0,University of Oxford,468,1,1,master_account,99.2,1,100.0,1,81.5,7,91.7,1,91.0,3,85.0,9,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,United States,0,Harvard University,466,2,2,private,93.2,7,39.2,45,67.0,16,90.4,2,98.5,1,89.5,3,"Other Health,Medicine & Dentistry",/world-university-rankings/harvard-university
University of Cambridge,United Kingdom,0,University of Cambridge,470,3,3,master_account,98.0,2,50.5,26,78.4,9,88.6,3,90.1,4,81.2,19,Medicine & Dentistry,/world-university-rankings/university-cambridge
Johns Hopkins University,United States,0,Johns Hopkins University,478,4,4,private,92.0,11,99.5,2,61.6,22,87.7,4,88.3,8,87.6,5,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
Imperial College London,United Kingdom,0,Imperial College London,472,5,5,master_account,92.6,9,77.2,12,87.6,2,87.6,5,87.3,13,82.5,17,"Medicine & Dentistry,Other Health",/world-university-rankings/imperial-college-london
UCL ucl UCL,United Kingdom,0,UCL,481,6,6,master_account,89.7,17,52.2,21,83.8,3,86.2,6,87.3,14,84.5,11,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
Duke University,United States,0,Duke University,487,7,7,private,91.1,13,97.9,7,55.0,34,85.1,7,87.0,15,82.7,16,"Other Health,Medicine & Dentistry",/world-university-rankings/duke-university
Stanford University,United States,11,Stanford University,467,8,8,private,86.6,24,51.8,22,58.9,27,84.6,8,88.3,9,88.2,4,"Medicine & Dentistry,Other Health",/world-university-rankings/stanford-university
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,9,9,public,96.6,3,40.0,43,49.2,36,84.4,9,87.4,11,79.5,23,Other Health,/world-university-rankings/university-california-berkeley
University of Washington,United States,0,University of Washington,489,10,10,public,92.2,10,41.3,41,39.5,42,84.1,10,88.7,6,85.1,8,"Other Health,Medicine & Dentistry",/world-university-rankings/university-washington
Yale University,United States,0,Yale University,475,11,11,private,85.1,26,43.9,33,57.1,31,83.8,11,86.6,16,90.4,1,"Medicine & Dentistry,Other Health",/world-university-rankings/yale-university
Washington University in St Louis,United States,11,Washington University in St Louis,505,12,12,private,94.9,6,-,51,53.4,35,83.7,12,80.4,25,83.3,13,"Medicine & Dentistry,Other Health",/world-university-rankings/washington-university-st-louis
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,13,13,public,87.4,21,-,48,41.4,41,83.6,13,87.4,12,89.8,2,"Other Health,Medicine & Dentistry",/world-university-rankings/university-california-los-angeles
McMaster University,Canada,11,McMaster University,529,14,14,master_account,96.4,4,98.3,5,69.5,15,82.8,14,75.7,33,74.8,27,"Other Health,Medicine & Dentistry",/world-university-rankings/mcmaster-university
Columbia University,United States,0,Columbia University,476,15,15,private,87.1,23,-,47,70.9,13,82.6,15,82.8,22,83.0,15,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,16,16,master_account,80.1,34,75.0,13,74.7,10,82.0,16,88.4,7,80.5,21,"Medicine & Dentistry,Other Health",/world-university-rankings/university-melbourne
University of Pennsylvania,United States,0,University of Pennsylvania,480,16,16,private,87.2,22,42.5,37,46.4,38,82.0,17,86.3,17,84.5,12,"Other Health,Medicine & Dentistry",/world-university-rankings/university-pennsylvania
McGill University,Canada,0,McGill University,492,18,18,master_account,80.1,33,40.8,42,60.5,24,81.3,18,87.7,10,85.8,7,"Medicine & Dentistry,Other Health",/world-university-rankings/mcgill-university
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,19,19,public,91.0,15,42.0,39,38.5,44,81.0,19,81.3,24,83.2,14,"Other Health,Medicine & Dentistry",/world-university-rankings/university-north-carolina-chapel-hill
King’s College London,United Kingdom,11,King’s College London,520,20,20,master_account,86.2,25,43.0,35,83.7,4,80.4,20,80.0,26,75.9,25,"Other Health,Medicine & Dentistry",/world-university-rankings/kings-college-london
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,21,21,public,83.2,28,48.0,28,45.1,39,80.3,21,84.5,18,84.9,10,"Other Health,Medicine & Dentistry",/world-university-rankings/university-michigan-ann-arbor
University of Toronto,Canada,0,University of Toronto,483,22,22,master_account,72.4,42,56.8,18,62.1,21,79.9,22,90.1,5,86.0,6,"Other Health,Medicine & Dentistry",/world-university-rankings/university-toronto
Karolinska Institute,Sweden,0,Karolinska Institute,496,23,23,master_account,73.7,38,56.6,19,57.9,28,79.2,23,91.3,2,82.0,18,"Other Health,Medicine & Dentistry",/world-university-rankings/karolinska-institute
University of Pittsburgh-Pittsburgh campus,United States,0,University of Pittsburgh-Pittsburgh campus,524,24,24,public,89.1,18,41.4,40,35.3,46,79.0,24,79.6,27,81.0,20,"Medicine & Dentistry,Other Health",/world-university-rankings/university-pittsburgh-pittsburgh-campus
University of Sydney UniSyd,Australia,11,University of Sydney,522,25,25,master_account,72.7,41,72.8,14,80.0,8,77.7,25,83.9,19,77.9,24,"Medicine & Dentistry,Other Health",/world-university-rankings/university-sydney
"University of California, San Diego",United States,0,"University of California, San Diego",497,26,26,public,91.1,14,42.6,36,39.4,43,76.5,26,79.3,28,68.4,37,"Medicine & Dentistry,Other Health",/world-university-rankings/university-california-san-diego
