aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
The Hong Kong University of Science and Technology hkust,Hong Kong,11,The Hong Kong University of Science and Technology,526,23,23,master_account,73.2,24,59.4,27,75.9,13,74.4,23,78.9,29,73.2,33,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-university-science-and-technology
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,24,24,master_account,91.8,9,100.0,2,24.1,47,74.3,24,71.5,36,69.4,37,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/pohang-university-science-and-technology-postech
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,25,25,master_account,79.7,18,68.3,23,79.6,9,74.2,25,73.4,34,69.4,38,"Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/university-melbourne
"Nanyang Technological University, Singapore NTU Nan yang",Singapore,6,"Nanyang Technological University, Singapore",634,26,26,master_account,64.4,34,94.9,11,88.0,2,73.1,26,79.8,26,67.0,41,"Chemical Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/nanyang-technological-university-singapore
University of Pennsylvania,United States,0,University of Pennsylvania,480,26,26,private,85.2,15,37.5,41,36.3,40,73.1,27,75.6,32,74.5,30,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-pennsylvania
The University of Tokyo,Japan,0,The University of Tokyo,494,28,28,master_account,54.6,42,47.4,35,24.5,46,72.6,28,89.3,18,88.8,13,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/university-tokyo
École Polytechnique,France,6,École Polytechnique,527,29,29,master_account,87.2,12,59.5,26,72.5,18,70.8,29,62.6,48,65.3,42,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/ecole-polytechnique
Rice University,United States,0,Rice University,536,30,30,private,100.0,1,54.1,32,64.9,20,70.5,30,54.8,50,63.3,47,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/rice-university
Tsinghua University Qinghua University Tsing hua University Qing hua University,China,6,Tsinghua University,535,31,31,master_account,38.3,48,98.4,7,22.6,49,69.9,31,88.7,20,87.2,17,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/tsinghua-university
Delft University of Technology,Netherlands,0,Delft University of Technology,568,32,32,master_account,29.7,49,97.3,9,60.1,25,69.8,32,92.0,9,82.1,21,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/delft-university-technology
University of Manchester,United Kingdom,0,University of Manchester,512,33,33,master_account,66.3,32,52.0,33,79.3,10,69.4,33,68.5,44,73.6,32,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-manchester
University of Washington,United States,0,University of Washington,489,34,34,public,82.7,16,36.0,43,53.3,29,69.3,34,71.4,38,64.6,44,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-washington
UCL ucl UCL,United Kingdom,0,UCL,481,35,35,master_account,64.0,35,38.2,39,86.1,7,69.0,35,69.1,43,74.4,31,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/ucl
Seoul National University,South Korea,0,Seoul National University,588,36,36,master_account,55.2,40,81.6,15,21.6,50,67.8,36,79.0,28,77.5,25,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/seoul-national-university
"University of California, San Diego",United States,0,"University of California, San Diego",497,36,36,public,73.6,23,37.6,40,33.0,41,67.8,37,76.5,31,67.4,40,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-san-diego
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,38,38,master_account,66.4,31,96.1,10,73.8,16,67.2,38,65.4,45,63.4,46,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-queensland
University of British Columbia ubc,Canada,11,University of British Columbia,486,39,39,master_account,54.5,44,39.9,38,79.2,11,67.1,39,77.7,30,69.5,36,"Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-british-columbia
KU Leuven,Belgium,11,KU Leuven,531,40,40,master_account,63.7,36,98.8,6,53.1,30,66.8,40,70.2,40,64.5,45,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/ku-leuven
University of Wisconsin-Madison,United States,0,University of Wisconsin-Madison,491,41,41,public,54.6,43,57.8,30,30.2,42,66.3,41,81.6,25,72.2,34,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-wisconsin-madison
Purdue University West Lafayette,United States,0,Purdue University West Lafayette,562,42,42,public,41.4,47,-,47,51.2,33,66.2,42,85.0,21,77.8,24,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/purdue-university-west-lafayette
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,43,43,master_account,54.6,41,31.5,44,72.8,17,64.7,43,70.2,41,72.0,35,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-hong-kong
Korea Advanced Institute of Science and Technology (KAIST),South Korea,0,Korea Advanced Institute of Science and Technology (KAIST),558,44,44,master_account,26.9,50,100.0,1,26.6,45,64.6,44,84.4,22,83.0,20,"Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
University of Minnesota,United States,0,University of Minnesota,506,45,45,public,66.7,30,-,50,28.6,43,64.2,45,71.4,37,69.0,39,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/university-minnesota
University of Sydney UniSyd,Australia,11,University of Sydney,522,46,46,master_account,62.6,37,71.5,20,87.9,3,64.1,46,63.7,46,58.7,48,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-sydney
Kyoto University,Japan,0,Kyoto University,516,47,47,master_account,52.2,45,59.6,25,24.0,48,63.9,47,73.3,35,75.8,28,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/kyoto-university
"University of California, Davis",United States,0,"University of California, Davis",503,48,48,public,68.1,29,70.8,22,66.8,19,63.5,48,62.8,47,58.1,50,"Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-california-davis
Duke University,United States,0,Duke University,487,49,49,private,71.7,26,99.6,5,42.9,39,63.2,49,59.6,49,58.1,49,,/world-university-rankings/duke-university
Tokyo Institute of Technology,Japan,6,Tokyo Institute of Technology,572,50,50,master_account,52.2,46,58.4,28,27.6,44,63.0,50,70.4,39,74.9,29,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/tokyo-institute-technology
