aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Stanford University,,United States,11,Stanford University,467,1,1,private,90.8,1,68.5,4,69.1,18,91.5,1,93.8,8,95.4,3,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/stanford-university
Columbia University,,United States,0,Columbia University,476,2,2,private,77.0,13,-,46,72.1,14,90.6,2,96.5,3,94.8,4,"History, Philosophy & Theology,Art, Performing Arts & Design,Architecture,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/columbia-university
Harvard University,,United States,0,Harvard University,466,3,3,private,82.9,7,40.0,43,71.7,16,89.9,3,93.4,10,96.1,1,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/harvard-university
University of Chicago,,United States,11,University of Chicago,473,3,3,private,67.0,28,-,50,67.2,20,89.9,4,98.5,1,95.8,2,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-chicago
University of Pennsylvania,,United States,0,University of Pennsylvania,480,5,5,private,75.9,15,53.8,7,46.7,37,87.8,5,97.1,2,93.8,5,"Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/university-pennsylvania
University of Oxford,,United Kingdom,0,University of Oxford,468,6,6,master_account,66.7,29,41.4,25,69.4,17,86.6,6,95.2,6,92.3,7,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-oxford
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,7,7,public,77.3,12,42.2,18,48.5,34,85.7,7,94.1,7,91.0,10,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,Archaeology",/world-university-rankings/university-california-berkeley
University of Cambridge,,United Kingdom,0,University of Cambridge,470,8,8,master_account,54.4,41,46.0,12,66.1,22,85.2,8,96.1,4,93.0,6,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,History, Philosophy & Theology",/world-university-rankings/university-cambridge
Princeton University,,United States,0,Princeton University,469,9,9,private,82.2,9,41.8,20,51.9,32,85.1,9,92.0,12,88.8,11,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Architecture",/world-university-rankings/princeton-university
UCL ucl UCL,,United Kingdom,0,UCL,481,10,10,master_account,67.7,27,41.1,27,85.5,2,84.9,10,92.5,11,86.9,12,"Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/ucl
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,11,11,master_account,73.4,17,40.5,32,80.7,6,84.7,11,91.1,17,86.6,13,"History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-edinburgh
New York University,,United States,0,New York University,508,12,12,private,65.9,31,41.5,22,46.8,36,84.3,12,95.3,5,91.1,9,"Architecture,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/new-york-university
Australian National University anu,,Australia,0,Australian National University,502,13,13,master_account,83.3,6,40.3,37,83.9,3,83.4,13,93.4,9,76.2,27,"History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design",/world-university-rankings/australian-national-university
Duke University,,United States,0,Duke University,487,14,14,private,82.4,8,100.0,1,52.4,31,83.3,14,91.7,13,80.4,19,,/world-university-rankings/duke-university
Yale University,,United States,0,Yale University,475,15,15,private,57.3,37,40.5,33,59.8,27,82.8,15,91.6,15,91.6,8,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Architecture",/world-university-rankings/yale-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,16,16,public,68.4,26,-,49,45.3,38,81.2,16,91.1,16,86.0,14,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Architecture",/world-university-rankings/university-california-los-angeles
University of Toronto,,Canada,0,University of Toronto,483,17,17,master_account,72.8,20,40.0,45,54.6,30,81.1,17,91.6,14,82.1,17,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture",/world-university-rankings/university-toronto
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,18,18,public,79.5,11,41.4,24,44.3,39,80.1,18,88.5,19,81.8,18,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/university-michigan-ann-arbor
Cornell University,,United States,0,Cornell University,484,19,19,private,73.1,19,40.0,42,60.2,26,79.0,19,83.4,26,83.2,16,"Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/cornell-university
"Rutgers, the State University of New Jersey",,United States,0,"Rutgers, the State University of New Jersey",546,20,20,public,83.4,5,47.1,11,29.7,49,78.2,20,88.4,20,77.9,24,"Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design",/world-university-rankings/rutgers-state-university-new-jersey-0
