aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,1,1,private,100.0,1,47.3,27,65.3,21,91.6,1,91.4,6,92.1,3,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
University of Cambridge,United Kingdom,0,University of Cambridge,470,2,2,master_account,94.7,7,54.7,17,81.3,9,91.2,2,88.9,11,94.9,1,"Biological Sciences,Veterinary Science",/world-university-rankings/university-cambridge
Harvard University,United States,0,Harvard University,466,3,3,private,96.8,4,45.4,29,61.1,25,90.9,3,92.8,1,93.8,2,Biological Sciences,/world-university-rankings/harvard-university
University of Oxford,United Kingdom,0,University of Oxford,468,4,4,master_account,92.1,10,61.8,10,82.8,8,90.1,4,91.0,7,91.1,5,Biological Sciences,/world-university-rankings/university-oxford
Stanford University,United States,11,Stanford University,467,5,5,private,94.2,8,52.4,19,56.6,31,89.3,5,92.7,2,92.1,4,Biological Sciences,/world-university-rankings/stanford-university
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,6,6,public,97.6,3,50.1,23,45.8,37,88.6,6,92.1,4,88.6,6,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-berkeley
Johns Hopkins University,United States,0,Johns Hopkins University,478,7,7,private,89.9,16,99.9,2,66.3,20,87.9,7,90.8,8,87.3,8,Biological Sciences,/world-university-rankings/johns-hopkins-university
Princeton University,United States,0,Princeton University,469,8,8,private,98.2,2,82.5,8,54.0,33,87.2,8,87.4,14,82.6,13,Biological Sciences,/world-university-rankings/princeton-university
Yale University,United States,0,Yale University,475,9,9,private,90.7,13,40.8,32,60.5,27,86.3,9,91.6,5,86.6,9,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/yale-university
Imperial College London,United Kingdom,0,Imperial College London,472,10,10,master_account,77.9,29,49.9,24,91.2,2,83.8,10,88.5,12,87.8,7,Biological Sciences,/world-university-rankings/imperial-college-london
Duke University,United States,0,Duke University,487,11,11,private,92.6,9,99.5,4,50.0,34,81.9,11,79.5,24,77.6,26,,/world-university-rankings/duke-university
University of Chicago,United States,11,University of Chicago,473,12,12,private,90.0,15,-,49,60.5,26,81.6,12,78.0,29,82.5,14,Biological Sciences,/world-university-rankings/university-chicago
Cornell University,United States,0,Cornell University,484,13,13,private,77.7,30,52.0,20,56.8,30,80.7,13,92.1,3,82.4,15,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/cornell-university
Columbia University,United States,0,Columbia University,476,14,14,private,87.5,18,-,46,66.9,19,80.6,14,76.9,32,82.0,16,Biological Sciences,/world-university-rankings/columbia-university
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,15,15,public,86.2,21,-,48,41.8,40,80.3,15,89.9,10,78.0,24,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-los-angeles
ETH Zurich,Switzerland,0,ETH Zurich,479,16,16,master_account,80.2,27,-,47,90.3,5,80.2,16,79.2,25,78.8,22,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/eth-zurich
"University of California, San Diego",United States,0,"University of California, San Diego",497,17,17,public,91.5,11,40.7,33,37.4,43,79.1,17,82.3,21,74.9,31,Biological Sciences,/world-university-rankings/university-california-san-diego
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,18,18,public,84.5,24,61.6,11,57.7,28,79.0,18,80.6,23,78.0,25,"Sport Science,Biological Sciences",/world-university-rankings/university-michigan-ann-arbor
UCL ucl UCL,United Kingdom,0,UCL,481,19,19,master_account,76.6,33,37.8,39,84.6,7,78.9,19,81.2,22,81.9,17,Biological Sciences,/world-university-rankings/ucl
University of British Columbia ubc,Canada,11,University of British Columbia,486,20,20,master_account,76.8,32,37.3,40,80.6,10,78.8,20,83.4,16,80.1,21,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-british-columbia
University of Pennsylvania,United States,0,University of Pennsylvania,480,21,21,private,86.4,20,40.7,34,42.8,39,78.2,21,78.6,28,80.3,19,"Veterinary Science,Biological Sciences",/world-university-rankings/university-pennsylvania
