aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Illinois at Urbana-Champaign,,United States,0,University of Illinois at Urbana-Champaign,495,24,24,public,75.7,36,-,50,44.1,43,75.5,24,82.0,21,79.6,18,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/university-illinois-urbana-champaign
The University of Tokyo,,Japan,0,The University of Tokyo,494,25,25,master_account,70.6,41,59.3,17,25.5,49,74.9,25,84.0,19,86.3,14,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-tokyo
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,26,26,master_account,83.5,30,89.3,7,72.0,14,73.9,26,71.9,31,62.9,39,"Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/university-melbourne
University of Toronto,,Canada,0,University of Toronto,483,27,27,master_account,72.8,39,33.8,39,70.2,17,73.4,27,78.6,24,73.5,28,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-toronto
Australian National University anu,,Australia,0,Australian National University,502,28,28,master_account,53.2,50,43.7,26,89.0,3,71.9,28,86.4,14,79.1,21,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry",/world-university-rankings/australian-national-university
Pierre and Marie Curie University,,France,0,Pierre and Marie Curie University,548,29,29,master_account,68.4,42,30.9,42,66.0,21,71.6,29,73.5,29,79.2,20,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/pierre-and-marie-curie-university
University of Colorado Boulder,,United States,0,University of Colorado Boulder,541,30,30,public,89.8,19,-,49,47.5,40,71.3,30,70.3,35,57.2,44,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-colorado-boulder
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,31,31,master_account,86.7,28,57.7,18,73.0,13,70.9,31,57.4,41,64.7,38,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-edinburgh
University of Pennsylvania,,United States,0,University of Pennsylvania,480,32,32,private,88.8,22,45.1,24,39.0,45,70.5,32,61.5,39,67.2,34,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-pennsylvania
Rice University,,United States,0,Rice University,536,33,33,private,99.9,1,38.0,33,77.1,12,69.9,33,44.3,50,58.2,43,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/rice-university
University of Göttingen,,Germany,0,University of Göttingen,533,34,34,master_account,98.8,3,34.3,37,49.3,38,69.7,34,52.7,44,58.4,42,"Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/university-gottingen
University of British Columbia ubc,,Canada,11,University of British Columbia,486,35,35,master_account,73.0,38,39.1,31,84.4,4,69.4,35,70.3,34,62.8,40,"Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",/world-university-rankings/university-british-columbia
Duke University,,United States,0,Duke University,487,36,36,private,89.7,20,100.0,1,46.1,42,68.7,36,60.9,40,53.2,47,"Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",/world-university-rankings/duke-university
Paris-Sud University,,France,6,Paris-Sud University,867,36,36,master_account,68.0,43,30.7,43,63.2,24,68.7,37,70.5,33,72.6,29,"Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/paris-sud-university
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,38,38,public,66.7,44,34.0,38,33.4,48,68.1,38,80.1,23,70.3,30,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/university-wisconsin-madison
Kyoto University,,Japan,0,Kyoto University,516,39,39,master_account,53.7,49,83.1,9,24.0,50,67.7,40,83.9,20,79.9,17,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/kyoto-university
Heidelberg University,,Germany,0,Heidelberg University,537,39,39,master_account,79.2,34,40.2,29,57.1,30,67.7,39,56.4,42,69.7,32,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/heidelberg-university-0
UCL ucl UCL,,United Kingdom,0,UCL,481,39,39,master_account,63.0,45,52.5,21,83.5,6,67.7,42,68.6,36,69.8,31,"Mathematics & Statistics,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/ucl
National University of Singapore nus,,Singapore,6,National University of Singapore,504,39,39,master_account,62.2,46,70.1,12,83.2,7,67.7,41,72.3,30,65.6,36,"Mathematics & Statistics,Chemistry,Physics & Astronomy",/world-university-rankings/national-university-singapore
Brown University,,United States,0,Brown University,513,43,43,private,97.6,4,32.1,41,41.5,44,67.3,43,49.3,48,56.8,45,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/brown-university
École Normale Supérieure,,France,0,École Normale Supérieure,523,44,44,master_account,61.4,47,48.4,22,65.1,23,67.2,44,64.8,37,79.3,19,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/ecole-normale-superieure
Peking University,,China,0,Peking University,514,45,45,master_account,58.1,48,100.0,2,34.0,47,67.1,46,74.6,28,76.9,24,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry",/world-university-rankings/peking-university
Durham University united kingdom UK  England,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-56154151,United Kingdom,11,Durham University,547,45,45,master_account,95.1,11,42.5,28,65.2,22,67.1,45,49.5,47,51.7,48,"Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/durham-university
Georgia Institute of Technology,,United States,0,Georgia Institute of Technology,488,47,47,public,87.7,26,54.0,20,69.8,18,66.7,47,51.8,46,55.2,46,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/georgia-institute-technology
Boston University,,United States,0,Boston University,518,48,48,private,87.1,27,32.8,40,48.5,39,64.3,48,46.8,49,59.9,41,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/boston-university
"University of California, Santa Cruz",,United States,0,"University of California, Santa Cruz",574,48,48,public,99.9,2,-,47,38.1,46,64.3,49,53.2,43,39.5,50,"Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",/world-university-rankings/university-california-santa-cruz
Carnegie Mellon University,,United States,0,Carnegie Mellon University,485,50,50,private,95.8,8,39.0,32,52.4,36,64.1,50,51.8,45,41.4,49,"Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/carnegie-mellon-university
