aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Stuttgart,,Germany,0,University of Stuttgart,1031,301-350,301,master_account,56.9,297,48.2,154,59.3,173,-,367,17.3,360,30.6,256,"Civil Engineering,Electrical & Electronic Engineering,Education,Mechanical & Aerospace Engineering,General Engineering,Computer Science,Chemistry,Physics & Astronomy,Mathematics & Statistics,Business & Management,Politics & International Studies (incl Development Studies),Architecture,Sport Science,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-stuttgart
Bangor University,,United Kingdom,0,Bangor University,715,301-350,301,master_account,55.8,301,31.1,344,73.1,90,-,208,23.0,300,22.4,353,"Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Education,Business & Management,Sport Science,General Engineering,Geography,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Other Health,Art, Performing Arts & Design,Biological Sciences,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Communication & Media Studies,Computer Science,Economics & Econometrics,Accounting & Finance,Psychology",/world-university-rankings/bangor-university
University of Campinas,,Brazil,0,University of Campinas,759,301-350,301,master_account,28.0,401,44.5,179,20.7,395,-,281,38.8,139,43.4,112,"Sport Science,Languages, Literature & Linguistics,Chemistry,Education,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Other Health,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Civil Engineering,Physics & Astronomy,Chemical Engineering,Computer Science,Mathematics & Statistics,General Engineering,Economics & Econometrics,Sociology,Business & Management",/world-university-rankings/university-campinas
University of Marrakech Cadi Ayyad,,Morocco,0,University of Marrakech Cadi Ayyad,998,301-350,301,master_account,83.0,86,28.6,377,45.1,270,-,337,6.5,401,16.3,396,"General Engineering,Business & Management,Accounting & Finance,Architecture,Other Health,Agriculture & Forestry,Sociology,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science,Economics & Econometrics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Chemistry,Physics & Astronomy,Mathematics & Statistics,Biological Sciences,Art, Performing Arts & Design,Law,Archaeology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Geography,Medicine & Dentistry,Psychology,History, Philosophy & Theology",/world-university-rankings/university-marrakech-cadi-ayyad
Deakin University,,Australia,11,Deakin University,822,301-350,301,master_account,57.5,286,30.6,352,71.8,92,-,224,20.6,329,20.1,378,"Chemical Engineering,Business & Management,Biological Sciences,Agriculture & Forestry,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Other Health,Geography,Electrical & Electronic Engineering,Law,General Engineering,Civil Engineering,Mathematics & Statistics,Psychology,Archaeology,Sport Science,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Medicine & Dentistry,Architecture,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Accounting & Finance,Chemistry,History, Philosophy & Theology,Education,Art, Performing Arts & Design",/world-university-rankings/deakin-university
Hong Kong Baptist University hkbu,,Hong Kong,11,Hong Kong Baptist University,748,301-350,301,master_account,70.8,184,29.1,368,62.3,146,-,233,13.2,387,21.2,363,"Accounting & Finance,Psychology,Economics & Econometrics,Biological Sciences,Chemical Engineering,Chemistry,Other Health,Communication & Media Studies,Education,Sport Science,Geology, Environmental, Earth & Marine Sciences,Law,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Medicine & Dentistry,Physics & Astronomy,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Business & Management,Geography",/world-university-rankings/hong-kong-baptist-university
Linköping University,,Sweden,0,Linköping University,789,351-400,351,master_account,51.5,330,-,386,50.9,229,-,248,27.6,253,20.2,374,"Law,Computer Science,Art, Performing Arts & Design,Geography,History, Philosophy & Theology,Accounting & Finance,Sociology,Physics & Astronomy,Chemistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,General Engineering,Other Health,Civil Engineering,Mathematics & Statistics,Education,Biological Sciences,Mechanical & Aerospace Engineering,Psychology",/world-university-rankings/linkoping-university
University of Rome III,,Italy,0,University of Rome III,1016,351-400,351,master_account,62.1,253,37.7,256,48.0,253,-,356,11.8,392,19.3,385,"Architecture,Business & Management,General Engineering,Law,Civil Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Communication & Media Studies,Electrical & Electronic Engineering",/world-university-rankings/university-rome-iii
Wuhan University,,China,11,Wuhan University,863,351-400,351,master_account,48.5,352,85.9,45,33.1,350,-,398,17.4,356,34.1,205,"Medicine & Dentistry,Physics & Astronomy,Computer Science,Geography,Architecture,Biological Sciences,Agriculture & Forestry,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Politics & International Studies (incl Development Studies),Chemistry,Mathematics & Statistics,Civil Engineering,General Engineering,Business & Management,Mechanical & Aerospace Engineering,Communication & Media Studies,Art, Performing Arts & Design,Languages, Literature & Linguistics,Economics & Econometrics,History, Philosophy & Theology,Accounting & Finance,Law,Electrical & Electronic Engineering",/world-university-rankings/wuhan-university
Ruhr University Bochum,,Germany,0,Ruhr University Bochum,718,351-400,351,master_account,42.0,380,47.4,158,53.6,214,-,275,22.5,307,31.5,243,"Business & Management,Languages, Literature & Linguistics,Sociology,Economics & Econometrics,Communication & Media Studies,Medicine & Dentistry,Art, Performing Arts & Design,Law,Other Health,Psychology,Education,Computer Science,Geography,Mathematics & Statistics,Archaeology,Civil Engineering,Biological Sciences,Physics & Astronomy,Chemistry,General Engineering,Chemical Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,Veterinary Science,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Sport Science,Accounting & Finance",/world-university-rankings/ruhr-university-bochum
