aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,1,1,private,99.8,5,91.2,31,65.8,127,94.9,1,98.2,3,94.4,3,"Politics & International Studies (incl Development Studies),Biological Sciences,Chemistry,General Engineering,Computer Science,Economics & Econometrics,Civil Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Chemical Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics",/world-university-rankings/california-institute-technology
Harvard University,,United States,0,Harvard University,466,2,2,private,99.1,9,40.6,208,66.2,125,93.9,2,98.5,1,95.3,1,"Education,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sociology,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry,Art, Performing Arts & Design,Communication & Media Studies,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,General Engineering,Other Health,Computer Science,Architecture,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Biological Sciences,Business & Management,Economics & Econometrics,Physics & Astronomy,Archaeology",/world-university-rankings/harvard-university
University of Oxford,,United Kingdom,0,University of Oxford,468,2,2,master_account,95.4,26,90.3,33,90.2,13,93.9,3,98.5,2,89.0,8,"Computer Science,Civil Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,Biological Sciences,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Other Health,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Economics & Econometrics,Law,Mechanical & Aerospace Engineering,Chemistry,Sociology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Geography,Medicine & Dentistry",/world-university-rankings/university-oxford
Stanford University,,United States,11,Stanford University,467,4,4,private,99.1,10,61.3,91,68.0,110,93.8,4,96.8,6,94.7,2,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Computer Science,Psychology,Other Health,Business & Management,Mechanical & Aerospace Engineering,Archaeology,Law,Education,Chemical Engineering,Medicine & Dentistry,Accounting & Finance,Biological Sciences,Art, Performing Arts & Design,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Geology, Environmental, Earth & Marine Sciences,Chemistry,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/stanford-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,5,5,private,100.0,1,94.3,29,82.0,46,93.0,5,89.0,10,92.9,4,"Communication & Media Studies,Medicine & Dentistry,Psychology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Business & Management,Veterinary Science,Electrical & Electronic Engineering,Chemical Engineering,Physics & Astronomy,Computer Science,Chemistry,Architecture,Civil Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Archaeology,Other Health,Economics & Econometrics,General Engineering,Sociology,History, Philosophy & Theology,Mathematics & Statistics,Art, Performing Arts & Design",/world-university-rankings/massachusetts-institute-technology
Princeton University,,United States,0,Princeton University,469,6,6,private,99.7,6,80.5,50,59.6,158,92.7,6,97.6,4,89.9,6,"Psychology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Physics & Astronomy,Mathematics & Statistics,Biological Sciences,Other Health,Languages, Literature & Linguistics,General Engineering,Chemical Engineering,Archaeology,Economics & Econometrics,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science,Architecture,Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,7,7,master_account,95.7,22,52.8,115,86.7,25,92.3,7,95.3,7,90.6,5,"Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Art, Performing Arts & Design,Medicine & Dentistry,Economics & Econometrics,Mathematics & Statistics,Architecture,General Engineering,Biological Sciences,History, Philosophy & Theology,Law,Veterinary Science,Psychology,Chemical Engineering,Education,Computer Science,Geography",/world-university-rankings/university-cambridge
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,8,8,public,99.3,8,59.5,100,57.3,183,89.8,8,97.5,5,83.2,14,"Geology, Environmental, Earth & Marine Sciences,Other Health,Education,Law,Chemical Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Business & Management,Geography,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,Electrical & Electronic Engineering,Architecture,Archaeology,Politics & International Studies (incl Development Studies),Biological Sciences,Physics & Astronomy,Mathematics & Statistics,Psychology,Chemistry,Computer Science,Sociology,Civil Engineering,General Engineering,Economics & Econometrics",/world-university-rankings/university-california-berkeley
University of Chicago,,United States,11,University of Chicago,473,9,9,private,98.0,12,-,388,58.6,169,87.8,9,88.2,12,85.6,10,"Accounting & Finance,Archaeology,History, Philosophy & Theology,Medicine & Dentistry,Other Health,Economics & Econometrics,Computer Science,Education,Biological Sciences,Languages, Literature & Linguistics,Art, Performing Arts & Design,Law,Mathematics & Statistics,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Psychology,Politics & International Studies (incl Development Studies),Business & Management,Geography,Sociology",/world-university-rankings/university-chicago
Imperial College London,,United Kingdom,0,Imperial College London,472,10,10,master_account,90.0,42,72.3,63,91.8,6,87.5,10,88.1,13,84.5,13,"Physics & Astronomy,Civil Engineering,Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemical Engineering,Chemistry,Medicine & Dentistry,Computer Science",/world-university-rankings/imperial-college-london
Yale University,,United States,0,Yale University,475,11,11,private,93.5,32,38.7,235,57.6,180,87.4,11,90.5,9,89.5,7,"Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Other Health,Physics & Astronomy,Psychology,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Economics & Econometrics,Biological Sciences,Law,Business & Management,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Archaeology,Agriculture & Forestry,Electrical & Electronic Engineering,Chemical Engineering,Architecture",/world-university-rankings/yale-university
