aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Federal University of Goiás,,Brazil,0,Federal University of Goiás,131286,1001+,10580,master_account,13.3,1101,37.6,750,18.3,1162,9.8–18.9,10580,9.4,1086,18.5,921,44 : 56,"29,558",0%,13.3,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Architecture,Economics & Econometrics,Business & Management,Communication & Media Studies,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Law,Accounting & Finance,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Chemical Engineering,Agriculture & Forestry,Languages, Literature & Linguistics,Veterinary Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Geography,Education,Civil Engineering,Sport Science,Other Health,Biological Sciences,Mathematics & Statistics,Chemistry,Psychology",/world-university-rankings/federal-university-goias
Federal University of Itajubá,,Brazil,0,Federal University of Itajubá,625677,1001+,10590,master_account,10.2,1169,36.6,834,21.4,1086,9.8–18.9,10590,8.6,1153,15.7,1085,29 : 71,"8,997",1%,18.2,"Computer Science,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Business & Management,Physics & Astronomy,Chemistry,Biological Sciences,Chemical Engineering,Electrical & Electronic Engineering,Mathematics & Statistics",/world-university-rankings/federal-university-itajuba
Federal University of Lavras,,Brazil,0,Federal University of Lavras,131376,1001+,10600,master_account,7.8,1200,37.6,751,17.9,1173,9.8–18.9,10600,13.3,840,25.2,585,52 : 48,"15,389",1%,22.1,"History, Philosophy & Theology,Other Health,Medicine & Dentistry,Computer Science,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Agriculture & Forestry,Biological Sciences,Veterinary Science,Sport Science,Mathematics & Statistics,Business & Management,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Education,Law",/world-university-rankings/federal-university-lavras
Federal University of Pará,,Brazil,0,Federal University of Pará,649211,1001+,10610,master_account,9.6,1179,34.5,1080,23.2,1043,9.8–18.9,10610,9.1,1119,16.1,1055,56 : 44,"49,435",0%,20.7,"Civil Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Sport Science,Architecture,Veterinary Science,Chemistry,Education,Communication & Media Studies,Physics & Astronomy,Economics & Econometrics,Law,Biological Sciences,Psychology,Mechanical & Aerospace Engineering,Computer Science,Electrical & Electronic Engineering,Medicine & Dentistry,Sociology,Geography,Languages, Literature & Linguistics,Business & Management,Mathematics & Statistics,Agriculture & Forestry,General Engineering,Chemical Engineering,Accounting & Finance,Other Health",/world-university-rankings/federal-university-para
Federal University of Paraná (UFPR),,Brazil,0,Federal University of Paraná (UFPR),131706,1001+,10620,master_account,10.1,1172,34.0,1212,20.8,1102,9.8–18.9,10620,11.0,984,19.6,857,51 : 49,"32,952",0%,12.8,"Education,Architecture,Medicine & Dentistry,Languages, Literature & Linguistics,Agriculture & Forestry,Mechanical & Aerospace Engineering,Veterinary Science,Biological Sciences,Other Health,General Engineering,Electrical & Electronic Engineering,Computer Science,Business & Management,Civil Engineering,Chemical Engineering,Accounting & Finance,History, Philosophy & Theology,Art, Performing Arts & Design,Economics & Econometrics,Sociology,Physics & Astronomy,Communication & Media Studies,Sport Science,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Geography,Politics & International Studies (incl Development Studies),Psychology,Law",/world-university-rankings/federal-university-parana-ufpr
Federal University of Pernambuco,,Brazil,0,Federal University of Pernambuco,131505,1001+,10630,master_account,14.1,1082,36.7,828,21.4,1087,9.8–18.9,10630,8.9,1137,23.6,658,50 : 50,"38,264",1%,14.7,"Art, Performing Arts & Design,Law,Medicine & Dentistry,Electrical & Electronic Engineering,Computer Science,General Engineering,Accounting & Finance,Other Health,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Psychology,Biological Sciences,Business & Management,Economics & Econometrics,Sport Science,Physics & Astronomy,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Education,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Geography,Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/federal-university-pernambuco
Federal University of Rio Grande do Norte (UFRN),,Brazil,0,Federal University of Rio Grande do Norte (UFRN),584736,1001+,10640,master_account,16.0,1052,41.9,502,22.1,1065,9.8–18.9,10640,8.4,1172,18.7,914,56 : 44,"39,365",0%,16.3,"Art, Performing Arts & Design,Business & Management,Computer Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Accounting & Finance,Medicine & Dentistry,Chemical Engineering,Veterinary Science,Architecture,Economics & Econometrics,Biological Sciences,General Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sport Science,Mathematics & Statistics,Chemistry,Other Health,Geography,Languages, Literature & Linguistics,Psychology",/world-university-rankings/federal-university-rio-grande-do-norte-ufrn
Federal University of Santa Maria,,Brazil,0,Federal University of Santa Maria,131632,1001+,10650,master_account,11.4,1145,35.8,918,16.5,1203,9.8–18.9,10650,8.4,1173,18.4,928,56 : 44,"26,334",0%,13.8,"Geography,Chemistry,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,General Engineering,Chemical Engineering,Veterinary Science,Law,Sport Science,Agriculture & Forestry,Art, Performing Arts & Design,Psychology,Business & Management,Archaeology,Biological Sciences,Physics & Astronomy,Communication & Media Studies,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Politics & International Studies (incl Development Studies),Sociology,Accounting & Finance,Computer Science,Mathematics & Statistics,Medicine & Dentistry,Other Health,Architecture,Economics & Econometrics,Languages, Literature & Linguistics",/world-university-rankings/federal-university-santa-maria
Federal University of Technology – Paraná,,Brazil,0,Federal University of Technology – Paraná,623778,1001+,10660,master_account,7.2,1205,36.8,817,18.1,1169,9.8–18.9,10660,8.6,1154,14.3,1182,36 : 64,"33,025",1%,13.2,"Accounting & Finance,Agriculture & Forestry,Mathematics & Statistics,Communication & Media Studies,Art, Performing Arts & Design,Architecture,Business & Management,Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Sport Science,Chemistry,Education,Languages, Literature & Linguistics,Computer Science,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/federal-university-technology-parana
Federal University of Uberlândia,,Brazil,0,Federal University of Uberlândia,623493,1001+,10670,master_account,9.7,1178,34.3,1122,16.7,1202,9.8–18.9,10670,9.2,1110,23.7,650,,"20,461",%,11.5,,/world-university-rankings/federal-university-uberlandia
