aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,1,1,private,98.9,2,99.2,12,76.4,23,93.1,1,90.0,7,94.0,2,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,2,2,private,98.6,5,-,89,73.6,29,91.9,2,95.5,2,90.4,6,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/stanford-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,3,3,public,98.0,8,79.1,32,56.3,52,90.6,3,96.5,1,88.5,8,"Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-california-berkeley
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,4,4,private,98.6,4,-,81,75.2,26,90.5,4,82.8,16,95.1,1,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/california-institute-technology
Princeton University,,United States,0,Princeton University,469,5,5,private,98.8,3,100.0,5,52.5,61,89.5,5,89.5,8,88.3,10,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/princeton-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,6,6,master_account,85.2,22,81.6,29,84.1,14,88.8,6,90.3,6,92.8,4,"Chemical Engineering,General Engineering",/world-university-rankings/university-cambridge
University of Oxford,,United Kingdom,0,University of Oxford,468,7,7,master_account,81.6,29,63.1,47,85.4,12,87.6,7,91.3,4,94.0,3,"Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-oxford
ETH Zurich,,Switzerland,0,ETH Zurich,479,8,8,master_account,79.3,35,82.0,27,89.8,5,86.9,8,92.0,3,88.8,7,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Chemical Engineering",/world-university-rankings/eth-zurich
Imperial College London,,United Kingdom,0,Imperial College London,472,9,9,master_account,80.9,32,74.1,37,87.8,9,86.0,9,87.6,10,90.6,5,"Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/imperial-college-london
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,10,10,public,97.2,10,-,90,63.7,38,84.9,10,86.6,11,81.8,14,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-california-los-angeles
Georgia Institute of Technology,,United States,0,Georgia Institute of Technology,488,11,11,public,82.5,26,76.4,34,64.5,37,82.3,11,88.3,9,81.6,15,"Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/georgia-institute-technology
Carnegie Mellon University,,United States,0,Carnegie Mellon University,485,12,12,private,72.3,46,73.4,38,53.8,56,81.3,12,90.7,5,88.3,9,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/carnegie-mellon-university
National University of Singapore nus,,Singapore,6,National University of Singapore,504,13,13,master_account,70.3,51,79.2,31,89.2,6,79.8,13,84.4,13,81.8,13,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,General Engineering",/world-university-rankings/national-university-singapore
University of Texas at Austin,,United States,0,University of Texas at Austin,493,14,14,public,88.9,16,90.4,23,49.2,64,79.4,14,81.9,17,74.0,22,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering,Chemical Engineering",/world-university-rankings/university-texas-austin
École Polytechnique Fédérale de Lausanne,,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,15,15,master_account,87.1,19,42.4,68,96.2,1,78.9,15,76.8,20,75.3,21,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,16,16,public,75.1,42,61.7,49,61.2,42,78.7,16,85.7,12,82.1,12,"Chemical Engineering,Civil Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-michigan-ann-arbor
Cornell University,,United States,0,Cornell University,484,17,17,private,86.6,20,44.6,64,40.7,79,77.3,17,83.1,15,77.5,20,"General Engineering,Chemical Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/cornell-university
University of Illinois at Urbana-Champaign,,United States,0,University of Illinois at Urbana-Champaign,495,18,18,public,70.3,52,-,93,49.7,63,74.3,18,83.5,14,80.2,16,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/university-illinois-urbana-champaign
Northwestern University,,United States,0,Northwestern University,490,19,19,private,98.3,7,54.4,54,42.0,77,72.1,19,67.0,27,63.6,29,"Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/northwestern-university
"University of California, Santa Barbara",,United States,0,"University of California, Santa Barbara",499,20,20,public,98.4,6,100.0,6,73.3,30,71.0,20,59.7,32,51.8,50,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-california-santa-barbara
The Hong Kong University of Science and Technology hkust,,Hong Kong,11,The Hong Kong University of Science and Technology,526,21,21,master_account,74.6,44,66.4,43,77.6,19,70.5,21,70.3,25,65.8,27,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/hong-kong-university-science-and-technology
University of Toronto,,Canada,0,University of Toronto,483,22,22,master_account,83.9,24,34.5,74,53.7,57,69.6,22,70.8,24,65.1,28,"Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-toronto
Delft University of Technology,,Netherlands,0,Delft University of Technology,568,23,23,master_account,48.9,92,-,83,66.2,35,68.9,23,80.5,18,79.0,17,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,General Engineering",/world-university-rankings/delft-university-technology
Tsinghua University Qinghua University Tsing hua University Qing hua University,,China,6,Tsinghua University,535,24,24,master_account,47.0,94,99.9,9,29.0,96,68.8,24,79.0,19,83.2,11,"Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/tsinghua-university
Korea Advanced Institute of Science and Technology (KAIST),,South Korea,0,Korea Advanced Institute of Science and Technology (KAIST),558,25,25,master_account,53.9,80,100.0,1,31.2,93,67.6,25,73.5,23,78.0,19,"General Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
Technical University of Munich,,Germany,0,Technical University of Munich,552,26,26,master_account,80.1,33,46.4,62,56.9,51,66.4,26,59.5,33,66.4,25,"Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/technical-university-munich
