aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Northwestern University,,United States,0,Northwestern University,490,36,36,private,88.3,32,91.0,9,29.8,91,66.1,36,56.1,45,55.5,44,"Medicine & Dentistry,Other Health",/world-university-rankings/northwestern-university
Erasmus University Rotterdam,,Netherlands,6,Erasmus University Rotterdam,621,37,37,master_account,84.2,44,-,78,64.6,35,65.8,37,54.2,49,55.8,43,Medicine & Dentistry,/world-university-rankings/erasmus-university-rotterdam
Monash University,,Australia,11,Monash University,581,38,38,master_account,72.0,81,84.4,14,69.2,24,65.6,39,59.2,38,61.3,35,"Medicine & Dentistry,Other Health",/world-university-rankings/monash-university
KU Leuven,,Belgium,11,KU Leuven,531,38,38,master_account,85.6,38,99.9,3,62.5,42,65.6,38,57.3,40,46.2,59,"Medicine & Dentistry,Other Health",/world-university-rankings/ku-leuven
Heidelberg University,,Germany,0,Heidelberg University,537,40,40,master_account,76.8,65,44.4,52,59.3,46,65.4,40,59.7,37,60.2,38,"Medicine & Dentistry,Other Health",/world-university-rankings/heidelberg-university-0
University of Manchester,,United Kingdom,0,University of Manchester,512,41,41,master_account,78.1,60,45.4,47,65.6,32,65.2,41,61.5,34,54.3,46,"Other Health,Medicine & Dentistry",/world-university-rankings/university-manchester
National University of Singapore nus,,Singapore,6,National University of Singapore,504,42,42,master_account,69.5,86,49.1,41,92.5,1,63.9,42,57.0,44,57.3,42,"Other Health,Medicine & Dentistry",/world-university-rankings/national-university-singapore
Maastricht University,,Netherlands,6,Maastricht University,663,43,43,master_account,75.1,73,99.2,6,74.3,18,63.6,43,57.3,41,49.2,52,"Other Health,Medicine & Dentistry",/world-university-rankings/maastricht-university
Kyoto University,,Japan,0,Kyoto University,516,44,44,master_account,67.8,91,67.8,20,38.5,85,63.5,44,66.7,27,61.4,34,"Other Health,Medicine & Dentistry",/world-university-rankings/kyoto-university
Seoul National University,,South Korea,0,Seoul National University,588,45,45,master_account,51.4,99,93.1,8,23.7,100,63.4,45,77.0,19,73.0,20,"Other Health,Medicine & Dentistry",/world-university-rankings/seoul-national-university
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,46,46,master_account,75.1,72,43.3,54,61.5,43,63.1,46,55.1,46,58.2,40,"Medicine & Dentistry,Other Health",/world-university-rankings/lmu-munich
Vanderbilt University,,United States,0,Vanderbilt University,534,47,47,private,90.8,23,49.7,40,27.4,96,62.7,47,48.2,53,52.3,49,"Other Health,Medicine & Dentistry",/world-university-rankings/vanderbilt-university
University of Hong Kong HKU Hong Kong University,,Hong Kong,11,University of Hong Kong,498,48,48,master_account,69.3,87,60.2,27,86.5,3,61.5,48,57.2,42,49.0,53,"Medicine & Dentistry,Other Health",/world-university-rankings/university-hong-kong
Tufts University,,United States,0,Tufts University,542,49,49,private,93.9,10,44.5,51,53.9,53,61.4,49,41.2,68,43.9,63,"Other Health,Medicine & Dentistry",/world-university-rankings/tufts-university
University of Massachusetts,,United States,0,University of Massachusetts,528,50,50,master_account,74.2,77,38.7,66,27.6,95,60.7,50,54.5,47,60.7,37,Other Health,/world-university-rankings/university-massachusetts
Medical University of Vienna,,Austria,0,Medical University of Vienna,889,51,51,master_account,75.0,75,36.6,69,75.9,17,60.2,51,50.9,51,48.5,55,"Medicine & Dentistry,Other Health",/world-university-rankings/medical-university-vienna
UNSW Sydney unsw australia unsw,,Australia,6,UNSW Sydney,638,52,52,master_account,69.2,89,76.6,16,80.3,14,59.8,52,57.8,39,42.8,67,"Other Health,Medicine & Dentistry",/world-university-rankings/unsw-sydney
University of Cape Town UCT,,South Africa,6,University of Cape Town,567,53,53,master_account,89.8,27,50.1,38,72.6,20,59.7,53,39.0,78,39.3,76,"Other Health,Medicine & Dentistry",/world-university-rankings/university-cape-town
University of Basel,,Switzerland,0,University of Basel,575,54,54,master_account,82.0,48,99.0,7,84.2,7,59.6,54,39.1,77,41.3,71,"Medicine & Dentistry,Other Health",/world-university-rankings/university-basel
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,55,55,public,85.4,40,46.1,45,39.9,83,59.3,55,43.5,58,48.3,57,"Medicine & Dentistry,Other Health",/world-university-rankings/university-wisconsin-madison
New York University,,United States,0,New York University,508,56,56,private,82.8,45,-,81,44.2,75,59.2,56,39.5,74,54.1,47,"Medicine & Dentistry,Other Health",/world-university-rankings/new-york-university
Queen Mary University of London,,United Kingdom,0,Queen Mary University of London,131678,57,57,master_account,88.4,31,45.3,48,81.0,13,58.9,57,35.2,86,40.4,75,"Medicine & Dentistry,Other Health",/world-university-rankings/queen-mary-university-london
Case Western Reserve University,,United States,0,Case Western Reserve University,557,58,58,private,85.4,39,-,75,34.1,88,58.7,58,43.3,60,48.4,56,"Medicine & Dentistry,Other Health",/world-university-rankings/case-western-reserve-university
University of Copenhagen,,Denmark,0,University of Copenhagen,599,59,59,master_account,80.6,53,-,89,64.6,36,58.5,59,47.5,54,41.0,74,"Other Health,Medicine & Dentistry",/world-university-rankings/university-copenhagen
"University of California, Davis",,United States,0,"University of California, Davis",503,60,60,public,84.8,42,47.5,44,46.5,70,58.2,60,42.7,64,44.1,62,Other Health,/world-university-rankings/university-california-davis
Vrije Universiteit Amsterdam,,Netherlands,0,Vrije Universiteit Amsterdam,625,61,61,master_account,81.0,52,65.4,21,44.2,76,58.1,61,46.4,55,43.6,64,"Medicine & Dentistry,Other Health",/world-university-rankings/vrije-universiteit-amsterdam
University of Iowa,,United States,0,University of Iowa,606,62,62,public,79.2,55,-,91,26.6,98,57.9,62,45.4,56,53.8,48,"Other Health,Medicine & Dentistry",/world-university-rankings/university-iowa
University of Zurich,,Switzerland,0,University of Zurich,525,63,63,master_account,77.8,62,-,98,82.0,11,57.3,63,41.1,69,42.0,69,"Other Health,Medicine & Dentistry",/world-university-rankings/university-zurich
University of Amsterdam uva,,Netherlands,6,University of Amsterdam,556,64,64,master_account,81.7,50,59.3,28,64.4,37,57.0,64,43.4,59,37.0,82,"Other Health,Medicine & Dentistry",/world-university-rankings/university-amsterdam
University of Southern California,,United States,0,University of Southern California,519,65,65,private,79.2,56,-,95,36.2,86,56.8,65,40.9,71,51.2,50,"Medicine & Dentistry,Other Health",/world-university-rankings/university-southern-california
University of Rochester,,United States,0,University of Rochester,545,66,66,private,88.8,30,42.2,59,45.4,71,56.7,66,35.8,83,41.2,72,"Other Health,Medicine & Dentistry",/world-university-rankings/university-rochester
University of Bristol,,United Kingdom,11,University of Bristol,530,67,67,master_account,90.8,21,38.7,65,65.3,33,56.6,67,40.9,70,28.0,98,"Medicine & Dentistry,Other Health",/world-university-rankings/university-bristol
Leiden University,,Netherlands,6,Leiden University,543,68,68,master_account,86.0,37,65.1,22,54.4,50,56.2,68,41.7,67,32.4,91,"Other Health,Medicine & Dentistry",/world-university-rankings/leiden-university
Pierre and Marie Curie University,,France,0,Pierre and Marie Curie University,548,68,68,master_account,85.0,41,-,82,44.5,74,56.2,69,36.2,82,44.5,60,"Other Health,Medicine & Dentistry",/world-university-rankings/pierre-and-marie-curie-university
University of Montreal,,Canada,11,University of Montreal,569,68,68,master_account,68.7,90,99.6,4,61.2,44,56.2,70,40.5,73,50.7,51,"Medicine & Dentistry,Other Health",/world-university-rankings/university-montreal
University of Glasgow,,United Kingdom,1,University of Glasgow,566,71,71,master_account,92.0,18,55.7,32,66.5,27,55.5,71,27.7,97,33.6,87,"Medicine & Dentistry,Other Health",/world-university-rankings/university-glasgow
