aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,,United States,0,Harvard University,466,1,1,private,98.5,4,51.2,31,71.1,30,91.4,1,93.0,1,90.0,3,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/harvard-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,2,2,private,100.0,1,39.9,48,68.3,36,91.0,2,91.5,4,90.0,4,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
University of Oxford,,United Kingdom,0,University of Oxford,468,3,3,master_account,90.9,17,67.3,17,85.3,11,90.3,3,92.1,3,91.4,2,Biological Sciences,/world-university-rankings/university-oxford
University of Cambridge,,United Kingdom,0,University of Cambridge,470,4,4,master_account,92.9,12,42.8,44,85.7,10,90.2,4,89.6,7,92.9,1,"Veterinary Science,Biological Sciences",/world-university-rankings/university-cambridge
Stanford University,,United States,11,Stanford University,467,5,5,private,96.6,6,-,86,55.6,61,89.0,5,92.3,2,88.8,5,"Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/stanford-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,6,6,public,95.4,8,37.7,55,45.8,73,87.0,6,91.5,5,87.6,6,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-berkeley
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,7,7,private,98.9,3,-,75,70.5,33,85.4,7,74.3,19,84.1,9,Biological Sciences,/world-university-rankings/california-institute-technology
Princeton University,,United States,0,Princeton University,469,8,8,private,96.3,7,78.3,13,55.1,63,84.9,8,79.6,13,84.3,8,Biological Sciences,/world-university-rankings/princeton-university
Yale University,,United States,0,Yale University,475,9,9,private,89.5,25,42.3,45,65.7,39,84.2,9,90.7,6,79.6,13,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/yale-university
Imperial College London,,United Kingdom,0,Imperial College London,472,10,10,master_account,80.3,41,40.2,47,92.2,7,83.3,10,85.3,11,86.5,7,Biological Sciences,/world-university-rankings/imperial-college-london
Johns Hopkins University,,United States,0,Johns Hopkins University,478,10,10,private,91.2,15,-,78,70.8,32,83.3,11,81.9,12,80.1,11,Biological Sciences,/world-university-rankings/johns-hopkins-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,12,12,public,90.4,20,-,87,40.0,80,80.4,12,86.0,10,77.0,16,"Agriculture & Forestry,Veterinary Science,Sport Science,Biological Sciences",/world-university-rankings/university-california-los-angeles
Columbia University,,United States,0,Columbia University,476,13,13,private,91.9,13,-,76,63.1,45,79.5,13,68.8,27,79.3,14,"Sport Science,Biological Sciences",/world-university-rankings/columbia-university
Cornell University,,United States,0,Cornell University,484,14,14,private,82.1,35,38.5,52,39.5,81,78.7,14,88.0,8,79.2,15,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/cornell-university
ETH Zurich,,Switzerland,0,ETH Zurich,479,15,15,master_account,77.3,47,56.9,29,94.5,5,77.7,15,77.8,14,75.2,17,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/eth-zurich
Duke University,,United States,0,Duke University,487,16,16,private,94.1,10,-,77,54.6,65,77.5,16,69.4,25,72.2,19,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/duke-university
"University of California, San Diego",,United States,0,"University of California, San Diego",497,17,17,public,94.4,9,-,88,61.0,50,77.3,17,65.9,31,72.2,20,Biological Sciences,/world-university-rankings/university-california-san-diego
"University of California, Davis",,United States,0,"University of California, Davis",503,18,18,public,70.5,70,57.5,27,56.3,60,76.3,18,87.7,9,79.6,12,"Veterinary Science,Sport Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-davis
UCL ucl UCL,,United Kingdom,0,UCL,481,19,19,master_account,77.6,45,38.7,51,89.3,9,74.7,19,71.3,22,73.6,18,Biological Sciences,/world-university-rankings/ucl
University of Chicago,,United States,11,University of Chicago,473,20,20,private,91.2,16,-,90,56.6,59,74.5,20,70.7,23,63.5,29,Biological Sciences,/world-university-rankings/university-chicago
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,21,21,master_account,81.5,36,36.6,58,75.6,24,74.3,21,71.8,20,70.5,25,"Agriculture & Forestry,Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/university-edinburgh
Wageningen University & Research,,Netherlands,0,Wageningen University & Research,540,22,22,master_account,74.0,58,-,101,78.3,20,74.1,22,77.1,15,72.0,22,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/wageningen-university-research
University of British Columbia ubc,,Canada,11,University of British Columbia,486,23,23,master_account,79.9,42,35.0,62,71.1,31,73.3,23,71.5,21,70.6,24,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-british-columbia
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,24,24,public,78.9,44,67.6,16,40.6,78,72.7,24,74.9,18,72.0,21,"Veterinary Science,Agriculture & Forestry,Biological Sciences,Sport Science",/world-university-rankings/university-wisconsin-madison
University of Washington,,United States,0,University of Washington,489,25,25,public,89.5,24,-,98,37.7,85,70.3,25,64.5,33,63.3,30,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-washington
University of Toronto,,Canada,0,University of Toronto,483,26,26,master_account,80.6,39,45.3,41,54.6,66,69.7,26,69.2,26,62.5,32,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-toronto
The University of Tokyo,,Japan,0,The University of Tokyo,494,27,27,master_account,63.4,87,-,97,43.4,77,69.6,27,75.6,17,80.2,10,"Veterinary Science,Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/university-tokyo
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,28,28,master_account,71.4,63,64.9,19,80.8,16,68.8,28,66.6,30,64.7,28,"Sport Science,Agriculture & Forestry,Biological Sciences,Veterinary Science",/world-university-rankings/university-melbourne
McGill University,,Canada,0,McGill University,492,29,29,master_account,71.5,62,-,80,76.9,22,68.5,29,67.3,29,65.0,27,"Agriculture & Forestry,Biological Sciences,Sport Science,Veterinary Science",/world-university-rankings/mcgill-university
University of Queensland UQ UOQ,,Australia,11,University of Queensland,538,30,30,master_account,74.6,57,46.2,38,79.4,18,68.0,30,67.9,28,58.4,39,"Biological Sciences,Sport Science,Agriculture & Forestry,Veterinary Science",/world-university-rankings/university-queensland
National University of Singapore nus,,Singapore,6,National University of Singapore,504,31,31,master_account,59.4,95,84.4,11,94.3,6,67.5,31,70.3,24,66.2,26,"Sport Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/national-university-singapore
Kyoto University,,Japan,0,Kyoto University,516,32,32,master_account,62.3,90,73.9,15,38.9,82,66.9,32,75.7,16,70.9,23,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/kyoto-university
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,33,33,public,87.2,28,62.0,25,58.5,55,66.8,33,64.7,32,45.5,57,"Biological Sciences,Sport Science",/world-university-rankings/university-michigan-ann-arbor
University of Pennsylvania,,United States,0,University of Pennsylvania,480,34,34,private,89.5,23,-,95,47.6,71,65.7,34,48.4,53,58.5,37,"Biological Sciences,Veterinary Science",/world-university-rankings/university-pennsylvania
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,35,35,master_account,75.4,55,37.9,54,53.6,67,65.1,35,61.5,38,61.0,34,"Veterinary Science,Biological Sciences",/world-university-rankings/lmu-munich
Australian National University anu,,Australia,0,Australian National University,502,36,36,master_account,70.5,69,78.8,12,75.1,25,64.4,36,62.8,36,54.1,42,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/australian-national-university
King’s College London,,United Kingdom,11,King’s College London,520,37,37,master_account,85.0,29,42.0,46,81.7,15,63.9,37,50.2,51,47.8,53,Biological Sciences,/world-university-rankings/kings-college-london
Uppsala University,,Sweden,0,Uppsala University,551,38,38,master_account,67.5,79,29.8,73,62.5,47,61.7,38,55.8,40,62.8,31,Biological Sciences,/world-university-rankings/uppsala-university
University of Minnesota,,United States,0,University of Minnesota,506,39,39,public,72.9,59,-,94,32.0,93,61.1,39,61.2,39,56.1,40,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-minnesota
Ghent University,,Belgium,0,Ghent University,570,40,40,master_account,71.9,61,99.5,4,64.5,43,60.7,40,48.6,52,54.1,43,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/ghent-university
Osaka University,,Japan,0,Osaka University,583,41,41,master_account,65.6,82,85.3,9,25.4,100,60.5,41,63.5,35,58.4,38,"Sport Science,Biological Sciences",/world-university-rankings/osaka-university
University of Copenhagen,,Denmark,0,University of Copenhagen,599,42,42,master_account,71.0,64,-,91,73.6,28,59.6,42,53.4,46,48.1,51,"Veterinary Science,Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-copenhagen
University of North Carolina at Chapel Hill,,United States,0,University of North Carolina at Chapel Hill,507,43,43,public,89.5,22,36.6,59,48.2,70,58.8,43,40.8,63,42.8,63,"Biological Sciences,Sport Science",/world-university-rankings/university-north-carolina-chapel-hill
University of Glasgow,,United Kingdom,1,University of Glasgow,566,44,44,master_account,75.5,54,32.1,67,74.9,26,58.4,45,47.9,54,45.1,59,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-glasgow
New York University,,United States,0,New York University,508,44,44,private,88.2,27,-,82,44.0,75,58.4,44,38.8,67,45.1,58,Biological Sciences,/world-university-rankings/new-york-university
