Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
28,40,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen mary, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3695/queen-mary-university-of-london"">Queen Mary, University of London</a>",79.00%,80.30%,28.10%,410,74.90%,88.6
29,32,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of manchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3703/university-of-manchester"">University of Manchester</a>",78.50%,83.30%,28.40%,422,71.20%,88.5
30,22,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : newcastle university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3706/newcastle-university"">Newcastle University</a>",82.90%,86.90%,22.00%,407,68.60%,88.2
31,33,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aston university birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3628/aston-university-birmingham"">Aston University Birmingham</a>",79.70%,83.60%,38.60%,319,70.20%,87.7
32,26,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3720/queens-university-belfast"">Queen's University, Belfast</a>",77.90%,87.30%,35.00%,368,65.60%,87.6
33,12,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bath', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3630/university-of-bath"">University of Bath</a>",68.80%,76.80%,27.40%,474,76.50%,87.4
34,60,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3744/university-of-the-west-of-england"">University of the West of England</a>",95.70%,96.80%,13.80%,299,60.20%,87.3
35,77,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of huddersfield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3677/university-of-huddersfield"">University of Huddersfield</a>",97.60%,93.70%,9.50%,300,63.20%,87.2
36,59,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3718/university-of-portsmouth"">University of Portsmouth</a>",85.10%,86.30%,32.20%,296,66.00%,87.1
37,34,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : royal holloway, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3696/royal-holloway-university-of-london"">Royal Holloway, University of London</a>",76.80%,77.80%,30.50%,403,69.40%,87
