Subject rank,Overall rank,University,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score
18,15,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east anglia', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3660/university-of-east-anglia"">University of East Anglia</a>",84.90%,90.90%,28.10%,406,73.00%,92.9
19,44=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : swansea university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3740/swansea-university"">Swansea University</a>",89.30%,90.00%,22.00%,334,85.70%,92.8
20,25,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leicester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3686/university-of-leicester"">University of Leicester</a>",84.90%,91.80%,24.30%,379,79.20%,92.6
21=,4,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : durham university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3659/durham-university"">Durham University</a>",76.90%,82.00%,23.10%,414,90.80%,92
21=,46,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3646/cardiff-university"">Cardiff University</a>",78.70%,85.20%,32.00%,411,76.50%,92
23,24,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sheffield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3728/university-of-sheffield"">University of Sheffield</a>",80.00%,86.80%,26.80%,381,83.60%,91.9
24,16,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3633/university-of-birmingham"">University of Birmingham</a>",77.10%,83.60%,29.10%,394,85.00%,91.8
25,33,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aston university birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3628/aston-university-birmingham"">Aston University Birmingham</a>",87.10%,89.10%,19.70%,384,76.20%,91.7
26,23,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of kent', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3681/university-of-kent"">University of Kent</a>",80.10%,85.50%,24.80%,368,83.60%,91.1
27,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : city, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3651/city-university-of-london"">City, University of London</a>",75.90%,84.00%,27.80%,419,77.80%,90.9
