Subject rank,Overall rank,University,Teaching quality,Student experience,Ofsted rating,Research quality,Entry points,Graduate prospects,Total score
21,77,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : manchester metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3569/manchester-metropolitan-university"">Manchester Metropolitan University</a>",84.8%,81.6%,4.0,5.8%,352,76.4%,89.4
22=,43,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3546/keele-university"">Keele University</a>",86.8%,92.9%,3.5,25.0%,338,65.2%,89.3
22=,33,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3515/cardiff-university"">Cardiff University</a>",77.7%,87.1%,n/a,35.3%,364,68.3%,89.3
24,73,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3607/university-of-the-west-of-england"">University of the West of England</a>",84.8%,83.6%,3.8,5.3%,336,81.4%,88.8
25,69=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chichester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3518/university-of-chichester"">University of Chichester</a>",83.9%,87.0%,4.0,..,308,84.9%,88.7
26=,6,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of warwick', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3606/university-of-warwick"">University of Warwick</a>",76.3%,76.2%,3.8,43.6%,379,50.6%,88.5
26=,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3578/oxford-brookes-university"">Oxford Brookes University</a>",86.2%,88.7%,3.5,3.3%,387,71.8%,88.5
26=,104,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sunderland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3597/university-of-sunderland"">University of Sunderland</a>",83.3%,85.3%,3.5,3.8%,351,87.4%,88.5
29=,18,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east anglia', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3527/university-of-east-anglia"">University of East Anglia</a>",80.7%,83.3%,3.0,27.2%,401,68.0%,87.6
29=,21,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sheffield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3590/university-of-sheffield"">University of Sheffield</a>",85.0%,86.8%,3.0,32.9%,354,65.2%,87.6
