aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Cambridge,,United Kingdom,0,University of Cambridge,470,1,10,master_account,98.8,11,69.7,123,93.0,32,96.2,10,99.2,2,93.4,2,47 : 53,"18,978",37%,10.9,"Veterinary Science,Biological Sciences",/world-university-rankings/university-cambridge
Harvard University,,United States,0,Harvard University,466,2,20,private,99.6,8,91.0,60,77.8,117,95.6,20,98.7,3,92.6,4,49 : 51,"20,823",24%,9.2,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/harvard-university
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,97.4,25,66.4,133,90.5,44,95.3,30,99.7,1,92.0,5,46 : 54,"20,664",41%,11.2,Biological Sciences,/world-university-rankings/university-oxford
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,4,40,private,100.0,2,60.5,157,79.4,107,93.7,40,90.4,13,96.0,1,39 : 61,"11,247",34%,8.6,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,5,50,private,99.9,5,83.3,76,65.6,194,93.4,50,93.6,8,93.3,3,43 : 57,"16,135",23%,7.3,"Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/stanford-university
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,6,60,private,100.0,1,99.9,18,71.5,157,93.1,60,91.5,11,91.2,7,34 : 66,"2,240",30%,6.4,Biological Sciences,/world-university-rankings/california-institute-technology
Johns Hopkins University,,United States,0,Johns Hopkins University,478,7,70,private,93.9,60,95.5,46,73.1,146,92.4,70,97.6,5,90.1,8,52 : 48,"16,171",26%,4.5,Biological Sciences,/world-university-rankings/johns-hopkins-university
Princeton University,,United States,0,Princeton University,469,8,80,private,100.0,3,82.9,78,72.5,150,92.2,80,89.3,15,91.5,6,45 : 55,"7,983",25%,8.1,Biological Sciences,/world-university-rankings/princeton-university
Yale University,,United States,0,Yale University,475,9,90,private,94.7,51,99.8,25,65.7,193,91.7,90,98.5,4,87.5,12,50 : 50,"12,402",20%,5.4,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/yale-university
UCL ucl UCL,,United Kingdom,0,UCL,481,10,100,master_account,94.8,49,30.5,603,95.9,16,90.1,100,93.3,9,84.7,15,57 : 43,"32,665",52%,10.6,Biological Sciences,/world-university-rankings/ucl
"University of California, San Diego",,United States,0,"University of California, San Diego",497,=11,110,public,97.3,26,100.0,3,47.5,351,88.9,110,96.2,6,81.2,21,46 : 54,"33,579",23%,13.0,Biological Sciences,/world-university-rankings/university-california-san-diego
ETH Zurich,,Switzerland,0,ETH Zurich,479,=11,120,master_account,95.2,42,48.8,233,97.9,6,88.9,120,87.2,22,83.9,17,32 : 68,"18,956",39%,12.5,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/eth-zurich
University of Chicago,,United States,11,University of Chicago,473,13,130,private,99.4,9,54.5,192,73.4,141,88.6,130,88.7,19,81.9,20,46 : 54,"13,833",28%,5.7,Biological Sciences,/world-university-rankings/university-chicago
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,14,140,public,99.6,7,37.9,363,60.6,236,88.0,140,88.7,18,84.6,16,50 : 50,"41,081",17%,13.7,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-berkeley
Tsinghua University Qinghua University Tsing hua University Qing hua University,,China,6,Tsinghua University,535,15,150,master_account,96.8,30,73.2,112,41.5,436,87.6,150,89.3,16,87.9,11,34 : 66,"38,783",11%,12.0,"Biological Sciences,Sport Science",/world-university-rankings/tsinghua-university
Imperial College London,,United Kingdom,0,Imperial College London,472,16,160,master_account,94.4,56,35.2,427,97.5,8,87.1,160,90.6,12,76.1,26,38 : 62,"16,760",56%,11.7,Biological Sciences,/world-university-rankings/imperial-college-london
Cornell University,,United States,0,Cornell University,484,17,170,private,95.1,45,33.8,466,65.8,192,86.9,170,88.8,17,85.3,13,49 : 51,"22,319",25%,9.8,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/cornell-university
Columbia University,,United States,0,Columbia University,476,18,180,private,98.9,10,40.2,318,75.9,130,86.3,180,78.4,29,85.1,14,,"26,586",37%,5.8,"Sport Science,Biological Sciences",/world-university-rankings/columbia-university
University of Pennsylvania,,United States,0,University of Pennsylvania,480,19,190,private,96.6,32,55.8,183,55.3,278,86.2,190,87.7,21,82.8,19,52 : 48,"20,578",21%,6.5,"Biological Sciences,Veterinary Science",/world-university-rankings/university-pennsylvania
Wageningen University & Research,,Netherlands,0,Wageningen University & Research,540,20,200,master_account,91.5,80,100.0,17,81.5,93,86.0,200,86.8,24,78.2,23,53 : 47,"13,914",27%,21.3,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/wageningen-university-research
Peking University,,China,0,Peking University,514,21,210,master_account,85.4,135,89.2,66,31.3,565,85.0,210,93.7,7,90.0,9,46 : 54,"39,575",15%,11.5,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/peking-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,22,220,public,95.4,39,33.7,471,54.6,284,84.7,220,92.2,10,76.2,25,54 : 46,"41,066",17%,9.4,"Agriculture & Forestry,Veterinary Science,Sport Science,Biological Sciences",/world-university-rankings/university-california-los-angeles
Duke University,,United States,0,Duke University,487,23,230,private,96.7,31,97.3,38,65.1,198,83.8,230,78.9,28,76.0,28,49 : 51,"15,309",19%,4.3,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/duke-university
University of Toronto,,Canada,0,University of Toronto,483,24,240,master_account,89.7,94,60.7,156,80.3,101,83.3,240,86.6,25,74.8,30,59 : 41,"73,370",21%,20.1,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-toronto
Karolinska Institute,,Sweden,0,Karolinska Institute,496,25,250,master_account,90.6,88,76.3,97,82.2,86,81.7,250,88.5,20,63.9,44,68 : 32,"7,777",20%,9.0,Biological Sciences,/world-university-rankings/karolinska-institute
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,26,260,master_account,95.6,36,34.3,451,89.7,47,81.5,260,74.7,33,72.2,32,60 : 40,"29,433",41%,12.8,"Agriculture & Forestry,Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/university-edinburgh
University of British Columbia ubc,,Canada,11,University of British Columbia,486,=27,270,master_account,89.9,92,33.4,479,91.9,38,80.0,270,77.6,31,70.8,35,55 : 45,"52,108",32%,18.1,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-british-columbia
"University of California, Davis",,United States,0,"University of California, Davis",503,=27,280,public,75.9,239,75.4,103,61.7,226,80.0,280,90.0,14,80.7,22,58 : 42,"39,164",14%,12.0,"Veterinary Science,Sport Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-davis
National University of Singapore nus,,Singapore,6,National University of Singapore,504,29,290,master_account,79.5,200,50.6,218,93.2,30,79.8,290,80.9,27,78.1,24,51 : 49,"30,869",28%,17.9,"Sport Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/national-university-singapore
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,30,300,public,95.1,46,52.4,205,60.9,231,79.3,300,78.1,30,67.8,37,49 : 51,"42,982",17%,8.3,"Biological Sciences,Sport Science",/world-university-rankings/university-michigan-ann-arbor
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,31,310,master_account,88.0,112,96.4,42,66.0,188,78.0,310,73.3,36,71.4,33,61 : 39,"34,519",17%,34.7,"Veterinary Science,Biological Sciences",/world-university-rankings/lmu-munich
New York University,,United States,0,New York University,508,32,320,private,94.8,48,84.7,72,76.0,128,77.7,320,76.1,32,57.5,54,57 : 43,"44,466",33%,8.9,Biological Sciences,/world-university-rankings/new-york-university
École Polytechnique Fédérale de Lausanne,,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,=33,330,master_account,95.4,40,92.4,56,98.2,4,77.6,330,64.2,47,61.3,47,28 : 72,"10,492",59%,11.4,Biological Sciences,/world-university-rankings/ecole-polytechnique-federale-de-lausanne
Washington University in St Louis,,United States,11,Washington University in St Louis,505,=33,340,private,98.8,13,49.5,231,46.4,366,77.6,340,74.7,34,64.7,43,,"13,401",20%,7.5,Biological Sciences,/world-university-rankings/washington-university-st-louis
King’s College London,,United Kingdom,11,King’s College London,520,35,350,master_account,93.8,61,51.4,211,94.0,25,75.2,350,68.6,40,55.0,60,62 : 38,"26,057",44%,12.5,Biological Sciences,/world-university-rankings/kings-college-london
Uppsala University,,Sweden,0,Uppsala University,551,36,360,master_account,82.8,162,99.3,28,81.8,89,74.9,360,68.2,41,67.5,38,57 : 43,"25,438",15%,16.7,Biological Sciences,/world-university-rankings/uppsala-university
Heidelberg University,,Germany,0,Heidelberg University,537,37,370,master_account,85.5,133,30.4,605,68.6,170,74.5,370,69.4,38,71.0,34,54 : 46,"20,800",18%,16.1,"Sport Science,Biological Sciences",/world-university-rankings/heidelberg-university-0
The University of Tokyo,,Japan,0,The University of Tokyo,494,38,380,master_account,57.4,411,73.4,110,35.6,510,73.2,380,87.1,23,89.5,10,,"25,913",12%,10.6,"Veterinary Science,Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/university-tokyo
Kyoto University,,Japan,0,Kyoto University,516,39,390,master_account,62.3,352,74.5,106,32.7,551,72.8,390,85.9,26,83.6,18,24 : 76,"22,566",9%,9.0,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/kyoto-university
