aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Higher School of Economics,,Russian Federation,11,Higher School of Economics,131492,176–200,1900,master_account,41.6,426,40.0,201,27.0,409,32.5–34.0,1900,26.1,162,37.7,123,,"22,111",9%,13.1,"History, Philosophy & Theology,Languages, Literature & Linguistics,Architecture,Art, Performing Arts & Design",/world-university-rankings/higher-school-economics
University of Konstanz,,Germany,0,University of Konstanz,658,176–200,1910,master_account,44.8,397,96.9,25,55.0,211,32.5–34.0,1910,30.5,142,22.4,280,55 : 45,"11,387",13%,56.1,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-konstanz
La Trobe University LaTrobe,,Australia,11,La Trobe University,835,176–200,1920,master_account,57.3,229,80.6,41,65.2,136,32.5–34.0,1920,17.7,253,30.9,169,64 : 36,"22,292",29%,33.9,"History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/la-trobe-university
University of Liverpool,,United Kingdom,0,University of Liverpool,646,176–200,1930,master_account,61.5,165,35.0,399,81.5,43,32.5–34.0,1930,22.6,191,25.0,237,55 : 45,"23,057",33%,13.8,"Languages, Literature & Linguistics,Architecture,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/university-liverpool
Renmin University of China,,China,0,Renmin University of China,894,176–200,1940,master_account,42.9,416,41.6,179,52.9,228,32.5–34.0,1940,19.1,239,38.8,116,,"25,590",6%,12.5,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/renmin-university-china
RWTH Aachen University,,Germany,0,RWTH Aachen University,632,176–200,1950,master_account,59.9,186,60.6,69,64.5,144,32.5–34.0,1950,22.4,193,26.9,211,32 : 68,"45,377",21%,61.1,"History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/rwth-aachen-university
Seoul National University,,South Korea,0,Seoul National University,588,176–200,1960,master_account,41.3,435,38.8,220,56.1,207,32.5–34.0,1960,20.4,221,37.1,131,,"26,182",12%,12.4,"History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,Architecture",/world-university-rankings/seoul-national-university
Simon Fraser University,,Canada,11,Simon Fraser University,709,176–200,1970,master_account,74.4,29,44.7,148,85.6,33,32.5–34.0,1970,22.6,192,14.9,422,55 : 45,"26,521",30%,27.3,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/simon-fraser-university
University of Wollongong UOW University of Wollongong Australia,,Australia,6,University of Wollongong,740,176–200,1980,master_account,78.2,11,49.1,113,71.4,98,32.5–34.0,1980,19.9,226,21.2,297,52 : 48,"18,642",29%,31.5,"Architecture,History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/university-wollongong
University of Würzburg,,Germany,0,University of Würzburg,691,176–200,1990,master_account,57.2,230,97.6,23,47.1,258,32.5–34.0,1990,21.7,202,27.4,206,56 : 44,"24,082",10%,36.6,"Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/university-wurzburg
York University,,Canada,6,York University,765,176–200,2000,master_account,56.6,240,78.7,45,44.6,276,32.5–34.0,2000,24.7,174,27.6,199,57 : 43,"46,683",24%,35.4,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/york-university
Aix-Marseille University,,France,6,Aix-Marseille University,131808,201–250,2010,master_account,50.3,324,35.5,338,60.0,172,29.0–32.2,2010,20.7,216,23.7,260,59 : 41,"67,857",12%,16.6,"Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology",/world-university-rankings/aix-marseille-university
University of Alberta,,Canada,0,University of Alberta,564,201–250,2020,master_account,49.3,344,36.1,307,80.6,47,29.0–32.2,2020,23.0,187,23.7,261,55 : 45,"31,919",26%,21.0,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology",/world-university-rankings/university-alberta
Australian Catholic University ACU,,Australia,0,Australian Catholic University,587658,201–250,2030,master_account,49.0,349,75.6,52,56.9,201,29.0–32.2,2030,17.4,259,24.5,242,73 : 27,"23,886",12%,43.5,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/australian-catholic-university
Autonomous University of Madrid,,Spain,0,Autonomous University of Madrid,743,201–250,2040,master_account,37.2,466,42.3,166,41.4,302,29.0–32.2,2040,23.1,185,35.4,140,61 : 39,"29,576",14%,13.4,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/autonomous-university-madrid
Bielefeld University,,Germany,6,Bielefeld University,717,201–250,2050,master_account,50.9,318,100.0,2,41.6,297,29.0–32.2,2050,24.8,172,19.6,324,57 : 43,"24,875",8%,77.5,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/bielefeld-university
University of Bonn,,Germany,0,University of Bonn,868,201–250,2060,master_account,39.6,447,47.8,121,41.5,300,29.0–32.2,2060,27.3,152,27.7,196,55 : 45,"36,352",13%,67.7,"Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/university-bonn
Ca’ Foscari University of Venice,,Italy,0,Ca’ Foscari University of Venice,131648,201–250,2070,master_account,45.5,387,39.2,210,38.2,326,29.0–32.2,2070,24.3,176,32.4,154,65 : 35,"15,636",10%,27.7,"Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/ca-foscari-university-venice
University of Calgary,,Canada,0,University of Calgary,693,201–250,2080,master_account,55.8,249,37.2,262,71.0,100,29.0–32.2,2080,17.5,257,24.1,249,,"28,560",19%,16.0,"Archaeology,Languages, Literature & Linguistics,Architecture,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-calgary
University of Campinas,,Brazil,0,University of Campinas,759,201–250,2090,master_account,28.9,513,34.7,461,24.5,428,29.0–32.2,2090,27.2,156,32.1,158,47 : 53,"28,795",3%,15.1,"Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-campinas
University of Canterbury,,New Zealand,0,University of Canterbury,773,201–250,2100,master_account,51.8,300,37.3,259,76.2,67,29.0–32.2,2100,20.0,224,18.8,333,50 : 50,"13,089",24%,18.0,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-canterbury
Curtin University Curtin,,Australia,6,Curtin University,821,201–250,2110,master_account,67.9,88,40.8,188,93.2,12,29.0–32.2,2110,13.1,338,17.8,351,51 : 49,"29,214",31%,20.2,"Architecture,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/curtin-university
University of East Anglia,,United Kingdom,6,University of East Anglia,609,201–250,2120,master_account,57.4,226,35.4,351,57.5,196,29.0–32.2,2120,21.7,199,22.3,281,60 : 40,"15,195",28%,13.9,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-east-anglia
