aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,=1,10,private,96.7,40,90.9,53,75.6,159,95.4,10,99.3,2,96.1,1,34 : 66,"2,240",30%,6.4,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/california-institute-technology
Stanford University,,United States,11,Stanford University,467,=1,20,private,99.9,4,95.8,38,84.8,103,95.4,20,95.4,7,93.7,6,43 : 57,"16,135",23%,7.3,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/stanford-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,=3,30,master_account,94.6,57,84.6,69,91.8,56,95.2,30,98.2,3,95.2,3,47 : 53,"18,978",37%,10.9,"Chemical Engineering,General Engineering",/world-university-rankings/university-cambridge
Harvard University,,United States,0,Harvard University,466,=3,40,private,99.6,10,59.8,185,82.0,120,95.2,40,99.7,1,96.0,2,49 : 51,"20,823",24%,9.2,"Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/harvard-university
University of Oxford,,United Kingdom,0,University of Oxford,468,5,50,master_account,98.9,22,66.7,133,93.5,40,95.0,50,97.5,4,94.0,5,46 : 54,"20,664",41%,11.2,"Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-oxford
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,6,60,private,99.1,19,91.6,50,87.0,89,94.5,60,91.9,13,95.2,4,39 : 61,"11,247",34%,8.6,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
Princeton University,,United States,0,Princeton University,469,7,70,private,99.6,12,53.9,239,82.4,117,92.0,70,93.4,10,92.3,7,45 : 55,"7,983",25%,8.1,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/princeton-university
ETH Zurich,,Switzerland,0,ETH Zurich,479,8,80,master_account,95.3,53,46.7,310,95.5,25,89.5,80,93.9,9,85.4,14,32 : 68,"18,956",39%,12.5,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Chemical Engineering",/world-university-rankings/eth-zurich
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,=9,90,public,98.8,23,58.0,204,78.1,141,89.3,90,92.6,12,85.2,15,54 : 46,"41,066",17%,9.4,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-california-los-angeles
Georgia Institute of Technology,,United States,0,Georgia Institute of Technology,488,=9,100,public,96.2,45,68.5,121,72.4,183,89.3,100,95.7,6,84.2,17,33 : 67,"21,372",27%,18.3,"Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/georgia-institute-technology
Imperial College London,,United Kingdom,0,Imperial College London,472,11,110,master_account,89.7,84,67.5,125,95.3,27,88.6,110,87.7,21,90.5,9,38 : 62,"16,760",56%,11.7,"Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/imperial-college-london
National University of Singapore nus,,Singapore,6,National University of Singapore,504,12,120,master_account,90.8,74,66.2,140,94.2,36,88.4,120,89.7,15,87.2,13,51 : 49,"30,869",28%,17.9,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,General Engineering",/world-university-rankings/national-university-singapore
