aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,United Kingdom,0,University of Oxford,468,1,10,master_account,99.0,3,99.5,11,87.3,30,94.6,10,100.0,1,84.9,7,46 : 54,"19,718",35%,10.9,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,United States,0,Harvard University,466,2,20,private,98.1,9,39.8,306,79.5,58,91.3,20,96.0,4,85.6,4,,"19,890",25%,8.8,"Medicine & Dentistry,Other Health",/world-university-rankings/harvard-university
University of Cambridge,United Kingdom,0,University of Cambridge,470,3,30,master_account,98.2,8,41.3,256,85.8,37,91.0,30,99.8,2,78.5,22,45 : 55,"18,605",35%,11.3,Medicine & Dentistry,/world-university-rankings/university-cambridge
Imperial College London,United Kingdom,0,Imperial College London,472,4,40,master_account,97.3,14,53.3,112,93.6,9,90.2,40,89.8,11,83.8,10,37 : 63,"15,236",52%,11.3,Medicine & Dentistry,/world-university-rankings/imperial-college-london
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,5,50,public,98.9,4,52.9,113,66.5,137,89.0,50,94.5,7,79.9,19,52 : 48,"34,834",16%,12.0,Other Health,/world-university-rankings/university-california-berkeley
UCL ucl UCL,United Kingdom,0,UCL,481,6,60,master_account,90.2,47,49.3,141,91.6,16,88.6,60,96.9,3,80.8,17,56 : 44,"28,602",47%,10.6,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
Stanford University,United States,11,Stanford University,467,7,70,private,97.0,16,51.8,120,55.4,200,88.4,70,91.1,8,86.7,2,42 : 58,"15,658",22%,7.7,"Other Health,Medicine & Dentistry",/world-university-rankings/stanford-university
Johns Hopkins University,United States,0,Johns Hopkins University,478,8,80,private,95.8,23,74.6,42,67.9,130,88.1,80,88.6,12,84.3,8,51 : 49,"15,303",24%,3.5,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
Columbia University,United States,0,Columbia University,476,9,90,private,95.8,21,44.8,192,70.9,112,86.8,90,84.7,22,85.3,6,,"25,659",30%,6.0,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
Karolinska Institute,Sweden,0,Karolinska Institute,496,10,100,master_account,86.4,73,58.5,89,79.8,56,86.3,100,95.0,6,81.6,15,69 : 31,"7,723",23%,11.3,"Medicine & Dentistry,Other Health",/world-university-rankings/karolinska-institute
Duke University,United States,0,Duke University,487,11,110,private,97.3,13,96.7,14,44.8,287,86.0,110,85.3,19,82.0,14,49 : 51,"15,204",17%,4.8,,/world-university-rankings/duke-university
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,12,120,public,93.6,36,45.8,180,48.2,254,85.9,120,87.6,14,88.0,1,53 : 47,"38,392",16%,9.9,"Medicine & Dentistry,Other Health",/world-university-rankings/university-california-los-angeles
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,13,130,master_account,85.0,84,90.3,24,84.0,44,85.5,130,90.9,9,80.7,18,55 : 45,"42,273",37%,24.8,"Medicine & Dentistry,Other Health",/world-university-rankings/university-melbourne
University of Toronto,Canada,0,University of Toronto,483,14,140,master_account,81.5,103,64.6,65,68.0,129,85.1,140,95.7,5,85.5,5,,"68,093",16%,18.8,"Medicine & Dentistry,Other Health",/world-university-rankings/university-toronto
University of Pennsylvania,United States,0,University of Pennsylvania,480,15,150,private,96.3,19,52.2,115,33.3,397,85.0,150,86.4,16,85.7,3,51 : 49,"20,367",20%,6.5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-pennsylvania
King’s College London,United Kingdom,11,King’s College London,520,16,160,master_account,88.9,59,43.6,215,91.6,17,84.7,160,88.4,13,77.3,23,61 : 39,"21,986",38%,11.3,"Other Health,Medicine & Dentistry",/world-university-rankings/kings-college-london
Cornell University,United States,0,Cornell University,484,=17,170,private,93.8,34,42.3,243,51.9,228,84.4,170,87.2,15,82.1,13,49 : 51,"21,593",19%,9.9,Other Health,/world-university-rankings/cornell-university
Yale University,United States,0,Yale University,475,=17,180,private,91.1,43,44.4,204,61.8,163,84.4,180,85.3,20,84.3,9,49 : 51,"11,946",21%,4.4,Other Health,/world-university-rankings/yale-university
University of Washington,United States,0,University of Washington,489,19,190,public,96.5,17,51.1,125,42.1,307,84.0,190,86.3,17,79.9,20,53 : 47,"45,162",15%,11.9,"Other Health,Medicine & Dentistry",/world-university-rankings/university-washington
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,20,200,master_account,97.5,12,39.4,320,80.9,53,83.5,200,79.6,27,74.2,30,59 : 41,"25,279",37%,12.6,"Other Health,Medicine & Dentistry",/world-university-rankings/university-edinburgh
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,21,210,public,90.0,50,41.8,250,44.4,290,81.5,210,81.6,24,83.8,11,48 : 52,"41,912",16%,8.8,"Medicine & Dentistry,Other Health",/world-university-rankings/university-michigan-ann-arbor
Washington University in St Louis,United States,11,Washington University in St Louis,505,22,220,private,97.9,11,38.4,360,30.0,427,80.5,220,80.0,26,76.1,24,,"12,528",17%,5.7,"Other Health,Medicine & Dentistry",/world-university-rankings/washington-university-st-louis
McGill University,Canada,0,McGill University,492,23,230,master_account,78.9,131,42.7,231,72.4,102,80.1,230,85.4,18,81.5,16,57 : 43,"30,911",24%,13.5,"Other Health,Medicine & Dentistry",/world-university-rankings/mcgill-university
University of Chicago,United States,11,University of Chicago,473,24,240,private,94.9,28,43.4,217,40.6,325,79.1,240,77.4,31,74.0,32,42 : 58,"13,486",24%,6.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-chicago
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,25,250,public,91.7,40,42.7,233,40.4,328,78.7,250,74.4,33,79.7,21,57 : 43,"26,412",8%,7.5,"Medicine & Dentistry,Other Health",/world-university-rankings/university-north-carolina-chapel-hill
Boston University,United States,0,Boston University,518,26,260,private,94.4,32,38.8,341,55.2,203,78.5,260,70.6,44,75.6,26,59 : 41,"24,714",19%,8.4,"Other Health,Medicine & Dentistry",/world-university-rankings/boston-university
McMaster University,Canada,11,McMaster University,529,27,270,master_account,86.7,72,73.8,46,70.8,114,77.9,270,72.5,39,74.1,31,52 : 48,"23,943",16%,20.4,"Medicine & Dentistry,Other Health",/world-university-rankings/mcmaster-university
Heidelberg University,Germany,0,Heidelberg University,537,28,280,master_account,85.1,83,63.0,73,63.5,156,77.5,280,74.3,34,75.8,25,55 : 45,"29,527",17%,24.9,"Medicine & Dentistry,Other Health",/world-university-rankings/heidelberg-university-0
"University of California, San Diego",United States,0,"University of California, San Diego",497,=29,290,public,97.2,15,60.7,81,35.5,375,76.1,290,73.2,36,64.4,41,47 : 53,"28,416",14%,6.6,Other Health,/world-university-rankings/university-california-san-diego
Northwestern University,United States,0,Northwestern University,490,=29,300,private,90.2,48,99.8,8,40.8,322,76.1,300,70.1,46,71.4,36,48 : 52,"18,570",16%,14.0,"Medicine & Dentistry,Other Health",/world-university-rankings/northwestern-university
National University of Singapore nus,Singapore,6,National University of Singapore,504,31,310,master_account,69.9,193,43.7,213,94.5,7,75.7,310,84.0,23,72.4,34,50 : 50,"31,111",32%,16.7,"Other Health,Medicine & Dentistry",/world-university-rankings/national-university-singapore
University of British Columbia ubc,Canada,11,University of British Columbia,486,=32,320,master_account,89.4,55,46.1,177,79.1,59,75.0,320,73.0,37,59.9,49,54 : 46,"51,889",29%,18.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-british-columbia
LMU Munich Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,=32,330,master_account,76.3,153,100.0,1,72.0,105,75.0,330,78.9,29,67.9,38,61 : 39,"36,180",14%,15.7,"Medicine & Dentistry,Other Health",/world-university-rankings/lmu-munich
The University of Tokyo,Japan,0,The University of Tokyo,494,34,340,master_account,67.1,209,35.7,579,27.1,445,74.4,340,90.5,10,83.7,12,,"26,080",10%,7.0,"Other Health,Medicine & Dentistry",/world-university-rankings/university-tokyo
University of Sydney UniSyd,Australia,11,University of Sydney,522,35,350,master_account,84.9,85,66.1,63,80.5,54,74.3,350,72.2,41,61.7,45,57 : 43,"42,678",29%,19.0,"Medicine & Dentistry,Other Health",/world-university-rankings/university-sydney
University of Pittsburgh-Pittsburgh campus,United States,0,University of Pittsburgh-Pittsburgh campus,524,36,360,public,91.1,42,40.8,277,33.3,398,73.3,360,71.4,43,66.1,40,51 : 49,"26,501",10%,5.9,"Medicine & Dentistry,Other Health",/world-university-rankings/university-pittsburgh-pittsburgh-campus
KU Leuven,Belgium,11,KU Leuven,531,37,370,master_account,90.8,44,99.9,7,71.6,107,73.1,370,74.3,35,47.3,79,49 : 51,"46,381",16%,41.9,"Medicine & Dentistry,Other Health",/world-university-rankings/ku-leuven
New York University,United States,0,New York University,508,38,380,private,86.8,69,36.6,447,47.9,259,72.9,380,65.9,51,71.8,35,55 : 45,"43,021",25%,6.6,"Medicine & Dentistry,Other Health",/world-university-rankings/new-york-university
