aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,1,10,private,99.7,1,98.9,14,67.7,100,91.4,10,91.8,2,89.3,4,37 : 63,"11,192",33%,8.8,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,2,20,private,92.2,8,69.6,31,68.1,99,89.4,20,91.3,5,91.7,1,42 : 58,"15,658",22%,7.7,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/stanford-university
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,77.6,52,92.0,23,88.8,21,88.9,30,96.9,1,89.0,5,46 : 54,"19,718",35%,10.9,Economics & Econometrics,/world-university-rankings/university-oxford
University of Chicago,,United States,11,University of Chicago,473,4,40,private,98.2,3,32.6,309,60.1,120,87.4,40,87.5,14,89.3,3,42 : 58,"13,486",24%,6.2,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/university-chicago
Harvard University,,United States,0,Harvard University,466,5,50,private,97.5,4,32.6,314,52.4,146,86.5,50,89.1,9,87.2,7,,"19,890",25%,8.8,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/harvard-university
Northwestern University,,United States,0,Northwestern University,490,6,60,private,90.5,11,35.5,201,52.4,147,84.9,60,88.5,12,88.0,6,48 : 52,"18,570",16%,14.0,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/northwestern-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,7,70,master_account,70.1,89,35.5,198,92.2,8,84.7,70,91.7,3,90.8,2,45 : 55,"18,605",35%,11.3,Economics & Econometrics,/world-university-rankings/university-cambridge
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,8,80,public,94.9,5,40.1,144,47.6,164,84.0,80,91.6,4,79.3,13,52 : 48,"34,834",16%,12.0,"Business & Management,Economics & Econometrics",/world-university-rankings/university-california-berkeley
University of Pennsylvania,,United States,0,University of Pennsylvania,480,9,90,private,90.4,12,33.7,257,47.3,166,83.0,90,87.6,13,84.6,9,51 : 49,"20,367",20%,6.5,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/university-pennsylvania
Columbia University,,United States,0,Columbia University,476,10,100,private,89.6,14,44.7,115,62.6,111,82.6,100,81.8,21,85.4,8,,"25,659",30%,6.0,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/columbia-university
Tilburg University,,Netherlands,11,Tilburg University,734,11,110,master_account,70.1,91,99.9,12,74.1,79,78.8,110,89.3,8,74.3,21,49 : 51,"7,454",13%,22.4,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/tilburg-university
Cornell University,,United States,0,Cornell University,484,12,120,private,84.5,23,32.5,331,36.8,204,78.7,120,86.3,15,79.6,12,49 : 51,"21,593",19%,9.9,Business & Management,/world-university-rankings/cornell-university
National University of Singapore nus,,Singapore,6,National University of Singapore,504,13,130,master_account,65.2,125,35.6,193,77.0,67,78.0,130,88.6,11,80.5,11,50 : 50,"31,111",32%,16.7,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/national-university-singapore
The Hong Kong University of Science and Technology hkust,,Hong Kong,11,The Hong Kong University of Science and Technology,526,14,140,master_account,80.0,37,54.8,59,88.4,24,77.7,140,89.0,10,63.9,38,,"11,960",38%,27.3,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/hong-kong-university-science-and-technology
University of Minnesota,,United States,0,University of Minnesota,506,15,150,public,77.6,51,62.7,45,33.6,219,77.5,150,89.5,7,76.5,16,52 : 48,"46,625",13%,17.5,"Economics & Econometrics,Business & Management,Accounting & Finance",/world-university-rankings/university-minnesota
Carnegie Mellon University,,United States,0,Carnegie Mellon University,485,16,160,private,91.8,9,32.6,308,41.4,191,77.3,160,84.0,17,70.9,23,38 : 62,"12,311",38%,13.2,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/carnegie-mellon-university
Erasmus University Rotterdam,,Netherlands,6,Erasmus University Rotterdam,621,17,170,master_account,71.3,82,44.9,113,73.6,81,76.7,170,90.3,6,70.1,26,49 : 51,"21,854",19%,20.6,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/erasmus-university-rotterdam
Peking University,,China,0,Peking University,514,18,180,master_account,64.4,130,100.0,6,56.9,131,76.4,180,80.9,22,83.8,10,48 : 52,"42,977",15%,8.8,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/peking-university
University of British Columbia ubc,,Canada,11,University of British Columbia,486,19,190,master_account,83.1,28,33.6,258,84.4,38,76.0,190,79.5,24,68.2,31,54 : 46,"51,889",29%,18.2,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/university-british-columbia
University of Warwick,,United Kingdom,0,University of Warwick,622,20,200,master_account,75.6,63,35.5,202,90.8,10,75.9,200,75.6,30,76.0,18,47 : 53,"18,558",38%,14.6,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/university-warwick
University of Toronto,,Canada,0,University of Toronto,483,21,210,master_account,77.8,49,32.5,348,84.7,35,75.5,210,79.4,25,70.7,25,,"68,093",16%,18.8,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/university-toronto
University of Manchester,,United Kingdom,0,University of Manchester,512,22,220,master_account,67.2,114,33.0,285,82.2,46,74.6,220,79.8,23,76.4,17,52 : 48,"34,015",36%,14.4,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-manchester
"University of California, San Diego",,United States,0,"University of California, San Diego",497,=23,230,public,92.9,6,66.1,36,32.8,226,73.1,230,70.7,37,69.8,27,47 : 53,"28,416",14%,6.6,"Business & Management,Economics & Econometrics",/world-university-rankings/university-california-san-diego
University of Mannheim,,Germany,0,University of Mannheim,131813,=23,240,master_account,70.7,88,100.0,4,47.1,169,73.1,240,83.8,18,67.7,33,55 : 45,"10,808",14%,84.0,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/university-mannheim
Penn State (Main campus)  ,,United States,0,Penn State (Main campus)  ,515,26,250,public,68.4,105,67.1,35,40.5,192,72.3,250,84.5,16,70.7,24,46 : 54,"45,359",13%,12.3,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/penn-state-main-campus
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,27,260,public,70.1,92,34.3,239,27.8,246,72.1,260,83.8,19,74.7,19,51 : 49,"40,048",12%,11.0,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/university-wisconsin-madison
