aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Stanford University,,United States,11,Stanford University,467,1,10,private,99.9,2,69.7,73,57.1,197,94.3,10,96.8,4,97.7,1,42 : 58,"15,658",22%,7.7,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/stanford-university
University of Oxford,,United Kingdom,0,University of Oxford,468,2,20,master_account,90.8,49,46.6,179,92.6,14,91.6,20,95.8,7,90.9,6,46 : 54,"19,718",35%,10.9,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-oxford
Yale University,,United States,0,Yale University,475,3,30,private,97.9,11,39.9,264,52.8,233,91.3,30,94.0,9,96.1,3,49 : 51,"11,946",21%,4.4,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university
University of Chicago,,United States,11,University of Chicago,473,4,40,private,95.2,24,32.6,590,52.4,237,91.2,40,96.4,6,96.1,2,42 : 58,"13,486",24%,6.2,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-chicago
Harvard University,,United States,0,Harvard University,466,5,50,private,97.4,14,46.2,181,65.6,135,91.1,50,99.1,1,87.4,10,,"19,890",25%,8.8,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,6,60,private,99.8,3,98.8,25,73.4,94,90.5,60,92.8,10,84.1,14,37 : 63,"11,192",33%,8.8,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/massachusetts-institute-technology
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,7,70,public,95.1,25,60.3,93,30.4,476,89.8,70,98.6,2,92.4,5,48 : 52,"41,912",16%,8.8,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-michigan-ann-arbor
Princeton University,,United States,0,Princeton University,469,8,80,private,99.9,1,62.4,88,66.2,134,88.6,80,88.8,14,86.6,11,45 : 55,"7,925",23%,8.4,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,90,public,95.6,22,55.3,118,34.0,443,88.2,90,96.5,5,88.8,7,53 : 47,"38,392",16%,9.9,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-california-los-angeles
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,10,100,public,99.1,7,40.3,260,46.8,294,87.9,100,97.3,3,82.8,15,52 : 48,"34,834",16%,12.0,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-california-berkeley
University of Cambridge,,United Kingdom,0,University of Cambridge,470,11,110,master_account,88.2,68,35.2,377,87.1,28,87.8,110,91.5,11,87.5,9,45 : 55,"18,605",35%,11.3,"Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-cambridge
Columbia University,,United States,0,Columbia University,476,12,120,private,88.3,67,43.5,207,62.9,150,87.3,120,87.2,15,95.2,4,,"25,659",30%,6.0,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/columbia-university
University of Pennsylvania,,United States,0,University of Pennsylvania,480,13,130,private,91.7,45,39.5,274,42.2,347,86.4,130,94.1,8,88.1,8,51 : 49,"20,367",20%,6.5,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/university-pennsylvania
UCL ucl UCL,,United Kingdom,0,UCL,481,14,140,master_account,85.2,93,34.8,395,85.6,35,85.3,140,91.5,12,82.8,16,56 : 44,"28,602",47%,10.6,"Geography,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/ucl
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,15,150,master_account,93.4,34,39.7,269,82.0,49,84.8,150,82.6,19,84.3,13,53 : 47,"9,401",70%,11.8,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/london-school-economics-and-political-science
Cornell University,,United States,0,Cornell University,484,16,160,private,95.8,21,32.9,541,58.8,183,83.4,160,81.5,21,84.9,12,49 : 51,"21,593",19%,9.9,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/cornell-university
Duke University,,United States,0,Duke University,487,17,170,private,96.7,17,100.0,3,41.8,352,82.4,170,84.9,17,76.6,20,49 : 51,"15,204",17%,4.8,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/duke-university
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,18,180,public,88.6,65,67.5,77,27.6,502,81.7,180,90.6,13,80.9,19,51 : 49,"40,048",12%,11.0,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-wisconsin-madison
University of Toronto,,Canada,0,University of Toronto,483,19,190,master_account,83.7,104,33.2,515,64.5,144,81.1,190,86.0,16,81.5,18,,"68,093",16%,18.8,"Politics & International Studies (incl Development Studies),Geography,Sociology,Communication & Media Studies",/world-university-rankings/university-toronto
University of British Columbia ubc,,Canada,11,University of British Columbia,486,20,200,master_account,93.4,33,33.6,470,89.7,22,81.0,200,78.9,24,75.0,21,54 : 46,"51,889",29%,18.2,"Politics & International Studies (incl Development Studies),Sociology,Geography,Communication & Media Studies",/world-university-rankings/university-british-columbia
King’s College London,,United Kingdom,11,King’s College London,520,21,210,master_account,90.5,51,69.6,74,90.3,20,78.7,210,76.4,32,69.6,29,61 : 39,"21,986",38%,11.3,"Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/kings-college-london
New York University,,United States,0,New York University,508,22,220,private,88.1,71,33.5,478,45.2,313,78.3,220,77.5,27,82.4,17,55 : 45,"43,021",25%,6.6,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/new-york-university
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,23,230,master_account,79.6,135,57.8,105,81.0,54,77.6,230,81.1,22,73.0,23,55 : 45,"42,273",37%,24.8,"Geography,Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-melbourne
Northwestern University,,United States,0,Northwestern University,490,24,240,private,96.8,16,36.5,332,35.6,427,77.0,240,82.0,20,69.3,30,48 : 52,"18,570",16%,14.0,"Politics & International Studies (incl Development Studies),Sociology,Geography,Communication & Media Studies",/world-university-rankings/northwestern-university
University of Washington,,United States,0,University of Washington,489,25,250,public,93.3,35,34.0,443,34.6,437,75.1,250,75.4,33,73.2,22,53 : 47,"45,162",15%,11.9,"Sociology,Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-washington
University of Amsterdam uva,,Netherlands,6,University of Amsterdam,556,26,260,master_account,88.9,63,39.4,275,68.4,122,74.7,260,76.7,30,65.7,37,58 : 42,"25,344",10%,14.3,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-amsterdam
"University of California, San Diego",,United States,0,"University of California, San Diego",497,27,270,public,98.4,9,63.0,86,46.8,295,73.5,270,72.6,36,61.9,45,47 : 53,"28,416",14%,6.6,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/university-california-san-diego
University of Illinois at Urbana-Champaign,,United States,0,University of Illinois at Urbana-Champaign,495,28,280,public,77.8,153,42.5,222,40.2,375,73.3,280,80.5,23,72.5,24,46 : 54,"43,202",22%,18.3,"Politics & International Studies (incl Development Studies),Sociology,Geography,Communication & Media Studies",/world-university-rankings/university-illinois-urbana-champaign
University of Texas at Austin,,United States,0,University of Texas at Austin,493,29,290,public,89.2,60,49.0,158,28.2,497,72.7,290,77.0,29,67.6,32,51 : 49,"48,689",10%,17.2,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-texas-austin
McGill University,,Canada,0,McGill University,492,30,300,master_account,71.8,208,41.6,234,78.9,69,72.6,300,74.7,34,71.9,25,57 : 43,"30,911",24%,13.5,"Communication & Media Studies,Sociology,Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/mcgill-university
University of Hong Kong HKU Hong Kong University,,Hong Kong,11,University of Hong Kong,498,31,310,master_account,63.6,276,96.3,32,98.7,4,72.5,310,78.2,26,65.7,38,51 : 49,"20,095",39%,17.8,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-hong-kong
University of North Carolina at Chapel Hill,,United States,0,University of North Carolina at Chapel Hill,507,32,320,public,84.2,102,38.1,293,27.2,507,72.4,320,77.4,28,71.1,27,57 : 43,"26,412",8%,7.5,"Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-north-carolina-chapel-hill
Humboldt University of Berlin,,Germany,0,Humboldt University of Berlin,573,33,330,master_account,89.8,53,54.3,122,56.3,203,72.2,330,69.5,42,66.3,35,,"31,043",17%,54.8,"Sociology,Geography,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/humboldt-university-berlin
Australian National University anu,,Australia,0,Australian National University,502,34,340,master_account,75.4,172,47.6,170,76.9,80,71.6,340,83.9,18,56.6,51,52 : 48,"15,402",35%,19.9,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/australian-national-university
Michigan State University,,United States,0,Michigan State University,560,=35,350,public,91.7,44,38.1,292,45.4,308,71.3,350,70.2,41,65.1,40,51 : 49,"45,297",16%,15.8,"Geography,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/michigan-state-university
