aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,1,10,private,99.5,8,99.7,14,57.5,222,96.2,10,99.8,1,98.8,1,31 : 69,"2,181",27%,6.7,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/california-institute-technology
Stanford University,,United States,11,Stanford University,467,2,20,private,100.0,2,93.5,34,83.6,78,96.0,20,98.0,2,94.1,5,42 : 58,"15,658",22%,7.7,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/stanford-university
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,99.2,11,56.4,145,89.1,44,94.4,30,96.2,5,95.7,4,46 : 54,"19,718",35%,10.9,"Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-oxford
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,4,40,private,99.3,10,91.2,41,83.9,73,94.2,40,91.0,15,95.9,3,37 : 63,"11,192",33%,8.8,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
University of Cambridge,,United Kingdom,0,University of Cambridge,470,5,50,master_account,93.5,39,70.1,87,91.4,32,93.9,50,96.7,4,96.0,2,45 : 55,"18,605",35%,11.3,"Chemical Engineering,General Engineering",/world-university-rankings/university-cambridge
Princeton University,,United States,0,Princeton University,469,6,60,private,97.5,16,52.6,169,77.8,111,90.8,60,91.2,14,94.0,6,45 : 55,"7,925",23%,8.4,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/princeton-university
Imperial College London,,United Kingdom,0,Imperial College London,472,=7,70,master_account,90.1,55,71.0,81,95.1,10,89.5,70,88.0,20,92.0,7,37 : 63,"15,236",52%,11.3,"Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/imperial-college-london
National University of Singapore nus,,Singapore,6,National University of Singapore,504,=7,80,master_account,89.7,56,81.5,58,93.2,20,89.5,80,91.6,13,87.5,12,50 : 50,"31,111",32%,16.7,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,General Engineering",/world-university-rankings/national-university-singapore
ETH Zurich,,Switzerland,0,ETH Zurich,479,9,90,master_account,89.0,63,48.5,204,95.0,12,89.0,90,95.2,7,88.2,9,31 : 69,"18,616",37%,14.9,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Chemical Engineering",/world-university-rankings/eth-zurich
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,10,100,public,99.8,4,41.2,283,64.7,178,88.8,100,93.5,9,88.0,10,52 : 48,"34,834",16%,12.0,"Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-california-berkeley
École Polytechnique Fédérale de Lausanne,,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,11,110,master_account,97.0,19,62.7,115,97.8,5,87.4,110,85.8,21,82.0,18,27 : 73,"9,750",54%,11.2,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
