aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Geneva,Switzerland,0,University of Geneva,594,55,550,master_account,92.5,37,97.4,27,98.4,3,64.3,550,43.7,101,36.6,124,61 : 39,"15,587",40%,15.0,Biological Sciences,/world-university-rankings/university-geneva
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,=56,560,public,98.2,12,100.0,1,45.7,285,64.2,560,51.0,73,35.9,130,51 : 49,"22,267",12%,27.4,Biological Sciences,/world-university-rankings/university-california-santa-barbara
University of Minnesota,United States,0,University of Minnesota,506,=56,570,public,79.1,123,99.6,18,31.4,405,64.2,570,66.9,39,48.1,72,52 : 48,"46,625",13%,17.5,"Sport Science,Veterinary Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-minnesota
University of Helsinki,Finland,11,University of Helsinki,555,58,580,master_account,76.6,142,31.7,451,55.2,213,64.1,580,61.3,52,56.2,51,65 : 35,"23,369",6%,17.0,"Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-helsinki
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,59,590,public,95.4,27,37.4,290,44.4,291,63.8,590,55.9,64,39.2,112,57 : 43,"26,412",8%,7.5,"Biological Sciences,Sport Science",/world-university-rankings/university-north-carolina-chapel-hill
University of Sydney UniSyd,Australia,11,University of Sydney,522,60,600,master_account,69.5,210,89.5,40,75.4,93,63.7,600,61.9,49,52.4,58,57 : 43,"42,678",29%,19.0,"Sport Science,Agriculture & Forestry,Veterinary Science,Biological Sciences",/world-university-rankings/university-sydney
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,61,610,master_account,66.5,227,40.6,242,98.6,2,63.5,610,60.0,56,55.6,53,51 : 49,"20,095",39%,17.8,Biological Sciences,/world-university-rankings/university-hong-kong
University of Dundee,United Kingdom,6,University of Dundee,640,=62,620,master_account,95.5,26,79.3,56,86.5,44,63.0,620,44.0,100,32.7,155,61 : 39,"11,266",24%,14.7,Biological Sciences,/world-university-rankings/university-dundee
University of Glasgow,United Kingdom,1,University of Glasgow,566,=62,630,master_account,85.1,77,32.3,422,85.6,49,63.0,630,50.7,75,43.6,92,57 : 43,"22,856",32%,15.3,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-glasgow
University of Lausanne,Switzerland,0,University of Lausanne,580,=62,640,master_account,89.2,58,98.4,20,97.1,10,63.0,640,45.3,93,34.9,139,,"12,647",24%,13.5,"Sport Science,Biological Sciences",/world-university-rankings/university-lausanne
University of Zurich,Switzerland,0,University of Zurich,525,65,650,master_account,83.5,93,35.8,317,98.0,6,62.9,650,44.9,95,47.2,81,57 : 43,"26,042",18%,6.1,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/university-zurich
University of Bristol,United Kingdom,11,University of Bristol,530,66,660,master_account,86.1,73,31.9,443,66.3,145,62.4,660,48.5,83,47.7,79,52 : 48,"18,544",25%,13.6,"Biological Sciences,Veterinary Science",/world-university-rankings/university-bristol
University of Western Australia uwa,Australia,0,University of Western Australia,654,67,670,master_account,87.3,64,53.4,137,94.3,15,62.2,670,44.1,98,40.3,108,50 : 50,"20,777",27%,23.0,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-western-australia
University of Amsterdam uva,Netherlands,6,University of Amsterdam,556,68,680,master_account,85.1,76,43.9,202,59.6,189,62.1,680,53.8,69,43.3,95,58 : 42,"25,344",10%,14.3,Biological Sciences,/world-university-rankings/university-amsterdam
Emory University,United States,0,Emory University,539,=69,690,private,83.6,90,47.9,174,52.3,238,61.9,690,51.9,70,47.9,75,57 : 43,"12,649",19%,4.4,Biological Sciences,/world-university-rankings/emory-university
Pierre and Marie Curie University,France,0,Pierre and Marie Curie University,548,=69,700,master_account,84.5,80,33.0,396,69.9,123,61.9,700,38.6,124,56.7,50,48 : 52,"28,473",17%,8.0,"Biological Sciences,Veterinary Science",/world-university-rankings/pierre-and-marie-curie-university
Trinity College Dublin,Ireland,0,Trinity College Dublin,582,=69,710,master_account,93.0,35,37.2,292,92.1,20,61.9,710,34.7,149,43.3,96,58 : 42,"15,805",25%,23.4,Biological Sciences,/world-university-rankings/trinity-college-dublin
University of Bonn,Germany,0,University of Bonn,868,71,720,master_account,88.7,61,34.6,342,64.1,164,61.4,720,43.6,102,46.1,82,55 : 45,"33,939",13%,73.3,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-bonn
University of Colorado Boulder,United States,0,University of Colorado Boulder,541,72,730,public,98.3,10,32.3,421,29.4,425,60.9,730,47.5,85,37.8,118,44 : 56,"29,741",9%,16.3,Biological Sciences,/world-university-rankings/university-colorado-boulder
University of Groningen,Netherlands,11,University of Groningen,598,73,740,master_account,78.8,125,74.0,63,67.1,139,60.8,740,54.4,67,41.5,102,52 : 48,"25,281",13%,24.4,"Biological Sciences,Sport Science",/world-university-rankings/university-groningen
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,74,750,public,71.5,191,54.4,129,39.6,330,60.6,750,65.7,43,47.9,76,46 : 54,"43,202",22%,18.3,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-illinois-urbana-champaign
Osaka University,Japan,0,Osaka University,583,75,760,master_account,62.6,249,80.6,50,27.1,444,60.5,760,66.2,40,59.0,43,30 : 70,"23,087",9%,7.6,"Biological Sciences,Sport Science",/world-university-rankings/osaka-university
University of Texas at Austin,United States,0,University of Texas at Austin,493,76,770,public,90.3,52,50.0,163,33.7,383,60.4,770,49.0,80,41.8,101,51 : 49,"48,689",10%,17.2,"Sport Science,Biological Sciences",/world-university-rankings/university-texas-austin
University of Tübingen,Germany,0,University of Tübingen,652,77,780,master_account,75.0,163,38.2,275,58.2,197,60.2,780,61.6,51,42.5,99,58 : 42,"28,074",11%,37.3,"Biological Sciences,Sport Science",/world-university-rankings/university-tubingen
University of St Andrews,United Kingdom,0,University of St Andrews,549,78,790,master_account,79.9,117,33.5,379,91.1,25,59.5,790,46.4,88,40.3,107,57 : 43,"8,453",46%,12.2,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-st-andrews
"University of Maryland, College Park",United States,0,"University of Maryland, College Park",559,=79,800,public,94.9,29,33.6,375,32.3,394,59.2,800,44.3,96,38.3,114,48 : 52,"31,353",9%,16.8,"Sport Science,Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-maryland-college-park
University of York,United Kingdom,0,University of York,586,=79,810,master_account,90.2,53,40.9,236,85.2,51,59.2,810,37.7,128,35.7,133,55 : 45,"14,676",26%,15.3,Biological Sciences,/world-university-rankings/university-york
University of Aberdeen,United Kingdom,0,University of Aberdeen,615,=82,820,master_account,85.1,75,50.3,157,91.3,21,59.0,820,31.4,173,45.1,84,55 : 45,"11,554",32%,13.6,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-aberdeen
Purdue University West Lafayette,United States,0,Purdue University West Lafayette,562,=82,830,public,66.1,231,62.4,99,66.6,142,59.0,830,58.6,57,47.8,78,42 : 58,"38,788",22%,17.7,"Biological Sciences,Sport Science,Veterinary Science,Agriculture & Forestry",/world-university-rankings/purdue-university-west-lafayette
University of Freiburg,Germany,0,University of Freiburg,653,84,840,master_account,77.6,135,100.0,2,66.0,150,58.6,840,43.3,103,43.9,91,52 : 48,"25,890",16%,33.7,"Sport Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-freiburg
University of East Anglia,United Kingdom,6,University of East Anglia,609,85,850,master_account,97.5,16,29.3,539,79.4,74,58.5,850,35.9,143,28.4,200,58 : 42,"13,997",28%,13.9,Biological Sciences,/world-university-rankings/university-east-anglia
