aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Harvard University,,United States,0,Harvard University,466,=1,10,private,89.1,15,44.0,141,72.3,59,90.8,10,94.0,3,94.6,2,,"19,890",25%,8.8,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/harvard-university
Stanford University,,United States,11,Stanford University,467,=1,20,private,88.9,16,62.0,43,67.3,85,90.8,20,93.1,4,95.6,1,42 : 58,"15,658",22%,7.7,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/stanford-university
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,86.7,20,39.9,232,73.2,56,88.8,30,95.0,2,89.4,5,46 : 54,"19,718",35%,10.9,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-oxford
UCL ucl UCL,,United Kingdom,0,UCL,481,4,40,master_account,77.7,50,45.3,123,93.6,6,85.8,40,92.5,5,83.3,10,56 : 44,"28,602",47%,10.6,"Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/ucl
University of Cambridge,,United Kingdom,0,University of Cambridge,470,5,50,master_account,61.1,168,48.4,90,68.8,77,85.0,50,95.2,1,89.7,4,45 : 55,"18,605",35%,11.3,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,History, Philosophy & Theology",/world-university-rankings/university-cambridge
Columbia University,,United States,0,Columbia University,476,=6,60,private,81.1,33,45.6,118,64.2,103,84.4,60,89.2,10,87.1,8,,"25,659",30%,6.0,"History, Philosophy & Theology,Art, Performing Arts & Design,Architecture,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/columbia-university
Princeton University,,United States,0,Princeton University,469,=6,70,private,72.2,82,41.9,174,57.3,146,84.4,70,89.3,9,92.3,3,45 : 55,"7,925",23%,8.4,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Architecture",/world-university-rankings/princeton-university
Yale University,,United States,0,Yale University,475,8,80,private,82.3,30,39.3,275,50.2,200,84.0,80,89.5,8,88.6,6,49 : 51,"11,946",21%,4.4,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Architecture",/world-university-rankings/yale-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,9,90,private,96.9,6,46.3,105,85.4,24,83.5,90,85.8,17,77.5,15,37 : 63,"11,192",33%,8.8,"Architecture,Languages, Literature & Linguistics,Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/massachusetts-institute-technology
University of Chicago,,United States,11,University of Chicago,473,10,100,private,77.1,52,38.6,364,49.0,213,83.1,100,90.0,7,88.1,7,42 : 58,"13,486",24%,6.2,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-chicago
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,11,110,public,85.4,22,41.3,187,30.9,314,83.0,110,91.6,6,86.2,9,52 : 48,"34,834",16%,12.0,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,Archaeology",/world-university-rankings/university-california-berkeley
University of Pennsylvania,,United States,0,University of Pennsylvania,480,12,120,private,84.8,26,40.7,199,52.9,183,79.3,120,84.6,21,79.2,13,51 : 49,"20,367",20%,6.5,"Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/university-pennsylvania
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,13,130,public,82.3,28,40.5,207,37.2,273,78.9,130,87.8,13,79.2,12,53 : 47,"38,392",16%,9.9,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Architecture",/world-university-rankings/university-california-los-angeles
