Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
21,54,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of kent', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4072/university-of-kent"">University of Kent</a>",70.1%,68.5%,59.0%,134,85.8%,90.4
22,86,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london south bank university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4092/london-south-bank-university"">London South Bank University</a>",85.6%,74.8%,20.1%,136,90.4%,90.2
23,31,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : swansea university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4128/swansea-university"">Swansea University</a>",75.4%,72.8%,22.7%,148,90.7%,90.0
24,89=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : solent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4120/solent-university"">Solent University</a>",88.3%,89.0%,n/a,140,90.0%,89.9
25,108,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of scotland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4137/university-of-the-west-of-scotland"">University of the West of Scotland</a>",80.1%,77.7%,9.4%,145*,90.9%,89.3
26,111,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4116/university-of-salford"">University of Salford</a>",82.6%,78.6%,27.7%,137,80.4%,89.2
27,64,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4105/oxford-brookes-university"">Oxford Brookes University</a>",92.7%,96.3%,n/a,127,85.2%,88.8
28,94,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bournemouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4031/bournemouth-university"">Bournemouth University</a>",86.3%,81.4%,4.7%,131,91.1%,88.3
29,38=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sussex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4127/university-of-sussex"">University of Sussex</a>",75.8%,69.0%,27.9%,141,84.0%,88.2
30,56=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4108/university-of-portsmouth"">University of Portsmouth</a>",85.7%,78.7%,12.1%,130,87.9%,88.1
31=,51,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4079/university-of-lincoln"">University of Lincoln</a>",81.4%,77.4%,5.8%,133*,94.2%,87.7
31=,74,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4048/de-montfort-university"">De Montfort University</a>",85.0%,83.8%,11.2%,119,93.1%,87.7
33,113,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bucks new university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4037/bucks-new-university"">Bucks New University</a>",88.4%,83.6%,n/a,140,78.1%,87.2
34,128,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bedfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4027/university-of-bedfordshire"">University of Bedfordshire</a>",82.2%,72.5%,16.3%,129,87.1%,87.1
35,60,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool hope university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4081/liverpool-hope-university"">Liverpool Hope University</a>",86.1%,78.0%,8.6%,130,84.0%,87.0
36=,61,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of huddersfield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4068/university-of-huddersfield"">University of Huddersfield</a>",84.3%,79.9%,9.5%,139,76.9%,86.9
36=,75,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4041/university-of-central-lancashire"">University of Central Lancashire</a>",82.1%,78.1%,11.8%,142,76.3%,86.9
38,78,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool john moores university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4082/liverpool-john-moores-university"">Liverpool John Moores University</a>",91.2%,89.4%,5.8%,141,63.4%,86.6
39,120,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : anglia ruskin university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4021/anglia-ruskin-university"">Anglia Ruskin University</a>",80.7%,68.6%,5.4%,132,93.3%,86.5
40,40,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4102/nottingham-trent-university"">Nottingham Trent University</a>",83.7%,81.3%,5.1%,138,77.4%,86.3
41,62=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : manchester metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4095/manchester-metropolitan-university"">Manchester Metropolitan University</a>",86.1%,84.1%,6.9%,144,64.6%,85.8
42,87,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : teesside university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4129/teesside-university"">Teesside University</a>",73.3%,71.8%,15.0%,132,89.4%,85.7
43,65=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : sheffield hallam university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4118/sheffield-hallam-university"">Sheffield Hallam University</a>",88.1%,87.3%,n/a,120,84.2%,85.5
44=,52,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of west london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4130/university-of-west-london"">University of West London</a>",81.1%,78.1%,n/a,140,80.0%,85.4
44=,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edge hill university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4054/edge-hill-university"">Edge Hill University</a>",85.8%,77.7%,5.7%,135,74.1%,85.4
44=,122,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of brighton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4033/university-of-brighton"">University of Brighton</a>",84.0%,75.5%,12.4%,111,92.1%,85.4
47=,65=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : northumbria university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4100/northumbria-university"">Northumbria University</a>",78.6%,73.7%,12.7%,152,64.5%,85.2
47=,100,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : brunel university london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4035/brunel-university-london"">Brunel University London</a>",72.8%,71.1%,28.5%,n/a,81.8%,85.2
47=,105,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bradford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4032/university-of-bradford"">University of Bradford</a>",80.1%,81.4%,10.6%,143,67.6%,85.2
50=,53,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : staffordshire university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4121/staffordshire-university"">Staffordshire University</a>",70.1%,67.9%,n/a,142,95.0%,85.1
50=,91,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of derby', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4049/university-of-derby"">University of Derby</a>",85.8%,81.9%,5.6%,122,80.9%,85.1
52,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4045/coventry-university"">Coventry University</a>",87.8%,83.1%,5.6%,126,73.0%,84.8
53=,107,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : middlesex university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4096/middlesex-university"">Middlesex University</a>",73.3%,70.3%,14.9%,135,82.9%,84.7
53=,96=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : birmingham city university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4029/birmingham-city-university"">Birmingham City University</a>",78.9%,78.9%,3.8%,134,80.4%,84.7
55=,84,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of greenwich', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4063/university-of-greenwich"">University of Greenwich</a>",78.2%,63.9%,2.2%,172,56.2%,84.2
55=,46,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4071/keele-university"">Keele University</a>",64.4%,45.7%,25.0%,135,95.8%,84.2
57,129,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of suffolk', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4124/university-of-suffolk"">University of Suffolk</a>",83.0%,80.8%,n/a,122,81.7%,83.7
58,88,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hertfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4066/university-of-hertfordshire"">University of Hertfordshire</a>",63.5%,59.2%,4.0%,139,91.7%,82.2
59=,92=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of worcester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4141/university-of-worcester"">University of Worcester</a>",89.2%,86.6%,n/a,119,63.5%,81.7
59=,126,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4091/london-metropolitan-university"">London Metropolitan University</a>",72.7%,69.5%,8.8%,118,86.3%,81.7
59=,-,"Kingston/St George's, London",75.4%,69.4%,n/a,131,78.5%,81.7
59=,68,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : goldsmiths, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4084/goldsmiths-university-of-london"">Goldsmiths, University of London</a>",80.5%,67.3%,13.5%,106,83.9%,81.7
63,112,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4132/cardiff-metropolitan-university"">Cardiff Metropolitan University</a>",77.0%,74.5%,n/a,130,73.6%,81.5
64,114,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of south wales', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4149/university-of-south-wales"">University of South Wales</a>",87.7%,79.6%,15.4%,112,59.7%,81.2
65,98=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of winchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4139/university-of-winchester"">University of Winchester</a>",75.3%,74.4%,n/a,126,77.0%,81.1
66,70,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4024/bangor-university"">Bangor University</a>",81.0%,77.0%,n/a,146,52.4%,81.0
67,95,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of gloucestershire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4062/university-of-gloucestershire"">University of Gloucestershire</a>",76.3%,69.1%,n/a,118,80.5%,80.3
