Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
UWE Bristol,Expenditure per student / 10,3.8191894785501,2013,3.8191894785501,93.0,3.0,10007164,"University of the West of England, Bristol",
Bournemouth,Expenditure per student / 10,6.9125334344264,2013,6.9125334344264,25.0,8.0,10000824,Bournemouth University,
Northumbria,Expenditure per student / 10,5.3729282278949295,2013,5.3729282278949295,56.0,6.0,10001282,University of Northumbria at Newcastle,
UC Falmouth,Expenditure per student / 10,6.5092203170495,2013,6.5092203170495,33.0,8.0,10008640,University College Falmouth,
Sunderland,Expenditure per student / 10,7.045107571074518,2013,7.045107571074518,22.0,9.0,10007159,University of Sunderland,
Gloucestershire,Expenditure per student / 10,4.606793118659018,2013,4.606793118659018,71.0,5.0,10007145,University of Gloucestershire,
Birmingham City,Expenditure per student / 10,5.73794540863361,2013,5.73794540863361,47.0,7.0,10007140,Birmingham City University,
Chichester,Expenditure per student / 10,3.23544468775868,2013,3.23544468775868,109.0,1.0,10007137,The University of Chichester,
Plymouth,Expenditure per student / 10,6.613222289369888,2013,6.613222289369888,32.0,8.0,10007801,University of Plymouth,
Bangor,Expenditure per student / 10,5.4540800531360984,2013,5.4540800531360984,54.0,6.0,10007857,Bangor University,
Brighton,Expenditure per student / 10,4.6364588162094815,2013,4.6364588162094815,70.0,5.0,10000886,University of Brighton,
Goldsmiths,Expenditure per student / 10,3.37597759753662,2013,3.37597759753662,102.0,2.0,10002718,Goldsmiths' College,
Cardiff Met,Expenditure per student / 10,4.64987613542527,2013,4.64987613542527,69.0,5.0,10007854,Cardiff Metropolitan University,
Stirling,Expenditure per student / 10,4.46411430951283,2013,4.46411430951283,75.0,4.0,10007804,University of Stirling,
West London,Expenditure per student / 10,6.955171744614789,2013,6.955171744614789,24.0,9.0,10006566,The University of West London,
Hull,Expenditure per student / 10,4.65654101936178,2013,4.65654101936178,68.0,5.0,10007149,University of Hull,
Derby,Expenditure per student / 10,4.659138255229901,2013,4.659138255229901,67.0,5.0,10007851,University of Derby,
Bath Spa,Expenditure per student / 10,3.7778308647873904,2013,3.7778308647873904,94.0,3.0,10000571,Bath Spa University,
Central Lancashire,Expenditure per student / 10,5.76659862458542,2013,5.76659862458542,46.0,7.0,10007141,University of Central Lancashire,
Edinburgh Napier,Expenditure per student / 10,3.66526533605742,2013,3.66526533605742,96.0,2.0,10007772,Edinburgh Napier University,
Queen Margaret,Expenditure per student / 10,2.53886235345202,2013,2.53886235345202,116.0,1.0,10005337,"Queen Margaret University, Edinburgh",
Edge Hill,Expenditure per student / 10,2.88142163729355,2013,2.88142163729355,113.0,1.0,10007823,Edge Hill University,
Hertfordshire,Expenditure per student / 10,4.03164501976456,2013,4.03164501976456,89.0,3.0,10007147,University of Hertfordshire,
Anglia Ruskin,Expenditure per student / 10,8.00916380297823,2013,8.00916380297823,11.0,10.0,10000291,Anglia Ruskin University,
Portsmouth,Expenditure per student / 10,4.918767632241809,2013,4.918767632241809,66.0,5.0,10007155,University of Portsmouth,
Teesside,Expenditure per student / 10,5.41591240875912,2013,5.41591240875912,55.0,6.0,10007161,Teesside University,
Nottingham Trent,Expenditure per student / 10,4.92294741567989,2013,4.92294741567989,65.0,5.0,10004797,Nottingham Trent University,
Aberystwyth,Expenditure per student / 10,4.3700136661961295,2013,4.3700136661961295,78.0,4.0,10007856,Prifysgol Aberystwyth,
Glamorgan,Expenditure per student / 10,4.54447167868834,2013,4.54447167868834,73.0,4.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Sheffield Hallam,Expenditure per student / 10,3.9226333501161097,2013,3.9226333501161097,91.0,3.0,10005790,Sheffield Hallam University,
Salford,Expenditure per student / 10,3.98508599337028,2013,3.98508599337028,90.0,3.0,10007156,University of Salford,
De Montfort,Expenditure per student / 10,3.47068293509575,2013,3.47068293509575,101.0,2.0,10001883,De Montfort University,
Northampton,Expenditure per student / 10,5.15423676704438,2013,5.15423676704438,60.0,5.0,10007138,The University of Northampton,
Winchester,Expenditure per student / 10,2.65762166591915,2013,2.65762166591915,115.0,1.0,10003614,University of Winchester,
Greenwich,Expenditure per student / 10,4.49227412125501,2013,4.49227412125501,74.0,4.0,10007146,University of Greenwich,
Swansea,Expenditure per student / 10,4.22376355397142,2013,4.22376355397142,81.0,4.0,10007855,Swansea University,
Ulster,Expenditure per student / 10,4.11132050927115,2013,4.11132050927115,86.0,3.0,10007807,University of Ulster,
Bradford,Expenditure per student / 10,5.15919602508822,2013,5.15919602508822,59.0,6.0,10007785,University of Bradford,
Glasgow Caledonian,Expenditure per student / 10,3.5419160062537096,2013,3.5419160062537096,100.0,2.0,10007762,Glasgow Caledonian University,
Westminster,Expenditure per student / 10,4.164129026671859,2013,4.164129026671859,82.0,4.0,10007165,The University of Westminster,
Middlesex,Expenditure per student / 10,7.5345289641567,2013,7.5345289641567,17.0,9.0,10004351,Middlesex University,
Kingston,Expenditure per student / 10,4.45779542234952,2013,4.45779542234952,76.0,4.0,10003678,Kingston University,
Staffordshire,Expenditure per student / 10,5.95368584625636,2013,5.95368584625636,41.0,7.0,10006299,Staffordshire University,
"St Mary's UC, Twickenham",Expenditure per student / 10,2.3804228946409,2013,2.3804228946409,117.0,1.0,10007843,"St Mary's University College, Twickenham",
Liverpool John Moores,Expenditure per student / 10,4.34531957482054,2013,4.34531957482054,79.0,4.0,10003957,Liverpool John Moores University,
Worcester,Expenditure per student / 10,4.15673394479714,2013,4.15673394479714,83.0,4.0,10007139,University of Worcester,
York St John,Expenditure per student / 10,5.361132018666259,2013,5.361132018666259,57.0,6.0,10007713,York St John University,
Newman University College,Expenditure per student / 10,3.6094132924244304,2013,3.6094132924244304,97.0,2.0,10007832,Newman University College,
Cumbria,Expenditure per student / 10,4.0883710281557715,2013,4.0883710281557715,87.0,3.0,10007842,The University of Cumbria,
Bedfordshire,Expenditure per student / 10,5.85941604981788,2013,5.85941604981788,44.0,7.0,10007152,University of Bedfordshire,
London South Bank,Expenditure per student / 10,4.45561287029333,2013,4.45561287029333,77.0,4.0,10004078,London South Bank University,
Canterbury Christ Church,Expenditure per student / 10,3.25227171633729,2013,3.25227171633729,108.0,1.0,10001143,Canterbury Christ Church University,
Glyndŵr,Expenditure per student / 10,3.26683290253915,2013,3.26683290253915,107.0,2.0,10007833,Glyndwr University,
West of Scotland,Expenditure per student / 10,3.5579896576411096,2013,3.5579896576411096,99.0,2.0,10007800,University of the West of Scotland,
Manchester Met,Expenditure per student / 10,2.99676987127339,2013,2.99676987127339,111.0,1.0,10004180,The Manchester Metropolitan University,
Roehampton,Expenditure per student / 10,2.81240649425308,2013,2.81240649425308,114.0,1.0,10007776,Roehampton University,
Trinity Saint David,Expenditure per student / 10,4.31361384023921,2013,4.31361384023921,80.0,4.0,10007858,University of Wales: Trinity Saint David,
Newport,Expenditure per student / 10,4.14170478170478,2013,4.14170478170478,84.0,3.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Leeds Met,Expenditure per student / 10,3.33627560766748,2013,3.33627560766748,105.0,2.0,10003861,Leeds Metropolitan University,
Leeds Trinity University College,Expenditure per student / 10,1.97522774010252,2013,1.97522774010252,119.0,1.0,10003863,Leeds Trinity University College,
UC Suffolk,Expenditure per student / 10,,2013,,,,10014001,University Campus Suffolk Ltd,
East London,Expenditure per student / 10,3.3044869191612,2013,3.3044869191612,106.0,2.0,10007144,University of East London,
Bucks New University,Expenditure per student / 10,3.8621247716001,2013,3.8621247716001,92.0,3.0,10000975,Buckinghamshire New University,
Southampton Solent,Expenditure per student / 10,3.3671005783347403,2013,3.3671005783347403,103.0,2.0,10006022,Southampton Solent University,
London Met,Expenditure per student / 10,2.9393494834221805,2013,2.9393494834221805,112.0,1.0,10004048,London Metropolitan University,
Abertay Dundee,Expenditure per student / 10,2.08764367816092,2013,2.08764367816092,118.0,1.0,10007849,University of Abertay Dundee,
Bolton,Expenditure per student / 10,3.05170517051705,2013,3.05170517051705,110.0,1.0,10006841,The University of Bolton,
Cambridge,Career prospects (%),81.5159574468085,2013,81.5159574468085,3.0,10.0,10007788,University of Cambridge,3.0
Oxford,Career prospects (%),73.342736248237,2013,73.342736248237,14.0,9.0,10007774,University of Oxford,11.0
London School of Economics,Career prospects (%),82.092555331992,2013,82.092555331992,2.0,10.0,10004063,London School of Economics & Political Science,2.0
St Andrews,Career prospects (%),70.668485675307,2013,70.668485675307,19.0,9.0,10007803,University of St Andrews,
Warwick,Career prospects (%),73.43358395989979,2013,73.43358395989979,13.0,9.0,10007163,University of Warwick,10.0
UCL,Career prospects (%),76.593137254902,2013,76.593137254902,4.0,10.0,10007784,University College London,4.0
Durham,Career prospects (%),74.4273219491878,2013,74.4273219491878,9.0,10.0,10007143,University of Durham,7.0
Lancaster,Career prospects (%),69.676994067238,2013,69.676994067238,23.0,9.0,10007768,University of Lancaster,
Bath,Career prospects (%),76.0225669957687,2013,76.0225669957687,5.0,10.0,10007850,University of Bath (The),
Exeter,Career prospects (%),68.505859375,2013,68.505859375,28.0,8.0,10007792,University of Exeter,17.0
Loughborough,Career prospects (%),69.1962056914628,2013,69.1962056914628,25.0,8.0,10004113,Loughborough University,
Surrey,Career prospects (%),69.39364773820981,2013,69.39364773820981,24.0,9.0,10007160,University of Surrey,
Imperial College,Career prospects (%),84.4808743169399,2013,84.4808743169399,1.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",1.0
Glasgow,Career prospects (%),74.3269230769231,2013,74.3269230769231,10.0,10.0,10007794,University of Glasgow,8.0
Edinburgh,Career prospects (%),70.69264069264071,2013,70.69264069264071,18.0,9.0,10007790,University of Edinburgh,14.0
Buckingham,Career prospects (%),74.13793103448279,2013,74.13793103448279,11.0,10.0,10007787,The University of Buckingham,
York,Career prospects (%),67.02064896755161,2013,67.02064896755161,34.0,8.0,10007167,University of York,22.0
Bristol,Career prospects (%),75.2208480565371,2013,75.2208480565371,8.0,10.0,10007786,University of Bristol,6.0
Leicester,Career prospects (%),60.267314702308596,2013,60.267314702308596,56.0,6.0,10007796,University of Leicester,
Heriot-Watt,Career prospects (%),70.6569343065693,2013,70.6569343065693,20.0,9.0,10007764,Heriot-Watt University,
City,Career prospects (%),65.6182212581345,2013,65.6182212581345,40.0,7.0,10001478,The City University,
Kent,Career prospects (%),67.7470775770457,2013,67.7470775770457,31.0,8.0,10007150,University of Kent,
Southampton,Career prospects (%),68.6699072028281,2013,68.6699072028281,27.0,8.0,10007158,University of Southampton,16.0
UEA,Career prospects (%),56.8433313919627,2013,56.8433313919627,68.0,5.0,10007789,University of East Anglia,
Reading,Career prospects (%),66.3757998836533,2013,66.3757998836533,38.0,7.0,10007802,University of Reading,
Nottingham,Career prospects (%),72.41273729332521,2013,72.41273729332521,17.0,9.0,10007154,University of Nottingham,13.0
Aston,Career prospects (%),72.6666666666667,2013,72.6666666666667,16.0,9.0,10007759,Aston University,
Sussex,Career prospects (%),64.1414141414142,2013,64.1414141414142,42.0,7.0,10007806,University of Sussex,
SOAS,Career prospects (%),58.641975308641996,2013,58.641975308641996,64.0,5.0,10007780,School of Oriental and African Studies,
Birmingham,Career prospects (%),70.4972710733778,2013,70.4972710733778,21.0,9.0,10000712,University College Birmingham,
University of the Arts London,Career prospects (%),52.9611980939415,2013,52.9611980939415,82.0,4.0,10007162,"University of the Arts, London",
King's College London,Career prospects (%),75.7231990924561,2013,75.7231990924561,6.0,10.0,10003645,King's College London,5.0
Newcastle,Career prospects (%),72.72364217252401,2013,72.72364217252401,15.0,9.0,10007799,University of Newcastle Upon Tyne,12.0
Strathclyde,Career prospects (%),66.7020711630377,2013,66.7020711630377,37.0,7.0,10007805,University of Strathclyde,
Robert Gordon,Career prospects (%),75.42194092826999,2013,75.42194092826999,7.0,10.0,10005500,The Robert Gordon University,
Queen Mary,Career prospects (%),67.7121771217712,2013,67.7121771217712,32.0,8.0,10007775,"Queen Mary and Westfield College, University of London",20.0
Leeds,Career prospects (%),70.0645161290322,2013,70.0645161290322,22.0,9.0,10007795,University of Leeds,15.0
Aberdeen,Career prospects (%),68.8026981450253,2013,68.8026981450253,26.0,8.0,10007783,University of Aberdeen,
Royal Holloway,Career prospects (%),60.5,2013,60.5,54.0,6.0,10005553,Royal Holloway College and Bedford New College,
Cardiff,Career prospects (%),73.7128237927726,2013,73.7128237927726,12.0,10.0,10007814,Cardiff University,9.0
Manchester,Career prospects (%),67.3241852487136,2013,67.3241852487136,33.0,8.0,10007798,The University of Manchester,21.0
Sheffield,Career prospects (%),68.2605682605682,2013,68.2605682605682,29.0,8.0,10007157,University of Sheffield,18.0
Dundee,Career prospects (%),64.7108843537415,2013,64.7108843537415,41.0,7.0,10007852,University of Dundee,
Brunel,Career prospects (%),56.66495110653629,2013,56.66495110653629,69.0,5.0,10000961,Brunel University,
Liverpool,Career prospects (%),67.91199667912,2013,67.91199667912,30.0,8.0,10006842,University of Liverpool,19.0
Coventry,Career prospects (%),63.257065948856,2013,63.257065948856,45.0,7.0,10001726,Coventry University,
Lincoln,Career prospects (%),65.75,2013,65.75,39.0,7.0,10007151,University of Lincoln,
Huddersfield,Career prospects (%),64.1217298451682,2013,64.1217298451682,43.0,7.0,10007148,University of Huddersfield,
Oxford Brookes,Career prospects (%),59.555854643337796,2013,59.555854643337796,58.0,6.0,10004930,Oxford Brookes University,
Essex,Career prospects (%),50.081433224755706,2013,50.081433224755706,94.0,3.0,10007791,University of Essex,
Keele,Career prospects (%),66.97782963827301,2013,66.97782963827301,35.0,8.0,10007767,University of Keele,
Chester,Career prospects (%),63.157894736842096,2013,63.157894736842096,46.0,7.0,10007848,University of Chester,
"Queen's, Belfast",Career prospects (%),66.783523225241,2013,66.783523225241,36.0,8.0,10005343,The Queen's University of Belfast,23.0
UWE Bristol,Career prospects (%),62.026515151515206,2013,62.026515151515206,50.0,6.0,10007164,"University of the West of England, Bristol",
Bournemouth,Career prospects (%),62.1145374449339,2013,62.1145374449339,49.0,6.0,10000824,Bournemouth University,
Northumbria,Career prospects (%),60.3689567430025,2013,60.3689567430025,55.0,6.0,10001282,University of Northumbria at Newcastle,
UC Falmouth,Career prospects (%),49.75450081833061,2013,49.75450081833061,96.0,3.0,10008640,University College Falmouth,
Sunderland,Career prospects (%),46.63900414937761,2013,46.63900414937761,112.0,1.0,10007159,University of Sunderland,
Gloucestershire,Career prospects (%),50.0936329588015,2013,50.0936329588015,93.0,3.0,10007145,University of Gloucestershire,
Birmingham City,Career prospects (%),59.726353361094596,2013,59.726353361094596,57.0,6.0,10007140,Birmingham City University,
Chichester,Career prospects (%),50.07776049766721,2013,50.07776049766721,95.0,3.0,10007137,The University of Chichester,
Plymouth,Career prospects (%),58.67707172055,2013,58.67707172055,63.0,5.0,10007801,University of Plymouth,
Bangor,Career prospects (%),55.3805774278215,2013,55.3805774278215,75.0,4.0,10007857,Bangor University,
Brighton,Career prospects (%),48.8348530901722,2013,48.8348530901722,101.0,2.0,10000886,University of Brighton,
Goldsmiths,Career prospects (%),48.2003129890454,2013,48.2003129890454,104.0,2.0,10002718,Goldsmiths' College,
Cardiff Met,Career prospects (%),48.0424143556281,2013,48.0424143556281,105.0,2.0,10007854,Cardiff Metropolitan University,
Stirling,Career prospects (%),55.5,2013,55.5,74.0,4.0,10007804,University of Stirling,
West London,Career prospects (%),48.882681564245786,2013,48.882681564245786,100.0,2.0,10006566,The University of West London,
Hull,Career prospects (%),62.9213483146068,2013,62.9213483146068,47.0,7.0,10007149,University of Hull,
Derby,Career prospects (%),48.237179487179496,2013,48.237179487179496,103.0,2.0,10007851,University of Derby,
Bath Spa,Career prospects (%),51.0160427807487,2013,51.0160427807487,90.0,3.0,10000571,Bath Spa University,
Central Lancashire,Career prospects (%),51.6949152542373,2013,51.6949152542373,88.0,3.0,10007141,University of Central Lancashire,
Edinburgh Napier,Career prospects (%),61.9348054679285,2013,61.9348054679285,51.0,6.0,10007772,Edinburgh Napier University,
Queen Margaret,Career prospects (%),53.8888888888889,2013,53.8888888888889,78.0,4.0,10005337,"Queen Margaret University, Edinburgh",
Edge Hill,Career prospects (%),56.9935691318328,2013,56.9935691318328,67.0,5.0,10007823,Edge Hill University,
Hertfordshire,Career prospects (%),56.426735218508995,2013,56.426735218508995,70.0,5.0,10007147,University of Hertfordshire,
Anglia Ruskin,Career prospects (%),50.1430615164521,2013,50.1430615164521,92.0,3.0,10000291,Anglia Ruskin University,
Portsmouth,Career prospects (%),58.6916574788681,2013,58.6916574788681,62.0,5.0,10007155,University of Portsmouth,
Teesside,Career prospects (%),52.8169014084507,2013,52.8169014084507,84.0,4.0,10007161,Teesside University,
Nottingham Trent,Career prospects (%),56.038961038961,2013,56.038961038961,72.0,5.0,10004797,Nottingham Trent University,
Aberystwyth,Career prospects (%),47.4609375,2013,47.4609375,108.0,2.0,10007856,Prifysgol Aberystwyth,
Glamorgan,Career prospects (%),49.187784275503596,2013,49.187784275503596,98.0,2.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Sheffield Hallam,Career prospects (%),54.3126684636119,2013,54.3126684636119,77.0,4.0,10005790,Sheffield Hallam University,
Salford,Career prospects (%),53.3260032985157,2013,53.3260032985157,81.0,4.0,10007156,University of Salford,
De Montfort,Career prospects (%),51.9983518747425,2013,51.9983518747425,86.0,3.0,10001883,De Montfort University,
Northampton,Career prospects (%),46.798029556650285,2013,46.798029556650285,111.0,1.0,10007138,The University of Northampton,
Winchester,Career prospects (%),46.51474530831101,2013,46.51474530831101,113.0,1.0,10003614,University of Winchester,
Greenwich,Career prospects (%),51.009501187648496,2013,51.009501187648496,91.0,3.0,10007146,University of Greenwich,
Swansea,Career prospects (%),61.1494252873563,2013,61.1494252873563,53.0,6.0,10007855,Swansea University,
Ulster,Career prospects (%),45.3281853281853,2013,45.3281853281853,115.0,1.0,10007807,University of Ulster,
Bradford,Career prospects (%),63.927427961579504,2013,63.927427961579504,44.0,7.0,10007785,University of Bradford,
Glasgow Caledonian,Career prospects (%),51.4231499051233,2013,51.4231499051233,89.0,3.0,10007762,Glasgow Caledonian University,
Westminster,Career prospects (%),53.47705146036161,2013,53.47705146036161,79.0,4.0,10007165,The University of Westminster,
Middlesex,Career prospects (%),48.021582733813,2013,48.021582733813,106.0,2.0,10004351,Middlesex University,
Kingston,Career prospects (%),52.8546712802768,2013,52.8546712802768,83.0,4.0,10003678,Kingston University,
Staffordshire,Career prospects (%),55.1157580283794,2013,55.1157580283794,76.0,4.0,10006299,Staffordshire University,
"St Mary's UC, Twickenham",Career prospects (%),57.4837310195228,2013,57.4837310195228,65.0,5.0,10007843,"St Mary's University College, Twickenham",
Liverpool John Moores,Career prospects (%),48.495831823124284,2013,48.495831823124284,102.0,2.0,10003957,Liverpool John Moores University,
Worcester,Career prospects (%),51.937984496124,2013,51.937984496124,87.0,3.0,10007139,University of Worcester,
York St John,Career prospects (%),49.734325185972395,2013,49.734325185972395,97.0,2.0,10007713,York St John University,
Newman University College,Career prospects (%),59.4405594405594,2013,59.4405594405594,59.0,6.0,10007832,Newman University College,
Cumbria,Career prospects (%),58.829465186680096,2013,58.829465186680096,61.0,5.0,10007842,The University of Cumbria,
Bedfordshire,Career prospects (%),53.3941236068896,2013,53.3941236068896,80.0,4.0,10007152,University of Bedfordshire,
London South Bank,Career prospects (%),56.0846560846561,2013,56.0846560846561,71.0,5.0,10004078,London South Bank University,
Canterbury Christ Church,Career prospects (%),59.1715976331361,2013,59.1715976331361,60.0,6.0,10001143,Canterbury Christ Church University,
Glyndŵr,Career prospects (%),61.19402985074621,2013,61.19402985074621,52.0,6.0,10007833,Glyndwr University,
West of Scotland,Career prospects (%),55.59566787003611,2013,55.59566787003611,73.0,4.0,10007800,University of the West of Scotland,
Manchester Met,Career prospects (%),52.345679012345705,2013,52.345679012345705,85.0,3.0,10004180,The Manchester Metropolitan University,
Roehampton,Career prospects (%),57.4421168687982,2013,57.4421168687982,66.0,5.0,10007776,Roehampton University,
Trinity Saint David,Career prospects (%),43.089430894309,2013,43.089430894309,117.0,1.0,10007858,University of Wales: Trinity Saint David,
Newport,Career prospects (%),46.488294314381285,2013,46.488294314381285,114.0,1.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Leeds Met,Career prospects (%),49.114441416893705,2013,49.114441416893705,99.0,2.0,10003861,Leeds Metropolitan University,
Leeds Trinity University College,Career prospects (%),62.3955431754875,2013,62.3955431754875,48.0,7.0,10003863,Leeds Trinity University College,
UC Suffolk,Career prospects (%),47.869674185463715,2013,47.869674185463715,107.0,2.0,10014001,University Campus Suffolk Ltd,
East London,Career prospects (%),44.85488126649079,2013,44.85488126649079,116.0,1.0,10007144,University of East London,
Bucks New University,Career prospects (%),47.017045454545496,2013,47.017045454545496,109.0,1.0,10000975,Buckinghamshire New University,
Southampton Solent,Career prospects (%),39.7080291970803,2013,39.7080291970803,119.0,1.0,10006022,Southampton Solent University,
London Met,Career prospects (%),41.6526138279933,2013,41.6526138279933,118.0,1.0,10004048,London Metropolitan University,
Abertay Dundee,Career prospects (%),46.8292682926829,2013,46.8292682926829,110.0,1.0,10007849,University of Abertay Dundee,
Bolton,Career prospects (%),34.408602150537604,2013,34.408602150537604,120.0,1.0,10006841,The University of Bolton,
Cambridge,Value added score/10,5.654954120189849,2013,5.654954120189849,51.0,6.0,10007788,University of Cambridge,13.0
Oxford,Value added score/10,6.67293694812974,2013,6.67293694812974,21.0,9.0,10007774,University of Oxford,5.0
London School of Economics,Value added score/10,6.790646360163209,2013,6.790646360163209,17.0,9.0,10004063,London School of Economics & Political Science,3.0
St Andrews,Value added score/10,7.269736550371751,2013,7.269736550371751,7.0,10.0,10007803,University of St Andrews,
Warwick,Value added score/10,6.35038956060896,2013,6.35038956060896,30.0,8.0,10007163,University of Warwick,7.0
UCL,Value added score/10,7.14850123899855,2013,7.14850123899855,9.0,10.0,10007784,University College London,2.0
Durham,Value added score/10,5.64746208468484,2013,5.64746208468484,52.0,6.0,10007143,University of Durham,14.0
Lancaster,Value added score/10,5.30616081130025,2013,5.30616081130025,63.0,5.0,10007768,University of Lancaster,
Bath,Value added score/10,6.82024167787686,2013,6.82024167787686,16.0,9.0,10007850,University of Bath (The),
Exeter,Value added score/10,7.338067642696989,2013,7.338067642696989,6.0,10.0,10007792,University of Exeter,1.0
Loughborough,Value added score/10,5.29070471272618,2013,5.29070471272618,64.0,5.0,10004113,Loughborough University,
Surrey,Value added score/10,6.06279656435822,2013,6.06279656435822,37.0,7.0,10007160,University of Surrey,
Imperial College,Value added score/10,4.50938470018276,2013,4.50938470018276,94.0,3.0,10003270,"Imperial College of Science, Technology and Medicine",23.0
Glasgow,Value added score/10,5.64242583159642,2013,5.64242583159642,53.0,6.0,10007794,University of Glasgow,15.0
Edinburgh,Value added score/10,6.773538699414232,2013,6.773538699414232,19.0,9.0,10007790,University of Edinburgh,4.0
Buckingham,Value added score/10,1.72258666832638,2013,1.72258666832638,119.0,1.0,10007787,The University of Buckingham,
York,Value added score/10,4.86705171326466,2013,4.86705171326466,79.0,4.0,10007167,University of York,20.0
Bristol,Value added score/10,5.94522272272272,2013,5.94522272272272,44.0,7.0,10007786,University of Bristol,10.0
Leicester,Value added score/10,5.45468960301777,2013,5.45468960301777,62.0,5.0,10007796,University of Leicester,
Heriot-Watt,Value added score/10,6.4572397472196785,2013,6.4572397472196785,25.0,8.0,10007764,Heriot-Watt University,
City,Value added score/10,6.62697502013502,2013,6.62697502013502,24.0,9.0,10001478,The City University,
Kent,Value added score/10,5.800255603371268,2013,5.800255603371268,48.0,7.0,10007150,University of Kent,
Southampton,Value added score/10,6.431411810063361,2013,6.431411810063361,26.0,8.0,10007158,University of Southampton,6.0
UEA,Value added score/10,5.20105645506766,2013,5.20105645506766,67.0,5.0,10007789,University of East Anglia,
Reading,Value added score/10,6.0611642981800005,2013,6.0611642981800005,38.0,7.0,10007802,University of Reading,
Nottingham,Value added score/10,5.60562871368744,2013,5.60562871368744,56.0,6.0,10007154,University of Nottingham,16.0
Aston,Value added score/10,6.1301365372447085,2013,6.1301365372447085,36.0,8.0,10007759,Aston University,
Sussex,Value added score/10,7.52806885543129,2013,7.52806885543129,3.0,10.0,10007806,University of Sussex,
SOAS,Value added score/10,6.908367390836741,2013,6.908367390836741,14.0,9.0,10007780,School of Oriental and African Studies,
Birmingham,Value added score/10,5.6063500860312105,2013,5.6063500860312105,55.0,6.0,10000712,University College Birmingham,
University of the Arts London,Value added score/10,6.24814992791927,2013,6.24814992791927,33.0,8.0,10007162,"University of the Arts, London",
King's College London,Value added score/10,5.9244691386155095,2013,5.9244691386155095,45.0,7.0,10003645,King's College London,11.0
Newcastle,Value added score/10,5.28450279582892,2013,5.28450279582892,65.0,5.0,10007799,University of Newcastle Upon Tyne,17.0
Strathclyde,Value added score/10,6.38074047897355,2013,6.38074047897355,29.0,8.0,10007805,University of Strathclyde,
Robert Gordon,Value added score/10,4.51835424383638,2013,4.51835424383638,93.0,3.0,10005500,The Robert Gordon University,
Queen Mary,Value added score/10,4.70208976025306,2013,4.70208976025306,87.0,3.0,10007775,"Queen Mary and Westfield College, University of London",22.0
Leeds,Value added score/10,5.9110773197120094,2013,5.9110773197120094,46.0,7.0,10007795,University of Leeds,12.0
Aberdeen,Value added score/10,6.63225119375483,2013,6.63225119375483,22.0,9.0,10007783,University of Aberdeen,
Royal Holloway,Value added score/10,5.63366789381903,2013,5.63366789381903,54.0,6.0,10005553,Royal Holloway College and Bedford New College,
Cardiff,Value added score/10,4.8641738574624505,2013,4.8641738574624505,80.0,4.0,10007814,Cardiff University,21.0
Manchester,Value added score/10,5.21024914748677,2013,5.21024914748677,66.0,5.0,10007798,The University of Manchester,18.0
Sheffield,Value added score/10,5.188820186753941,2013,5.188820186753941,69.0,5.0,10007157,University of Sheffield,19.0
Dundee,Value added score/10,6.39028976894185,2013,6.39028976894185,27.0,8.0,10007852,University of Dundee,
Brunel,Value added score/10,5.71526230504355,2013,5.71526230504355,50.0,6.0,10000961,Brunel University,
Liverpool,Value added score/10,5.95357872913105,2013,5.95357872913105,43.0,7.0,10006842,University of Liverpool,9.0
Coventry,Value added score/10,7.1200942020859,2013,7.1200942020859,10.0,10.0,10001726,Coventry University,
Lincoln,Value added score/10,4.74076769146807,2013,4.74076769146807,85.0,3.0,10007151,University of Lincoln,
Huddersfield,Value added score/10,5.03863684388262,2013,5.03863684388262,72.0,4.0,10007148,University of Huddersfield,
Oxford Brookes,Value added score/10,7.054382562617789,2013,7.054382562617789,12.0,10.0,10004930,Oxford Brookes University,
Essex,Value added score/10,4.57493018238774,2013,4.57493018238774,91.0,3.0,10007791,University of Essex,
Keele,Value added score/10,5.99902628077821,2013,5.99902628077821,39.0,7.0,10007767,University of Keele,
Chester,Value added score/10,5.5628872052162315,2013,5.5628872052162315,58.0,6.0,10007848,University of Chester,
"Queen's, Belfast",Value added score/10,6.22484697613633,2013,6.22484697613633,34.0,8.0,10005343,The Queen's University of Belfast,8.0
UWE Bristol,Value added score/10,6.69652996327004,2013,6.69652996327004,20.0,9.0,10007164,"University of the West of England, Bristol",
Bournemouth,Value added score/10,7.3410905329842615,2013,7.3410905329842615,5.0,10.0,10000824,Bournemouth University,
Northumbria,Value added score/10,5.142563201381178,2013,5.142563201381178,70.0,5.0,10001282,University of Northumbria at Newcastle,
UC Falmouth,Value added score/10,5.4713684891620815,2013,5.4713684891620815,61.0,5.0,10008640,University College Falmouth,
Sunderland,Value added score/10,4.8340510844446385,2013,4.8340510844446385,81.0,4.0,10007159,University of Sunderland,
Gloucestershire,Value added score/10,7.581006666022612,2013,7.581006666022612,2.0,10.0,10007145,University of Gloucestershire,
Birmingham City,Value added score/10,7.045693214156881,2013,7.045693214156881,13.0,9.0,10007140,Birmingham City University,
