Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Queen Margaret,Average Teaching Score,58.7,2010,58.7,57.0,6.0,10005337,"Queen Margaret University, Edinburgh",
Queen Mary,Average Teaching Score,58.7,2010,58.7,57.0,6.0,10007775,"Queen Mary and Westfield College, University of London",23.0
UWE Bristol,Average Teaching Score,58.3,2010,58.3,59.0,5.0,10007164,"University of the West of England, Bristol",
Bath Spa,Average Teaching Score,56.9,2010,56.9,60.0,5.0,10000571,Bath Spa University,
UC Falmouth,Average Teaching Score,56.7,2010,56.7,61.0,5.0,10008640,University College Falmouth,
Sunderland,Average Teaching Score,56.6,2010,56.6,62.0,5.0,10007159,University of Sunderland,
Birmingham City,Average Teaching Score,56.4,2010,56.4,63.0,5.0,10007140,Birmingham City University,
Gloucestershire,Average Teaching Score,56.4,2010,56.4,63.0,5.0,10007145,University of Gloucestershire,
UWIC,Average Teaching Score,56.0,2010,56.0,65.0,5.0,10007854,Cardiff Metropolitan University,
Glasgow Caledonian,Average Teaching Score,55.3,2010,55.3,66.0,5.0,10007762,Glasgow Caledonian University,
Sheffield Hallam,Average Teaching Score,55.2,2010,55.2,67.0,5.0,10005790,Sheffield Hallam University,
"St Mary's UC, Twickenham",Average Teaching Score,55.1,2010,55.1,68.0,5.0,10007843,"St Mary's University College, Twickenham",
Thames Valley,Average Teaching Score,54.5,2010,54.5,69.0,5.0,10006566,The University of West London,
Teesside,Average Teaching Score,54.5,2010,54.5,69.0,5.0,10007161,Teesside University,
Aberystwyth,Average Teaching Score,54.3,2010,54.3,71.0,4.0,10007856,Prifysgol Aberystwyth,
Bangor,Average Teaching Score,54.2,2010,54.2,72.0,4.0,10007857,Bangor University,
Kingston,Average Teaching Score,54.0,2010,54.0,73.0,4.0,10003678,Kingston University,
Brighton,Average Teaching Score,53.9,2010,53.9,74.0,4.0,10000886,University of Brighton,
Coventry,Average Teaching Score,53.5,2010,53.5,75.0,4.0,10001726,Coventry University,
Ulster,Average Teaching Score,53.5,2010,53.5,75.0,4.0,10007807,University of Ulster,
De Montfort,Average Teaching Score,53.4,2010,53.4,77.0,4.0,10001883,De Montfort University,
Lampeter,Average Teaching Score,53.3,2010,53.3,78.0,4.0,10007858,University of Wales: Trinity Saint David,
Portsmouth,Average Teaching Score,53.3,2010,53.3,78.0,4.0,10007155,University of Portsmouth,
Glamorgan,Average Teaching Score,53.1,2010,53.1,80.0,4.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Chichester,Average Teaching Score,52.9,2010,52.9,81.0,4.0,10007137,The University of Chichester,
Central Lancashire,Average Teaching Score,52.7,2010,52.7,82.0,4.0,10007141,University of Central Lancashire,
Anglia Ruskin,Average Teaching Score,52.4,2010,52.4,83.0,3.0,10000291,Anglia Ruskin University,
Bradford,Average Teaching Score,51.8,2010,51.8,84.0,3.0,10007785,University of Bradford,
Cumbria,Average Teaching Score,51.4,2010,51.4,85.0,3.0,10007842,The University of Cumbria,
Newman University College,Average Teaching Score,51.4,2010,51.4,85.0,3.0,10007832,Newman University College,
York St John,Average Teaching Score,50.7,2010,50.7,87.0,3.0,10007713,York St John University,
Bedfordshire,Average Teaching Score,50.0,2010,50.0,88.0,3.0,10007152,University of Bedfordshire,
Lincoln,Average Teaching Score,49.4,2010,49.4,89.0,3.0,10007151,University of Lincoln,
Chester,Average Teaching Score,49.3,2010,49.3,90.0,3.0,10007848,University of Chester,
Worcester,Average Teaching Score,49.2,2010,49.2,91.0,3.0,10007139,University of Worcester,
Glyndŵr,Average Teaching Score,48.9,2010,48.9,92.0,3.0,10007833,Glyndwr University,
Salford,Average Teaching Score,48.6,2010,48.6,93.0,3.0,10007156,University of Salford,
Winchester,Average Teaching Score,48.3,2010,48.3,94.0,2.0,10003614,University of Winchester,
Swansea,Average Teaching Score,48.1,2010,48.1,95.0,2.0,10007855,Swansea University,
Huddersfield,Average Teaching Score,47.9,2010,47.9,96.0,2.0,10007148,University of Huddersfield,
Hertfordshire,Average Teaching Score,46.9,2010,46.9,97.0,2.0,10007147,University of Hertfordshire,
Manchester Met,Average Teaching Score,46.9,2010,46.9,97.0,2.0,10004180,The Manchester Metropolitan University,
Marjon (St Mark and St John),Average Teaching Score,46.2,2010,46.2,99.0,2.0,10037449,University of St Mark & St John,
Newport,Average Teaching Score,45.3,2010,45.3,100.0,2.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Northampton,Average Teaching Score,45.3,2010,45.3,100.0,2.0,10007138,The University of Northampton,
Leeds Met,Average Teaching Score,45.2,2010,45.2,102.0,2.0,10003861,Leeds Metropolitan University,
Canterbury Christ Church,Average Teaching Score,44.8,2010,44.8,103.0,2.0,10001143,Canterbury Christ Church University,
Edge Hill,Average Teaching Score,44.3,2010,44.3,104.0,2.0,10007823,Edge Hill University,
Derby,Average Teaching Score,43.9,2010,43.9,105.0,2.0,10007851,University of Derby,
Middlesex,Average Teaching Score,43.6,2010,43.6,106.0,1.0,10004351,Middlesex University,
Abertay Dundee,Average Teaching Score,43.4,2010,43.4,107.0,1.0,10007849,University of Abertay Dundee,
Roehampton,Average Teaching Score,43.1,2010,43.1,108.0,1.0,10007776,Roehampton University,
Greenwich,Average Teaching Score,42.5,2010,42.5,109.0,1.0,10007146,University of Greenwich,
Westminster,Average Teaching Score,42.4,2010,42.4,110.0,1.0,10007165,The University of Westminster,
Leeds Trinity & All Saints,Average Teaching Score,42.0,2010,42.0,111.0,1.0,10003863,Leeds Trinity University College,
Liverpool John Moores,Average Teaching Score,40.5,2010,40.5,112.0,1.0,10003957,Liverpool John Moores University,
Bucks New University,Average Teaching Score,39.6,2010,39.6,113.0,1.0,10000975,Buckinghamshire New University,
Bolton,Average Teaching Score,37.7,2010,37.7,114.0,1.0,10006841,The University of Bolton,
Southampton Solent,Average Teaching Score,36.8,2010,36.8,115.0,1.0,10006022,Southampton Solent University,
East London,Average Teaching Score,34.6,2010,34.6,116.0,1.0,10007144,University of East London,
London South Bank,Average Teaching Score,30.1,2010,30.1,117.0,1.0,10004078,London South Bank University,
Oxford,NSS Teaching (%),91.98063863113121,2010,91.98063863113121,3.0,10.0,10007774,University of Oxford,2.0
Cambridge,NSS Teaching (%),92.0,2010,92.0,2.0,10.0,10007788,University of Cambridge,1.0
St Andrews,NSS Teaching (%),93.6890378177512,2010,93.6890378177512,1.0,10.0,10007803,University of St Andrews,
Warwick,NSS Teaching (%),85.54666201384859,2010,85.54666201384859,37.0,7.0,10007163,University of Warwick,12.0
London School of Economics,NSS Teaching (%),73.39948341686191,2010,73.39948341686191,109.0,1.0,10004063,London School of Economics & Political Science,23.0
UCL,NSS Teaching (%),85.2968078824657,2010,85.2968078824657,41.0,7.0,10007784,University College London,15.0
Edinburgh,NSS Teaching (%),85.3399238706352,2010,85.3399238706352,40.0,7.0,10007790,University of Edinburgh,14.0
Imperial College,NSS Teaching (%),81.4454853647649,2010,81.4454853647649,78.0,4.0,10003270,"Imperial College of Science, Technology and Medicine",22.0
Bath,NSS Teaching (%),85.62054622170179,2010,85.62054622170179,35.0,7.0,10007850,University of Bath (The),
Loughborough,NSS Teaching (%),89.7833967918594,2010,89.7833967918594,8.0,10.0,10004113,Loughborough University,
York,NSS Teaching (%),88.6166022134578,2010,88.6166022134578,12.0,10.0,10007167,University of York,4.0
SOAS,NSS Teaching (%),89.71764627869021,2010,89.71764627869021,9.0,10.0,10007780,School of Oriental and African Studies,
