Academic Reputation,SCORE,SCORE,Citations per Paper,SCORE,SCORE,Employer Reputation,SCORE,SCORE,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
"<div class=""td-wrap""><div class=""td-wrap-in"">69</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">19</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",47,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=39</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">32.8</div></div>",46,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">46</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">60.1</div></div>",32,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>32</span></div></div></div>",Europe,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/sheffield-hallam-university"">Sheffield Hallam University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">57.9</div></div>",45,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">45</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">52.3</div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">36</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">74.5</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",Malaysia,"<div class=""td-wrap""><div class=""td-wrap-in"">60.1</div></div>",33,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>32</span></div></div></div>",Asia,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universiti-sains-malaysia-usm"">Universiti Sains Malaysia (USM)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">61.9</div></div>",34,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">34</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">78.6</div></div>",7,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=7</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">39.4</div></div>",38,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">38</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">59.4</div></div>",34,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">34</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/oxford-brookes-university"">Oxford Brookes University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">63.9</div></div>",28,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">28</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">76</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">28.7</div></div>",48,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">48</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">59.2</div></div>",35,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>35</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/washington-state-university"">Washington State University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">56.6</div></div>",48,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">48</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">77.6</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">66.7</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>",South Korea,"<div class=""td-wrap""><div class=""td-wrap-in"">59.2</div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>35</span></div></div></div>",Asia,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/yonsei-university"">Yonsei University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">62.6</div></div>",31,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">31</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">68.2</div></div>",24,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=24</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">37.6</div></div>",42,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">42</span></div></div></div>",Netherlands,"<div class=""td-wrap""><div class=""td-wrap-in"">59.1</div></div>",37,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">37</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/breda-university-applied-sciences"">Breda University of Applied Sciences</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">64.1</div></div>",27,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">27</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">67.1</div></div>",27,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">27</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">21.4</div></div>",50,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">50</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">57.8</div></div>",38,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>38</span></div></div></div>",Oceania,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/southern-cross-university"">Southern Cross University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">55.9</div></div>",49,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">49</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.7</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=15</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">62.2</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>",Hong Kong SAR,"<div class=""td-wrap""><div class=""td-wrap-in"">57.8</div></div>",39,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>38</span></div></div></div>",Asia,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/chinese-university-hong-kong-cuhk"">The Chinese University of Hong Kong (CUHK)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">59.1</div></div>",42,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">42</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",44,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=39</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">66.8</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>",South Korea,"<div class=""td-wrap""><div class=""td-wrap-in"">57.3</div></div>",40,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>40</span></div></div></div>",Asia,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/korea-university"">Korea University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">61.3</div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">57.6</div></div>",34,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">34</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">35.6</div></div>",44,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">44</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">57.3</div></div>",41,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>40</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-illinois-urbana-champaign"">University of Illinois at Urbana-Champaign</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">59.6</div></div>",40,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">40</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">78.3</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">35.4</div></div>",45,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">45</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">56.9</div></div>",42,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">42</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/george-washington-university"">George Washington University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">60.5</div></div>",38,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">38</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",46,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=39</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">54.3</div></div>",25,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">25</span></div></div></div>",Russia,"<div class=""td-wrap""><div class=""td-wrap-in"">56.5</div></div>",43,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">43</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/lomonosov-moscow-state-university"">Lomonosov Moscow State University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">61.3</div></div>",35,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">63.6</div></div>",32,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">32</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">26.1</div></div>",49,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">49</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">56.1</div></div>",44,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">44</span></div></div></div>",North America,6,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/north-carolina-state-university"">North Carolina State University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">56.9</div></div>",46,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">46</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">65</div></div>",31,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">31</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">46.9</div></div>",30,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">30</span></div></div></div>",New Zealand,"<div class=""td-wrap""><div class=""td-wrap-in"">55.8</div></div>",45,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>45</span></div></div></div>",Oceania,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/auckland-university-technology-aut"">Auckland University of Technology (AUT)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">63.7</div></div>",29,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">29</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",49,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">=39</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">32.1</div></div>",47,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">47</span></div></div></div>",Switzerland,"<div class=""td-wrap""><div class=""td-wrap-in"">55.8</div></div>",46,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>45</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/state-tourism-hotel-management-school-ssat"">State Tourism and Hotel Management School (SSAT)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">59.4</div></div>",41,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">41</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">47</div></div>",37,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">37</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">39.5</div></div>",37,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">37</span></div></div></div>",Canada,"<div class=""td-wrap""><div class=""td-wrap-in"">55.8</div></div>",47,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>45</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-alberta"">University of Alberta</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">56.7</div></div>",47,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">47</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.1</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">41.7</div></div>",34,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">34</span></div></div></div>",New Zealand,"<div class=""td-wrap""><div class=""td-wrap-in"">55.7</div></div>",48,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>48</span></div></div></div>",Oceania,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/lincoln-university"">Lincoln University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">53.6</div></div>",50,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">50</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71.4</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">61.8</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">17</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">55.7</div></div>",49,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>48</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-southampton"">University of Southampton</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">58.6</div></div>",44,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">44</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">62.6</div></div>",33,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">33</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">37.4</div></div>",43,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">43</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">55.6</div></div>",50,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">50</span></div></div></div>",Oceania,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/la-trobe-university"">La Trobe University</a></div></div>"
