Academic Reputation,SCORE,SCORE,Employer Reputation,SCORE,SCORE,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
"<div class=""td-wrap""><div class=""td-wrap-in"">82</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=13</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">93.9</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">83.2</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/harvard-university"">Harvard University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">81.7</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">95.1</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">83</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-cambridge"">University of Cambridge</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">81.2</div></div>",18,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">18</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">94.2</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">82.5</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">13</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-oxford"">University of Oxford</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">82</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=13</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">68.8</div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">36</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">80.7</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>14</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/new-york-university-nyu"">New York University (NYU)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">86.1</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">31.6</div></div>",97,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">97</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">80.7</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>14</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/royal-holloway-university-london"">Royal Holloway University of London</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">80.5</div></div>",23,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">23</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81.9</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">80.6</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>16</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-california-berkeley-ucb"">University of California, Berkeley (UCB)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">80.6</div></div>",22,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">22</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">80.6</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>16</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/yale-university"">Yale University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">80.7</div></div>",21,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">77.6</div></div>",23,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">23</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">80.4</div></div>",18,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">18</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-rochester"">University of Rochester</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">81.9</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">15</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">59</div></div>",57,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">57</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">79.6</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">19</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/northwestern-university"">Northwestern University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">80.7</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">69</div></div>",35,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">35</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">79.5</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/kings-college-london"">King&#039;s College London</a></div></div>"
