aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,10,master_account,99.1,14,67.0,156,96.3,19,96.0,10,99.5,1,91.8,5,46 : 54,"20,298",40%,11.0,"Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,History, Philosophy & Theology,Other Health,Law,Geology, Environmental, Earth & Marine Sciences,Chemistry,Psychology,General Engineering,Geography,Electrical & Electronic Engineering,Economics & Econometrics,Mathematics & Statistics,Chemical Engineering,Medicine & Dentistry,Sociology",/world-university-rankings/university-oxford
University of Cambridge,,United Kingdom,0,University of Cambridge,470,2,20,master_account,97.1,37,52.9,268,94.3,39,94.8,20,98.8,2,92.1,3,46 : 54,"18,749",37%,10.9,"Languages, Literature & Linguistics,Computer Science,Education,Veterinary Science,History, Philosophy & Theology,Archaeology,Chemical Engineering,Law,Biological Sciences,Psychology,Geography,Architecture,General Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Art, Performing Arts & Design",/world-university-rankings/university-cambridge
Stanford University,,United States,11,Stanford University,467,3,30,private,99.9,6,64.6,176,79.3,169,94.7,30,96.8,5,93.6,2,43 : 57,"15,878",23%,7.4,"Archaeology,Physics & Astronomy,Law,General Engineering,Education,Sport Science,Art, Performing Arts & Design,Chemical Engineering,Business & Management,Languages, Literature & Linguistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Accounting & Finance,Economics & Econometrics,History, Philosophy & Theology,Architecture,Civil Engineering,Medicine & Dentistry,Mathematics & Statistics,Psychology,Other Health,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Veterinary Science,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology",/world-university-rankings/stanford-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,4,40,private,99.9,4,87.6,62,89.0,89,94.2,40,92.7,9,91.9,4,38 : 62,"11,231",34%,8.7,"Veterinary Science,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Sociology,Medicine & Dentistry,Biological Sciences,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Architecture,Civil Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Physics & Astronomy,Economics & Econometrics,Computer Science,Business & Management,Chemical Engineering,Archaeology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry,Psychology",/world-university-rankings/massachusetts-institute-technology
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,5,50,private,99.2,12,88.2,57,62.3,323,94.1,50,97.2,4,94.5,1,33 : 67,"2,255",29%,6.5,"Biological Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Computer Science,Politics & International Studies (incl Development Studies),Chemistry,Business & Management,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Accounting & Finance,Physics & Astronomy,Electrical & Electronic Engineering,Chemical Engineering,Psychology,General Engineering,Mathematics & Statistics",/world-university-rankings/california-institute-technology
Harvard University,,United States,0,Harvard University,466,6,60,private,99.6,8,48.7,343,79.7,164,93.6,60,98.4,3,90.1,8,48 : 52,"20,595",26%,9.1,"Mechanical & Aerospace Engineering,Accounting & Finance,Education,Other Health,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Medicine & Dentistry,Sociology,Biological Sciences,Psychology,Archaeology,Civil Engineering,Business & Management,Chemistry,Architecture,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Agriculture & Forestry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
Princeton University,,United States,0,Princeton University,469,7,70,private,99.4,10,57.3,223,80.1,159,92.3,70,93.6,7,89.9,9,45 : 55,"7,996",24%,8.2,"Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Archaeology,Mechanical & Aerospace Engineering,Sociology,Civil Engineering,Other Health,Physics & Astronomy,Economics & Econometrics,Geography,Electrical & Electronic Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Psychology,Chemistry,Computer Science,General Engineering,Architecture",/world-university-rankings/princeton-university
Yale University,,United States,0,Yale University,475,8,80,private,97.8,33,51.5,288,68.3,264,91.3,80,93.5,8,91.6,6,50 : 50,"12,318",20%,5.2,"Sociology,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,General Engineering,Medicine & Dentistry,Chemistry,Other Health,Chemical Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Law,History, Philosophy & Theology,Economics & Econometrics,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Psychology",/world-university-rankings/yale-university
Imperial College London,,United Kingdom,0,Imperial College London,472,9,90,master_account,97.8,31,67.3,153,97.1,15,90.3,90,87.7,18,85.8,13,38 : 62,"16,425",56%,11.7,"Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Other Health,Computer Science,Physics & Astronomy,Mathematics & Statistics,Mechanical & Aerospace Engineering,Biological Sciences,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemistry",/world-university-rankings/imperial-college-london
University of Chicago,,United States,11,University of Chicago,473,10,100,private,99.0,17,41.4,526,70.9,241,90.2,100,90.1,13,90.2,7,44 : 56,"13,562",25%,6.1,"Physics & Astronomy,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Chemical Engineering,Law,Computer Science,Sociology,Languages, Literature & Linguistics,Biological Sciences,Mathematics & Statistics,Business & Management,Archaeology,Art, Performing Arts & Design,Geography,Accounting & Finance,Psychology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-chicago
