aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,1,1,private,99.8,5,91.2,31,65.8,127,94.9,1,98.2,3,94.4,3,"Biological Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Computer Science,Politics & International Studies (incl Development Studies),Chemistry,Business & Management,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Accounting & Finance,Physics & Astronomy,Electrical & Electronic Engineering,Chemical Engineering,Psychology,General Engineering,Mathematics & Statistics",/world-university-rankings/california-institute-technology
Harvard University,,United States,0,Harvard University,466,2,2,private,99.1,9,40.6,208,66.2,125,93.9,2,98.5,1,95.3,1,"Mechanical & Aerospace Engineering,Accounting & Finance,Education,Other Health,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Medicine & Dentistry,Sociology,Biological Sciences,Psychology,Archaeology,Civil Engineering,Business & Management,Chemistry,Architecture,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Agriculture & Forestry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
University of Oxford,,United Kingdom,0,University of Oxford,468,2,2,master_account,95.4,26,90.3,33,90.2,13,93.9,3,98.5,2,89.0,8,"Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,History, Philosophy & Theology,Other Health,Law,Geology, Environmental, Earth & Marine Sciences,Chemistry,Psychology,General Engineering,Geography,Electrical & Electronic Engineering,Economics & Econometrics,Mathematics & Statistics,Chemical Engineering,Medicine & Dentistry,Sociology",/world-university-rankings/university-oxford
Stanford University,,United States,11,Stanford University,467,4,4,private,99.1,10,61.3,91,68.0,110,93.8,4,96.8,6,94.7,2,"Archaeology,Physics & Astronomy,Law,General Engineering,Education,Sport Science,Art, Performing Arts & Design,Chemical Engineering,Business & Management,Languages, Literature & Linguistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Accounting & Finance,Economics & Econometrics,History, Philosophy & Theology,Architecture,Civil Engineering,Medicine & Dentistry,Mathematics & Statistics,Psychology,Other Health,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Veterinary Science,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology",/world-university-rankings/stanford-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,5,5,private,100.0,1,94.3,29,82.0,46,93.0,5,89.0,10,92.9,4,"Veterinary Science,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Sociology,Medicine & Dentistry,Biological Sciences,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Architecture,Civil Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Physics & Astronomy,Economics & Econometrics,Computer Science,Business & Management,Chemical Engineering,Archaeology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry,Psychology",/world-university-rankings/massachusetts-institute-technology
Princeton University,,United States,0,Princeton University,469,6,6,private,99.7,6,80.5,50,59.6,158,92.7,6,97.6,4,89.9,6,"Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Archaeology,Mechanical & Aerospace Engineering,Sociology,Civil Engineering,Other Health,Physics & Astronomy,Economics & Econometrics,Geography,Electrical & Electronic Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Psychology,Chemistry,Computer Science,General Engineering,Architecture",/world-university-rankings/princeton-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,7,7,master_account,95.7,22,52.8,115,86.7,25,92.3,7,95.3,7,90.6,5,"Languages, Literature & Linguistics,Computer Science,Education,Veterinary Science,History, Philosophy & Theology,Archaeology,Chemical Engineering,Law,Biological Sciences,Psychology,Geography,Architecture,General Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Art, Performing Arts & Design",/world-university-rankings/university-cambridge
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,8,8,public,99.3,8,59.5,100,57.3,183,89.8,8,97.5,5,83.2,14,"Education,Computer Science,Psychology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Art, Performing Arts & Design,Biological Sciences,Agriculture & Forestry,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Chemical Engineering,Mechanical & Aerospace Engineering,Architecture,Law,General Engineering,Physics & Astronomy,Business & Management,Chemistry,Civil Engineering,History, Philosophy & Theology,Geography,Mathematics & Statistics,Other Health,Electrical & Electronic Engineering,Languages, Literature & Linguistics",/world-university-rankings/university-california-berkeley
University of Chicago,,United States,11,University of Chicago,473,9,9,private,98.0,12,-,388,58.6,169,87.8,9,88.2,12,85.6,10,"Physics & Astronomy,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Chemical Engineering,Law,Computer Science,Sociology,Languages, Literature & Linguistics,Biological Sciences,Mathematics & Statistics,Business & Management,Archaeology,Art, Performing Arts & Design,Geography,Accounting & Finance,Psychology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-chicago
Imperial College London,,United Kingdom,0,Imperial College London,472,10,10,master_account,90.0,42,72.3,63,91.8,6,87.5,10,88.1,13,84.5,13,"Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Other Health,Computer Science,Physics & Astronomy,Mathematics & Statistics,Mechanical & Aerospace Engineering,Biological Sciences,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemistry",/world-university-rankings/imperial-college-london
