Academic Reputation,SCORE,SCORE,Employer Reputation,SCORE,SCORE,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
"<div class=""td-wrap""><div class=""td-wrap-in"">87.1</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">89.7</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">87.4</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-chicago"">University of Chicago</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">91.4</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=5</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">49.7</div></div>",45,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">45</span></div></div></div>",Germany,"<div class=""td-wrap""><div class=""td-wrap-in"">87.2</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/ruprecht-karls-universitat-heidelberg"">Ruprecht-Karls-Universität Heidelberg</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">87.3</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=17</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.5</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>",Ireland,"<div class=""td-wrap""><div class=""td-wrap-in"">86.8</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>13</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/trinity-college-dublin-university-dublin"">Trinity College Dublin, The University of Dublin</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">87.9</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">15</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">77</div></div>",21,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">21</span></div></div></div>",Canada,"<div class=""td-wrap""><div class=""td-wrap-in"">86.8</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>13</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-toronto"">University of Toronto</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">88</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">70.7</div></div>",29,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">29</span></div></div></div>",France,"<div class=""td-wrap""><div class=""td-wrap-in"">86.3</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">15</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/sorbonne-university"">Sorbonne University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">84.9</div></div>",25,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=24</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">96.4</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">86.1</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>16</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/ucl"">UCL</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">90.3</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">48</div></div>",46,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">46</span></div></div></div>",Austria,"<div class=""td-wrap""><div class=""td-wrap-in"">86.1</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>16</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-vienna"">University of Vienna</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">87</div></div>",21,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">21</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.4</div></div>",25,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">25</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">85.8</div></div>",18,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">18</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-st-andrews"">University of St Andrews</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">84.9</div></div>",24,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=24</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">91.2</div></div>",7,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">7</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">85.5</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">19</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/stanford-university"">Stanford University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">84.4</div></div>",29,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">29</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">91.3</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",France,"<div class=""td-wrap""><div class=""td-wrap-in"">85.1</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universite-paris-1-pantheon-sorbonne"">Université Paris 1 Panthéon-Sorbonne </a></div></div>"
