Academic Reputation,SCORE,SCORE,Citations per Paper,SCORE,SCORE,H-index Citations,SCORE,SCORE,Employer Reputation,SCORE,SCORE,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
"<div class=""td-wrap""><div class=""td-wrap-in"">89.7</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=13</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">87.5</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">93.1</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=6</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">72.3</div></div>",43,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">43</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">88.1</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/boston-college"">Boston College</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">89.6</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">15</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">78.2</div></div>",50,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=49</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81.6</div></div>",33,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=26</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">85.5</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">17</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">87.3</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-california-berkeley-ucb"">University of California, Berkeley (UCB)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">91.1</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">78.7</div></div>",47,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=47</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">84.2</div></div>",22,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=21</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">66.2</div></div>",63,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">63</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">86.7</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">13</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/princeton-university"">Princeton University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">92.3</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">74.3</div></div>",59,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">59</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81.6</div></div>",28,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=26</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">59.1</div></div>",78,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">78</span></div></div></div>",Belgium,"<div class=""td-wrap""><div class=""td-wrap-in"">86.1</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/ku-leuven"">KU Leuven</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">89.2</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">84.1</div></div>",30,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">30</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">88.9</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=12</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">62.6</div></div>",72,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">72</span></div></div></div>",Netherlands,"<div class=""td-wrap""><div class=""td-wrap-in"">86</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">15</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/vrije-universiteit-amsterdam"">Vrije Universiteit Amsterdam</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">84.2</div></div>",25,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">25</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">89.3</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">13</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">94.9</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.9</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>",Canada,"<div class=""td-wrap""><div class=""td-wrap-in"">85.7</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-toronto"">University of Toronto</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">86.9</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">19</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">85.9</div></div>",22,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">22</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">91.1</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=8</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">68.6</div></div>",57,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">57</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">85.4</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">17</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-edinburgh"">The University of Edinburgh</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">89.7</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=13</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">78.9</div></div>",46,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">46</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.6</div></div>",58,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=49</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">70</div></div>",53,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">53</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">85.2</div></div>",18,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">18</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-st-andrews"">University of St Andrews</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">86.3</div></div>",21,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">21</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">76.9</div></div>",52,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=52</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">78.8</div></div>",42,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=37</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">91.2</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">85.1</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">19</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/stanford-university"">Stanford University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">85.5</div></div>",23,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">23</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">83.6</div></div>",32,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=32</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81.6</div></div>",26,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=26</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.5</div></div>",38,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">38</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">83.9</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/columbia-university"">Columbia University</a></div></div>"
