,Academic Reputation,SCORE,SCORE,Employer Reputation,SCORE,SCORE,Faculty Student,SCORE,SCORE,International Faculty,SCORE,SCORE,International Students,SCORE,SCORE,Citations per Faculty,SCORE,SCORE,Arts & Humanities,SCORE,SCORE,Engineering & Technology,SCORE,SCORE,Life Sciences & Medicine,SCORE,SCORE,Natural Sciences,SCORE,SCORE,Social Sciences & Management,SCORE,SCORE,71975,71975_rank,71975_rank_d,71976,71976_rank,71976_rank_d,_rank,_rank_d,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
,"<div class=""td-wrap""><div class=""td-wrap-in"">30</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">12.9</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">52.6</div></div>",225,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">225</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">35.2</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">83.6</div></div>",60,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">60</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">12.14</div></div>",259,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">259</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.9</div></div>",258,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">258</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in"">38.61</div></div>",303,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">303</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-california-riverside"">University of California, Riverside</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">97.5</div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">36</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">35.7</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">31.7</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">3</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">23.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">28.37</div></div>",90,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">90</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">34.19</div></div>",41,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">41</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">49.32</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">39.02</div></div>",36,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">36</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">28.41</div></div>",63,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">63</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in"">70.93</div></div>",70,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">70</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-california-san-diego-ucsd"">University of California, San Diego (UCSD)</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">68.8</div></div>",132,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">132</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">54.16</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">13</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.63</div></div>",176,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">176</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank small"">N/A</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-california-san-francisco"">University of California, San Francisco</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">76.6</div></div>",97,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">97</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">27.2</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">14.5</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">60.9</div></div>",190,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">190</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">29.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">99.8</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">20.19</div></div>",180,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">180</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">25.89</div></div>",72,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">72</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">12.13</div></div>",260,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">260</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">39.11</div></div>",35,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">35</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">15.37</div></div>",217,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">217</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in"">61.34</div></div>",118,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">118</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-california-santa-barbara-ucsb"">University of California, Santa Barbara (UCSB)</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">39.1</div></div>",292,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">292</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.2</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">3.8</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">4.5</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">90.1</div></div>",46,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">46</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">15.74</div></div>",274,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">274</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19</div></div>",182,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">182</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">10.53</div></div>",396,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">396</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in"">38.1</div></div>",311,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">311</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-california-santa-cruz"">University of California, Santa Cruz</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">99</div></div>",28,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">28</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">51.3</div></div>",191,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">191</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">96</div></div>",53,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">53</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">91.1</div></div>",61,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">61</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">65.79</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">32.84</div></div>",43,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">43</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.81</div></div>",7,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">7</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">14.92</div></div>",230,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">230</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in"">95.05</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/california-institute-technology-caltech"">California Institute of Technology (Caltech)</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">98.3</div></div>",37,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">37</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">98.2</div></div>",41,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">41</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">96</div></div>",42,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">42</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">97</div></div>",29,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">29</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">95.21</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">66.51</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.75</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">98.5</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">72.97</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",,,,,,,,,United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">99.78</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-cambridge"">University of Cambridge</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">65.1</div></div>",140,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">140</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">44.9</div></div>",227,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">227</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">35.5</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">26.3</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">7.2</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">31.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">21.65</div></div>",156,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">156</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.26</div></div>",124,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">124</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">14.49</div></div>",199,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">199</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">22.85</div></div>",132,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">132</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">16.66</div></div>",192,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">192</span></div></div></div>",,,,,,,,,Brazil,"<div class=""td-wrap""><div class=""td-wrap-in"">45.99</div></div>",228,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">228</span></div></div></div>",Latin America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universidade-estadual-de-campinas-unicamp"">Universidade Estadual de Campinas (Unicamp)</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">52</div></div>",198,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">198</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">63.4</div></div>",151,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">151</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">20.9</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">70.8</div></div>",147,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">147</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">33.4</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">17.14</div></div>",239,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">239</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.43</div></div>",134,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">134</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">10.41</div></div>",326,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">326</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.28</div></div>",192,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">192</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.17</div></div>",278,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">278</span></div></div></div>",,,,,,,,,New Zealand,"<div class=""td-wrap""><div class=""td-wrap-in"">47.02</div></div>",221,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">221</span></div></div></div>",Oceania,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-canterbury"">University of Canterbury</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">60.1</div></div>",155,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">155</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">65.3</div></div>",141,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">141</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">33.7</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">69.7</div></div>",171,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">171</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">63.5</div></div>",180,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">180</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">55.8</div></div>",181,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">181</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">22.04</div></div>",150,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">150</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.41</div></div>",222,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">222</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">16.48</div></div>",168,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">168</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">17.75</div></div>",197,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">197</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.34</div></div>",160,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">160</span></div></div></div>",,,,,,,,,South Africa,"<div class=""td-wrap""><div class=""td-wrap-in"">55.7</div></div>",154,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">154</span></div></div></div>",Africa,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-cape-town"">University of Cape Town</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">54.5</div></div>",183,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">183</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">64.4</div></div>",145,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">145</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">56.1</div></div>",211,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">211</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71.7</div></div>",164,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">164</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71</div></div>",146,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">146</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">51.6</div></div>",208,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">208</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.03</div></div>",199,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">199</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.34</div></div>",225,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">225</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">17.12</div></div>",157,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">157</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">11.64</div></div>",341,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">341</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.49</div></div>",146,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">146</span></div></div></div>",,,,,,,,,United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">57.5</div></div>",143,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">143</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/cardiff-university"">Cardiff University</a></div></div>"
