aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,United Kingdom,0,University of Oxford,468,1,1,master_account,96.1,20,55.4,51,85.6,21,93.7,1,98.8,2,91.2,3,46 : 54,"19,919",34%,11.6,Biological Sciences,/world-university-rankings/university-oxford
University of Cambridge,United Kingdom,0,University of Cambridge,470,=2,2,master_account,95.7,22,41.0,68,87.3,17,93.3,3,98.2,3,91.4,2,46 : 54,"18,812",34%,11.8,"Biological Sciences,Veterinary Science",/world-university-rankings/university-cambridge
Harvard University,United States,0,Harvard University,466,=2,3,private,98.8,7,61.5,43,82.5,28,93.3,2,99.3,1,86.1,7,,"20,152",25%,8.9,Biological Sciences,/world-university-rankings/harvard-university
Stanford University,United States,11,Stanford University,467,4,4,private,99.5,5,92.6,17,60.6,61,92.9,4,95.3,5,90.7,4,42 : 58,"15,596",22%,7.8,Biological Sciences,/world-university-rankings/stanford-university
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,5,5,private,99.7,3,100.0,1,50.4,75,92.7,5,93.0,6,94.0,1,33 : 67,"2,243",26%,6.9,Biological Sciences,/world-university-rankings/california-institute-technology
Imperial College London,United Kingdom,0,Imperial College London,472,6,6,master_account,90.5,37,46.9,60,96.7,6,90.7,6,95.7,4,87.9,6,37 : 63,"15,060",51%,11.7,Biological Sciences,/world-university-rankings/imperial-college-london
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,7,7,public,99.4,6,58.9,45,55.7,67,90.5,7,92.5,8,89.1,5,50 : 50,"36,186",15%,16.4,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-berkeley
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,=8,8,private,100.0,1,67.4,38,68.2,45,90.0,8,89.8,13,85.1,10,37 : 63,"11,074",33%,9.0,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
Princeton University,United States,0,Princeton University,469,=8,9,private,99.6,4,60.8,44,66.8,48,90.0,9,91.4,10,85.2,9,45 : 55,"7,929",27%,8.4,Biological Sciences,/world-university-rankings/princeton-university
Yale University,United States,0,Yale University,475,10,10,private,94.2,29,50.4,56,65.8,52,87.8,10,92.8,7,83.5,11,50 : 50,"11,751",20%,4.4,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/yale-university
ETH Zurich,Switzerland,0,ETH Zurich,479,11,11,master_account,87.8,44,53.0,52,97.3,5,87.3,11,88.7,16,85.3,8,31 : 69,"18,178",37%,14.7,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/eth-zurich
Columbia University,United States,0,Columbia University,476,=12,12,private,96.5,15,26.7,99,79.5,33,84.7,12,77.9,29,82.8,13,,"25,055",28%,5.9,Biological Sciences,/world-university-rankings/columbia-university
UCL ucl UCL,United Kingdom,0,UCL,481,=12,13,master_account,85.6,54,31.0,89,92.2,11,84.7,13,90.9,12,79.9,17,56 : 44,"26,607",46%,10.7,Biological Sciences,/world-university-rankings/ucl
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,14,14,public,96.4,16,69.1,34,45.6,81,83.9,14,89.1,15,74.3,22,52 : 48,"38,206",15%,10.3,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-los-angeles
Cornell University,United States,0,Cornell University,484,15,15,private,90.2,39,36.2,77,51.4,74,83.6,15,92.2,9,79.4,18,48 : 52,"21,424",19%,10.2,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/cornell-university
Wageningen University & Research,Netherlands,0,Wageningen University & Research,540,16,16,master_account,85.1,56,100.0,9,69.5,42,83.2,16,85.0,18,80.7,15,56 : 44,"9,248",21%,17.0,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/wageningen-university-research
University of Toronto,Canada,0,University of Toronto,483,17,17,master_account,84.4,58,65.5,39,74.4,37,82.9,17,89.7,14,77.7,19,,"66,198",15%,19.5,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-toronto
University of Chicago,United States,11,University of Chicago,473,18,18,private,97.7,13,49.0,58,65.8,51,82.5,18,80.7,22,72.4,26,42 : 58,"14,221",20%,6.9,Biological Sciences,/world-university-rankings/university-chicago
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,19,19,master_account,92.3,34,39.5,72,83.1,27,81.5,19,80.4,23,72.0,27,58 : 42,"25,774",36%,14.1,"Veterinary Science,Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-edinburgh
University of British Columbia ubc,Canada,11,University of British Columbia,486,20,20,master_account,86.3,51,52.5,53,90.8,12,81.4,20,83.1,21,73.5,25,54 : 46,"50,152",25%,17.6,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-british-columbia
"University of California, Davis",United States,0,"University of California, Davis",503,21,21,public,75.7,79,88.2,20,58.1,64,80.9,21,91.2,11,82.5,14,54 : 46,"35,364",13%,13.9,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-davis
Duke University,United States,0,Duke University,487,22,22,private,94.4,27,99.1,13,68.9,44,80.7,22,76.2,32,68.9,29,49 : 51,"15,172",17%,4.8,,/world-university-rankings/duke-university
"University of California, San Diego",United States,0,"University of California, San Diego",497,23,23,public,96.2,19,80.8,29,44.3,82,80.1,23,83.8,19,65.2,35,48 : 52,"27,233",11%,6.5,Biological Sciences,/world-university-rankings/university-california-san-diego
University of Washington,United States,0,University of Washington,489,24,24,public,95.8,21,58.5,46,47.0,79,79.7,24,78.9,27,70.7,28,53 : 47,"44,020",13%,11.8,"Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/university-washington
Heidelberg University,Germany,0,Heidelberg University,537,=25,25,master_account,82.4,63,31.8,87,66.4,49,77.3,25,79.1,26,75.8,20,55 : 45,"28,881",17%,24.5,"Biological Sciences,Sport Science",/world-university-rankings/heidelberg-university-0
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,=25,26,public,90.8,36,68.4,35,55.1,70,77.3,26,78.3,28,65.7,34,48 : 52,"41,786",16%,9.0,"Sport Science,Biological Sciences",/world-university-rankings/university-michigan-ann-arbor
National University of Singapore nus,Singapore,6,National University of Singapore,504,27,27,master_account,69.7,90,89.3,19,93.5,9,76.9,27,83.6,20,73.5,24,49 : 51,"31,592",34%,15.5,Biological Sciences,/world-university-rankings/national-university-singapore
Australian National University anu,Australia,0,Australian National University,502,28,28,master_account,87.6,46,90.5,18,89.1,13,76.2,28,68.2,40,64.6,36,52 : 48,"14,604",35%,19.2,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/australian-national-university
LMU Munich Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,=29,29,master_account,86.4,50,67.7,37,57.7,65,74.5,29,65.2,45,73.7,23,62 : 38,"35,691",13%,15.5,"Biological Sciences,Veterinary Science",/world-university-rankings/lmu-munich
University of Pennsylvania,United States,0,University of Pennsylvania,480,=29,30,private,94.2,28,38.3,74,38.8,86,74.5,30,67.7,41,68.9,30,51 : 49,"20,376",20%,6.5,"Veterinary Science,Biological Sciences",/world-university-rankings/university-pennsylvania
University of Wisconsin-Madison,United States,0,University of Wisconsin-Madison,491,31,31,public,86.0,53,76.3,31,27.3,95,74.0,31,76.5,31,68.4,31,51 : 49,"39,655",11%,10.8,"Agriculture & Forestry,Biological Sciences,Sport Science,Veterinary Science",/world-university-rankings/university-wisconsin-madison
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,32,32,master_account,83.3,60,57.6,47,84.8,22,73.4,32,72.1,35,60.1,43,53 : 47,"34,718",27%,32.7,"Sport Science,Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-queensland
École Polytechnique Fédérale de Lausanne,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,33,33,master_account,94.0,30,81.6,27,97.7,4,72.2,33,57.2,59,51.4,60,27 : 73,"9,666",54%,10.5,Biological Sciences,/world-university-rankings/ecole-polytechnique-federale-de-lausanne
King’s College London,United Kingdom,11,King’s College London,520,34,34,master_account,94.5,26,42.3,66,84.2,25,71.5,34,60.5,53,52.4,59,61 : 39,"21,394",37%,11.4,Biological Sciences,/world-university-rankings/kings-college-london
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,35,35,public,98.7,8,100.0,6,44.3,83,70.4,35,62.0,50,47.3,69,52 : 48,"22,020",11%,27.3,Biological Sciences,/world-university-rankings/university-california-santa-barbara
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,36,36,master_account,80.8,69,57.4,48,78.4,34,70.1,36,67.1,42,58.2,49,55 : 45,"40,128",35%,23.7,"Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-melbourne
Technical University of Munich,Germany,0,Technical University of Munich,552,37,37,master_account,79.2,72,100.0,4,54.4,71,69.8,37,68.4,39,60.5,42,33 : 67,"35,565",20%,31.5,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/technical-university-munich
University of Minnesota,United States,0,University of Minnesota,506,38,38,public,81.1,67,100.0,8,30.0,93,69.6,38,73.8,33,58.6,46,52 : 48,"46,825",12%,18.0,"Sport Science,Veterinary Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-minnesota
Northwestern University,United States,0,Northwestern University,490,39,39,private,90.0,41,40.6,70,54.2,72,69.4,39,64.9,46,54.4,55,48 : 52,"18,334",15%,13.8,"Sport Science,Biological Sciences",/world-university-rankings/northwestern-university
Uppsala University,Sweden,0,Uppsala University,551,40,40,master_account,78.5,75,28.2,94,71.3,40,68.9,40,65.5,43,63.1,38,57 : 43,"25,266",12%,18.2,Biological Sciences,/world-university-rankings/uppsala-university
Penn State (Main campus)  ,United States,0,Penn State (Main campus)  ,515,41,41,public,90.5,38,78.5,30,47.0,78,68.7,41,58.8,55,55.7,53,46 : 54,"44,501",12%,12.4,"Sport Science,Veterinary Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/penn-state-main-campus
McGill University,Canada,0,McGill University,492,42,42,master_account,72.3,87,44.0,64,80.9,30,68.4,42,68.9,37,61.7,39,56 : 44,"31,326",23%,13.7,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/mcgill-university
Utrecht University utrecht  utrecht university,Netherlands,0,Utrecht University,532,43,43,master_account,86.6,48,82.5,25,52.4,73,68.3,43,63.4,47,52.9,58,59 : 41,"30,779",7%,15.4,"Veterinary Science,Biological Sciences",/world-university-rankings/utrecht-university
KU Leuven,Belgium,11,KU Leuven,531,44,44,master_account,75.5,80,100.0,2,64.8,55,68.0,44,63.0,48,61.3,40,54 : 46,"42,503",18%,41.9,"Agriculture & Forestry,Biological Sciences,Sport Science",/world-university-rankings/ku-leuven
The University of Tokyo,Japan,0,The University of Tokyo,494,45,45,master_account,52.2,97,31.2,88,28.5,94,67.6,45,85.2,17,83.2,12,,"26,199",10%,5.7,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-tokyo
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,46,46,public,66.7,94,68.3,36,37.0,88,67.4,46,76.8,30,67.0,32,47 : 53,"42,727",20%,18.7,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-illinois-urbana-champaign
Ghent University,Belgium,0,Ghent University,570,47,47,master_account,78.8,74,99.6,12,68.0,46,67.2,47,58.5,56,57.8,50,57 : 43,"32,166",9%,34.1,"Biological Sciences,Veterinary Science,Agriculture & Forestry,Sport Science",/world-university-rankings/ghent-university
University of Bristol,United Kingdom,11,University of Bristol,530,=48,48,master_account,86.5,49,30.5,91,63.6,57,67.0,49,59.9,54,53.5,57,53 : 47,"17,906",25%,14.0,"Biological Sciences,Veterinary Science",/world-university-rankings/university-bristol
Delft University of Technology,Netherlands,0,Delft University of Technology,568,=48,49,master_account,68.8,91,99.9,10,83.9,26,67.0,48,65.4,44,58.4,47,26 : 74,"15,920",25%,19.4,"Biological Sciences,Sport Science",/world-university-rankings/delft-university-technology
Lund University,Sweden,0,Lund University,544,50,50,master_account,78.9,73,64.6,40,87.2,18,66.6,50,61.8,51,50.2,61,,"28,251",15%,11.5,Biological Sciences,/world-university-rankings/lund-university
Michigan State University,United States,0,Michigan State University,560,51,51,public,74.3,84,35.1,79,60.8,60,65.7,51,68.5,38,55.8,52,51 : 49,"44,750",15%,15.7,"Biological Sciences,Agriculture & Forestry,Sport Science,Veterinary Science",/world-university-rankings/michigan-state-university
University of Leeds,United Kingdom,0,University of Leeds,597,52,52,master_account,95.3,23,51.8,54,65.3,54,65.4,52,44.9,77,49.2,64,58 : 42,"27,703",21%,14.7,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-leeds
University of Manchester,United Kingdom,0,University of Manchester,512,53,53,master_account,75.4,82,36.9,76,80.2,32,65.3,53,57.9,58,58.3,48,52 : 48,"34,938",34%,15.3,Biological Sciences,/world-university-rankings/university-manchester
Stockholm University,Sweden,0,Stockholm University,596,54,54,master_account,92.5,33,32.6,84,59.3,62,64.5,54,51.6,67,45.9,72,62 : 38,"31,715",8%,23.7,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/stockholm-university
University of York,United Kingdom,0,University of York,586,55,55,master_account,94.6,25,44.6,63,81.1,29,64.4,55,43.0,81,44.6,78,55 : 45,"14,543",26%,15.8,Biological Sciences,/world-university-rankings/university-york
University of Lausanne,Switzerland,0,University of Lausanne,580,=56,56,master_account,91.0,35,83.6,24,96.7,7,64.3,56,42.4,83,41.7,84,,"11,964",22%,13.1,"Sport Science,Biological Sciences",/world-university-rankings/university-lausanne
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,=56,57,public,96.4,17,41.0,69,45.9,80,64.3,57,50.9,70,43.9,80,58 : 42,"26,518",8%,7.3,"Biological Sciences,Sport Science",/world-university-rankings/university-north-carolina-chapel-hill
Humboldt University of Berlin,Germany,0,Humboldt University of Berlin,573,58,58,master_account,78.4,76,44.7,62,55.5,69,64.1,58,53.6,64,60.5,41,,"29,987",16%,52.5,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/humboldt-university-berlin
Kyoto University,Japan,0,Kyoto University,516,59,59,master_account,49.0,99,87.7,22,23.1,101,63.9,59,79.6,24,75.8,21,,"22,809",7%,5.6,"Biological Sciences,Sport Science,Agriculture & Forestry,Veterinary Science",/world-university-rankings/kyoto-university
University of Western Australia uwa,Australia,0,University of Western Australia,654,60,60,master_account,80.7,70,62.1,41,92.7,10,63.6,60,50.2,71,47.2,70,50 : 50,"20,851",27%,20.7,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-western-australia
University of Amsterdam uva,Netherlands,6,University of Amsterdam,556,61,61,master_account,82.3,65,42.8,65,63.3,58,63.5,61,55.1,62,49.7,63,53 : 47,"24,570",11%,14.4,Biological Sciences,/world-university-rankings/university-amsterdam
University of Helsinki,Finland,11,University of Helsinki,555,62,62,master_account,77.6,77,29.0,93,55.7,68,63.4,62,58.5,57,55.4,54,66 : 34,"23,505",6%,15.1,"Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-helsinki
