aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,=25,26,public,95.2,17,42.9,70,39.4,87,80.4,26,77.3,35,78.9,23,58 : 42,"26,518",8%,7.3,"Other Health,Medicine & Dentistry",/world-university-rankings/university-north-carolina-chapel-hill
McMaster University,Canada,11,McMaster University,529,27,27,master_account,91.5,39,92.9,11,68.9,37,80.3,27,74.4,38,73.8,33,53 : 47,"23,823",15%,19.3,"Other Health,Medicine & Dentistry",/world-university-rankings/mcmaster-university
Heidelberg University,Germany,0,Heidelberg University,537,28,28,master_account,84.9,64,63.5,32,58.6,58,79.7,28,78.4,34,81.3,20,55 : 45,"28,881",17%,24.5,"Other Health,Medicine & Dentistry",/world-university-rankings/heidelberg-university-0
Boston University,United States,0,Boston University,518,29,29,private,95.1,18,37.5,91,49.8,70,79.3,29,76.0,37,73.9,31,58 : 42,"24,789",17%,8.6,"Medicine & Dentistry,Other Health",/world-university-rankings/boston-university
University of Chicago,United States,11,University of Chicago,473,30,30,private,95.6,15,40.1,81,57.5,59,78.3,30,76.1,36,67.4,37,42 : 58,"14,221",20%,6.9,Medicine & Dentistry,/world-university-rankings/university-chicago
University of British Columbia ubc,Canada,11,University of British Columbia,486,31,31,master_account,87.9,49,49.9,46,73.9,26,77.7,31,80.8,32,64.8,43,54 : 46,"50,152",25%,17.6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-british-columbia
National University of Singapore nus,Singapore,6,National University of Singapore,504,32,32,master_account,71.2,93,41.2,76,94.5,2,76.4,32,84.6,26,73.0,34,49 : 51,"31,592",34%,15.5,"Medicine & Dentistry,Other Health",/world-university-rankings/national-university-singapore
University of Sydney UniSyd,Australia,11,University of Sydney,522,33,33,master_account,80.9,80,68.1,28,77.4,20,76.2,33,83.1,28,63.4,44,57 : 43,"41,868",28%,20.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-sydney
New York University,United States,0,New York University,508,34,34,private,86.1,57,36.8,92,40.5,85,75.0,34,73.9,39,74.4,30,55 : 45,"42,056",19%,6.8,"Other Health,Medicine & Dentistry",/world-university-rankings/new-york-university
Monash University,Australia,0,Monash University,581,35,35,master_account,77.3,86,85.4,15,72.8,28,74.9,35,80.0,33,66.3,39,56 : 44,"50,882",36%,40.5,"Other Health,Medicine & Dentistry",/world-university-rankings/monash-university
Erasmus University Rotterdam,Netherlands,6,Erasmus University Rotterdam,621,36,36,master_account,94.4,22,54.6,39,55.6,63,74.3,36,71.2,45,58.4,47,48 : 52,"20,580",17%,18.9,Other Health,/world-university-rankings/erasmus-university-rotterdam
University of Pittsburgh-Pittsburgh campus,United States,0,University of Pittsburgh-Pittsburgh campus,524,37,37,public,93.3,28,41.0,77,33.9,91,74.2,37,71.8,42,65.8,40,51 : 49,"26,485",10%,5.8,"Medicine & Dentistry,Other Health",/world-university-rankings/university-pittsburgh-pittsburgh-campus
Emory University,United States,0,Emory University,539,38,38,private,94.2,24,47.5,53,42.9,81,73.7,38,66.2,46,65.5,41,56 : 44,"12,338",18%,4.5,"Other Health,Medicine & Dentistry",/world-university-rankings/emory-university
Brown University,United States,0,Brown University,513,39,39,private,87.1,52,45.9,59,72.0,29,73.5,39,58.4,57,73.9,32,,"8,653",19%,10.1,"Medicine & Dentistry,Other Health",/world-university-rankings/brown-university
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,40,40,master_account,65.4,95,54.5,40,96.5,1,73.0,40,82.8,30,68.0,36,53 : 47,"19,835",38%,17.6,"Other Health,Medicine & Dentistry",/world-university-rankings/university-hong-kong
KU Leuven,Belgium,11,KU Leuven,531,41,41,master_account,91.2,40,99.5,6,66.8,44,72.8,41,73.5,41,47.7,65,54 : 46,"42,503",18%,41.9,"Medicine & Dentistry,Other Health",/world-university-rankings/ku-leuven
The University of Tokyo,Japan,0,The University of Tokyo,494,42,42,master_account,62.5,97,55.4,36,36.4,89,72.7,42,86.7,21,82.6,15,,"26,199",10%,5.7,"Medicine & Dentistry,Other Health",/world-university-rankings/university-tokyo
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,43,43,master_account,78.3,85,67.8,29,78.6,19,70.4,43,71.7,43,57.1,50,53 : 47,"34,718",27%,32.7,"Other Health,Medicine & Dentistry",/world-university-rankings/university-queensland
Maastricht University,Netherlands,6,Maastricht University,663,44,44,master_account,84.6,66,77.8,19,74.2,25,69.7,44,57.3,60,61.0,46,56 : 44,"15,626",48%,18.9,"Medicine & Dentistry,Other Health",/world-university-rankings/maastricht-university
Tufts University,United States,0,Tufts University,542,45,45,private,93.4,27,62.9,33,57.2,60,69.6,45,55.8,61,57.1,49,54 : 46,"10,410",14%,10.0,"Other Health,Medicine & Dentistry",/world-university-rankings/tufts-university
Vanderbilt University,United States,0,Vanderbilt University,534,46,46,private,92.6,33,53.9,42,25.8,97,69.3,46,59.1,56,62.8,45,52 : 48,"12,161",9%,3.6,"Other Health,Medicine & Dentistry",/world-university-rankings/vanderbilt-university
University of Glasgow,United Kingdom,1,University of Glasgow,566,47,47,master_account,97.3,9,39.2,84,79.0,18,69.2,47,55.6,63,47.1,69,57 : 43,"22,616",29%,16.0,"Medicine & Dentistry,Other Health",/world-university-rankings/university-glasgow
Uppsala University,Sweden,0,Uppsala University,551,48,48,master_account,83.6,69,44.2,68,67.0,43,68.9,48,71.6,44,50.2,61,57 : 43,"25,266",12%,18.2,"Other Health,Medicine & Dentistry",/world-university-rankings/uppsala-university
Leiden University,Netherlands,6,Leiden University,543,=49,49,master_account,88.6,46,64.3,30,55.9,62,68.7,49,61.4,52,54.5,53,59 : 41,"21,222",9%,17.1,"Other Health,Medicine & Dentistry",/world-university-rankings/leiden-university
Northwestern University,United States,0,Northwestern University,490,=49,50,private,92.4,34,97.6,8,39.9,86,68.7,50,61.5,51,50.7,60,48 : 52,"18,334",15%,13.8,"Other Health,Medicine & Dentistry",/world-university-rankings/northwestern-university
University of Zurich,Switzerland,0,University of Zurich,525,51,51,master_account,85.8,60,49.2,50,86.1,9,68.6,51,54.1,65,57.8,48,57 : 43,"26,583",19%,6.5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-zurich
University of Amsterdam uva,Netherlands,6,University of Amsterdam,556,52,52,master_account,88.2,47,68.5,25,75.3,23,68.5,52,62.4,49,47.4,67,53 : 47,"24,570",11%,14.4,"Medicine & Dentistry,Other Health",/world-university-rankings/university-amsterdam
