aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Rice University,United States,0,Rice University,536,60,60,private,100.0,1,59.0,57,64.0,50,60.7,60,47.3,73,37.6,92,44 : 56,"6,333",26%,9.0,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/rice-university
University of Waterloo,Canada,11,University of Waterloo,689,61,61,master_account,83.1,46,39.9,84,67.8,46,60.3,61,52.1,66,48.9,60,45 : 55,"30,726",14%,24.2,"Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-waterloo
Eindhoven University of Technology,Netherlands,6,Eindhoven University of Technology,579,62,62,master_account,77.4,57,44.8,77,68.9,44,59.9,62,57.3,57,46.6,71,19 : 81,"8,176",14%,16.0,"General Engineering,Chemical Engineering,Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eindhoven-university-technology
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,63,63,master_account,85.2,42,38.1,87,91.6,9,59.6,63,42.5,88,48.8,61,58 : 42,"25,774",36%,14.1,"Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-edinburgh
University of Science and Technology of China,China,0,University of Science and Technology of China,656,64,64,master_account,81.7,50,84.8,30,23.2,97,59.5,64,46.9,76,56.7,53,,"14,290",2%,7.9,"General Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-science-and-technology-china
Chinese University of Hong Kong CUHK,Hong Kong,11,Chinese University of Hong Kong,662356,=65,65,master_account,89.3,33,32.2,94,72.4,36,59.4,65,47.8,71,45.0,75,53 : 47,"17,916",22%,10.2,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/chinese-university-hong-kong
Lomonosov Moscow State University,Russian Federation,0,Lomonosov Moscow State University,753,=65,66,master_account,26.9,100,100.0,3,41.9,80,59.4,66,68.3,44,78.0,28,43 : 57,"30,822",20%,7.7,"General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/lomonosov-moscow-state-university
Shanghai Jiao Tong University SJTU,China,6,Shanghai Jiao Tong University,801,67,67,master_account,50.9,94,98.3,14,28.2,90,59.1,67,65.4,48,61.5,48,37 : 63,"38,191",6%,12.8,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Civil Engineering",/world-university-rankings/shanghai-jiao-tong-university
UNSW Sydney unsw australia unsw,Australia,6,UNSW Sydney,638,68,68,master_account,76.5,59,44.1,78,88.4,12,58.4,68,49.5,69,45.5,74,47 : 53,"38,309",32%,25.9,"Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/unsw-sydney
University of Bristol,United Kingdom,11,University of Bristol,530,69,69,master_account,80.0,55,62.6,55,83.5,20,58.3,69,46.4,78,43.1,78,53 : 47,"17,906",25%,14.0,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-bristol
Hong Kong Polytechnic University PolyU Poly U HK PolyU,Hong Kong,11,Hong Kong Polytechnic University,723,70,70,master_account,82.0,48,48.2,73,69.7,41,58.1,70,53.8,63,39.0,86,51 : 49,"22,064",26%,25.9,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-polytechnic-university
Ohio State University (Main campus)  ,United States,0,Ohio State University (Main campus)  ,521,71,71,public,75.8,61,87.3,27,57.5,58,57.6,71,45.5,79,48.2,64,49 : 51,"51,462",12%,13.4,"Civil Engineering,Chemical Engineering,General Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/ohio-state-university-main-campus
"University of California, Davis",United States,0,"University of California, Davis",503,72,72,public,65.8,77,55.3,63,67.8,45,57.4,72,56.6,58,48.2,65,54 : 46,"35,364",13%,13.9,"Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-california-davis
University of Sydney UniSyd,Australia,11,University of Sydney,522,73,73,master_account,61.0,82,84.5,31,90.9,10,56.8,73,57.4,56,39.0,87,57 : 43,"41,868",28%,20.2,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-sydney
Technical University of Denmark,Denmark,0,Technical University of Denmark,643,74,74,master_account,78.3,56,39.6,85,77.3,29,56.4,74,42.2,90,48.1,66,27 : 73,"9,990",18%,5.0,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/technical-university-denmark
Fudan University,China,0,Fudan University,700,=75,75,master_account,89.1,35,74.6,39,39.0,82,56.2,75,44.8,83,38.7,88,50 : 50,"32,175",11%,12.2,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/fudan-university
University of Southampton,United Kingdom,0,University of Southampton,593,=75,76,master_account,76.4,60,45.8,75,87.5,15,56.2,76,45.1,81,42.6,79,53 : 47,"20,925",29%,13.5,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-southampton
University of Minnesota,United States,0,University of Minnesota,506,77,77,public,82.5,47,89.1,24,42.5,79,55.6,77,50.1,68,33.9,94,52 : 48,"46,825",12%,18.0,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/university-minnesota
Brown University,United States,0,Brown University,513,78,78,private,96.8,19,30.1,95,80.6,25,55.4,78,30.1,98,40.7,83,,"8,653",19%,10.1,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/brown-university
Chalmers University of Technology,Sweden,0,Chalmers University of Technology,695,79,79,master_account,68.0,73,58.1,59,69.9,39,55.0,79,42.1,91,51.8,57,30 : 70,"8,605",15%,11.6,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/chalmers-university-technology
