aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
"Nanyang Technological University, Singapore NTU Nan yang",Singapore,6,"Nanyang Technological University, Singapore",634,20,20,master_account,92.6,26,100.0,4,94.5,3,83.9,20,84.3,25,70.2,41,48 : 52,"25,028",33%,16.2,"Chemical Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/nanyang-technological-university-singapore
Cornell University,United States,0,Cornell University,484,21,21,private,99.3,8,39.4,86,60.2,57,83.3,21,83.4,27,81.4,27,48 : 52,"21,424",19%,10.2,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/cornell-university
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,22,22,public,99.3,9,99.9,7,74.0,34,83.0,22,79.9,29,70.7,38,52 : 48,"22,020",11%,27.3,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-california-santa-barbara
University of Texas at Austin,United States,0,University of Texas at Austin,493,23,23,public,98.5,12,87.8,26,36.7,83,82.2,23,90.2,18,69.7,43,51 : 49,"49,427",9%,17.4,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-texas-austin
Peking University,China,0,Peking University,514,24,24,master_account,90.5,31,99.7,10,48.5,71,80.4,24,73.5,38,82.7,23,,"40,148",14%,8.3,"General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/peking-university
University of Toronto,Canada,0,University of Toronto,483,25,25,master_account,97.1,17,36.9,90,81.0,23,80.1,25,80.1,28,71.5,35,,"66,198",15%,19.5,"Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-toronto
Tsinghua University Qinghua University Tsing hua University Qing hua University,China,6,Tsinghua University,535,26,26,master_account,64.4,80,99.6,11,28.8,89,79.7,26,94.3,11,88.4,12,32 : 68,"39,763",10%,13.7,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/tsinghua-university
Technical University of Munich,Germany,0,Technical University of Munich,552,27,27,master_account,75.0,64,98.8,13,56.9,60,79.4,27,87.7,21,77.6,29,33 : 67,"35,565",20%,31.5,"Chemical Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/technical-university-munich
KU Leuven,Belgium,11,KU Leuven,531,28,28,master_account,91.6,29,99.4,12,66.6,47,75.7,28,72.8,39,62.3,47,54 : 46,"42,503",18%,41.9,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/ku-leuven
Seoul National University,South Korea,0,Seoul National University,588,29,29,master_account,60.4,83,86.2,29,27.0,91,75.2,29,89.0,19,85.2,19,,"26,389",10%,13.9,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/seoul-national-university
RWTH Aachen University,Germany,0,RWTH Aachen University,632,30,30,master_account,51.6,92,100.0,5,44.0,76,74.9,30,92.9,14,81.8,26,31 : 69,"37,917",16%,27.6,"Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/rwth-aachen-university
University of Southern California,United States,0,University of Southern California,519,31,31,private,97.3,16,61.7,56,64.8,48,73.4,31,69.9,43,59.1,51,52 : 48,"36,534",20%,12.9,"Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-southern-california
The University of Tokyo,Japan,0,The University of Tokyo,494,32,32,master_account,55.6,90,47.3,74,26.6,92,72.9,32,87.0,24,90.5,9,,"26,199",10%,5.7,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/university-tokyo
Purdue University West Lafayette,United States,0,Purdue University West Lafayette,562,33,33,public,66.1,76,27.6,100,48.0,72,72.0,33,76.3,34,86.4,16,42 : 58,"39,256",22%,18.1,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/purdue-university-west-lafayette
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,34,34,master_account,69.4,72,33.9,92,97.2,2,71.0,34,72.5,41,70.6,39,53 : 47,"19,835",38%,17.6,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-hong-kong
Columbia University,United States,0,Columbia University,476,=35,35,private,94.3,24,27.6,99,69.9,40,70.8,35,56.5,59,70.9,37,,"25,055",28%,5.9,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/columbia-university
University of Manchester,United Kingdom,0,University of Manchester,512,=35,36,master_account,64.5,79,51.1,70,84.6,19,70.8,36,76.5,33,70.6,40,52 : 48,"34,938",34%,15.3,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-manchester
École Polytechnique,France,6,École Polytechnique,527,37,37,master_account,67.7,74,83.9,32,83.4,21,70.2,37,61.2,51,75.9,31,18 : 82,"2,429",30%,4.8,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/ecole-polytechnique
UCL ucl UCL,United Kingdom,0,UCL,481,38,38,master_account,81.4,52,40.6,82,93.7,6,70.1,38,63.0,50,66.0,45,56 : 44,"26,607",46%,10.7,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/ucl
Penn State (Main campus)  ,United States,0,Penn State (Main campus)  ,515,39,39,public,81.6,51,76.3,37,42.5,78,69.3,39,72.7,40,60.1,50,46 : 54,"44,501",12%,12.4,"Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/penn-state-main-campus
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,40,40,master_account,84.9,43,97.6,18,33.5,86,69.2,40,65.6,46,62.6,46,20 : 80,"3,055",4%,10.1,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/pohang-university-science-and-technology-postech
McGill University,Canada,0,McGill University,492,41,41,master_account,55.1,91,69.0,47,76.9,30,68.6,41,74.5,36,72.8,32,56 : 44,"31,326",23%,13.7,"General Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/mcgill-university
