aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
National University of Singapore nus,Singapore,6,National University of Singapore,504,39,39,master_account,75.6,46,37.4,33,80.6,12,67.8,39,62.9,36,62.5,39,"Other Health,Medicine & Dentistry",/world-university-rankings/national-university-singapore
University of Adelaide Adelaide University,Australia,0,University of Adelaide,665,40,40,master_account,91.4,16,63.4,9,91.0,6,66.9,40,40.5,51,55.9,44,"Other Health,Medicine & Dentistry",/world-university-rankings/university-adelaide
"University of California, Irvine",United States,0,"University of California, Irvine",550,41,41,public,92.4,11,-,42,82.6,10,66.8,41,43.9,50,52.0,48,"Medicine & Dentistry,Other Health",/world-university-rankings/university-california-irvine
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,42,42,master_account,71.4,50,61.4,10,71.3,17,66.4,42,63.0,35,62.5,40,"Medicine & Dentistry,Other Health",/world-university-rankings/university-queensland
University of Glasgow,United Kingdom,1,University of Glasgow,566,43,43,master_account,84.1,31,95.8,4,54.6,29,66.2,43,55.0,44,52.6,46,"Medicine & Dentistry,Other Health",/world-university-rankings/university-glasgow
Northwestern University,United States,0,Northwestern University,490,44,44,private,82.9,36,-,39,65.3,20,65.4,44,50.9,47,56.2,42,"Medicine & Dentistry,Other Health",/world-university-rankings/northwestern-university
University of Wisconsin,United States,0,University of Wisconsin,925,45,45,master_account,83.0,35,-,49,47.2,34,65.2,46,59.7,41,49.6,49,,/world-university-rankings/university-of-wisconsin
University of Manchester,United Kingdom,0,University of Manchester,512,45,45,master_account,76.2,45,40.2,27,62.9,22,65.2,45,62.1,38,56.1,43,"Other Health,Medicine & Dentistry",/world-university-rankings/university-manchester
University of Alberta,Canada,0,University of Alberta,564,47,47,master_account,80.7,37,43.2,22,70.7,18,64.1,47,53.9,45,52.5,47,"Other Health,Medicine & Dentistry",/world-university-rankings/university-alberta
University of Auckland UOA Auckland University,New Zealand,11,University of Auckland,637,47,47,master_account,83.0,34,52.0,14,93.0,4,64.1,48,50.0,48,48.1,50,"Other Health,Medicine & Dentistry",/world-university-rankings/university-auckland
University of Barcelona,Spain,6,University of Barcelona,667,49,49,master_account,99.9,1,35.6,34,23.2,45,63.8,49,46.1,49,42.4,51,"Medicine & Dentistry,Other Health",/world-university-rankings/university-barcelona
University of Montreal,Canada,11,University of Montreal,569,50,50,master_account,73.4,47,-,45,-,50,63.7,50,52.3,46,61.8,41,"Medicine & Dentistry,Other Health",/world-university-rankings/university-montreal
University of Southern California,United States,0,University of Southern California,519,50,50,private,71.5,49,-,46,34.5,38,63.7,51,58.3,42,63.9,35,"Medicine & Dentistry,Other Health",/world-university-rankings/university-southern-california
