aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,1,1,private,99.1,4,89.9,6,49.2,29,95.9,1,98.6,1,98.9,1,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/california-institute-technology
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,2,2,private,96.6,9,84.0,9,76.7,15,94.7,2,93.7,8,98.6,2,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
Stanford University,United States,11,Stanford University,467,3,3,private,99.1,5,70.8,14,27.9,43,93.0,3,96.7,3,97.9,3,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/stanford-university
Princeton University,United States,0,Princeton University,469,4,4,private,98.8,6,-,41,62.7,20,91.3,4,90.1,13,89.7,8,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/princeton-university
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,5,5,public,94.5,11,-,43,36.3,36,90.5,5,97.4,2,88.5,11,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-berkeley
University of Cambridge,United Kingdom,0,University of Cambridge,470,6,6,master_account,80.3,26,62.6,15,83.6,11,87.8,6,93.6,9,94.5,4,"General Engineering,Chemical Engineering",/world-university-rankings/university-cambridge
ETH Zurich,Switzerland,0,ETH Zurich,479,7,7,master_account,79.8,27,-,38,90.0,8,87.2,7,95.2,5,86.1,14,"Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eth-zurich
University of Oxford,United Kingdom,0,University of Oxford,468,8,8,master_account,76.3,33,80.5,10,76.3,16,85.9,8,94.3,6,89.4,9,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-oxford
Imperial College London,United Kingdom,0,Imperial College London,472,9,9,master_account,75.9,34,71.3,13,94.1,3,85.8,9,92.0,10,90.5,6,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/imperial-college-london
Georgia Institute of Technology,United States,0,Georgia Institute of Technology,488,10,10,public,70.9,38,78.4,11,74.2,17,83.2,10,93.9,7,87.2,12,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/georgia-institute-technology
Carnegie Mellon University,United States,0,Carnegie Mellon University,485,11,11,private,69.5,39,61.1,17,40.0,33,82.3,11,95.4,4,92.6,5,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/carnegie-mellon-university
