aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,,United States,0,Harvard University,466,1,1,private,96.0,6,36.1,21,70.8,16,94.6,1,98.3,2,97.9,2,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
Princeton University,,United States,0,Princeton University,469,2,2,private,99.8,1,-,37,69.1,17,92.9,2,94.0,8,89.9,7,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
Stanford University,,United States,11,Stanford University,467,3,3,private,97.2,3,57.4,9,30.1,44,92.4,3,97.1,4,95.9,3,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/stanford-university
Yale University,,United States,0,Yale University,475,4,4,private,89.5,16,-,50,61.3,22,92.0,5,92.4,10,98.4,1,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,4,4,public,90.4,14,89.2,3,46.4,33,92.0,4,98.5,1,94.0,4,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-michigan-ann-arbor
University of Chicago,,United States,11,University of Chicago,473,6,6,private,96.7,4,-,42,58.7,23,91.5,6,95.5,7,88.2,9,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-chicago
University of Oxford,,United Kingdom,0,University of Oxford,468,7,7,master_account,85.8,21,64.5,8,89.1,7,90.8,7,96.7,5,91.5,5,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-oxford
University of Cambridge,,United Kingdom,0,University of Cambridge,470,8,8,master_account,80.5,33,52.1,10,80.9,13,88.2,8,96.0,6,90.9,6,"Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-cambridge
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,9,public,92.2,12,-,40,48.2,31,87.7,9,92.9,9,84.7,11,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-california-los-angeles
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,10,10,public,80.5,32,-,38,39.2,38,86.9,10,97.8,3,88.7,8,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-california-berkeley
University of Pennsylvania,,United States,0,University of Pennsylvania,480,11,11,private,94.8,9,42.6,15,32.9,40,85.9,11,91.7,11,84.0,12,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/university-pennsylvania
Columbia University,,United States,0,Columbia University,476,12,12,private,84.9,26,-,30,87.5,9,84.7,12,85.5,14,83.2,13,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/columbia-university
