aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,,United States,0,Harvard University,466,1,1,private,55.4,19,41.4,24,72.0,12,85.9,1,92.9,3,97.9,1,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/harvard-university
Stanford University,,United States,11,Stanford University,467,2,2,private,58.3,9,51.7,8,29.3,44,84.3,2,94.7,1,95.5,2,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/stanford-university
Princeton University,,United States,0,Princeton University,469,3,3,private,58.9,8,-,42,70.5,13,84.0,3,91.7,7,89.7,6,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Architecture",/world-university-rankings/princeton-university
University of Chicago,,United States,11,University of Chicago,473,4,4,private,57.1,12,-,46,69.1,15,83.4,4,91.8,6,89.2,7,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-chicago
University of Oxford,,United Kingdom,0,University of Oxford,468,5,5,master_account,49.9,33,55.3,6,68.6,16,81.9,5,92.2,4,90.1,5,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-oxford
University of Cambridge,,United Kingdom,0,University of Cambridge,470,6,6,master_account,48.9,37,49.2,12,65.8,18,81.7,7,92.0,5,91.1,4,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,History, Philosophy & Theology",/world-university-rankings/university-cambridge
Columbia University,,United States,0,Columbia University,476,6,6,private,55.1,21,-,35,88.3,5,81.7,6,87.9,14,87.0,8,"History, Philosophy & Theology,Art, Performing Arts & Design,Architecture,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/columbia-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,8,8,public,49.0,36,-,44,41.4,37,80.3,8,93.7,2,86.8,9,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,Archaeology",/world-university-rankings/university-california-berkeley
Yale University,,United States,0,Yale University,475,9,9,private,44.8,48,-,51,59.1,25,80.0,9,87.7,16,91.6,3,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Architecture",/world-university-rankings/yale-university
UCL ucl UCL,,United Kingdom,0,UCL,481,10,10,master_account,47.9,39,38.4,28,93.9,3,79.8,10,88.9,13,86.6,11,"Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/ucl
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,11,11,public,50.3,31,-,45,48.7,29,79.6,11,91.3,8,85.6,12,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Architecture",/world-university-rankings/university-california-los-angeles
University of Toronto,,Canada,0,University of Toronto,483,12,12,master_account,50.5,30,-,49,-,51,79.5,12,89.6,12,82.9,13,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture",/world-university-rankings/university-toronto
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,13,13,public,56.5,14,44.3,18,53.0,27,78.6,13,86.5,17,86.8,10,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/university-michigan-ann-arbor
Australian National University anu,,Australia,0,Australian National University,502,14,14,master_account,59.1,7,-,33,91.6,4,77.8,14,89.6,10,73.0,20,"History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design",/world-university-rankings/australian-national-university
New York University,,United States,0,New York University,508,15,15,private,51.8,28,-,40,31.5,42,77.2,15,89.6,11,82.8,14,"Architecture,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/new-york-university
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,16,16,master_account,45.7,45,44.1,19,67.8,17,73.6,16,81.0,18,82.0,15,"History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-edinburgh
"Rutgers, the State University of New Jersey",,United States,0,"Rutgers, the State University of New Jersey",546,17,17,public,56.3,15,-,43,27.2,45,72.4,17,89.8,9,68.5,24,"Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design",/world-university-rankings/rutgers-state-university-new-jersey-0
University of Pittsburgh-Pittsburgh campus,,United States,0,University of Pittsburgh-Pittsburgh campus,524,18,18,public,46.8,42,42.6,22,25.6,46,72.0,18,87.9,15,76.2,16,"History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-pittsburgh-pittsburgh-campus
