aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,,United States,0,Harvard University,466,1,1,private,98.9,4,59.3,29,70.9,32,92.2,1,93.1,1,91.4,2,Biological Sciences,/world-university-rankings/harvard-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,2,2,private,100.0,1,53.9,33,69.3,35,91.0,2,91.5,4,88.3,4,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
University of Cambridge,,United Kingdom,0,University of Cambridge,470,3,3,master_account,94.1,12,42.6,51,85.4,13,90.6,3,89.8,6,92.8,1,"Biological Sciences,Veterinary Science",/world-university-rankings/university-cambridge
University of Oxford,,United Kingdom,0,University of Oxford,468,4,4,master_account,92.8,18,49.5,38,83.3,14,90.0,4,91.7,3,90.1,3,Biological Sciences,/world-university-rankings/university-oxford
Stanford University,,United States,11,Stanford University,467,5,5,private,97.9,5,-,84,55.9,59,89.2,5,92.3,2,87.7,5,Biological Sciences,/world-university-rankings/stanford-university
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,6,6,private,99.5,3,-,73,71.8,29,86.6,6,76.2,19,85.2,7,Biological Sciences,/world-university-rankings/california-institute-technology
Yale University,,United States,0,Yale University,475,7,7,private,93.4,13,43.0,49,65.3,42,85.9,7,90.8,5,80.9,12,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/yale-university
Princeton University,,United States,0,Princeton University,469,8,8,private,96.6,8,95.7,5,53.2,67,85.4,8,80.9,12,83.4,8,Biological Sciences,/world-university-rankings/princeton-university
Johns Hopkins University,,United States,0,Johns Hopkins University,478,9,9,private,92.3,19,-,77,66.7,39,84.5,9,83.5,11,81.7,10,Biological Sciences,/world-university-rankings/johns-hopkins-university
Imperial College London,,United Kingdom,0,Imperial College London,472,10,10,master_account,80.7,44,44.6,46,92.9,7,84.0,10,85.7,10,87.6,6,Biological Sciences,/world-university-rankings/imperial-college-london
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,11,11,public,97.7,6,-,85,54.2,65,83.9,11,77.9,16,82.9,9,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-berkeley
Duke University,,United States,0,Duke University,487,12,12,private,95.6,11,-,76,66.5,40,81.9,12,72.0,25,78.8,16,,/world-university-rankings/duke-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,13,13,public,93.0,15,-,86,46.7,73,81.6,13,85.9,9,76.0,18,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-los-angeles
Cornell University,,United States,0,Cornell University,484,14,14,private,85.9,31,37.3,55,44.1,79,80.4,14,88.0,7,79.5,13,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/cornell-university
ETH Zurich,,Switzerland,0,ETH Zurich,479,15,15,master_account,79.1,48,49.2,39,95.5,5,79.5,15,79.1,13,78.9,15,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/eth-zurich
Columbia University,,United States,0,Columbia University,476,16,16,private,93.0,14,-,75,63.9,46,78.4,16,67.9,30,74.9,19,Biological Sciences,/world-university-rankings/columbia-university
UCL ucl UCL,,United Kingdom,0,UCL,481,17,17,master_account,78.7,50,46.4,42,89.5,9,77.4,17,77.8,17,74.8,20,Biological Sciences,/world-university-rankings/ucl
Wageningen University & Research,,Netherlands,0,Wageningen University & Research,540,18,18,master_account,78.9,49,-,100,77.7,22,77.3,18,78.4,14,76.4,17,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/wageningen-university-research
"University of California, Davis",,United States,0,"University of California, Davis",503,19,19,public,71.8,73,64.3,24,55.3,61,76.9,19,88.0,8,79.2,14,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-davis
University of British Columbia ubc,,Canada,11,University of British Columbia,486,20,20,master_account,84.6,35,48.6,40,72.2,28,76.7,20,75.2,22,71.9,23,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-british-columbia
University of Washington,,United States,0,University of Washington,489,21,21,public,92.0,21,-,97,49.8,70,76.5,21,77.1,18,66.6,27,"Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/university-washington
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,22,22,public,81.7,43,74.8,15,42.0,81,75.0,22,78.1,15,72.4,22,"Agriculture & Forestry,Biological Sciences,Sport Science,Veterinary Science",/world-university-rankings/university-wisconsin-madison
University of Chicago,,United States,11,University of Chicago,473,23,23,private,91.6,23,-,89,59.0,53,74.7,23,69.7,27,64.1,31,Biological Sciences,/world-university-rankings/university-chicago
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,23,23,master_account,82.6,39,38.2,53,76.9,24,74.7,24,71.2,26,70.8,24,"Veterinary Science,Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-edinburgh
University of Toronto,,Canada,0,University of Toronto,483,25,25,master_account,82.0,42,51.0,36,55.7,60,72.1,25,75.4,21,62.4,34,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-toronto
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,26,26,public,89.0,26,61.4,26,54.0,66,72.0,26,73.3,24,54.8,45,"Sport Science,Biological Sciences",/world-university-rankings/university-michigan-ann-arbor
"University of California, San Diego",,United States,0,"University of California, San Diego",497,27,27,public,95.8,10,-,87,37.5,88,71.9,27,65.1,35,61.1,37,Biological Sciences,/world-university-rankings/university-california-san-diego
The University of Tokyo,,Japan,0,The University of Tokyo,494,28,28,master_account,66.4,87,-,95,45.8,75,70.9,28,74.8,23,81.1,11,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-tokyo
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,29,29,master_account,72.7,67,49.9,37,79.5,17,70.1,29,68.3,29,67.8,26,"Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-melbourne
McGill University,,Canada,0,McGill University,492,30,30,master_account,76.2,58,-,79,78.5,18,69.7,30,65.4,34,65.2,30,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/mcgill-university
University of Queensland UQ UOQ,,Australia,11,University of Queensland,538,31,31,master_account,76.7,57,53.4,34,77.5,23,69.4,31,67.4,32,61.5,36,"Sport Science,Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-queensland
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,32,32,master_account,75.3,61,61.4,25,53.0,68,68.8,32,66.4,33,67.9,25,"Biological Sciences,Veterinary Science",/world-university-rankings/lmu-munich
Australian National University anu,,Australia,0,Australian National University,502,33,33,master_account,76.7,56,59.1,30,88.9,10,68.6,33,64.8,36,57.3,40,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/australian-national-university
National University of Singapore nus,,Singapore,6,National University of Singapore,504,34,34,master_account,61.4,93,84.9,8,93.9,6,67.8,34,69.3,28,65.9,29,Biological Sciences,/world-university-rankings/national-university-singapore
University of Pennsylvania,,United States,0,University of Pennsylvania,480,35,35,private,91.2,24,-,94,47.6,71,66.9,35,54.3,44,55.2,43,"Veterinary Science,Biological Sciences",/world-university-rankings/university-pennsylvania
