aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Hong Kong Polytechnic University PolyU Poly U HK PolyU,,Hong Kong,11,Hong Kong Polytechnic University,723,81,81,master_account,64.1,68,48.6,59,67.1,42,48.0,81,38.7,78,37.9,85,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-polytechnic-university
University of Delaware,,United States,0,University of Delaware,644,81,81,public,63.7,69,100.0,6,58.7,55,48.0,83,34.1,86,36.1,88,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-delaware
Mines ParisTech,,France,0,Mines ParisTech,877,84,84,master_account,59.9,74,93.4,21,57.2,59,47.9,84,30.1,94,44.9,70,Mechanical & Aerospace Engineering,/world-university-rankings/mines-paristech
University of Colorado Boulder,,United States,0,University of Colorado Boulder,541,85,85,public,86.2,20,-,94,39.5,86,47.8,85,34.4,85,30.4,95,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-colorado-boulder
University of Twente,,Netherlands,6,University of Twente,664,86,86,master_account,64.2,66,72.5,37,61.6,52,47.7,87,41.0,72,31.6,93,"Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/university-twente
Polytechnic University of Milan,,Italy,0,Polytechnic University of Milan,797,86,86,master_account,55.9,83,53.8,53,36.1,90,47.7,86,45.0,70,44.6,73,"General Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/polytechnic-university-milan
Pierre and Marie Curie University,,France,0,Pierre and Marie Curie University,548,88,88,master_account,73.0,52,-,88,68.9,38,47.5,88,30.2,93,36.9,86,"General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/pierre-and-marie-curie-university
City University of Hong Kong CityU HK,,Hong Kong,11,City University of Hong Kong,657,89,89,master_account,83.2,28,55.5,51,71.5,35,47.4,89,26.2,97,28.3,99,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/city-university-hong-kong
Wageningen University & Research,,Netherlands,0,Wageningen University & Research,540,90,90,master_account,82.5,31,-,102,72.1,33,47.1,90,25.2,98,29.9,97,Chemical Engineering,/world-university-rankings/wageningen-university-research
Brown University,,United States,0,Brown University,513,91,91,private,94.4,12,-,81,34.1,93,46.8,91,28.6,95,27.8,100,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/brown-university
Uppsala University,,Sweden,0,Uppsala University,551,92,92,master_account,69.0,60,32.1,80,54.2,67,46.7,92,35.4,83,38.1,84,"Mechanical & Aerospace Engineering,General Engineering,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/uppsala-university
Brunel University London,,United Kingdom,0,Brunel University London,719,93,93,master_account,97.9,8,32.5,78,83.6,16,46.6,93,15.4,102,23.9,102,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Civil Engineering",/world-university-rankings/brunel-university-london
Chalmers University of Technology,,Sweden,0,Chalmers University of Technology,695,94,94,master_account,52.1,89,60.7,49,46.9,77,46.1,94,39.5,74,44.5,74,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/chalmers-university-technology
University of Technology Sydney UTS,,Australia,6,University of Technology Sydney,906,95,95,master_account,76.9,46,42.8,66,98.8,1,46.0,95,23.9,100,27.1,101,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-technology-sydney
Gwangju Institute of Science and Technology,,South Korea,0,Gwangju Institute of Science and Technology,1034,96,96,master_account,83.0,29,35.7,74,31.9,96,45.8,96,32.0,92,30.7,94,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/gwangju-institute-science-and-technology
Technical University of Darmstadt Technical University of Darmstadt,,Germany,0,Technical University of Darmstadt,745,97,97,master_account,54.7,87,98.2,16,52.2,70,45.7,97,37.5,80,35.2,89,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/technical-university-darmstadt
University of Sheffield united kingdom UK Sheffield,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-51616042,United Kingdom,11,University of Sheffield,565,98,98,master_account,51.0,91,77.8,32,80.5,20,45.6,98,32.3,90,39.9,81,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-sheffield
Middle East Technical University,,Turkey,0,Middle East Technical University,754,99,99,master_account,30.9,101,73.2,36,25.5,100,45.1,99,49.2,57,54.2,50,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/middle-east-technical-university
University of Science and Technology of China,,China,0,University of Science and Technology of China,656,100,100,master_account,75.2,49,85.3,25,22.7,102,44.3,102,25.0,99,34.0,91,"General Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-science-and-technology-china
Aalto University,,Finland,0,Aalto University,767,100,100,master_account,57.3,80,60.9,48,51.1,72,44.8,100,35.2,84,38.7,82,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/aalto-university
Vienna University of Technology,,Austria,0,Vienna University of Technology,810,100,100,master_account,48.2,98,-,100,58.0,57,44.8,101,36.2,82,46.7,66,"Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/vienna-university-technology
