aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,1,master_account,98.0,1,99.9,3,81.8,11,92.3,1,91.9,2,87.4,3,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,,United States,0,Harvard University,466,2,2,private,96.5,3,41.1,61,71.2,20,92.0,2,97.9,1,90.5,1,"Other Health,Medicine & Dentistry",/world-university-rankings/harvard-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,3,3,master_account,94.9,5,44.0,53,80.6,12,87.3,3,91.6,3,79.0,15,Medicine & Dentistry,/world-university-rankings/university-cambridge
Imperial College London,,United Kingdom,0,Imperial College London,472,4,4,master_account,90.6,23,51.3,36,85.8,3,86.2,4,87.8,7,82.3,9,"Medicine & Dentistry,Other Health",/world-university-rankings/imperial-college-london
Stanford University,,United States,11,Stanford University,467,5,5,private,92.3,14,-,84,53.8,54,85.7,5,90.7,5,84.4,6,"Medicine & Dentistry,Other Health",/world-university-rankings/stanford-university
Columbia University,,United States,0,Columbia University,476,6,6,private,91.1,21,-,77,69.4,22,85.1,6,79.5,17,87.8,2,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
Johns Hopkins University,,United States,0,Johns Hopkins University,478,7,7,private,93.3,9,-,80,63.0,38,84.8,7,84.0,12,84.2,7,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
UCL ucl UCL,,United Kingdom,0,UCL,481,8,8,master_account,88.3,32,52.7,30,83.5,8,84.4,8,86.4,11,80.6,11,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,9,public,89.3,29,-,87,47.1,70,84.0,9,87.3,9,87.3,4,"Other Health,Medicine & Dentistry",/world-university-rankings/university-california-los-angeles
Yale University,,United States,0,Yale University,475,10,10,private,88.3,33,45.9,42,59.4,48,83.6,10,87.3,10,83.8,8,"Medicine & Dentistry,Other Health",/world-university-rankings/yale-university
