aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Princeton University,,United States,0,Princeton University,469,1,1,private,97.7,16,99.7,4,63.4,59,93.1,1,94.5,1,93.2,2,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/princeton-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,2,2,private,96.2,24,75.7,10,80.9,23,92.6,2,92.4,3,92.8,3,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/massachusetts-institute-technology
Harvard University,,United States,0,Harvard University,466,3,3,private,97.6,17,56.3,20,73.9,36,92.3,3,94.0,2,92.1,5,"Mathematics & Statistics,Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/harvard-university
Stanford University,,United States,11,Stanford University,467,4,4,private,98.9,9,-,84,75.4,34,92.0,5,89.7,6,92.6,4,"Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/stanford-university
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,4,4,private,96.0,25,-,70,86.2,14,92.0,4,83.6,11,96.8,1,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/california-institute-technology
University of Cambridge,,United Kingdom,0,University of Cambridge,470,6,6,master_account,91.7,39,64.2,15,84.7,16,90.4,6,91.4,5,91.7,6,Mathematics & Statistics,/world-university-rankings/university-cambridge
University of Oxford,,United Kingdom,0,University of Oxford,468,7,7,master_account,89.2,47,53.9,24,88.7,10,88.6,7,89.3,7,90.3,7,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-oxford
University of Chicago,,United States,11,University of Chicago,473,8,8,private,95.0,28,-,91,76.1,32,87.0,8,86.5,9,81.4,14,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-chicago
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,9,public,95.4,26,-,88,68.9,47,86.8,9,88.6,8,81.5,13,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-california-los-angeles
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,10,10,public,97.1,19,-,87,65.8,55,86.4,10,79.9,14,86.7,9,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-berkeley
