aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Stanford University,,United States,11,Stanford University,467,1,1,private,98.5,4,-,84,61.1,45,93.1,1,96.3,5,95.0,1,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/stanford-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,2,2,private,98.9,3,100.0,2,73.8,30,92.6,2,93.8,8,90.2,7,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/massachusetts-institute-technology
University of Oxford,,United Kingdom,0,University of Oxford,468,3,3,master_account,87.3,30,66.7,21,88.8,7,92.2,3,97.0,3,94.0,3,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-oxford
Harvard University,,United States,0,Harvard University,466,4,4,private,96.9,6,44.2,38,63.0,43,91.9,4,98.9,1,91.5,4,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
Princeton University,,United States,0,Princeton University,469,5,5,private,99.2,2,96.4,8,45.2,64,91.1,5,96.4,4,89.8,8,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
University of Chicago,,United States,11,University of Chicago,473,6,6,private,97.7,5,-,88,56.3,52,90.7,6,94.7,6,90.3,6,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-chicago
Yale University,,United States,0,Yale University,475,7,7,private,95.3,11,33.4,54,55.3,57,90.0,7,93.4,9,94.8,2,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,8,8,public,91.4,18,97.0,7,40.8,74,88.8,8,97.8,2,88.4,12,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-michigan-ann-arbor
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,9,public,92.2,16,-,86,39.7,75,87.4,9,94.2,7,90.8,5,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-california-los-angeles
University of Cambridge,,United Kingdom,0,University of Cambridge,470,10,10,master_account,82.4,46,34.6,50,85.1,9,86.6,10,91.3,10,89.5,10,"Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-cambridge
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,11,11,master_account,82.4,45,63.1,24,91.1,5,85.4,11,86.0,12,87.5,13,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/london-school-economics-and-political-science
University of Pennsylvania,,United States,0,University of Pennsylvania,480,12,12,private,93.6,13,-,93,63.5,41,85.0,12,79.9,18,88.7,11,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/university-pennsylvania
UCL ucl UCL,,United Kingdom,0,UCL,481,13,13,master_account,87.8,26,45.7,35,89.4,6,83.6,13,86.9,11,78.6,17,"Geography,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/ucl
Columbia University,,United States,0,Columbia University,476,14,14,private,87.2,31,-,74,59.0,47,83.3,14,80.3,17,89.7,9,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/columbia-university
New York University,,United States,0,New York University,508,15,15,private,91.4,17,-,82,58.6,48,82.1,15,77.5,20,86.0,14,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/new-york-university
Northwestern University,,United States,0,Northwestern University,490,15,15,private,95.6,10,30.2,69,37.1,83,82.1,16,85.9,13,82.3,15,"Politics & International Studies (incl Development Studies),Sociology,Geography,Communication & Media Studies",/world-university-rankings/northwestern-university
